issuer,origin_ticker,byma_ticker,ratio_a,ratio_b,ratio
BANCO_COMAFI,AABA,AABA,3,1,3:1
BANCO_COMAFI,AAPL,AAPL,10,1,10:1
BANCO_COMAFI,ABBV,ABBV,10,1,10:1
BANCO_COMAFI,ABEV,ABEV,1,3,1:3
CAJA_DE_VALORES,ABEV3,ABEV3,1,1,1:1
CAJA_DE_VALORES,ABNB,ABNB,15,1,15:1
BANCO_COMAFI,ABT,ABT,4,1,4:1
BANCO_COMAFI,ACH,ACH,1,1,1:1
BANCO_COMAFI,ADBE,ADBE,22,1,22:1
BANCO_COMAFI,ADI,ADI,3,1,3:1
BANCO_COMAFI,ADP,ADP,6,1,6:1
BANCO_COMAFI,AEG,AEG,1,1,1:1
BANCO_COMAFI,AEM,AEM,3,1,3:1
BANCO_COMAFI,AGRO,ADGO,1,2,1:2
BANCO_COMAFI,AIG,AIG,5,1,5:1
BANCO_COMAFI,AMAT,AMAT,5,1,5:1
BANCO_COMAFI,AMD,AMD,1,2,1:2
BANCO_COMAFI,AMGN,AMGN,10,1,10:1
BANCO_COMAFI,AMX,AMX,1,1,1:1
BANCO_COMAFI,AMZN,AMZN,144,1,144:1
BANCO_COMAFI,ANF,ANF,1,1,1:1
BANCO_COMAFI,ARCO,ARCO,1,2,1:2
CAJA_DE_VALORES,ARKK,ARKK,10,1,10:1
BANCO_COMAFI,ASR,ASR,2,1,2:1
BANCO_COMAFI,ATAD,ATAD,4,1,4:1
BANCO_COMAFI,AUY,AUY,1,1,1:1
BANCO_COMAFI,AVGO,AVGO,39,1,39:1
BANCO_COMAFI,AVY,AVY,3,1,3:1
BANCO_COMAFI,AXP,AXP,5,1,5:1
BANCO_COMAFI,AZN,AZN,2,1,2:1
BANCO_COMAFI,BA,BA,6,1,6:1
BANCO_COMAFI,BABA,BABA,9,1,9:1
BANCO_COMAFI,BAC,BA.C,2,1,2:1
BANCO_COMAFI,BAS GR,BAS,2,1,2:1
BANCO_COMAFI,BAYN GR,BAYN,3,1,3:1
BANCO_COMAFI,BB,BB,3,1,3:1
CAJA_DE_VALORES,BBAS3,BBAS3,2,1,2:1
BANCO_COMAFI,BBD,BBD,1,1,1:1
CAJA_DE_VALORES,BBDC3,BBDC3,1,1,1:1
BANCO_COMAFI,BBVA,BBV,1,1,1:1
BANCO_COMAFI,BCS,BCS,1,1,1:1
BANCO_COMAFI,BG,BNG,5,1,5:1
BANCO_COMAFI,BHP,BHP,2,1,2:1
BANCO_COMAFI,BIDU,BIDU,11,1,11:1
BANCO_COMAFI,BIIB,BIIB,13,1,13:1
BANCO_COMAFI,BIOX,BIOX,1,2,1:2
BANCO_COMAFI,BK,BK,2,1,2:1
BANCO_COMAFI,BMY,BMY,3,1,3:1
BANCO_COMAFI,BP,BP,5,1,5:1
CAJA_DE_VALORES,BPAC11,BPA11,1,1,1:1
BANCO_COMAFI,BRFS,BRFS,1,3,1:3
BANCO_COMAFI,BRK/B,BRKB,22,1,22:1
BANCO_COMAFI,BSBR,BSBR,1,1,1:1
BANCO_COMAFI,BSN GR,BSN,20,1,20:1
BANCO_COMAFI,C,C,3,1,3:1
BANCO_COMAFI,CAAP,CAAP,1,4,1:4
BANCO_COMAFI,CAH,CAH,3,1,3:1
BANCO_COMAFI,CAJ,CAJ,2,1,2:1
BANCO_COMAFI,CAR,CAR,1,1,1:1
BANCO_COMAFI,CAT,CAT,5,1,5:1
BANCO_COMAFI,CBD,CBRD,1,1,1:1
BANCO_COMAFI,CDE,CDE,1,1,1:1
BANCO_COMAFI,CEO,CEO,4,1,4:1
BANCO_COMAFI,CHA,CHA,2,1,2:1
BANCO_COMAFI,CHL,CHL,3,1,3:1
CAJA_DE_VALORES,CIBR,CIBR,10,1,10:1
BANCO_COMAFI,CL,CL,3,1,3:1
BANCO_COMAFI,COST,COST,12,1,12:1
BANCO_COMAFI,CRM,CRM,6,1,6:1
BANCO_COMAFI,CS,CS,1,1,1:1
BANCO_COMAFI,CSCO,CSCO,5,1,5:1
CAJA_DE_VALORES,CSNA3,CSNA3,1,1,1:1
BANCO_COMAFI,CVX,CVX,8,1,8:1
BANCO_COMAFI,CX,CX,1,1,1:1
BANCO_COMAFI,DAI GR,DAI,4,1,4:1
BANCO_COMAFI,DCMYY,DCMYY,1,1,1:1
BANCO_COMAFI,DD,DD,5,1,5:1
BANCO_COMAFI,DE,DE,10,1,10:1
BANCO_COMAFI,DEO,DEO,6,1,6:1
BANCO_COMAFI,DESP,DESP,1,1,1:1
CAJA_DE_VALORES,DIA,DIA,20,1,20:1
BANCO_COMAFI,DIS,DISN,4,1,4:1
BANCO_COMAFI,DOCU,DOCU,22,1,22:1
BANCO_COMAFI,DTEA GR,DTEA,3,1,3:1
BANCO_COMAFI,E,E,4,1,4:1
BANCO_COMAFI,EBAY,EBAY,2,1,2:1
BANCO_COMAFI,EBR,EBR,1,4,1:4
CAJA_DE_VALORES,EEM,EEM,5,1,5:1
BANCO_COMAFI,EFX,EFX,16,1,16:1
BANCO_COMAFI,ELP,ELP,1,3,1:3
BANCO_COMAFI,EOAN GR,EOAN,6,1,6:1
BANCO_COMAFI,ERIC,ERIC,2,1,2:1
BANCO_COMAFI,ERJ,ERJ,1,1,1:1
CAJA_DE_VALORES,ETHA,ETHA,5,1,5:1
BANCO_COMAFI,ETSY,ETSY,16,1,16:1
CAJA_DE_VALORES,EWY,EWY,50,1,50:1
CAJA_DE_VALORES,EWZ,EWZ,2,1,2:1
CAJA_DE_VALORES,F,F,1,1,1:1
BANCO_COMAFI,FB,FB,8,1,8:1
BANCO_COMAFI,FCX,FCX,1,1,1:1
BANCO_COMAFI,FDX,FDX,10,1,10:1
BANCO_COMAFI,FMCC,FMCC,1,1,1:1
BANCO_COMAFI,FMX,FMX,2,1,2:1
BANCO_COMAFI,FNMA,FNMA,1,1,1:1
BANCO_COMAFI,FSLR,FSLR,3,1,3:1
BANCO_COMAFI,GE,GE,1,1,1:1
BANCO_COMAFI,GFI,GFI,1,1,1:1
BANCO_COMAFI,GGB,GGB,1,4,1:4
BANCO_COMAFI,GILD,GILD,4,1,4:1
CAJA_DE_VALORES,GLD,GLD,50,1,50:1
BANCO_COMAFI,GLOB,GLNT,6,1,6:1
BANCO_COMAFI,GLW,GLW,4,1,4:1
BANCO_COMAFI,GOLD,GOLD,1,1,1:1
BANCO_COMAFI,GOOGL,GOOGL,58,1,58:1
BANCO_COMAFI,GPRK,GPRK,1,1,1:1
BANCO_COMAFI,GRMN,GRMN,3,1,3:1
BANCO_COMAFI,GS,GS,13,1,13:1
BANCO_COMAFI,GSK,GSK,4,1,4:1
BANCO_COMAFI,HAL,HAL,2,1,2:1
CAJA_DE_VALORES,HAPV3,HAPV3,1,1,1:1
BANCO_COMAFI,HD,HD,8,1,8:1
BANCO_COMAFI,HDB,HDB,2,1,2:1
BANCO_COMAFI,HHPD LI,HHPD,2,1,2:1
BANCO_COMAFI,HL,HL,1,1,1:1
BANCO_COMAFI,HMC,HMC,1,1,1:1
BANCO_COMAFI,HMY,HMY,1,1,1:1
BANCO_COMAFI,HNP,HNP,1,1,1:1
BANCO_COMAFI,HOG,HOG,3,1,3:1
BANCO_COMAFI,HON,HON,8,1,8:1
BANCO_COMAFI,HPQ,HPQ,1,1,1:1
BANCO_COMAFI,HSBC,HSBC,2,1,2:1
BANCO_COMAFI,HSY,HSY,3,1,3:1
CAJA_DE_VALORES,HUT,HUT,5,1,5:1
BANCO_COMAFI,HWM,HWM,1,1,1:1
BANCO_COMAFI,IBM,IBM,5,1,5:1
BANCO_COMAFI,IBN,IBN,1,1,1:1
CAJA_DE_VALORES,ICLN,ICLN,5,1,5:1
BANCO_COMAFI,IFF,IFF,2,1,2:1
BANCO_COMAFI,INFY,INFY,1,1,1:1
BANCO_COMAFI,ING,ING,3,1,3:1
BANCO_COMAFI,INTC,INTC,5,1,5:1
BANCO_COMAFI,IP,IP,4,1,4:1
CAJA_DE_VALORES,ITA,ITA,50,1,50:1
BANCO_COMAFI,ITUB,ITUB,1,1,1:1
CAJA_DE_VALORES,ITUB3,ITUB3,1,1,1:1
CAJA_DE_VALORES,IWM,IWM,10,1,10:1
BANCO_COMAFI,JCI,JCI,2,1,2:1
BANCO_COMAFI,JD,JD,2,1,2:1
CAJA_DE_VALORES,JMIA,JMIA,1,1,1:1
BANCO_COMAFI,JNJ,JNJ,5,1,5:1
BANCO_COMAFI,JPM,JPM,5,1,5:1
BANCO_COMAFI,KB,KB,2,1,2:1
CAJA_DE_VALORES,KEEL,KEEL,1,5,1:5
BANCO_COMAFI,KEP,KEP,1,1,1:1
BANCO_COMAFI,KGC,KGC,1,1,1:1
BANCO_COMAFI,KMB,KMB,6,1,6:1
BANCO_COMAFI,KO,KO,5,1,5:1
BANCO_COMAFI,KOF,KOFM,2,1,2:1
BANCO_COMAFI,LFC,LFC,2,1,2:1
BANCO_COMAFI,LKOD,LKOD,4,1,4:1
BANCO_COMAFI,LLY,LLY,8,1,8:1
BANCO_COMAFI,LMT,LMT,20,1,20:1
CAJA_DE_VALORES,LREN3,LREN3,1,1,1:1
BANCO_COMAFI,LVS,LVS,2,1,2:1
BANCO_COMAFI,LYG,LYG,2,1,2:1
BANCO_COMAFI,MA,MA,33,1,33:1
BANCO_COMAFI,MBT,MBT,2,1,2:1
BANCO_COMAFI,MCD,MCD,8,1,8:1
BANCO_COMAFI,MDT,MDT,4,1,4:1
BANCO_COMAFI,MELI,MELI,60,1,60:1
BANCO_COMAFI,MFG,MFG,1,1,1:1
CAJA_DE_VALORES,MGLU3,MGLU3,1,1,1:1
BANCO_COMAFI,MMC,MMC,4,1,4:1
BANCO_COMAFI,MMM,MMM,5,1,5:1
BANCO_COMAFI,MO,MO,4,1,4:1
CAJA_DE_VALORES,MOS,MOS,5,1,5:1
BANCO_COMAFI,MRK,MRK,5,1,5:1
BANCO_COMAFI,MSFT,MSFT,10,1,10:1
BANCO_COMAFI,MSI,MSI,5,1,5:1
CAJA_DE_VALORES,MSTR,MSTR,20,1,20:1
CAJA_DE_VALORES,MU,MU,5,1,5:1
BANCO_COMAFI,MUFG,MUFG,1,1,1:1
CAJA_DE_VALORES,NATU3,NATU3,1,1,1:1
BANCO_COMAFI,NEC1 GR,NEC1,1,3,1:3
BANCO_COMAFI,NEM,NEM,3,1,3:1
BANCO_COMAFI,NFLX,NFLX,16,1,16:1
BANCO_COMAFI,NG,NG,1,4,1:4
BANCO_COMAFI,NGG,NGG,2,1,2:1
BANCO_COMAFI,NKE,NKE,3,1,3:1
BANCO_COMAFI,NLMK LI,NLM,2,1,2:1
BANCO_COMAFI,NMR,NMR,1,1,1:1
BANCO_COMAFI,NOK,NOKA,1,1,1:1
BANCO_COMAFI,NSANY,NSAN,1,1,1:1
BANCO_COMAFI,NTCO,NTCO,1,1,1:1
BANCO_COMAFI,NTES,NTES,14,1,14:1
BANCO_COMAFI,NUE,NUE,2,1,2:1
BANCO_COMAFI,NVDA,NVDA,24,1,24:1
BANCO_COMAFI,NVS,NVS,4,1,4:1
BANCO_COMAFI,OGZD,OGZD,2,1,2:1
BANCO_COMAFI,ORAN,ORAN,1,1,1:1
BANCO_COMAFI,ORCL,ORCL,3,1,3:1
CAJA_DE_VALORES,OXY,OXY,5,1,5:1
BANCO_COMAFI,PAAS,PAAS,3,1,3:1
BANCO_COMAFI,PAC,PAC,2,1,2:1
CAJA_DE_VALORES,PANW,PANW,50,1,50:1
BANCO_COMAFI,PBI,PBI,1,1,1:1
BANCO_COMAFI,PBR,PBR,1,1,1:1
BANCO_COMAFI,PCAR,PCAR,3,1,3:1
BANCO_COMAFI,PCRFY,PCRF,2,1,2:1
BANCO_COMAFI,PEP,PEP,6,1,6:1
CAJA_DE_VALORES,PETR3,PETR3,1,1,1:1
BANCO_COMAFI,PFE,PFE,2,1,2:1
BANCO_COMAFI,PG,PG,5,1,5:1
BANCO_COMAFI,PHG,PHG,5,1,5:1
BANCO_COMAFI,PKX,PKS,3,1,3:1
CAJA_DE_VALORES,PRIO3,PRIO3,2,1,2:1
BANCO_COMAFI,PSO,PSO,1,1,1:1
BANCO_COMAFI,PSX,PSX,6,1,6:1
BANCO_COMAFI,PTR,PTR,4,1,4:1
BANCO_COMAFI,PYPL,PYPL,8,1,8:1
BANCO_COMAFI,QCOM,QCOM,11,1,11:1
CAJA_DE_VALORES,QQQ,QQQ,20,1,20:1
CAJA_DE_VALORES,RBLX,RBLX,2,1,2:1
BANCO_COMAFI,RDSB,RDS,2,1,2:1
CAJA_DE_VALORES,RENT3,RENT3,2,1,2:1
BANCO_COMAFI,RIO,RIO,4,1,4:1
BANCO_COMAFI,ROST,ROST,4,1,4:1
CAJA_DE_VALORES,RSP,RSP,30,1,30:1
BANCO_COMAFI,RTX,RTX,5,1,5:1
BANCO_COMAFI,SAN,SAN,1,4,1:4
BANCO_COMAFI,SAP,SAP,6,1,6:1
CAJA_DE_VALORES,SATL,SATL,1,1,1:1
BANCO_COMAFI,SBS,SBS,1,2,1:2
CAJA_DE_VALORES,SBSP3,SBSP3,1,1,1:1
BANCO_COMAFI,SBUX,SBUX,4,1,4:1
BANCO_COMAFI,SCCO,SCCO,2,1,2:1
CAJA_DE_VALORES,SH,SH,8,1,8:1
BANCO_COMAFI,SHOP,SHOP,107,1,107:1
CAJA_DE_VALORES,SICPQ,SI,10,1,10:1
BANCO_COMAFI,SID,SID,1,8,1:8
BANCO_COMAFI,SIEGY,SIEGY,3,1,3:1
BANCO_COMAFI,SLB,SLB,3,1,3:1
CAJA_DE_VALORES,SMH,SMH,50,1,50:1
BANCO_COMAFI,SMSN LI,SMSN,14,1,14:1
BANCO_COMAFI,SNA,SNA,6,1,6:1
BANCO_COMAFI,SNAP,SNAP,1,1,1:1
BANCO_COMAFI,SNOW,SNOW,30,1,30:1
BANCO_COMAFI,SNP,SNP,3,1,3:1
BANCO_COMAFI,SONY,SONY,4,1,4:1
BANCO_COMAFI,SPOT,SPOT,28,1,28:1
CAJA_DE_VALORES,SPXL,SPXL,25,1,25:1
CAJA_DE_VALORES,SPY,SPY,60,1,60:1
BANCO_COMAFI,SQ,SQ,20,1,20:1
BANCO_COMAFI,SUZ,SUZ,1,1,1:1
