issuer,origin_ticker,byma_ticker,ratio_a,ratio_b,ratio,source_url
BANCO_COMAFI,AAL,AAL,2,1,2:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,AAP,AAP,14,1,14:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,AAPL,AAPL,20,1,20:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,ABBV,ABBV,10,1,10:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,ABEV,ABEV,1,3,1:3,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
CAJA_DE_VALORES,ABEV3,ABEV3,1,1,1:1,https://cajadevalores.com.ar/Servicios/Cedears
CAJA_DE_VALORES,ABNB,ABNB,15,1,15:1,https://cajadevalores.com.ar/Servicios/Cedears
BANCO_COMAFI,ABT,ABT,4,1,4:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,ACN,ACN,75,1,75:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,ADBE,ADBE,44,1,44:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,ADI,ADI,15,1,15:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,ADP,ADP,6,1,6:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,ADS,ADS,22,1,22:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,AEG,AEG,1,1,1:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,AEM,AEM,6,1,6:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,AGRO,ADGO,1,1,1:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,AIG,AIG,5,1,5:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,AKO.B,AKO.B,1,1,1:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,AMAT,AMAT,5,1,5:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,AMD,AMD,10,1,10:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,AMGN,AMGN,30,1,30:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,AMX,AMX,1,1,1:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,AMZN,AMZN,144,1,144:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,ANF,ANF,1,1,1:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,ARCO,ARCO,1,2,1:2,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
CAJA_DE_VALORES,ARKK,ARKK,10,1,10:1,https://cajadevalores.com.ar/Servicios/Cedears
BANCO_COMAFI,ARM,ARM,27,1,27:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,ASR,ASR,20,1,20:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,AVGO,AVGO,39,1,39:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,AVY,AVY,18,1,18:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,AXP,AXP,15,1,15:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,AZN,AZN,2,1,2:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,BA,BA,24,1,24:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,BABA,BABA,9,1,9:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,BAC,BAC,4,1,4:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,BAK,BAK,2,1,2:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,BAS,BAS,2,1,2:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
