horizon_sessions,rows,ic,intercept,slope,rmse,raw_skill,weight,portfolio_fold
5,56004,0.049818132191936544,-0.0004207852541685154,0.000870405724373125,0.00628878176791602,0.049818132191936544,0.11195185458438936,WF_2019_2020
10,55429,0.05110312790318073,-0.000317911373714655,0.0006153049956969434,0.00443095970561902,0.05110312790318073,0.11483951107966955,WF_2019_2020
20,54279,0.05600031288217465,-0.0002803523936703221,0.000524594048345952,0.003155450838616988,0.05600031288217465,0.12584451902595142,WF_2019_2020
60,49679,0.10527119857016112,-0.00037316231684640487,0.0006976892108310883,0.0018212932103574351,0.10527119857016112,0.2365665952477961,WF_2019_2020
120,42779,0.09482519366417463,-0.0002634336349864423,0.00048344389999420016,0.0013097891242501356,0.09482519366417463,0.21309221813310972,WF_2019_2020
252,27744,0.08797807685379092,-0.00018484955386272582,0.0003920842994363123,0.0010542137169167465,0.08797807685379092,0.19770530192908395,WF_2019_2020
5,114926,0.04531041127103454,-0.0005891782802179136,0.0010373436197513033,0.007565017411092975,0.04531041127103454,0.0696623815848571,WF_2021_2022
10,114326,0.06146200591171017,-0.000594008154055366,0.0010667336287373851,0.005276401818477199,0.06146200591171017,0.09449461147419284,WF_2021_2022
20,113126,0.07242566477174574,-0.0004999838652208024,0.0009027433976511132,0.003781601744282198,0.07242566477174574,0.11135066211794943,WF_2021_2022
60,108326,0.13067745351809776,-0.0006315305282087385,0.0011257080114999462,0.002218260188826282,0.13067745351809776,0.20090973302055629,WF_2021_2022
120,101260,0.1399042096976058,-0.0005339485022449718,0.0008941257062562764,0.0016451009546856162,0.1399042096976058,0.21509538686339003,WF_2021_2022
252,85816,0.2006489401574967,-0.000567648472724324,0.0009623959767667473,0.0012512259849093833,0.2006489401574967,0.30848722493905434,WF_2021_2022
5,176422,0.017005851932494966,-0.00016997940634074903,0.00034649932671911905,0.008148554614183222,0.017005851932494966,0.06064941761737752,WF_2023_2024
10,175812,0.024074165424441258,-0.00019703048997903784,0.00040658836832173004,0.005712590525968252,0.024074165424441258,0.08585774581671055,WF_2023_2024
20,174592,0.02737626272727683,-0.0001641308842887221,0.0003399241270934762,0.0040948925419169915,0.02737626272727683,0.09763429656687977,WF_2023_2024
60,169712,0.044709037910032064,-0.00023270602784322944,0.000430749794288459,0.0024156441925406278,0.044709037910032064,0.15944964840575776,WF_2023_2024
120,162392,0.040931647540795264,-0.00017652800245014953,0.000277787355025681,0.0018091511075133406,0.040931647540795264,0.1459780195266457,WF_2023_2024
252,146289,0.12629899868972375,-0.0003839155665185507,0.0006731266333614294,0.0014645453566893224,0.12629899868972375,0.4504308720666288,WF_2023_2024
