canonical_ticker,asset_class,motor,sector,benchmark,market_symbol,fundamentals_symbol,sec_ticker,country,active,note
MSFT,CEDEAR,Fundamental,Tecnologico,XLK,MSFT,MSFT,MSFT,Exterior,SI,
BRK-B,CEDEAR,Fundamental,Financiero,XLF,BRK-B,BRK-B,BRK-B,Exterior,SI,
PG,CEDEAR,Fundamental,Consumo Masivo,XLP,PG,PG,PG,Exterior,SI,
MELI,CEDEAR,Fundamental,Tecnologico,XLK,MELI,MELI,MELI,Exterior,SI,
META,CEDEAR,Fundamental,Comunicacion,XLC,META,META,META,Exterior,SI,
AVGO,CEDEAR,Fundamental,IA / Semiconductores,SMH,AVGO,AVGO,AVGO,Exterior,SI,
AMZN,CEDEAR,Fundamental,Consumo Discrecional,XLY,AMZN,AMZN,AMZN,Exterior,SI,
GE,CEDEAR,Fundamental,Industrial,XLI,GE,GE,GE,Exterior,SI,
NKE,CEDEAR,Fundamental,Consumo Discrecional,XLY,NKE,NKE,NKE,Exterior,SI,
DIS,CEDEAR,Fundamental,Comunicacion,XLC,DIS,DIS,DIS,Exterior,SI,
CAT,CEDEAR,Fundamental,Industrial,XLI,CAT,CAT,CAT,Exterior,SI,
MMM,CEDEAR,Fundamental,Industrial,XLI,MMM,MMM,MMM,Exterior,SI,
PFE,CEDEAR,Fundamental,Salud,XLV,PFE,PFE,PFE,Exterior,SI,
V,CEDEAR,Fundamental,Financiero,XLF,V,V,V,Exterior,SI,
AXP,CEDEAR,Fundamental,Financiero,XLF,AXP,AXP,AXP,Exterior,SI,
CAAP,CEDEAR,Fundamental,Industrial,XLI,CAAP,CAAP,CAAP,Exterior,SI,
ABBV,CEDEAR,Fundamental,Salud,XLV,ABBV,ABBV,ABBV,Exterior,SI,
BABA,CEDEAR,Fundamental,Consumo Discrecional,XLY,BABA,BABA,BABA,Exterior,SI,
COIN,CEDEAR,Alternativo,Cripto,BTC-USD,COIN,COIN,COIN,Exterior,SI,
NFLX,CEDEAR,Fundamental,Comunicacion,XLC,NFLX,NFLX,NFLX,Exterior,SI,
GLOB,CEDEAR,Fundamental,Tecnologico,XLK,GLOB,GLOB,GLOB,Exterior,SI,
BA,CEDEAR,Fundamental,Industrial,XLI,BA,BA,BA,Exterior,SI,
NU,CEDEAR,Fundamental,Financiero,XLF,NU,NU,NU,Exterior,SI,
CIBR,ETF,Alternativo,Tecnologico,QQQ,CIBR,CIBR,CIBR,Exterior,SI,
ORCL,CEDEAR,Fundamental,Tecnologico,XLK,ORCL,ORCL,ORCL,Exterior,SI,
NVDA,CEDEAR,Fundamental,IA / Semiconductores,SMH,NVDA,NVDA,NVDA,Exterior,SI,
TSM,CEDEAR,Fundamental,IA / Semiconductores,SMH,TSM,TSM,TSM,Exterior,SI,
ETHA,ETF,Alternativo,Cripto,ETH-USD,ETHA,ETHA,ETHA,Exterior,SI,
AMD,CEDEAR,Fundamental,IA / Semiconductores,SMH,AMD,AMD,AMD,Exterior,SI,
ASML,CEDEAR,Fundamental,IA / Semiconductores,SMH,ASML,ASML,ASML,Exterior,SI,
LAR,CEDEAR,Fundamental,Materiales,XLB,LAR,LAR,LAR,Exterior,SI,
SH,ETF,Alternativo,Diversificado (ETF),SPY,SH,SH,SH,Exterior,SI,
GLD,ETF,Alternativo,Otro,SPY,GLD,GLD,GLD,Exterior,SI,
WMT,CEDEAR,Fundamental,Consumo Masivo,XLP,WMT,WMT,WMT,Exterior,SI,
XLF,ETF,Alternativo,Financiero,SPY,XLF,XLF,XLF,Exterior,SI,
XLI,ETF,Alternativo,Industrial,SPY,XLI,XLI,XLI,Exterior,SI,
XLE,ETF,Alternativo,Energia,SPY,XLE,XLE,XLE,Exterior,SI,
TM,CEDEAR,Fundamental,Consumo Discrecional,XLY,TM,TM,TM,Exterior,SI,
SONY,CEDEAR,Fundamental,Tecnologico,XLK,SONY,SONY,SONY,Exterior,SI,
EWJ,ETF,Alternativo,Diversificado (ETF),SPY,EWJ,EWJ,EWJ,Exterior,SI,
PBR,CEDEAR,Fundamental,Energia,XLE,PBR,PBR,PBR,Exterior,SI,
BBD,CEDEAR,Fundamental,Financiero,XLF,BBD,BBD,BBD,Exterior,SI,
SID,CEDEAR,Fundamental,Materiales,XLB,SID,SID,SID,Exterior,SI,
VALE,CEDEAR,Fundamental,Materiales,XLB,VALE,VALE,VALE,Exterior,SI,
ARKK,ETF,Alternativo,Diversificado (ETF),SPY,ARKK,ARKK,ARKK,Exterior,SI,
EEM,ETF,Alternativo,Diversificado (ETF),SPY,EEM,EEM,EEM,Exterior,SI,
EWZ,ETF,Alternativo,Diversificado (ETF),SPY,EWZ,EWZ,EWZ,Exterior,SI,
