decision_id,asof,period_start,period_end,universe_rows,full_alpha_available,candidate_count,selected_count,gross_return_1m_reconstructed,turnover_reconstructed,transaction_cost_return_reconstructed,net_return_1m_reconstructed,net_return_1m_persisted,gross_return_1m_persisted,turnover_persisted,transaction_cost_return_persisted,replay_error,gross_replay_error,turnover_replay_error,cost_replay_error,weights_sum
1,2014-01-31,2014-01-31,2014-02-28,160,24,8,8,0.05483240251343864,0.5,5e-05,0.05478240251343864,0.0547824025134386,0.0548324025134386,0.5,5e-05,4.163336342344337e-17,4.163336342344337e-17,0.0,0.0,1.0
2,2014-02-28,2014-02-28,2014-03-31,160,25,8,8,-0.06947535556854235,0.5298261464950975,5.298261464950975e-05,-0.06952833818319186,-0.0695283381831918,-0.0694753555685423,0.5298261464950975,5.298261464950975e-05,-5.551115123125783e-17,-5.551115123125783e-17,0.0,0.0,1.0
3,2014-03-31,2014-03-31,2014-04-30,160,25,8,8,-0.0012699507987269203,0.6142733305489119,6.14273330548912e-05,-0.0013313781317818114,-0.0013313781121581,-0.0012699507793242,0.6142733283387348,6.142733283387349e-05,-1.9623711509930697e-11,-1.9402720315836453e-11,2.2101770413840427e-09,2.2101770283736166e-13,1.0
4,2014-04-30,2014-04-30,2014-05-30,160,25,8,8,0.05921050198245816,0.2009792083139164,2.009792083139164e-05,0.05919040406162677,0.0593186444226514,0.0593388169040065,0.2017248135512489,2.017248135512489e-05,-0.00012824036102462855,-0.00012831492154833507,-0.0007456052373324973,-7.456052373324947e-08,1.0
5,2014-05-30,2014-05-30,2014-06-30,161,25,8,8,0.04538236803634098,0.3390119111011443,3.3901191110114434e-05,0.04534846684523086,0.0458199074109379,0.0458536143292206,0.3370691828273962,3.370691828273962e-05,-0.0004714405657070403,-0.0004712462928796249,0.00194272827374814,1.942728273748127e-07,1.0
6,2014-06-30,2014-06-30,2014-07-31,162,25,8,8,0.0008153373455238267,0.12989470589229546,1.2989470589229547e-05,0.0008023478749345972,0.0002857337257545,0.0002986826146814,0.1294888892694008,1.2948888926940082e-05,0.0005166141491800972,0.0005166547308424268,0.0004058166228946558,4.0581662289464884e-08,1.0
7,2014-07-31,2014-07-31,2014-08-29,163,25,8,8,0.11057380245470141,0.1371734686667853,1.3717346866678529e-05,0.11056008510783473,0.1100804939944612,0.110094029890527,0.1353589606579777,1.3535896065797773e-05,0.0004795911133735342,0.0004797725641744188,0.001814508008807586,1.81450800880756e-07,1.0
8,2014-08-29,2014-08-29,2014-09-30,163,26,8,8,-0.08934977914535058,0.05862032059525922,5.862032059525922e-06,-0.08935564117741011,-0.0900764842224952,-0.0900707258959552,0.057583265399805,5.758326539980509e-06,0.0007208430450850872,0.0007209467506046202,0.0010370551954542173,1.0370551954541359e-07,1.0
9,2014-09-30,2014-09-30,2014-10-31,164,26,8,8,0.0049380396378744355,0.27911728355347815,2.7911728355347817e-05,0.004910127909519088,0.0048580566086552,0.0048866241944363,0.2856758578104101,2.8567585781041017e-05,5.207130086388751e-05,5.141544343813514e-05,-0.006558574256931959,-6.558574256931999e-07,1.0
10,2014-10-31,2014-10-31,2014-11-28,164,26,8,8,0.000525022834811823,0.2997816972950348,2.997816972950348e-05,0.0004950446650823194,0.0004979805883109,0.0005279945677636,0.3001397945264196,3.001397945264196e-05,-2.9359232285805243e-06,-2.9717329517770126e-06,-0.00035809723138480187,-3.5809723138480095e-08,1.0
11,2014-11-28,2014-11-28,2014-12-31,164,26,8,8,-0.009603714406608975,0.06991054711726225,6.9910547117262245e-06,-0.009610705461320701,-0.009968436860571,-0.0099612559887393,0.0718087183165877,7.180871831658775e-06,0.0003577313992502995,0.00035754158213032426,-0.001898171199325449,-1.8981711993255047e-07,1.0
12,2014-12-31,2014-12-31,2015-01-30,164,26,8,8,0.02403712610652116,0.16301472670056383,1.6301472670056383e-05,0.024020824633851103,0.0236858743917115,0.0237020560200675,0.161816283559912,1.6181628355991205e-05,0.00033495024213960403,0.00033507008645366,0.001198443140651817,1.198443140651789e-07,1.0
13,2015-01-30,2015-01-30,2015-02-27,164,26,8,8,0.0725761541980004,0.11764543888752997,1.1764543888752998e-05,0.07256438965411165,0.0724352389496441,0.072447148987145,0.1191003750087774,1.1910037500877743e-05,0.00012915070446754828,0.00012900521085540406,-0.0014549361212474327,-1.4549361212474576e-07,1.0
14,2015-02-27,2015-02-27,2015-03-31,164,26,8,8,-0.022804962349769357,0.05371110558805625,5.371110558805625e-06,-0.022810333460328163,-0.0227504210238967,-0.0227450019891492,0.0541903474743201,5.419034747432013e-06,-5.991243643146266e-05,-5.996036062015653e-05,-0.00047924188626384534,-4.7924188626387713e-08,1.0
15,2015-03-31,2015-03-31,2015-04-30,164,26,8,8,0.07188451892497735,0.0073098471418154495,7.30984714181545e-07,0.07188378794026318,0.0719577489412305,0.0719584888941326,0.0073995290209893,7.399529020989372e-07,-7.396100096732083e-05,-7.396996915524923e-05,-8.968187917385035e-05,-8.96818791739221e-09,1.0
16,2015-04-30,2015-04-30,2015-05-29,164,26,8,8,0.030944481966550294,0.27057987447303494,2.7057987447303495e-05,0.03091742397910299,0.0309525116039314,0.030979689361026,0.2717775709464333,2.717775709464333e-05,-3.508762482841085e-05,-3.520739447570448e-05,-0.0011976964733983464,-1.197696473398345e-07,1.0
17,2015-05-29,2015-05-29,2015-06-30,165,26,8,8,0.019610631971789128,0.20856030166702477,2.0856030166702478e-05,0.019589775941622426,0.0192606717765137,0.0192813499863124,0.2067820979875055,2.067820979875056e-05,0.0003291041651087255,0.0003292819854767287,0.0017782036795192802,1.778203679519169e-07,1.0
18,2015-06-30,2015-06-30,2015-07-31,165,26,8,8,0.023686787613860567,0.19390763232142838,1.939076323214284e-05,0.023667396850628426,0.0241570290863272,0.0241758920940121,0.1886300768486424,1.886300768486425e-05,-0.0004896322356987733,-0.0004891044801515337,0.005277555472785994,5.277555472785909e-07,1.0
