ticker,current_sources,current_action,current_alpha_score,current_risk_score,historically_seen,historical_closed_episodes,historical_first_entry,historical_last_observed_end,historical_total_months_held,historical_terminal_contribution_index,historical_share_of_terminal_gain,historical_contribution_rank,novelty_class
AMGN,root.details.coordinated_trade_plan.trades[0] | root.details.opportunity_book[11],,62.44033151559925,17.765567765567766,True,3,2025-03-31,2026-09-02,8.0,0.0236221305206871,1.4575560084100652e-05,60.0,HISTORICALLY_HELD
AMZN,root.details.coordinated_trade_plan.trades[1],HOLD,,,True,10,2019-02-28,2026-09-02,61.0,69.34406895006343,0.04278736173151365,9.0,HISTORICALLY_HELD
ANET,root.details.coordinated_trade_plan.trades[2] | root.details.discrete_execution_plan.trades[10],HOLD,,,True,8,2019-02-28,2026-08-31,64.0,-28.3237089015071,-0.01747657437321132,122.0,HISTORICALLY_HELD
AVGO,root.details.coordinated_trade_plan.implementation[0] | root.details.coordinated_trade_plan.trades[3] | root.details.discrete_execution_plan.trades[13],EXIT,,,True,7,2019-12-31,2026-06-30,58.0,26.289191488422144,0.016221216361765274,16.0,HISTORICALLY_HELD
BAC,root.details.coordinated_trade_plan.trades[4] | root.details.opportunity_book[8],,67.62906945924762,3.6630036630036633,True,8,2014-10-31,2026-09-02,14.0,13.93912820431053,0.00860085844009639,20.0,HISTORICALLY_HELD
CEPU,root.details.coordinated_trade_plan.trades[5] | root.details.discrete_execution_plan.trades[8] | root.details.opportunity_book[14],,75.17426374250209,68.13186813186812,False,0,,,0.0,,,,NEVER_HELD_IN_BACKTEST
COF,root.details.coordinated_trade_plan.trades[6] | root.details.opportunity_book[10],,62.77998650327737,29.304029304029307,False,0,,,0.0,,,,NEVER_HELD_IN_BACKTEST
COP,root.details.coordinated_trade_plan.trades[7] | root.details.discrete_execution_plan.trades[11],ADD,,,True,5,2019-02-28,2026-09-02,23.0,0.8797477151480265,0.0005428306168133621,46.0,HISTORICALLY_HELD
CRM,root.details.coordinated_trade_plan.trades[8],HOLD,,,True,4,2020-06-30,2026-09-02,5.0,-1.0219993433764286e-05,-6.306041202443268e-09,96.0,HISTORICALLY_HELD
CRWD,root.details.coordinated_trade_plan.trades[9],HOLD,,,False,0,,,0.0,,,,NEVER_HELD_IN_BACKTEST
FDX,root.details.coordinated_trade_plan.trades[10] | root.details.opportunity_book[17],,62.11580864730132,34.61538461538462,True,10,2020-02-28,2026-08-31,35.0,0.4888880587568817,0.00030165853450728414,47.0,HISTORICALLY_HELD
GOOGL,root.details.coordinated_trade_plan.implementation[1] | root.details.coordinated_trade_plan.trades[11] | root.details.discrete_execution_plan.trades[14],EXIT,,,False,0,,,0.0,,,,NEVER_HELD_IN_BACKTEST
JD,root.details.coordinated_trade_plan.trades[12] | root.details.discrete_execution_plan.trades[7] | root.details.opportunity_book[6],,72.18613070767566,54.02930402930403,False,0,,,0.0,,,,NEVER_HELD_IN_BACKTEST
MA,root.details.coordinated_trade_plan.trades[13] | root.details.discrete_execution_plan.trades[3] | root.details.opportunity_book[2],,79.64968673693234,12.454212454212454,True,5,2020-02-28,2026-09-02,58.0,2.247106659039817,0.0013865319258791753,40.0,HISTORICALLY_HELD
MELI,root.details.coordinated_trade_plan.trades[14],ADD,,,True,6,2020-05-29,2026-09-02,29.0,0.11613177368843164,7.16567730242005e-05,54.0,HISTORICALLY_HELD
MPC,root.details.coordinated_trade_plan.trades[15],ADD,,,True,5,2020-02-28,2026-09-02,46.0,50.220658038223455,0.03098764601517013,11.0,HISTORICALLY_HELD
MSFT,root.details.coordinated_trade_plan.trades[16],HOLD,,,True,0,2026-09-02,2026-09-02,1.0,0.0,0.0,72.0,HISTORICALLY_HELD
MU,root.details.coordinated_trade_plan.trades[17],ADD,,,True,3,2021-11-30,2026-09-02,22.0,-0.008534362670564092,-5.265956674626586e-06,99.0,HISTORICALLY_HELD
