asof,year,factor,observations,rank_ic,rolling_12m_rank_ic
2014-01-31,2014,FULL_ALPHA,24,-0.005218525889835708,
2014-02-28,2014,FULL_ALPHA,25,0.19846153846153847,
2014-03-31,2014,FULL_ALPHA,25,0.046153846153846156,
2014-04-30,2014,FULL_ALPHA,25,0.23923076923076922,
2014-05-30,2014,FULL_ALPHA,25,0.06,
2014-06-30,2014,FULL_ALPHA,25,-0.06846153846153846,0.07836101491579661
2014-07-31,2014,FULL_ALPHA,25,0.2907692307692308,0.10870504575200149
2014-08-29,2014,FULL_ALPHA,26,-0.27658119658119656,0.060544265460351736
2014-09-30,2014,FULL_ALPHA,26,0.15965811965811963,0.0715569159267704
2014-10-31,2014,FULL_ALPHA,26,0.035897435897435895,0.06799096792383694
2014-11-28,2014,FULL_ALPHA,26,0.039999999999999994,0.06544633447621541
2014-12-31,2014,FULL_ALPHA,26,0.14393162393162393,0.07198677526416611
2015-01-30,2015,FULL_ALPHA,26,-0.1029059829059829,0.06384615384615384
2015-02-27,2015,FULL_ALPHA,26,0.2957264957264957,0.07195156695156694
2015-03-31,2015,FULL_ALPHA,26,-0.04068376068376068,0.06471509971509971
2015-04-30,2015,FULL_ALPHA,26,-0.0947008547008547,0.03688746438746438
2015-05-29,2015,FULL_ALPHA,26,0.2841025641025641,0.05556267806267806
2015-06-30,2015,FULL_ALPHA,26,0.2458119658119658,0.08175213675213676
2015-07-31,2015,FULL_ALPHA,26,0.09675213675213674,0.06558404558404558
2015-08-31,2015,FULL_ALPHA,26,-0.09675213675213674,0.08056980056980056
2015-09-30,2015,FULL_ALPHA,26,0.228034188034188,0.08626780626780627
2015-10-30,2015,FULL_ALPHA,26,-0.20410256410256405,0.06626780626780626
2015-11-30,2015,FULL_ALPHA,26,-0.3285470085470085,0.035555555555555556
2015-12-31,2015,FULL_ALPHA,26,0.1275213675213675,0.03418803418803419
2016-01-29,2016,FULL_ALPHA,26,0.09333333333333332,0.05054131054131054
2016-02-29,2016,FULL_ALPHA,26,0.254017094017094,0.04706552706552707
2016-03-31,2016,FULL_ALPHA,26,-0.2717948717948718,0.027806267806267812
2016-04-29,2016,FULL_ALPHA,26,-0.0776068376068376,0.029230769230769237
2016-05-31,2016,FULL_ALPHA,27,0.053113553113553105,0.009981684981684986
2016-06-30,2016,FULL_ALPHA,27,0.14652014652014653,0.0017073667073667133
2016-07-29,2016,FULL_ALPHA,27,-0.22039072039072038,-0.024721204721204714
2016-08-31,2016,FULL_ALPHA,27,0.21123321123321123,0.0009442409442409506
2016-09-30,2016,FULL_ALPHA,27,0.30830280830280826,0.007633292633292638
2016-10-31,2016,FULL_ALPHA,27,0.13125763125763126,0.03557997557997558
2016-11-30,2016,FULL_ALPHA,27,-0.15079365079365079,0.050392755392755395
2016-12-30,2016,FULL_ALPHA,27,0.03174603174603174,0.04241147741147741
2017-01-31,2017,FULL_ALPHA,27,-0.15445665445665446,0.021762311762311762
2017-02-28,2017,FULL_ALPHA,27,-0.16178266178266176,-0.012887667887667884
2017-03-31,2017,FULL_ALPHA,27,0.1221001221001221,0.019936914936914938
2017-04-28,2017,FULL_ALPHA,27,0.09401709401709402,0.034238909238909244
2017-05-31,2017,FULL_ALPHA,27,-0.2753357753357753,0.006868131868131876
2017-06-30,2017,FULL_ALPHA,27,0.38461538461538464,0.026709401709401715
2017-07-31,2017,FULL_ALPHA,27,0.3876678876678876,0.07738095238095238
2017-08-31,2017,FULL_ALPHA,27,-0.13614163614163613,0.04843304843304844
2017-09-29,2017,FULL_ALPHA,27,0.29120879120879123,0.047008547008547015
2017-10-31,2017,FULL_ALPHA,27,-0.21855921855921853,0.01785714285714287
2017-11-30,2017,FULL_ALPHA,27,0.14224664224664224,0.042277167277167294
2017-12-29,2017,FULL_ALPHA,27,0.5708180708180709,0.08719983719983722
2018-01-31,2018,FULL_ALPHA,27,0.4438339438339438,0.13705738705738704
2018-02-28,2018,FULL_ALPHA,28,-0.05692391899288451,0.14579561562320184
2018-03-29,2018,FULL_ALPHA,28,0.24466338259441706,0.15600922066439307
2018-04-30,2018,FULL_ALPHA,28,0.09250136836343732,0.15588291019325504
2018-05-31,2018,FULL_ALPHA,28,0.11986863711001641,0.1888166112304043
2018-06-29,2018,FULL_ALPHA,28,-0.2233169129720854,0.1381555864314485
2018-07-31,2018,FULL_ALPHA,28,0.08374384236453201,0.11282858265616885
2018-08-31,2018,FULL_ALPHA,28,0.0963327859879584,0.13220145116696844
2018-09-28,2018,FULL_ALPHA,28,-0.004378762999452655,0.1075691549829481
2018-10-31,2018,FULL_ALPHA,30,-0.08387096774193549,0.11879317588438833
2018-11-30,2018,FULL_ALPHA,31,0.1866935483870968,0.12249708472942622
2018-12-31,2018,FULL_ALPHA,31,-0.3536290322580646,0.04545982613974827
2019-01-31,2019,FULL_ALPHA,33,0.4024064171122995,0.04200753224627791
2019-02-28,2019,FULL_ALPHA,80,-0.08370839193624005,0.03977549283433162
2019-03-29,2019,FULL_ALPHA,88,-0.15522524743756827,0.006451440331666172
2019-04-30,2019,FULL_ALPHA,91,-0.2369326325848065,-0.02100139308068748
2019-05-31,2019,FULL_ALPHA,92,0.029437716496513756,-0.0285373031318127
2019-06-28,2019,FULL_ALPHA,95,0.12351623740201569,0.0003654593993623866
2019-07-31,2019,FULL_ALPHA,97,-0.0276272880286135,-0.00891546813339974
2019-08-30,2019,FULL_ALPHA,100,-0.04451245124512451,-0.020652571236156648
2019-09-30,2019,FULL_ALPHA,102,-0.07901001407964896,-0.026871842159506342
2019-10-31,2019,FULL_ALPHA,104,-0.0881574735943668,-0.02722905098054228
2019-11-29,2019,FULL_ALPHA,107,0.12685397441172439,-0.03221568214515665
2019-12-31,2019,FULL_ALPHA,109,-0.2575294226670374,-0.024207381345904385
2020-01-31,2020,FULL_ALPHA,110,0.05418479363433492,-0.053225849969068095
2020-02-28,2020,FULL_ALPHA,127,0.26096737907761525,-0.024502869051246823
2020-03-31,2020,FULL_ALPHA,128,-0.13554065189525727,-0.02286248608938758
2020-04-30,2020,FULL_ALPHA,128,0.3730143288774949,0.027966427365804212
2020-05-29,2020,FULL_ALPHA,129,0.11996869409660109,0.03551067549914482
2020-06-30,2020,FULL_ALPHA,130,0.2799683185623182,0.04854834892917004
2020-07-31,2020,FULL_ALPHA,130,0.12885332313700856,0.061588399859638536
2020-08-31,2020,FULL_ALPHA,130,-0.02178645072307419,0.06348223323647607
2020-09-30,2020,FULL_ALPHA,131,0.0792398441253403,0.07666972142022517
2020-10-30,2020,FULL_ALPHA,131,0.06565419313510917,0.08948736031434817
2020-11-30,2020,FULL_ALPHA,131,0.2177334116265414,0.09706064674891625
2020-12-31,2020,FULL_ALPHA,132,-0.048953055783108004,0.11444201065591036
2021-01-29,2021,FULL_ALPHA,132,0.20484965647523137,0.12699741589265176
2021-02-26,2021,FULL_ALPHA,132,-0.01744298289095396,0.10379655239527097
2021-03-31,2021,FULL_ALPHA,132,-0.12460018888303337,0.10470825764628962
2021-04-30,2021,FULL_ALPHA,132,0.2538598404407966,0.09477871694323144
2021-05-28,2021,FULL_ALPHA,132,-0.06830052229811168,0.07908961557700538
2021-06-30,2021,FULL_ALPHA,132,-0.028008953681914712,0.05342484288998597
2021-07-30,2021,FULL_ALPHA,132,0.17305233938419953,0.05710809424391854
2021-08-31,2021,FULL_ALPHA,132,-0.1657892127960428,0.04510786407117116
2021-09-30,2021,FULL_ALPHA,133,0.1103845094418543,0.04770325284754732
2021-10-29,2021,FULL_ALPHA,133,0.26533089848093777,0.06434297829303305
2021-11-30,2021,FULL_ALPHA,134,-0.06037232384443696,0.041167500337118176
2021-12-31,2021,FULL_ALPHA,134,-0.4016234616391726,0.011778299849112791
2022-01-31,2022,FULL_ALPHA,134,0.10806867916058804,0.003713218406225849
2022-02-28,2022,FULL_ALPHA,136,0.26659987596011636,0.027383456643815043
2022-03-31,2022,FULL_ALPHA,137,0.0795545765116583,0.044396353760039343
2022-04-29,2022,FULL_ALPHA,137,0.03927791364086097,0.02651452652671138
2022-05-31,2022,FULL_ALPHA,137,-0.20272742546717196,0.015312284595956354
2022-06-30,2022,FULL_ALPHA,137,-0.19253458285884964,0.001601815497878444
2022-07-29,2022,FULL_ALPHA,137,0.11627494539548602,-0.003129634001181015
2022-08-31,2022,FULL_ALPHA,137,0.09917953217465976,0.01895109474637753
2022-09-30,2022,FULL_ALPHA,137,0.05768476860753822,0.014559449676851193
2022-10-31,2022,FULL_ALPHA,137,-0.09116620307278733,-0.015148642119292566
2022-11-30,2022,FULL_ALPHA,137,-0.08270016988071012,-0.01700929595564866
2022-12-30,2022,FULL_ALPHA,137,-0.08982675901207833,0.008973762596609196
2023-01-31,2023,FULL_ALPHA,137,-0.05473052439001624,-0.004592837699274494
2023-02-28,2023,FULL_ALPHA,137,-0.1489443127298523,-0.03922152009010522
2023-03-31,2023,FULL_ALPHA,137,-0.3039371254690387,-0.07117916192182996
2023-04-28,2023,FULL_ALPHA,137,0.2007345940597756,-0.05772443855358708
2023-05-31,2023,FULL_ALPHA,137,0.11508017996154349,-0.03124047143452746
2023-06-30,2023,FULL_ALPHA,137,0.17440775104075268,-0.0006619436095606016
2023-07-31,2023,FULL_ALPHA,137,0.03891855060018294,-0.007108309842502525
2023-08-31,2023,FULL_ALPHA,137,0.020885059831612745,-0.013632849204423111
2023-09-29,2023,FULL_ALPHA,137,-0.05025482106520805,-0.0226278150104853
2023-10-31,2023,FULL_ALPHA,137,-0.11401142494446206,-0.024531583499791527
2023-11-30,2023,FULL_ALPHA,137,-0.16069128381279515,-0.031030842994131946
2023-12-29,2023,FULL_ALPHA,137,0.20936864114100098,-0.006097892981375333
2024-01-31,2024,FULL_ALPHA,138,0.18803896901520356,0.014132898135726315
2024-02-29,2024,FULL_ALPHA,139,0.1325885875150811,0.03759397315613743
2024-03-28,2024,FULL_ALPHA,139,-0.08941418293936279,0.055470885033610424
2024-04-30,2024,FULL_ALPHA,139,-0.05222753474239242,0.034390707633429766
2024-05-31,2024,FULL_ALPHA,140,0.01579235092169426,0.02611672188010899
2024-06-28,2024,FULL_ALPHA,140,-0.11842732500929348,0.001713798875938477
2024-07-31,2024,FULL_ALPHA,140,0.10096870831602196,0.006884645352258395
2024-08-30,2024,FULL_ALPHA,140,0.08743541019331699,0.012430507882400415
2024-09-30,2024,FULL_ALPHA,140,0.13179681179068903,0.027601477287058505
2024-10-31,2024,FULL_ALPHA,140,0.44432490468735386,0.07412950475637649
2024-11-29,2024,FULL_ALPHA,140,0.05928582362073867,0.09246093037583765
2024-12-31,2024,FULL_ALPHA,140,0.00471890997116864,0.07540678611168496
2025-01-31,2025,FULL_ALPHA,141,-0.14064814418425445,0.04801619334506346
2025-02-28,2025,FULL_ALPHA,142,0.23206011848505106,0.05630548759256095
2025-03-31,2025,FULL_ALPHA,142,0.026909560322805753,0.06599913286440832
2025-04-30,2025,FULL_ALPHA,142,-0.10285399347431114,0.06178026130341511
2025-05-30,2025,FULL_ALPHA,142,-0.14302239564451133,0.04854569908956464
2025-06-30,2025,FULL_ALPHA,142,0.055145633509433335,0.06301011229945853
2025-07-31,2025,FULL_ALPHA,142,-0.1246272456940722,0.044210449465284025
2025-08-29,2025,FULL_ALPHA,142,0.17075133437135234,0.05115344314678697
2025-09-30,2025,FULL_ALPHA,142,0.1637688053630517,0.053817775944483864
2025-10-31,2025,FULL_ALPHA,142,-0.1302350631089019,0.005937778628129216
2025-11-28,2025,FULL_ALPHA,142,0.05390504012020345,0.005489380003084614
2025-12-31,2025,FULL_ALPHA,142,0.05304584537428409,0.009516624620010902
2026-01-30,2026,FULL_ALPHA,142,0.24676701781886082,0.04180122145360384
2026-02-27,2026,FULL_ALPHA,142,0.013795314664358717,0.023612487801879477
2026-03-31,2026,FULL_ALPHA,142,0.0528823888128653,0.025776890176051104
2026-04-30,2026,FULL_ALPHA,142,-0.06084565718967876,0.02927758486643714
2026-05-29,2026,FULL_ALPHA,142,-0.04899715208375682,0.037113021829833344
2026-06-30,2026,FULL_ALPHA,142,-0.16224740198369209,0.018996935538739556
2026-07-31,2026,FULL_ALPHA,142,-0.03730372115148861,0.026273895917288192
2026-08-31,2026,FULL_ALPHA,142,0.16452322026190772,0.025754886408167806
2026-09-02,2026,FULL_ALPHA,142,0.34160954418670936,0.04057494797680594
2014-01-31,2014,REVENUE_GROWTH,24,-0.015652173913043476,
2014-02-28,2014,REVENUE_GROWTH,25,0.2276923076923077,
2014-03-31,2014,REVENUE_GROWTH,25,0.020769230769230772,
2014-04-30,2014,REVENUE_GROWTH,25,0.30923076923076925,
2014-05-30,2014,REVENUE_GROWTH,25,0.059230769230769226,
2014-06-30,2014,REVENUE_GROWTH,25,0.057692307692307696,0.10982720178372353
2014-07-31,2014,REVENUE_GROWTH,25,0.36692307692307696,0.14655518394648828
2014-08-29,2014,REVENUE_GROWTH,26,-0.07487179487179485,0.11887681159420291
2014-09-30,2014,REVENUE_GROWTH,26,-0.04068376068376068,0.10114785911887363
