ticker,episode,entry_date,entry_period_start,last_rebalance_date,last_period_start,exit_or_last_period_end,days_held_observed,days_held,months_held,average_weight,max_weight,min_weight,asset_compound_return_during_episode,gross_arithmetic_portfolio_contribution,winner,status,censoring_note
CAT,1,2014-01-31,2014-01-31,2014-01-31,2014-01-31,2014-02-28,28,28,1,0.507863682604273,0.507863682604273,0.507863682604273,0.032584362040956716,0.01654841410143116,True,CLOSED,
EOG,1,2014-01-31,2014-01-31,2014-08-29,2014-08-29,2014-09-30,242,242,8,0.04547687474282046,0.06223730052869826,0.0,0.19849907227415153,0.0015612757989176681,True,CLOSED,
MRK,1,2014-01-31,2014-01-31,2014-01-31,2014-01-31,2014-02-28,28,28,1,0.0,0.0,0.0,0.07589206400288373,0.0,True,CLOSED,
NFLX,1,2014-01-31,2014-01-31,2018-10-31,2018-10-31,2018-11-30,1764,1764,58,0.21378572990057515,0.6181248721068532,0.03730478910133815,3.893143046559042,0.33369562296467953,True,CLOSED,
PBR,1,2014-01-31,2014-01-31,2018-04-30,2018-04-30,2018-05-31,1581,1581,52,0.15234075251807702,0.34684042775358875,0.0,0.057983908681388474,0.10585985421646815,True,CLOSED,
QCOM,1,2014-01-31,2014-01-31,2014-03-31,2014-03-31,2014-04-30,89,89,3,0.022916545819512118,0.06874963745853635,0.0,0.060495793450850543,-0.00013077035813576448,True,CLOSED,
UNH,1,2014-01-31,2014-01-31,2015-09-30,2015-09-30,2015-10-30,637,637,21,0.1894582485193666,0.26831308507837176,0.0,0.6294964135089687,0.09690289554602136,True,CLOSED,
VZ,1,2014-01-31,2014-01-31,2014-02-28,2014-02-28,2014-03-31,59,59,2,0.043917038654791136,0.05469311631061371,0.033140960998968565,-0.009371111175545566,-0.0005081099880076073,False,CLOSED,
DE,1,2014-02-28,2014-02-28,2014-04-30,2014-04-30,2014-05-30,91,91,3,0.15380618704309215,0.2512063578860413,0.0,0.060979842257185446,0.002140038678557353,True,CLOSED,
TJX,1,2014-02-28,2014-02-28,2014-03-31,2014-03-31,2014-04-30,61,61,2,0.04582567610530981,0.08975761307002998,0.0018937391405896376,-0.053368025189664214,-0.0036803811430256334,False,CLOSED,
MRK,2,2014-03-31,2014-03-31,2014-04-30,2014-04-30,2014-05-30,60,60,2,0.0800540242992645,0.08005402430284043,0.08005402429568859,0.019200298585241304,0.0015672340877757596,True,CLOSED,
CAT,2,2014-04-30,2014-04-30,2014-04-30,2014-04-30,2014-05-30,30,30,1,0.04874567972639116,0.04874567972639116,0.04874567972639116,-0.030075883520428448,-0.001466069385575051,False,CLOSED,
MAR,1,2014-04-30,2014-04-30,2015-04-30,2015-04-30,2015-05-29,394,394,13,0.1386464189311159,0.1666627658120171,0.10517545100510489,0.346279949126834,0.03710247798417123,True,CLOSED,
CHTR,1,2014-05-30,2014-05-30,2014-06-30,2014-06-30,2014-07-31,62,62,2,0.08119908539236141,0.08119908549170765,0.08119908529301517,0.0795026193330799,0.006666238864616241,True,CLOSED,
QCOM,2,2014-05-30,2014-05-30,2014-05-30,2014-05-30,2014-06-30,31,31,1,0.06956413471825047,0.06956413471825047,0.06956413471825047,-0.015537601583803573,-0.0010808598097742136,False,CLOSED,
SBUX,1,2014-05-30,2014-05-30,2014-09-30,2014-09-30,2014-10-31,154,154,5,0.058084258681634984,0.05996340472835624,0.05683152195515804,0.03167667616729797,0.0017963950546111206,True,CLOSED,
MRK,3,2014-06-30,2014-06-30,2014-06-30,2014-06-30,2014-07-31,31,31,1,0.026120824813853118,0.026120824813853118,0.026120824813853118,-0.01918758706105106,-0.0005011956002222695,False,CLOSED,
TJX,2,2014-07-31,2014-07-31,2015-03-31,2015-03-31,2015-04-30,273,273,9,0.14986712352469167,0.20143947694576583,0.046972814041480314,0.2111090224568195,0.013674926384884257,True,CLOSED,
VZ,2,2014-07-31,2014-07-31,2014-07-31,2014-07-31,2014-08-29,29,29,1,0.05862012942433159,0.05862012942433159,0.05862012942433159,-0.01190000983559425,-0.0006975801167133538,False,CLOSED,
CHTR,2,2014-08-29,2014-08-29,2014-08-29,2014-08-29,2014-09-30,32,32,1,0.050062570156467284,0.050062570156467284,0.050062570156467284,-0.03506087952569448,-0.0017552377410025271,False,CLOSED,
C,1,2014-09-30,2014-09-30,2014-11-28,2014-11-28,2014-12-31,92,92,3,0.06490612350985055,0.06638679458166613,0.06194480915547875,0.044191449807284844,0.002761996402200913,True,CLOSED,
DE,2,2014-09-30,2014-09-30,2014-09-30,2014-09-30,2014-10-31,31,31,1,0.13649309129052178,0.13649309129052178,0.13649309129052178,0.04329800151545693,0.005909878073546413,True,CLOSED,
