decision_id,strategy,asof,period_start,period_end,ticker,weight,full_alpha_score,revenue_growth_score,sales_yield_score,trend_score,rank,alpha_percentile,risk_score_proxy,risk_score_status,price_at_rebalance,fwd_return_1m
1,FINAL_OPTIMIZER,2014-01-31,2014-01-31,2014-02-28,CAT,0.507863682604273,0.8166666666666668,0.7083333333333334,0.7916666666666666,0.95,1.0,1.0,,RECONSTRUCTED_V10_STANDALONE_PRICE_RISK_PROXY,93.91000366210938,0.032584362040956716
1,FINAL_OPTIMIZER,2014-01-31,2014-01-31,2014-02-28,EOG,0.0,0.6784722222222223,0.875,0.4166666666666667,0.74375,5.0,0.8333333333333334,,RECONSTRUCTED_V10_STANDALONE_PRICE_RISK_PROXY,82.62000274658203,0.14633255792757516
1,FINAL_OPTIMIZER,2014-01-31,2014-01-31,2014-02-28,MRK,0.0,0.6298611111111111,1.0,0.20833333333333334,0.68125,8.0,0.7083333333333334,,RECONSTRUCTED_V10_STANDALONE_PRICE_RISK_PROXY,50.54389190673828,0.07589206400288373
1,FINAL_OPTIMIZER,2014-01-31,2014-01-31,2014-02-28,NFLX,0.43703289250593397,0.8069444444444445,0.8333333333333334,1.0,0.5875,2.0,0.9583333333333334,,RECONSTRUCTED_V10_STANDALONE_PRICE_RISK_PROXY,5.847570896148682,0.0886816662310832
1,FINAL_OPTIMIZER,2014-01-31,2014-01-31,2014-02-28,PBR,0.0,0.6680555555555556,0.9583333333333334,0.9583333333333334,0.0875,6.0,0.7916666666666666,,RECONSTRUCTED_V10_STANDALONE_PRICE_RISK_PROXY,11.210000038146973,-0.000892081074737372
1,FINAL_OPTIMIZER,2014-01-31,2014-01-31,2014-02-28,QCOM,0.0,0.6368055555555555,0.9166666666666666,0.125,0.86875,7.0,0.75,,RECONSTRUCTED_V10_STANDALONE_PRICE_RISK_PROXY,74.22000122070312,0.014416594950496409
1,FINAL_OPTIMIZER,2014-01-31,2014-01-31,2014-02-28,UNH,0.00041030857917936735,0.686111111111111,0.6666666666666666,0.9166666666666666,0.475,4.0,0.875,,RECONSTRUCTED_V10_STANDALONE_PRICE_RISK_PROXY,72.27999877929688,0.06903704964088653
1,FINAL_OPTIMIZER,2014-01-31,2014-01-31,2014-02-28,VZ,0.05469311631061371,0.7263888888888889,0.5833333333333334,0.7083333333333334,0.8875,3.0,0.9166666666666666,,RECONSTRUCTED_V10_STANDALONE_PRICE_RISK_PROXY,48.02000045776367,-0.009162820127333937
2,FINAL_OPTIMIZER,2014-02-28,2014-02-28,2014-03-31,DE,0.0,0.6520833333333332,0.52,0.88,0.55625,5.0,0.84,,RECONSTRUCTED_V10_STANDALONE_PRICE_RISK_PROXY,85.93000030517578,0.05667406876860781
2,FINAL_OPTIMIZER,2014-02-28,2014-02-28,2014-03-31,EOG,0.0,0.5520833333333334,0.88,0.52,0.25625,8.0,0.72,,RECONSTRUCTED_V10_STANDALONE_PRICE_RISK_PROXY,94.70999908447266,0.03563509695517797
2,FINAL_OPTIMIZER,2014-02-28,2014-02-28,2014-03-31,NFLX,0.6181248721068532,0.8904166666666665,0.84,1.0,0.83125,1.0,1.0,,RECONSTRUCTED_V10_STANDALONE_PRICE_RISK_PROXY,6.366143226623535,-0.21003979545749052
2,FINAL_OPTIMIZER,2014-02-28,2014-02-28,2014-03-31,PBR,0.34684042775358875,0.8337499999999999,0.96,0.96,0.58125,2.0,0.96,,RECONSTRUCTED_V10_STANDALONE_PRICE_RISK_PROXY,11.199999809265137,0.17410712879227108
2,FINAL_OPTIMIZER,2014-02-28,2014-02-28,2014-03-31,QCOM,0.0,0.6091666666666667,0.92,0.12,0.7875,7.0,0.76,,RECONSTRUCTED_V10_STANDALONE_PRICE_RISK_PROXY,75.29000091552734,0.0474166509684284
2,FINAL_OPTIMIZER,2014-02-28,2014-02-28,2014-03-31,TJX,0.0018937391405896376,0.6770833333333334,0.76,0.84,0.43125,4.0,0.88,,RECONSTRUCTED_V10_STANDALONE_PRICE_RISK_PROXY,30.729999542236328,-0.013179264084928866
2,FINAL_OPTIMIZER,2014-02-28,2014-02-28,2014-03-31,UNH,0.0,0.6375000000000001,0.68,0.92,0.3125,6.0,0.8,,RECONSTRUCTED_V10_STANDALONE_PRICE_RISK_PROXY,77.2699966430664,0.06108452731667957
2,FINAL_OPTIMIZER,2014-02-28,2014-02-28,2014-03-31,VZ,0.033140960998968565,0.716875,0.48,0.68,0.990625,3.0,0.92,,RECONSTRUCTED_V10_STANDALONE_PRICE_RISK_PROXY,47.58000183105469,-0.00021021723088587851
3,FINAL_OPTIMIZER,2014-03-31,2014-03-31,2014-04-30,DE,0.2512063578860413,0.7566666666666665,0.48,0.84,0.95,1.0,1.0,0.2916666666666667,RECONSTRUCTED_V10_STANDALONE_PRICE_RISK_PROXY,90.80000305175781,0.027973493400489824
3,FINAL_OPTIMIZER,2014-03-31,2014-03-31,2014-04-30,EOG,0.052629032961860375,0.6145833333333334,0.88,0.52,0.44375,8.0,0.72,0.4583333333333333,RECONSTRUCTED_V10_STANDALONE_PRICE_RISK_PROXY,98.08499908447266,-0.0008665859740637494
3,FINAL_OPTIMIZER,2014-03-31,2014-03-31,2014-04-30,MRK,0.08005402430284043,0.6791666666666667,1.0,0.2,0.8375,4.0,0.88,0.375,RECONSTRUCTED_V10_STANDALONE_PRICE_RISK_PROXY,54.16984558105469,0.03153081272930858
3,FINAL_OPTIMIZER,2014-03-31,2014-03-31,2014-04-30,NFLX,0.15666850270322602,0.6185416666666667,0.84,1.0,0.015625,6.0,0.8,1.0,RECONSTRUCTED_V10_STANDALONE_PRICE_RISK_PROXY,5.0289998054504395,-0.08519162188831508
3,FINAL_OPTIMIZER,2014-03-31,2014-03-31,2014-04-30,PBR,0.22716442760727257,0.7358333333333333,0.96,0.96,0.2875,2.0,0.96,0.875,RECONSTRUCTED_V10_STANDALONE_PRICE_RISK_PROXY,13.149999618530273,0.05551334730701951
3,FINAL_OPTIMIZER,2014-03-31,2014-03-31,2014-04-30,QCOM,0.06874963745853635,0.6175,0.92,0.12,0.8125,7.0,0.76,0.3333333333333333,RECONSTRUCTED_V10_STANDALONE_PRICE_RISK_PROXY,78.86000061035156,-0.0019021243306865943
3,FINAL_OPTIMIZER,2014-03-31,2014-03-31,2014-04-30,TJX,0.08975761307002998,0.6779166666666666,0.76,0.88,0.39375,5.0,0.84,0.5416666666666666,RECONSTRUCTED_V10_STANDALONE_PRICE_RISK_PROXY,30.325000762939453,-0.04072549313373375
3,FINAL_OPTIMIZER,2014-03-31,2014-03-31,2014-04-30,UNH,0.073770404010193,0.6833333333333335,0.68,0.92,0.45,3.0,0.92,0.625,RECONSTRUCTED_V10_STANDALONE_PRICE_RISK_PROXY,81.98999786376953,-0.08476639991856028
