decision_id,asof,period_start,period_end,positions,top1,top3,top5,hhi,effective_n,largest_weight
1,2014-01-31,2014-01-31,2014-02-28,4,0.507863682604273,0.9995896914208207,1.0,0.4519147745653735,2.2128066093031467,0.507863682604273
2,2014-02-28,2014-02-28,2014-03-31,4,0.6181248721068532,0.9981062608594105,1.0,0.5034785493852738,1.9861819360943143,0.6181248721068532
3,2014-03-31,2014-03-31,2014-04-30,8,0.2512063578860413,0.6350392881965399,0.8048509255694103,0.16665680733189722,6.0003549570495425,0.2512063578860413
4,2014-04-30,2014-04-30,2014-05-30,8,0.2646146795432077,0.6300175833093017,0.8152470589998815,0.16745641511278608,5.971703140345355,0.2646146795432077
5,2014-05-30,2014-05-30,2014-06-30,8,0.26461472307963896,0.6249925507672908,0.8113670872600118,0.1658044964431319,6.031199523849963,0.26461472307963896
6,2014-06-30,2014-06-30,2014-07-31,8,0.2589645709083048,0.6684358567142575,0.8548103932110701,0.1763371864578203,5.670953586634429,0.2589645709083048
7,2014-07-31,2014-07-31,2014-08-29,8,0.23586458003385855,0.6701626953427486,0.8375755345777314,0.17403366639206186,5.746014669065276,0.23586458003385855
8,2014-08-29,2014-08-29,2014-09-30,8,0.24129047305519616,0.675588397873522,0.8430012439095717,0.17605829729210454,5.679936790146645,0.24129047305519616
9,2014-09-30,2014-09-30,2014-10-31,8,0.2527671830138473,0.6004718996998204,0.831118920087481,0.1640066137212787,6.097315085716309,0.2527671830138473
10,2014-10-31,2014-10-31,2014-11-28,8,0.26114353998236267,0.6001066826252417,0.8024920134146976,0.163071685290557,6.132272431098173,0.26114353998236267
11,2014-11-28,2014-11-28,2014-12-31,8,0.26114949250740765,0.6292517352651906,0.8316370467417604,0.16883780195670772,5.922844223335799,0.26114949250740765
12,2014-12-31,2014-12-31,2015-01-30,8,0.26831308507837176,0.636415316806173,0.8622019766826474,0.17288872551066298,5.784067162542214,0.26831308507837176
13,2015-01-30,2015-01-30,2015-02-27,8,0.2516790803407945,0.6652022378119675,0.927470239830307,0.1879547197764561,5.320430373812107,0.2516790803407945
14,2015-02-27,2015-02-27,2015-03-31,7,0.2337111342736279,0.6647699779222762,0.9270379739650765,0.18750256611606414,5.333260342586457,0.2337111342736279
15,2015-03-31,2015-03-31,2015-04-30,7,0.23532574134343137,0.6591438703276147,0.9214118478257326,0.18542649234434758,5.392972640300734,0.23532574134343137
16,2015-04-30,2015-04-30,2015-05-29,8,0.2508868839776802,0.625605532534464,0.8269544479404162,0.16608368823383793,6.021060891856204,0.2508868839776802
17,2015-05-29,2015-05-29,2015-06-30,8,0.26196898883583125,0.5854969003767152,0.7707838971424295,0.1601698732600666,6.243371363454273,0.26196898883583125
18,2015-06-30,2015-06-30,2015-07-31,8,0.2513468164748057,0.6647841042393485,0.8486348397813508,0.17398596555719087,5.747590024272908,0.2513468164748057
19,2015-07-31,2015-07-31,2015-08-31,8,0.2525807258332318,0.6014510446017565,0.8054507649094469,0.1619862559032998,6.1733632549477875,0.2525807258332318
20,2015-08-31,2015-08-31,2015-09-30,8,0.25258071957330536,0.6646072225399609,0.8686069020534888,0.17686834520056358,5.653922972287828,0.25258071957330536
21,2015-09-30,2015-09-30,2015-10-30,8,0.25258071959138106,0.6633268720240615,0.8578638891022452,0.17487932242070958,5.71822892585486,0.25258071959138106
22,2015-10-30,2015-10-30,2015-11-30,8,0.2622922483171306,0.5745034172384046,0.7718744461958824,0.16082647605651149,6.217881685404947,0.2622922483171306
23,2015-11-30,2015-11-30,2015-12-31,8,0.2674178783119983,0.5707522138926246,0.7658715001810059,0.1621764351664056,6.166123943801838,0.2674178783119983
24,2015-12-31,2015-12-31,2016-01-29,8,0.267417871887726,0.6007089453813417,0.794632100223889,0.16344272512888514,6.118351240236819,0.267417871887726
25,2016-01-29,2016-01-29,2016-02-29,8,0.24465732440755897,0.6612191223567047,0.8547549445444346,0.1747838358279824,5.721352865743108,0.24465732440755897
26,2016-02-29,2016-02-29,2016-03-31,8,0.24963981700422974,0.6820507066343822,0.8625597588436734,0.1801779438551107,5.550068885257929,0.24963981700422974
27,2016-03-31,2016-03-31,2016-04-29,6,0.2536953313095278,0.6658760403232432,0.9650205959281729,0.20057143742440237,4.985754765689961,0.2536953313095278
28,2016-04-29,2016-04-29,2016-05-31,7,0.25382913456926387,0.662778243789227,0.8583400823051863,0.17751696771595668,5.633264317583945,0.25382913456926387
29,2016-05-31,2016-05-31,2016-06-30,8,0.28563697512376923,0.6585349413210099,0.8571600619533253,0.17940015466640902,5.574131203283965,0.28563697512376923
30,2016-06-30,2016-06-30,2016-07-29,6,0.23138192937667318,0.6481631960044401,0.9228327136250603,0.18713501553493128,5.343735362093881,0.23138192937667318
