decision_id,asof,period_start,period_end,universe_rows,full_alpha_available,candidate_count,selected_count,gross_return_1m_reconstructed,turnover_reconstructed,transaction_cost_return_reconstructed,net_return_1m_reconstructed,net_return_1m_persisted,gross_return_1m_persisted,turnover_persisted,transaction_cost_return_persisted,replay_error,gross_replay_error,turnover_replay_error,cost_replay_error,weights_sum,month,spy_return_1m,alpha_engine_return_1m,active_return_1m,period_start_reuse_count,forward_interval_reused,alpha_engine_nav_start,alpha_engine_nav,spy_nav_start,spy_nav,active_nav
1,2014-01-31,2014-01-31,2014-02-28,160,24,8,8,0.05483240251343864,0.5,5e-05,0.05478240251343864,0.0547824025134386,0.0548324025134386,0.5,5e-05,4.163336342344337e-17,4.163336342344337e-17,0.0,0.0,1.0,2014-02,,0.0547824025134386,,1,False,100.0,105.47824025134386,100.0,100.0,105.47824025134386
2,2014-02-28,2014-02-28,2014-03-31,160,25,8,8,-0.06947535556854235,0.5298261464950975,5.298261464950975e-05,-0.06952833818319186,-0.0695283381831918,-0.0694753555685423,0.5298261464950975,5.298261464950975e-05,-5.551115123125783e-17,-5.551115123125783e-17,0.0,0.0,1.0,2014-03,0.008295395000298855,-0.0695283381831918,-0.07782373318349066,1,False,105.47824025134386,98.14451349218047,100.0,100.82953950002988,97.33706409732376
3,2014-03-31,2014-03-31,2014-04-30,160,25,8,8,-0.0012699507987269203,0.6142733305489119,6.14273330548912e-05,-0.0013313781317818114,-0.0013313781121581,-0.0012699507793242,0.6142733283387348,6.142733283387349e-05,-1.9623711509930697e-11,-1.9402720315836453e-11,2.2101770413840427e-09,2.2101770283736166e-13,1.0,2014-04,0.00695144436814088,-0.0013313781121581,-0.00828282248029898,1,False,98.14451349218047,98.01384603508858,100.82953950002988,101.5304504345296,96.53640421726617
4,2014-04-30,2014-04-30,2014-05-30,160,25,8,8,0.05921050198245816,0.2009792083139164,2.009792083139164e-05,0.05919040406162677,0.0593186444226514,0.0593388169040065,0.2017248135512489,2.017248135512489e-05,-0.00012824036102462855,-0.00012831492154833507,-0.0007456052373324973,-7.456052373324947e-08,1.0,2014-05,0.02320632040222037,0.0593186444226514,0.036112324020431026,1,False,98.01384603508858,103.8278945165405,101.5304504345296,103.88659859789504,99.94349215187825
5,2014-05-30,2014-05-30,2014-06-30,161,25,8,8,0.04538236803634098,0.3390119111011443,3.3901191110114434e-05,0.04534846684523086,0.0458199074109379,0.0458536143292206,0.3370691828273962,3.370691828273962e-05,-0.0004714405657070403,-0.0004712462928796249,0.00194272827374814,1.942728273748127e-07,1.0,2014-06,0.02064510415587062,0.0458199074109379,0.025174803255067282,1,False,103.8278945165405,108.58527902996101,103.88659859789504,106.0313482463477,102.40865633216286
6,2014-06-30,2014-06-30,2014-07-31,162,25,8,8,0.0008153373455238267,0.12989470589229546,1.2989470589229547e-05,0.0008023478749345972,0.0002857337257545,0.0002986826146814,0.1294888892694008,1.2948888926940082e-05,0.0005166141491800972,0.0005166547308424268,0.0004058166228946558,4.0581662289464884e-08,1.0,2014-07,-0.013437742423421883,0.0002857337257545,0.013723476149176383,1,False,108.58527902996101,108.61630550630034,106.0313482463477,104.60652629980514,103.8332017593272
7,2014-07-31,2014-07-31,2014-08-29,163,25,8,8,0.11057380245470141,0.1371734686667853,1.3717346866678529e-05,0.11056008510783473,0.1100804939944612,0.110094029890527,0.1353589606579777,1.3535896065797773e-05,0.0004795911133735342,0.0004797725641744188,0.001814508008807586,1.81450800880756e-07,1.0,2014-08,0.039463550246619405,0.1100804939944612,0.07061694374784179,1,False,108.61630550630034,120.5728420722872,104.60652629980514,108.73467120656181,110.88720895953837
8,2014-08-29,2014-08-29,2014-09-30,163,26,8,8,-0.08934977914535058,0.05862032059525922,5.862032059525922e-06,-0.08935564117741011,-0.0900764842224952,-0.0900707258959552,0.057583265399805,5.758326539980509e-06,0.0007208430450850872,0.0007209467506046202,0.0010370551954542173,1.0370551954541359e-07,1.0,2014-09,-0.013796157612832705,-0.0900764842224952,-0.0762803266096625,1,False,120.5728420722872,109.71206436570141,108.73467120656181,107.23455054461654,102.31036900747215
9,2014-09-30,2014-09-30,2014-10-31,164,26,8,8,0.0049380396378744355,0.27911728355347815,2.7911728355347817e-05,0.004910127909519088,0.0048580566086552,0.0048866241944363,0.2856758578104101,2.8567585781041017e-05,5.207130086388751e-05,5.141544343813514e-05,-0.006558574256931959,-6.558574256931999e-07,1.0,2014-10,0.023550419256971322,0.0048580566086552,-0.01869236264831612,1,False,109.71206436570141,110.2450517850424,107.23455054461654,109.75996916877514,100.44194857190728
10,2014-10-31,2014-10-31,2014-11-28,164,26,8,8,0.000525022834811823,0.2997816972950348,2.997816972950348e-05,0.0004950446650823194,0.0004979805883109,0.0005279945677636,0.3001397945264196,3.001397945264196e-05,-2.9359232285805243e-06,-2.9717329517770126e-06,-0.00035809723138480187,-3.5809723138480095e-08,1.0,2014-11,0.027471902950595428,0.0004979805883109,-0.02697392236228453,1,False,110.2450517850424,110.2999516807887,109.75996916877514,112.77528438964008,97.80507517915089
