year,strategy_return,spy_return,active,cadence,one_way_cost_bps
2014,0.05751292320418577,0.12489244304397262,-0.06737951983978685,MONTHLY,0.5
2015,0.1676179446975301,0.012343105936252208,0.1552748387612779,MONTHLY,0.5
2016,0.2555082563694073,0.11997892746889116,0.13552932890051617,MONTHLY,0.5
2017,0.3379011851868643,0.2170539317452731,0.1208472534415912,MONTHLY,0.5
2018,0.11143568457085107,-0.04568990615236379,0.15712559072321486,MONTHLY,0.5
2019,0.14671293495626103,0.31223848040947066,-0.16552554545320963,MONTHLY,0.5
2020,0.4533881935165409,0.18331636419012898,0.27007182932641194,MONTHLY,0.5
2021,0.347028733442154,0.28728766961926766,0.05974106382288635,MONTHLY,0.5
2022,-0.02403435928648845,-0.18175373711458997,0.15771937782810153,MONTHLY,0.5
2023,0.30374272003624414,0.2617579670693302,0.04198475296691395,MONTHLY,0.5
2024,0.34161439474749544,0.24886454815309955,0.09274984659439589,MONTHLY,0.5
2025,0.3283984504513746,0.17719067981214565,0.15120777063922897,MONTHLY,0.5
2026,0.24352133822181354,0.13081637433046645,0.1127049638913471,MONTHLY,0.5
2014,0.0435261999349803,0.12489244304397262,-0.08136624310899232,MONTHLY,20.0
2015,0.16030240117228844,0.012343105936252208,0.14795929523603624,MONTHLY,20.0
2016,0.24264180422398396,0.11997892746889116,0.1226628767550928,MONTHLY,20.0
2017,0.3289672032882449,0.2170539317452731,0.11191327154297182,MONTHLY,20.0
2018,0.10293950076100189,-0.04568990615236379,0.14862940691336568,MONTHLY,20.0
2019,0.1342875508123571,0.31223848040947066,-0.17795092959711356,MONTHLY,20.0
2020,0.4454930938327111,0.18331636419012898,0.2621767296425821,MONTHLY,20.0
2021,0.33918619661053806,0.28728766961926766,0.0518985269912704,MONTHLY,20.0
2022,-0.029767822312398162,-0.18175373711458997,0.1519859148021918,MONTHLY,20.0
2023,0.2974319259823912,0.2617579670693302,0.03567395891306102,MONTHLY,20.0
2024,0.3335553452365734,0.24886454815309955,0.08469079708347382,MONTHLY,20.0
2025,0.32381788837431436,0.17719067981214565,0.1466272085621687,MONTHLY,20.0
2026,0.23803854826998538,0.13081637433046645,0.10722217393951894,MONTHLY,20.0
2014,0.015319401792519338,0.12489244304397262,-0.10957304125145328,MONTHLY,60.0
2015,0.145423707191644,0.012343105936252208,0.13308060125539178,MONTHLY,60.0
2016,0.21662130120551715,0.11997892746889116,0.09664237373662599,MONTHLY,60.0
2017,0.31080826922635896,0.2170539317452731,0.09375433748108586,MONTHLY,60.0
2018,0.08569238385023747,-0.04568990615236379,0.13138229000260127,MONTHLY,60.0
2019,0.1091782689520564,0.31223848040947066,-0.20306021145741426,MONTHLY,60.0
2020,0.4294139055951869,0.18331636419012898,0.2460975414050579,MONTHLY,60.0
2021,0.32321798862172746,0.28728766961926766,0.0359303190024598,MONTHLY,60.0
2022,-0.04143916841522133,-0.18175373711458997,0.14031456869936865,MONTHLY,60.0
2023,0.28457219306986703,0.2617579670693302,0.02281422600053684,MONTHLY,60.0
2024,0.31715203150280735,0.24886454815309955,0.0682874833497078,MONTHLY,60.0
2025,0.3144656669234771,0.17719067981214565,0.13727498711133146,MONTHLY,60.0
2026,0.2268571784049218,0.13081637433046645,0.09604080407445537,MONTHLY,60.0
2014,-0.012246915491203825,0.12489244304397262,-0.13713935853517645,MONTHLY,100.0
2015,0.13071507627877876,0.012343105936252208,0.11837197034252656,MONTHLY,100.0
2016,0.19109420270189537,0.11997892746889116,0.0711152752330042,MONTHLY,100.0
2017,0.292872089996173,0.2170539317452731,0.07581815825089988,MONTHLY,100.0
2018,0.06868607978894281,-0.04568990615236379,0.1143759859413066,MONTHLY,100.0
2019,0.08457060733572863,0.31223848040947066,-0.22766787307374203,MONTHLY,100.0
2020,0.4134894742765036,0.18331636419012898,0.23017311008637464,MONTHLY,100.0
2021,0.3074087231381313,0.28728766961926766,0.02012105351886362,MONTHLY,100.0
2022,-0.05299090631575765,-0.18175373711458997,0.12876283079883233,MONTHLY,100.0
2023,0.2718266477219651,0.2617579670693302,0.010068680652634887,MONTHLY,100.0
2024,0.30091966459110364,0.24886454815309955,0.05205511643800409,MONTHLY,100.0
2025,0.305172071947299,0.17719067981214565,0.12798139213515336,MONTHLY,100.0
2026,0.2157632297281875,0.13081637433046645,0.08494685539772107,MONTHLY,100.0
2014,0.013505601553755131,0.12489244304397262,-0.11138684149021749,WEEKLY,0.5
2015,0.10847922112268837,0.012343105936252208,0.09613611518643617,WEEKLY,0.5
2016,0.35448022386660294,0.11997892746889116,0.23450129639771178,WEEKLY,0.5
2017,0.304146138088643,0.2170539317452731,0.0870922063433699,WEEKLY,0.5
2018,0.14516747943602826,-0.04568990615236379,0.19085738558839205,WEEKLY,0.5
2019,0.12224984194437472,0.31223848040947066,-0.18998863846509595,WEEKLY,0.5
2020,0.4736871029066523,0.18331636419012898,0.2903707387165233,WEEKLY,0.5
2021,0.38078883638847216,0.28728766961926766,0.0935011667692045,WEEKLY,0.5
2022,-0.038712334021937966,-0.18175373711458997,0.143041403092652,WEEKLY,0.5
2023,0.35316763727156597,0.2617579670693302,0.09140967020223578,WEEKLY,0.5
2024,0.25891394654461375,0.24886454815309955,0.010049398391514197,WEEKLY,0.5
2025,0.3411912358610154,0.17719067981214565,0.16400055604886976,WEEKLY,0.5
2026,0.24959916613423871,0.13081637433046645,0.11878279180377227,WEEKLY,0.5
2014,-0.02272954704057717,0.12489244304397262,-0.1476219900845498,WEEKLY,20.0
2015,0.08770431345895169,0.012343105936252208,0.07536120752269948,WEEKLY,20.0
2016,0.3293072366706524,0.11997892746889116,0.20932830920176126,WEEKLY,20.0
2017,0.28064202788651627,0.2170539317452731,0.06358809614124317,WEEKLY,20.0
2018,0.12513365891697292,-0.04568990615236379,0.1708235650693367,WEEKLY,20.0
2019,0.09962900524044538,0.31223848040947066,-0.21260947516902529,WEEKLY,20.0
2020,0.4589000660435656,0.18331636419012898,0.2755837018534366,WEEKLY,20.0
2021,0.36647148733904333,0.28728766961926766,0.07918381771977567,WEEKLY,20.0
2022,-0.04881240032489276,-0.18175373711458997,0.13294133678969722,WEEKLY,20.0
2023,0.3408878149256471,0.2617579670693302,0.07912984785631694,WEEKLY,20.0
2024,0.24146086489819818,0.24886454815309955,-0.007403683254901372,WEEKLY,20.0
2025,0.33203888832697936,0.17719067981214565,0.15484820851483372,WEEKLY,20.0
2026,0.2364215864246373,0.13081637433046645,0.10560521209417084,WEEKLY,20.0
2014,-0.09324056815378134,0.12489244304397262,-0.21813301119775397,WEEKLY,60.0
2015,0.04626011996786383,0.012343105936252208,0.033917014031611625,WEEKLY,60.0
2016,0.27908514199349765,0.11997892746889116,0.1591062145246065,WEEKLY,60.0
2017,0.233705660233833,0.2170539317452731,0.01665172848855989,WEEKLY,60.0
2018,0.0850921879492137,-0.04568990615236379,0.13078209410157748,WEEKLY,60.0
2019,0.05460014085547926,0.31223848040947066,-0.2576383395539914,WEEKLY,60.0
2020,0.42901101951381726,0.18331636419012898,0.24569465532368828,WEEKLY,60.0
2021,0.33754706287107394,0.28728766961926766,0.050259393251806284,WEEKLY,60.0
2022,-0.06921422721511528,-0.18175373711458997,0.1125395098994747,WEEKLY,60.0
2023,0.3160336643492814,0.2617579670693302,0.054275697279951185,WEEKLY,60.0
2024,0.20638542865684073,0.24886454815309955,-0.04247911949625882,WEEKLY,60.0
2025,0.3134490507547505,0.17719067981214565,0.13625837094260485,WEEKLY,60.0
2026,0.2098043528552398,0.13081637433046645,0.07898797852477335,WEEKLY,60.0
2014,-0.15889834526580593,0.12489244304397262,-0.28379078830977855,WEEKLY,100.0
2015,0.006343817825358977,0.012343105936252208,-0.0059992881108932306,WEEKLY,100.0
2016,0.23070889634736536,0.11997892746889116,0.1107299688784742,WEEKLY,100.0
2017,0.18843744951485264,0.2170539317452731,-0.02861648223042046,WEEKLY,100.0
2018,0.04642820941181269,-0.04568990615236379,0.09211811556417648,WEEKLY,100.0
2019,0.011358266922773863,0.31223848040947066,-0.3008802134866968,WEEKLY,100.0
2020,0.39970876417425316,0.18331636419012898,0.21639239998412418,WEEKLY,100.0
2021,0.3092106103255381,0.28728766961926766,0.021922940706270433,WEEKLY,100.0
2022,-0.08919774215271259,-0.18175373711458997,0.09255599496187739,WEEKLY,100.0
2023,0.2916238008092651,0.2617579670693302,0.0298658337399349,WEEKLY,100.0
2024,0.1722645826826925,0.24886454815309955,-0.07659996547040704,WEEKLY,100.0
2025,0.2951043343991151,0.17719067981214565,0.11791365458696945,WEEKLY,100.0
2026,0.1837342998644469,0.13081637433046645,0.05291792553398045,WEEKLY,100.0
2014,0.058176232339102185,0.12489244304397262,-0.06671621070487044,DAILY,0.5
2015,0.13079289369487634,0.012343105936252208,0.11844978775862414,DAILY,0.5
2016,0.40019134796883105,0.11997892746889116,0.2802124204999399,DAILY,0.5
2017,0.3128647802117315,0.2170539317452731,0.09581084846645838,DAILY,0.5
2018,0.1646562140138963,-0.04568990615236379,0.2103461201662601,DAILY,0.5
2019,0.13698239592022854,0.31223848040947066,-0.17525608448924213,DAILY,0.5
2020,0.4607640629234966,0.18331636419012898,0.2774476987333676,DAILY,0.5
2021,0.3580626804985543,0.28728766961926766,0.07077501087928662,DAILY,0.5
2022,-0.025341777310025626,-0.18175373711458997,0.15641195980456435,DAILY,0.5
2023,0.3452418406880553,0.2617579670693302,0.08348387361872511,DAILY,0.5
2024,0.20858396880450547,0.24886454815309955,-0.04028057934859408,DAILY,0.5
2025,0.32646637915343524,0.17719067981214565,0.1492756993412896,DAILY,0.5
2026,0.2686328356563148,0.13081637433046645,0.13781646132584835,DAILY,0.5
2014,-0.0277404491355987,0.12489244304397262,-0.15263289217957132,DAILY,20.0
2015,0.08447181399233927,0.012343105936252208,0.07212870805608707,DAILY,20.0
2016,0.33005665509406157,0.11997892746889116,0.2100777276251704,DAILY,20.0
2017,0.24860880986702538,0.2170539317452731,0.03155487812175228,DAILY,20.0
2018,0.11506779066972683,-0.04568990615236379,0.16075769682209062,DAILY,20.0
2019,0.09871940701972215,0.31223848040947066,-0.21351907338974851,DAILY,20.0
2020,0.43970545469003364,0.18331636419012898,0.25638909049990466,DAILY,20.0
2021,0.3353958166975095,0.28728766961926766,0.04810814707824185,DAILY,20.0
2022,-0.038857486274334385,-0.18175373711458997,0.1428962508402556,DAILY,20.0
2023,0.3280958224765871,0.2617579670693302,0.0663378554072569,DAILY,20.0
2024,0.17967459960855314,0.24886454815309955,-0.06918994854454641,DAILY,20.0
2025,0.3118260705361595,0.17719067981214565,0.13463539072401387,DAILY,20.0
2026,0.24344137783565145,0.13081637433046645,0.112625003505185,DAILY,20.0
2014,-0.18300511057916902,0.12489244304397262,-0.30789755362314164,DAILY,60.0
2015,-0.0047449329766319215,0.012343105936252208,-0.01708803891288413,DAILY,60.0
2016,0.19690446641648673,0.11997892746889116,0.07692553894759557,DAILY,60.0
2017,0.1263967166328399,0.2170539317452731,-0.09065721511243319,DAILY,60.0
2018,0.019798138249995212,-0.04568990615236379,0.065488044402359,DAILY,60.0
2019,0.024165513453537235,0.31223848040947066,-0.28807296695593343,DAILY,60.0
2020,0.3974369703891627,0.18331636419012898,0.21412060619903373,DAILY,60.0
2021,0.2900555515203773,0.28728766961926766,0.002767881901109659,DAILY,60.0
2022,-0.066009435437129,-0.18175373711458997,0.11574430167746097,DAILY,60.0
2023,0.29359320814668766,0.2617579670693302,0.03183524107735747,DAILY,60.0
2024,0.12249454981347241,0.24886454815309955,-0.12636999833962714,DAILY,60.0
2025,0.282285782869921,0.17719067981214565,0.10509510305777536,DAILY,60.0
2026,0.19330326382697938,0.13081637433046645,0.06248688949651293,DAILY,60.0
2014,-0.313742959223947,0.12489244304397262,-0.43863540226791964,DAILY,100.0
2015,-0.08668645724414403,0.012343105936252208,-0.09902956318039624,DAILY,100.0
2016,0.07697632628919737,0.11997892746889116,-0.04300260117969379,DAILY,100.0
2017,0.016051418522943894,0.2170539317452731,-0.2010025132223292,DAILY,100.0
2018,-0.0674043046928604,-0.04568990615236379,-0.021714398540496616,DAILY,100.0
2019,-0.04538978351650724,0.31223848040947066,-0.3576282639259779,DAILY,100.0
2020,0.3563877434101028,0.18331636419012898,0.17307137921997384,DAILY,100.0
2021,0.2462271575538615,0.28728766961926766,-0.041060512065406174,DAILY,100.0
2022,-0.09240889438840805,-0.18175373711458997,0.08934484272618193,DAILY,100.0
2023,0.25997099382963795,0.2617579670693302,-0.0017869732396922355,DAILY,100.0
2024,0.06805436741620641,0.24886454815309955,-0.18081018073689314,DAILY,100.0
2025,0.25339408642494776,0.17719067981214565,0.07620340661280212,DAILY,100.0
2026,0.14516367215262216,0.13081637433046645,0.014347297822155713,DAILY,100.0
