signal_date,execution_date,interval_end,status,gross_return,turnover,cost_return,net_return_approx,weighted_price_coverage
2014-01-31,2014-02-03,2014-03-03,OK,0.03958106928392811,0.5,0.006,0.033343582868224475,1.0
2014-02-28,2014-03-03,2014-04-01,OK,0.012409277279416514,0.9546143705996846,0.011455372447196214,0.0008117519391839245,1.0
2014-03-31,2014-04-01,2014-05-01,OK,-0.008480304514477451,0.7218974172883491,0.00866276900746019,-0.017069610602815866,1.0
2014-04-30,2014-05-01,2014-06-02,OK,0.04324362908992663,0.35280121055050906,0.004233614526606109,0.03882693770702228,1.0
2014-05-30,2014-06-02,2014-07-01,OK,0.052412259106273826,0.31383913314338785,0.003766069597720654,0.048448801292985344,1.0
2014-06-30,2014-07-01,2014-08-01,OK,-0.02344918452339214,0.1812478860745924,0.002174974632895109,-0.025573157774786748,1.0
2014-07-31,2014-08-01,2014-09-02,OK,0.12433836891738978,0.15731045733910903,0.0018877254880693085,0.12221592672117021,1.0
2014-08-29,2014-09-02,2014-10-01,OK,-0.12430179322509081,0.06697731100111412,0.0008037277320133695,-0.12500561615875017,1.0000000000000002
2014-09-30,2014-10-01,2014-11-03,OK,0.014674224994263624,0.2612021476615355,0.003134425771938426,0.011493803953319892,1.0
2014-10-31,2014-11-03,2014-12-01,OK,-0.010673719227793994,0.3217269360912876,0.0038607232330954513,-0.014493234185083193,1.0
2014-11-28,2014-12-01,2015-01-02,OK,-0.0024272523565215132,0.07841248595694622,0.0009409498314833547,-0.003365918265309076,1.0
2014-12-31,2015-01-02,2015-02-02,OK,0.0346619345194834,0.17281887542091004,0.0020738265050509203,0.032516225175909685,1.0
2015-01-30,2015-02-02,2015-03-02,OK,0.07548455158726118,0.1226785140960011,0.0014721421691520132,0.0739012854265979,1.0
2015-02-27,2015-03-02,2015-04-01,OK,-0.03749845727406953,0.05857077480626177,0.0007028492976751412,-0.038174950807385755,1.0
2015-03-31,2015-04-01,2015-05-01,OK,0.08821661139113264,0.006748089952509147,8.097707943010977e-05,0.08812849078815499,1.0
2015-04-30,2015-05-01,2015-06-01,OK,0.022672102971881818,0.2748226106587604,0.003297871327905125,0.01929946196564236,1.0
2015-05-29,2015-06-01,2015-07-01,OK,0.022638666082550774,0.2021143589540153,0.0024253723074481835,0.02015838658130842,1.0
2015-06-30,2015-07-01,2015-08-03,OK,0.01097139097045699,0.18702206484361666,0.0022442647781234,0.008702503486011537,1.0
2015-07-31,2015-08-03,2015-09-01,OK,-0.0692381727898458,0.13270797682186153,0.0015924957218623383,-0.07072040701775073,1.0
2015-08-31,2015-09-01,2015-10-01,OK,-0.003550940532327393,0.11449864849327007,0.0013739837819192408,-0.004920045379544602,1.0
2015-09-30,2015-10-01,2015-11-02,OK,0.05127398999390671,0.025589914953764222,0.00030707897944517066,0.05095116584994219,1.0
2015-10-30,2015-11-02,2015-12-01,OK,0.02261761777701448,0.2058763192081543,0.002470515830497852,0.02009122476375036,1.0
2015-11-30,2015-12-01,2016-01-04,OK,-0.0665603962012766,0.10752277561227443,0.0012902733073472932,-0.06776478840607902,1.0
