signal_date,execution_date,interval_end,status,gross_return,turnover,cost_return,net_return_approx,weighted_price_coverage
2014-01-31,2014-02-03,2014-02-10,OK,0.02148580151167375,0.5,0.01,0.011270943496556995,1.0
2014-02-07,2014-02-10,2014-02-18,OK,0.024084281014392424,0.2141769453327244,0.004283538906654488,0.019697576152974072,1.0
2014-02-14,2014-02-18,2014-02-24,OK,0.029050111932763627,0.9279873886983339,0.018559747773966677,0.009951201408519239,1.0
2014-02-21,2014-02-24,2014-03-03,OK,-0.044995860180807284,0.5369560509187284,0.010739121018374568,-0.055251765211374315,1.0
2014-02-28,2014-03-03,2014-03-10,OK,-0.018399965518914443,0.43648246968149895,0.00872964939362998,-0.026968989664709397,1.0
2014-03-07,2014-03-10,2014-03-17,OK,-0.0379244767841596,0.40974826804504993,0.008194965360900999,-0.045808652371484126,1.0
2014-03-14,2014-03-17,2014-03-24,OK,-0.012822670123690589,0.9775208484325834,0.019550416968651667,-0.03212239854477261,1.0000000000000002
2014-03-21,2014-03-24,2014-03-31,OK,0.04670103473105927,0.5932585760439079,0.011865171520878157,0.03428174742289447,1.0
2014-03-28,2014-03-31,2014-04-07,OK,0.004757746143789637,0.9279423226812166,0.018558846453624333,-0.013889398589982727,1.0
2014-04-04,2014-04-07,2014-04-14,OK,-0.004790062362670378,0.8904910366328923,0.017809820732657848,-0.022514572943350797,1.0000000000000002
2014-04-11,2014-04-14,2014-04-21,OK,0.013875500929130289,0.17720467165015144,0.0035440934330030287,0.010282231424404653,1.0
2014-04-17,2014-04-21,2014-04-28,OK,-0.016034706599926944,0.004919216138738143,9.838432277476286e-05,-0.01613151335895191,1.0000000000000002
2014-04-25,2014-04-28,2014-05-05,OK,0.03412495647858595,0.09549479463801228,0.0019098958927602455,0.03214988547160669,1.0
2014-05-02,2014-05-05,2014-05-12,OK,0.012887755617600246,0.1310801470246727,0.0026216029404934537,0.01023236609908329,1.0
2014-05-09,2014-05-12,2014-05-19,OK,-0.005586598659393868,0.3074443585745408,0.006148887171490816,-0.011701134466055696,1.0
2014-05-16,2014-05-19,2014-05-27,OK,0.004112035779782454,0.14336021434730303,0.0028672042869460606,0.0012330414462204953,1.0
2014-05-23,2014-05-27,2014-06-02,OK,7.447441325528215e-05,0.1226486436936548,0.002452972873873096,-0.002378681144333372,1.0
2014-05-30,2014-06-02,2014-06-09,OK,0.035981391817867144,0.06904187888594836,0.0013808375777189673,0.034550869782227434,1.0
2014-06-06,2014-06-09,2014-06-16,OK,-0.0007857394676166647,0.4073014344482749,0.008146028688965497,-0.0089253675003369,1.0
2014-06-13,2014-06-16,2014-06-23,OK,0.01514604567715556,0.26461296665225376,0.005292259333045076,0.009773629542516815,1.0
2014-06-20,2014-06-23,2014-06-30,OK,-0.015438141851348536,0.23714597055669673,0.004742919411133935,-0.020107839399823857,1.0
2014-06-27,2014-06-30,2014-07-07,OK,0.014303130222982243,0.18393246594108598,0.0036786493188217194,0.010571864703908807,1.0
2014-07-03,2014-07-07,2014-07-14,OK,0.018447262110918974,0.14695211635028152,0.0029390423270056303,0.01545400249975204,1.0
2014-07-11,2014-07-14,2014-07-21,OK,0.019677136748988154,0.10296393580484942,0.0020592787160969885,0.01757733732399025,1.0
2014-07-18,2014-07-21,2014-07-28,OK,-0.018043714373038887,3.207206809852092e-08,6.414413619704184e-10,-0.018043715002906247,1.0
2014-07-25,2014-07-28,2014-08-04,OK,-0.02672639804855207,0.04460206484155665,0.000892041296831133,-0.027594598294608308,1.0
2014-08-01,2014-08-04,2014-08-11,OK,0.013642637657594214,0.1463430558233254,0.002926861116466508,0.010675846435441505,1.0
2014-08-08,2014-08-11,2014-08-18,OK,0.021167900397288143,0.11294618033932287,0.0022589236067864574,0.01886116012058814,1.0
2014-08-15,2014-08-18,2014-08-25,OK,0.03769241210628265,0.08510695320028466,0.0017021390640056932,0.03592611531521417,1.0
