cadence,signal_date,status,n_holdings,turnover_target_to_target,eligible_full_alpha,candidate_count,top_weight
MONTHLY,2014-01-31,OK,4,0.5,24,8,0.7845363179534032
MONTHLY,2014-02-28,OK,4,0.9546143705996846,25,8,0.49153245415015917
MONTHLY,2014-03-31,OK,8,0.7218974172883491,25,8,0.26487845562066314
MONTHLY,2014-04-30,OK,8,0.35280121055050906,25,8,0.2624228356308733
MONTHLY,2014-05-30,OK,8,0.31383913314338785,25,8,0.2624606036939547
MONTHLY,2014-06-30,OK,8,0.1812478860745924,25,8,0.24779290305962012
MONTHLY,2014-07-31,OK,8,0.15731045733910903,25,8,0.2336745387466895
MONTHLY,2014-08-29,OK,8,0.06697731100111412,26,8,0.24429941799179436
MONTHLY,2014-09-30,OK,8,0.2612021476615355,26,8,0.25162609258963886
MONTHLY,2014-10-31,OK,8,0.3217269360912876,26,8,0.2624171500507204
MONTHLY,2014-11-28,OK,8,0.07841248595694622,26,8,0.2624171454586196
MONTHLY,2014-12-31,OK,8,0.17281887542091004,26,8,0.2689578702250945
MONTHLY,2015-01-30,OK,8,0.1226785140960011,26,8,0.25206032865884476
MONTHLY,2015-02-27,OK,8,0.05857077480626177,26,8,0.2347823870154207
MONTHLY,2015-03-31,OK,8,0.006748089952509147,26,8,0.23588316953492636
MONTHLY,2015-04-30,OK,8,0.2748226106587604,26,8,0.25113125181943496
MONTHLY,2015-05-29,OK,8,0.2021143589540153,26,8,0.26136724609870005
MONTHLY,2015-06-30,OK,8,0.18702206484361666,26,8,0.25130360609966856
MONTHLY,2015-07-31,OK,8,0.13270797682186153,26,8,0.2516850120560528
MONTHLY,2015-08-31,OK,8,0.11449864849327007,26,8,0.2516850038113286
MONTHLY,2015-09-30,OK,8,0.025589914953764222,26,8,0.25169402831380067
MONTHLY,2015-10-30,OK,8,0.2058763192081543,26,8,0.26226508279102884
MONTHLY,2015-11-30,OK,8,0.10752277561227443,26,8,0.26760204401154536
MONTHLY,2015-12-31,OK,8,0.24553389511011714,26,8,0.2676020369495483
MONTHLY,2016-01-29,OK,8,0.4091186177440057,26,8,0.24439428028055443
MONTHLY,2016-02-29,OK,8,0.12996296069749513,26,8,0.249642417649353
MONTHLY,2016-03-31,OK,6,0.22703450878283776,26,8,0.25367078902330475
MONTHLY,2016-04-29,OK,7,0.2042137303787625,26,8,0.2536707890246307
MONTHLY,2016-05-31,OK,8,0.2988580254882314,27,8,0.2849233589079023
MONTHLY,2016-06-30,OK,6,0.1930004816684371,27,8,0.2312989443470835
MONTHLY,2016-07-29,OK,7,0.1705949754633131,27,8,0.2476342553246854
MONTHLY,2016-08-31,OK,7,0.29916433071256504,27,8,0.26037026730974905
MONTHLY,2016-09-30,OK,7,0.0700272403994098,27,8,0.2680990004321921
MONTHLY,2016-10-31,OK,7,0.24890061107756906,27,8,0.25853127775061385
MONTHLY,2016-11-30,OK,7,0.1434652787165449,27,8,0.25853127737125775
MONTHLY,2016-12-30,OK,8,0.2045709174273453,27,8,0.23377292645789577
MONTHLY,2017-01-31,OK,8,0.2346169987681701,27,8,0.2465229308037826
MONTHLY,2017-02-28,OK,8,0.2220258235084735,27,8,0.26679559559325366
MONTHLY,2017-03-31,OK,8,0.11802928125717216,27,8,0.26679558644239176
MONTHLY,2017-04-28,OK,7,0.13848266346392313,27,8,0.25842741943545783
MONTHLY,2017-05-31,OK,8,0.1004660006109778,27,8,0.2584269010247483
MONTHLY,2017-06-30,OK,8,0.005526056589308862,27,8,0.25842688664104085
MONTHLY,2017-07-31,OK,8,0.034780052345448384,27,8,0.2584268847992077
MONTHLY,2017-08-31,OK,8,0.10937104455058724,27,8,0.2584268733162789
MONTHLY,2017-09-29,OK,7,0.14738798684659193,27,8,0.22926366628728198
MONTHLY,2017-10-31,OK,8,0.2044313804337103,27,8,0.23035131336881126
MONTHLY,2017-11-30,OK,7,0.19763579052882196,27,8,0.25778096198939293
MONTHLY,2017-12-29,OK,7,0.16269775555867516,27,8,0.21627963316764673
MONTHLY,2018-01-31,OK,6,0.05185622038263578,27,8,0.21627963164040487
MONTHLY,2018-02-28,OK,7,0.0957102117226841,28,8,0.22311028168020958
MONTHLY,2018-03-29,OK,7,0.0025278456772354595,28,8,0.22563800575992637
MONTHLY,2018-04-30,OK,8,0.15667351922440576,28,8,0.22968269427967652
MONTHLY,2018-05-31,OK,8,0.23954477932784182,28,8,0.25951509631692016
MONTHLY,2018-06-29,OK,8,0.19185233536216537,28,8,0.25951509377117754
MONTHLY,2018-07-31,OK,8,0.18742297001865887,28,8,0.27396512957356306
MONTHLY,2018-08-31,OK,7,0.2222852967045535,28,8,0.2556450103233881
MONTHLY,2018-09-28,OK,8,0.06880979224287716,28,8,0.25365157784831044
MONTHLY,2018-10-31,OK,7,0.3172569676384871,30,8,0.21528333070549815
MONTHLY,2018-11-30,OK,7,0.27011626566476393,31,8,0.26200511018239525
MONTHLY,2018-12-31,OK,7,0.3681957667704017,31,8,0.2622003494073575
