series,episode,start,trough,recovery,max_drawdown,months_peak_to_trough,months_trough_to_recovery,months_total,status
ALPHA_ENGINE,1,2014-03-31,2014-04-30,2014-06-30,-0.07076714778771809,2,2.0,4.0,RECOVERED
ALPHA_ENGINE,2,2014-09-30,2014-12-31,2015-04-30,-0.09431981779723131,4,4.0,8.0,RECOVERED
ALPHA_ENGINE,3,2015-08-31,2016-01-29,2016-04-29,-0.1350275748037546,6,3.0,9.0,RECOVERED
ALPHA_ENGINE,4,2016-05-31,2016-05-31,2016-07-29,-0.04967502521115141,1,2.0,3.0,RECOVERED
ALPHA_ENGINE,5,2016-12-30,2016-12-30,2017-01-31,-0.0029511237821809866,1,1.0,2.0,RECOVERED
ALPHA_ENGINE,6,2017-06-30,2017-06-30,2017-07-31,-0.027525760911856545,1,1.0,2.0,RECOVERED
ALPHA_ENGINE,7,2017-08-31,2017-08-31,2017-09-29,-4.158276116839055e-05,1,1.0,2.0,RECOVERED
ALPHA_ENGINE,8,2017-11-30,2017-11-30,2017-12-29,-0.001250166974978817,1,1.0,2.0,RECOVERED
ALPHA_ENGINE,9,2018-03-29,2018-03-29,2018-06-29,-0.017936835506401017,1,3.0,4.0,RECOVERED
ALPHA_ENGINE,10,2018-07-31,2018-07-31,2018-08-31,-0.004460221160381916,1,1.0,2.0,RECOVERED
ALPHA_ENGINE,11,2018-10-31,2018-12-31,2019-12-31,-0.13282872282087932,3,12.0,15.0,RECOVERED
ALPHA_ENGINE,12,2020-01-31,2020-03-31,2020-04-30,-0.14300239652114788,3,1.0,4.0,RECOVERED
ALPHA_ENGINE,13,2020-09-30,2020-10-30,2020-11-30,-0.09060629445985036,2,1.0,3.0,RECOVERED
ALPHA_ENGINE,14,2021-09-30,2021-09-30,2021-10-29,-0.04964051898194155,1,1.0,2.0,RECOVERED
ALPHA_ENGINE,15,2022-01-31,2022-06-30,2022-11-30,-0.20468786476134004,6,5.0,11.0,RECOVERED
ALPHA_ENGINE,16,2022-12-30,2022-12-30,2023-01-31,-0.055523790937265116,1,1.0,2.0,RECOVERED
ALPHA_ENGINE,17,2023-02-28,2023-04-28,2023-06-30,-0.06418529996981581,3,2.0,5.0,RECOVERED
ALPHA_ENGINE,18,2023-08-31,2023-10-31,2023-11-30,-0.04065720588072563,3,1.0,4.0,RECOVERED
ALPHA_ENGINE,19,2024-07-31,2024-07-31,2024-08-30,-0.008405270779259455,1,1.0,2.0,RECOVERED
ALPHA_ENGINE,20,2024-10-31,2024-10-31,2024-11-29,-0.0030317623928920456,1,1.0,2.0,RECOVERED
ALPHA_ENGINE,21,2024-12-31,2024-12-31,2025-01-31,-0.04623830483138669,1,1.0,2.0,RECOVERED
ALPHA_ENGINE,22,2025-03-31,2025-03-31,2025-04-30,-0.014485280831452063,1,1.0,2.0,RECOVERED
ALPHA_ENGINE,23,2025-10-31,2025-10-31,2025-11-28,-0.011158926078284948,1,1.0,2.0,RECOVERED
ALPHA_ENGINE,24,2025-12-31,2025-12-31,2026-01-30,-0.008352435856767149,1,1.0,2.0,RECOVERED
ALPHA_ENGINE,25,2026-05-29,2026-05-29,2026-06-30,-0.030357016692148187,1,1.0,2.0,RECOVERED
ALPHA_ENGINE,26,2026-07-31,2026-08-31,,-0.01742244154291217,2,,,OPEN
SPY,1,2014-07-31,2014-07-31,2014-08-29,-0.013437742423421883,1,1.0,2.0,RECOVERED
SPY,2,2014-09-30,2014-09-30,2014-10-31,-0.013796157612832705,1,1.0,2.0,RECOVERED
SPY,3,2014-12-31,2015-01-30,2015-02-27,-0.032090176620894195,2,1.0,3.0,RECOVERED
SPY,4,2015-03-31,2015-03-31,2015-05-29,-0.015705232449699458,1,2.0,3.0,RECOVERED
SPY,5,2015-06-30,2015-06-30,2015-07-31,-0.020312111034906377,1,1.0,2.0,RECOVERED
