scenario,dimension,months,cagr,ann_vol,max_drawdown,avg_turnover_monthly,avg_holdings,spy_cagr,cagr_spread_vs_spy
BASE_333_333_333,FACTOR_WEIGHTS,151,0.2512774522463488,0.1933977750536897,-0.20467420368506117,0.1529764480501593,19.198675496688743,0.13889613673171453,0.10891717047156813
RG40_SY30_TR30,FACTOR_WEIGHTS,151,0.2605219674169095,0.19815274391068033,-0.21351791890184368,0.14090073527096472,19.198675496688743,0.13889613673171453,0.1176132283385678
RG30_SY40_TR30,FACTOR_WEIGHTS,151,0.23060916138345555,0.1899552066517155,-0.2335116843628804,0.13869165287395174,19.198675496688743,0.13889613673171453,0.08747459942926228
RG30_SY30_TR40,FACTOR_WEIGHTS,151,0.2638802862676579,0.1922497039854965,-0.19493453761723833,0.19700297056084307,19.198675496688743,0.13889613673171453,0.12252918176863004
RISK_PENALTY_075,RISK_PENALTY,151,0.2574386401500619,0.19871765984480386,-0.20938488154744028,0.14644995443178813,19.198675496688743,0.13889613673171453,0.11510236343098468
RISK_PENALTY_125,RISK_PENALTY,151,0.24588367631985397,0.18905842342869966,-0.19896701620107793,0.15923143733695397,19.198675496688743,0.13889613673171453,0.10350254610032872
TURNOVER_PENALTY_0125,TURNOVER_PENALTY,151,0.26058432935357256,0.18831270841065542,-0.18201931935747073,0.1986303194682635,19.198675496688743,0.13889613673171453,0.11826038675941541
TURNOVER_PENALTY_050,TURNOVER_PENALTY,151,0.2531372348231977,0.2010103457973677,-0.18747077261408274,0.12711110675234757,19.198675496688743,0.13889613673171453,0.11078417773551652
CONC_HARD_025,CONCENTRATION_HARD_LIMIT,151,0.25072052409733425,0.1928164932275199,-0.20464970991028564,0.15224300319234724,19.198675496688743,0.13889613673171453,0.10835808242501521
CONC_HARD_035,CONCENTRATION_HARD_LIMIT,151,0.25142849292740377,0.193343878152765,-0.20475242379428926,0.15292413925011436,19.198675496688743,0.13889613673171453,0.10906879720968554
TOP_FRACTION_15PCT,CANDIDATE_FRACTION,151,0.2745934655954103,0.19481942581268588,-0.19932736145768215,0.17233558999521273,15.271523178807946,0.13889613673171453,0.13232508845021784
TOP_FRACTION_25PCT,CANDIDATE_FRACTION,151,0.23775142132259974,0.18973202650473905,-0.2239165885668093,0.14322577873684827,23.09933774834437,0.13889613673171453,0.09533915331947251
