trial_id,source,return_column,group,periods,start,end,series_hash,duplicate_of
data\audit_v10_4\alpha_attribution.csv::fwd_return_1m::ticker=AMD,data\audit_v10_4\alpha_attribution.csv,fwd_return_1m,ticker=AMD,27,2019-03-29,2026-08-31,9583b482f0671ed373876e908dc7e1544d89f242d752791a4a2e273441c53f5e,
data\audit_v10_4\alpha_attribution.csv::fwd_return_1m::ticker=AMZN,data\audit_v10_4\alpha_attribution.csv,fwd_return_1m,ticker=AMZN,61,2019-03-29,2026-09-02,939535fcbcafcab10bdc0dc979b6920b929927ae491ba2b243964afbc88cd382,
data\audit_v10_4\alpha_attribution.csv::fwd_return_1m::ticker=ANET,data\audit_v10_4\alpha_attribution.csv,fwd_return_1m,ticker=ANET,64,2019-03-29,2026-08-31,6faddd8ac005814be4a88737201fbf5b688e559031bee5f5f85db3db8175c1bd,
data\audit_v10_4\alpha_attribution.csv::fwd_return_1m::ticker=AVGO,data\audit_v10_4\alpha_attribution.csv,fwd_return_1m,ticker=AVGO,58,2020-01-31,2026-06-30,067e87eb36a2082cf0c24ec07a86a233d3d12cbc3487dfbdb2f90216e9d56ed4,
data\audit_v10_4\alpha_attribution.csv::fwd_return_1m::ticker=BRK-B,data\audit_v10_4\alpha_attribution.csv,fwd_return_1m,ticker=BRK-B,38,2020-09-30,2025-05-30,6e33d59569c8a7967196ccefdfa439b0a51c6245ba843a267246e0b76c15a11d,
data\audit_v10_4\alpha_attribution.csv::fwd_return_1m::ticker=C,data\audit_v10_4\alpha_attribution.csv,fwd_return_1m,ticker=C,37,2014-10-31,2026-07-31,0a98713594eb8463928bab128146afaf52bdaf5fc173c068853d9c1209542cbb,
data\audit_v10_4\alpha_attribution.csv::fwd_return_1m::ticker=CAT,data\audit_v10_4\alpha_attribution.csv,fwd_return_1m,ticker=CAT,51,2014-02-28,2026-03-31,a1c9a180f54c6fbbfeaa9dedbff0cf71a5fbe0bf79a0039f22f2337c7d12c8a5,
data\audit_v10_4\alpha_attribution.csv::fwd_return_1m::ticker=CHTR,data\audit_v10_4\alpha_attribution.csv,fwd_return_1m,ticker=CHTR,50,2014-06-30,2025-07-31,838157563059f6c6caa5ba1e4cc709601c8583c75081d6785ad60a8870f1c851,
data\audit_v10_4\alpha_attribution.csv::fwd_return_1m::ticker=CMG,data\audit_v10_4\alpha_attribution.csv,fwd_return_1m,ticker=CMG,54,2019-03-29,2024-07-31,94299d1ee2aa5ed7cfbf95515a0ba876e34aad15a6309f2a36bf03cabb0faeb0,
data\audit_v10_4\alpha_attribution.csv::fwd_return_1m::ticker=COST,data\audit_v10_4\alpha_attribution.csv,fwd_return_1m,ticker=COST,65,2018-11-30,2026-05-29,be798e6db1c1fecbf592b737e4a06d5d7949cc94132515b6909632a359056cac,
data\audit_v10_4\alpha_attribution.csv::fwd_return_1m::ticker=DE,data\audit_v10_4\alpha_attribution.csv,fwd_return_1m,ticker=DE,51,2014-03-31,2024-12-31,d2533396b38b7dd65f1fbfd6227fd0698e18989eb24b3fb3cee2822e7e8305c5,
data\audit_v10_4\alpha_attribution.csv::fwd_return_1m::ticker=DOW,data\audit_v10_4\alpha_attribution.csv,fwd_return_1m,ticker=DOW,24,2022-03-31,2026-05-29,dd3d3a56a67e3c4a34ac968f923c50081dc025787a2dc4df2d1866e023c824c0,
data\audit_v10_4\alpha_attribution.csv::fwd_return_1m::ticker=EOG,data\audit_v10_4\alpha_attribution.csv,fwd_return_1m,ticker=EOG,32,2014-02-28,2023-12-29,41939f375f458b03fc76723c16065b7e22a536e8e2754c8b8ba603ba16717808,
data\audit_v10_4\alpha_attribution.csv::fwd_return_1m::ticker=FCX,data\audit_v10_4\alpha_attribution.csv,fwd_return_1m,ticker=FCX,25,2019-03-29,2026-02-27,f6688b9e9dbc70543869397e6447f55c0967b5812bb02f048f6b4c99214a7eac,
data\audit_v10_4\alpha_attribution.csv::fwd_return_1m::ticker=FDX,data\audit_v10_4\alpha_attribution.csv,fwd_return_1m,ticker=FDX,35,2020-03-31,2026-08-31,8d9eff3f5d88f91d2d6586611a0d822c1fc91288c72cbf4a7a492080052d0625,
data\audit_v10_4\alpha_attribution.csv::fwd_return_1m::ticker=FTNT,data\audit_v10_4\alpha_attribution.csv,fwd_return_1m,ticker=FTNT,25,2020-03-31,2025-02-28,0f9a8ec45dde522826055acb6578e820ab583fc381da9a54d391c1c8f2f4b6f9,
data\audit_v10_4\alpha_attribution.csv::fwd_return_1m::ticker=GD,data\audit_v10_4\alpha_attribution.csv,fwd_return_1m,ticker=GD,36,2019-03-29,2026-08-31,075d3c81696bfa55466a32e36c0a5c434127c646cd6eeb899e5423972fe063c2,
data\audit_v10_4\alpha_attribution.csv::fwd_return_1m::ticker=GE,data\audit_v10_4\alpha_attribution.csv,fwd_return_1m,ticker=GE,28,2021-11-30,2026-08-31,7ae16996ebaa528e7c17587d5876fe253539fbeba16b0c947a8f12e1a6fff2d9,
data\audit_v10_4\alpha_attribution.csv::fwd_return_1m::ticker=KLAC,data\audit_v10_4\alpha_attribution.csv,fwd_return_1m,ticker=KLAC,72,2019-09-30,2026-08-31,cbd3e2f69a7f81b42a45f6ddfa852e46e29d9010e71b95ba29505ad2363e9f10,
data\audit_v10_4\alpha_attribution.csv::fwd_return_1m::ticker=KR,data\audit_v10_4\alpha_attribution.csv,fwd_return_1m,ticker=KR,38,2019-12-31,2026-04-30,6313ac8176a675d62619e02b0a422ae1e82d463bbe2e6ae734472cc2bd413613,
data\audit_v10_4\alpha_attribution.csv::fwd_return_1m::ticker=LMT,data\audit_v10_4\alpha_attribution.csv,fwd_return_1m,ticker=LMT,27,2020-04-30,2026-04-30,e71ce0b2b7dcabfe3861df4335f4ece46adb3f29ad1851637f8e7254e829c55d,
data\audit_v10_4\alpha_attribution.csv::fwd_return_1m::ticker=LRCX,data\audit_v10_4\alpha_attribution.csv,fwd_return_1m,ticker=LRCX,52,2019-11-29,2026-07-31,818d5bfcb909d9e2651e6fffb79977ba8ea5fcdef9aabbedbd769640dd2928b0,
data\audit_v10_4\alpha_attribution.csv::fwd_return_1m::ticker=MA,data\audit_v10_4\alpha_attribution.csv,fwd_return_1m,ticker=MA,58,2020-03-31,2026-09-02,5dad9aa6676e95c438c0879bcbfa76917ec96f5595f26ca7b18b801d3482d0f9,
data\audit_v10_4\alpha_attribution.csv::fwd_return_1m::ticker=MAR,data\audit_v10_4\alpha_attribution.csv,fwd_return_1m,ticker=MAR,73,2014-05-30,2026-05-29,b66376226973233a7427325e8cc99bd81e7d658ef4c742212e7ad4fe201fc622,
data\audit_v10_4\alpha_attribution.csv::fwd_return_1m::ticker=MELI,data\audit_v10_4\alpha_attribution.csv,fwd_return_1m,ticker=MELI,29,2020-06-30,2026-09-02,7b3f68bfcbb24707eee47d2eb29e0d9bbb9db5c95eada12fb0035a0fc9fb9be9,
data\audit_v10_4\alpha_attribution.csv::fwd_return_1m::ticker=MPC,data\audit_v10_4\alpha_attribution.csv,fwd_return_1m,ticker=MPC,46,2020-03-31,2026-09-02,40917f8b91bec04bf75965e98b3b3a3a06f353ec6d274e8541645e5c160c93c3,
data\audit_v10_4\alpha_attribution.csv::fwd_return_1m::ticker=MRK,data\audit_v10_4\alpha_attribution.csv,fwd_return_1m,ticker=MRK,34,2014-02-28,2026-02-27,d02dbbd5503000ff5798bbca6b2d9f39d28848d47876c8da142c5b055ba356ac,
data\audit_v10_4\alpha_attribution.csv::fwd_return_1m::ticker=NEM,data\audit_v10_4\alpha_attribution.csv,fwd_return_1m,ticker=NEM,24,2020-03-31,2026-09-02,14491b09b02edd9917a4a094ed55aafcff7cfc56596973befa08d5513b151f43,
data\audit_v10_4\alpha_attribution.csv::fwd_return_1m::ticker=NFLX,data\audit_v10_4\alpha_attribution.csv,fwd_return_1m,ticker=NFLX,127,2014-02-28,2026-01-30,23cf03a16be2839340e4df816c3e2e71c13fc9b3daee8239fcd35f2652c8e7a0,
data\audit_v10_4\alpha_attribution.csv::fwd_return_1m::ticker=NOC,data\audit_v10_4\alpha_attribution.csv,fwd_return_1m,ticker=NOC,26,2019-02-28,2026-03-31,e29e898293a56019ebb51c2edf304692b205930d7d1f41ef9c1041907f4190bd,
data\audit_v10_4\alpha_attribution.csv::fwd_return_1m::ticker=NOW,data\audit_v10_4\alpha_attribution.csv,fwd_return_1m,ticker=NOW,50,2019-03-29,2026-09-02,2f6bad501092f4375b1c4a0cccf61a6b7e4eeaa79fcc0b46056cec6bf9cf42a0,
data\audit_v10_4\alpha_attribution.csv::fwd_return_1m::ticker=NUE,data\audit_v10_4\alpha_attribution.csv,fwd_return_1m,ticker=NUE,30,2021-05-28,2026-09-02,f6f2d5d448d21ef7aceb624d9471aa8c40ba488eb955ea6ae5e7cfe2167b6d37,
data\audit_v10_4\alpha_attribution.csv::fwd_return_1m::ticker=NVDA,data\audit_v10_4\alpha_attribution.csv,fwd_return_1m,ticker=NVDA,60,2019-04-30,2026-09-02,b2828354be1674a16331255d4d96b8e4642b1c4608cfcbe21c5dbd6084214033,
data\audit_v10_4\alpha_attribution.csv::fwd_return_1m::ticker=ORLY,data\audit_v10_4\alpha_attribution.csv,fwd_return_1m,ticker=ORLY,59,2019-03-29,2025-08-29,4e21f8e5a574f280fb1212b64365bbddbcf33401ca128b5a8fad60f7413d3abf,
data\audit_v10_4\alpha_attribution.csv::fwd_return_1m::ticker=OXY,data\audit_v10_4\alpha_attribution.csv,fwd_return_1m,ticker=OXY,24,2020-12-31,2024-02-29,359f1d66d2db82acec22832767f27405e5b25299da4af15818d52ed866b0b9dd,
data\audit_v10_4\alpha_attribution.csv::fwd_return_1m::ticker=PANW,data\audit_v10_4\alpha_attribution.csv,fwd_return_1m,ticker=PANW,41,2019-10-31,2024-09-30,78bad25e821c581f434bade7ca1c3eabb09f79f3a016c24c837f89dbf4bb9155,
data\audit_v10_4\alpha_attribution.csv::fwd_return_1m::ticker=PBR,data\audit_v10_4\alpha_attribution.csv,fwd_return_1m,ticker=PBR,137,2014-02-28,2026-09-02,054d179bc644cc606eb794e5cd09e33011590d190e9dbf440760e5a4d86a3be6,
data\audit_v10_4\alpha_attribution.csv::fwd_return_1m::ticker=PSX,data\audit_v10_4\alpha_attribution.csv,fwd_return_1m,ticker=PSX,32,2021-02-26,2026-09-02,d3a491c7c6def9c0fbfda1b1ac564a6483d606e32bde1b65f5f43c95653e02d0,
data\audit_v10_4\alpha_attribution.csv::fwd_return_1m::ticker=RCL,data\audit_v10_4\alpha_attribution.csv,fwd_return_1m,ticker=RCL,39,2020-09-30,2026-02-27,7f3614208ca5e8508270274e7d4f6ec0b8334ddf719cb02a5cd5cdd8797b0ee2,
data\audit_v10_4\alpha_attribution.csv::fwd_return_1m::ticker=SBUX,data\audit_v10_4\alpha_attribution.csv,fwd_return_1m,ticker=SBUX,30,2014-06-30,2024-11-29,2f6a52935bb667518e79bcc078a6cd765dee2bd7c66eff393c5d8897a9fbd8e8,
data\audit_v10_4\alpha_attribution.csv::fwd_return_1m::ticker=SONY,data\audit_v10_4\alpha_attribution.csv,fwd_return_1m,ticker=SONY,48,2019-08-30,2026-09-02,50bcd5d18f82e667ac972b69276d55ed98d712b4a35fd7f935ee3d8d21ff4129,
