asof,feature,n_available,n_total,coverage
2021-05-31,q_roa,152,181,0.8397790055248618
2021-05-31,q_roe,150,181,0.8287292817679558
2021-05-31,q_operating_margin,116,181,0.6408839779005525
2021-05-31,q_cash_conversion,150,181,0.8287292817679558
2021-05-31,q_debt_to_assets,135,181,0.7458563535911602
2021-05-31,q_current_ratio,143,181,0.7900552486187845
2021-05-31,g_revenue_yoy,139,181,0.7679558011049724
2021-05-31,g_net_income_yoy,152,181,0.8397790055248618
2021-05-31,g_eps_yoy,147,181,0.8121546961325967
2021-05-31,g_operating_income_yoy,129,181,0.712707182320442
2021-05-31,v_earnings_yield,144,181,0.7955801104972375
2021-05-31,v_sales_yield,133,181,0.7348066298342542
2021-05-31,v_book_to_market,147,181,0.8121546961325967
2021-05-31,v_fcf_yield,114,181,0.6298342541436464
2021-06-30,q_roa,152,181,0.8397790055248618
2021-06-30,q_roe,150,181,0.8287292817679558
2021-06-30,q_operating_margin,116,181,0.6408839779005525
2021-06-30,q_cash_conversion,150,181,0.8287292817679558
2021-06-30,q_debt_to_assets,136,181,0.7513812154696132
2021-06-30,q_current_ratio,144,181,0.7955801104972375
2021-06-30,g_revenue_yoy,139,181,0.7679558011049724
2021-06-30,g_net_income_yoy,152,181,0.8397790055248618
2021-06-30,g_eps_yoy,147,181,0.8121546961325967
2021-06-30,g_operating_income_yoy,129,181,0.712707182320442
2021-06-30,v_earnings_yield,144,181,0.7955801104972375
2021-06-30,v_sales_yield,133,181,0.7348066298342542
2021-06-30,v_book_to_market,148,181,0.8176795580110497
2021-06-30,v_fcf_yield,114,181,0.6298342541436464
2021-07-31,q_roa,152,181,0.8397790055248618
2021-07-31,q_roe,150,181,0.8287292817679558
2021-07-31,q_operating_margin,116,181,0.6408839779005525
2021-07-31,q_cash_conversion,150,181,0.8287292817679558
2021-07-31,q_debt_to_assets,136,181,0.7513812154696132
2021-07-31,q_current_ratio,144,181,0.7955801104972375
2021-07-31,g_revenue_yoy,139,181,0.7679558011049724
2021-07-31,g_net_income_yoy,152,181,0.8397790055248618
2021-07-31,g_eps_yoy,147,181,0.8121546961325967
2021-07-31,g_operating_income_yoy,129,181,0.712707182320442
2021-07-31,v_earnings_yield,144,181,0.7955801104972375
2021-07-31,v_sales_yield,133,181,0.7348066298342542
2021-07-31,v_book_to_market,148,181,0.8176795580110497
2021-07-31,v_fcf_yield,114,181,0.6298342541436464
2021-08-31,q_roa,152,181,0.8397790055248618
2021-08-31,q_roe,150,181,0.8287292817679558
2021-08-31,q_operating_margin,116,181,0.6408839779005525
2021-08-31,q_cash_conversion,150,181,0.8287292817679558
2021-08-31,q_debt_to_assets,136,181,0.7513812154696132
2021-08-31,q_current_ratio,144,181,0.7955801104972375
2021-08-31,g_revenue_yoy,139,181,0.7679558011049724
2021-08-31,g_net_income_yoy,152,181,0.8397790055248618
2021-08-31,g_eps_yoy,147,181,0.8121546961325967
2021-08-31,g_operating_income_yoy,129,181,0.712707182320442
2021-08-31,v_earnings_yield,144,181,0.7955801104972375
2021-08-31,v_sales_yield,133,181,0.7348066298342542
2021-08-31,v_book_to_market,148,181,0.8176795580110497
2021-08-31,v_fcf_yield,114,181,0.6298342541436464
2021-09-30,q_roa,152,181,0.8397790055248618
2021-09-30,q_roe,150,181,0.8287292817679558
2021-09-30,q_operating_margin,117,181,0.6464088397790055
2021-09-30,q_cash_conversion,150,181,0.8287292817679558
2021-09-30,q_debt_to_assets,136,181,0.7513812154696132
2021-09-30,q_current_ratio,144,181,0.7955801104972375
2021-09-30,g_revenue_yoy,140,181,0.7734806629834254
2021-09-30,g_net_income_yoy,152,181,0.8397790055248618
2021-09-30,g_eps_yoy,148,181,0.8176795580110497
2021-09-30,g_operating_income_yoy,129,181,0.712707182320442
2021-09-30,v_earnings_yield,144,181,0.7955801104972375
2021-09-30,v_sales_yield,134,181,0.7403314917127072
2021-09-30,v_book_to_market,148,181,0.8176795580110497
2021-09-30,v_fcf_yield,114,181,0.6298342541436464
2021-10-31,q_roa,152,181,0.8397790055248618
2021-10-31,q_roe,150,181,0.8287292817679558
2021-10-31,q_operating_margin,117,181,0.6464088397790055
2021-10-31,q_cash_conversion,150,181,0.8287292817679558
2021-10-31,q_debt_to_assets,136,181,0.7513812154696132
2021-10-31,q_current_ratio,144,181,0.7955801104972375
2021-10-31,g_revenue_yoy,140,181,0.7734806629834254
2021-10-31,g_net_income_yoy,152,181,0.8397790055248618
2021-10-31,g_eps_yoy,148,181,0.8176795580110497
2021-10-31,g_operating_income_yoy,129,181,0.712707182320442
2021-10-31,v_earnings_yield,144,181,0.7955801104972375
2021-10-31,v_sales_yield,134,181,0.7403314917127072
2021-10-31,v_book_to_market,148,181,0.8176795580110497
2021-10-31,v_fcf_yield,114,181,0.6298342541436464
2021-11-30,q_roa,152,181,0.8397790055248618
2021-11-30,q_roe,150,181,0.8287292817679558
2021-11-30,q_operating_margin,118,181,0.6519337016574586
2021-11-30,q_cash_conversion,150,181,0.8287292817679558
2021-11-30,q_debt_to_assets,136,181,0.7513812154696132
2021-11-30,q_current_ratio,144,181,0.7955801104972375
2021-11-30,g_revenue_yoy,141,181,0.7790055248618785
2021-11-30,g_net_income_yoy,152,181,0.8397790055248618
2021-11-30,g_eps_yoy,148,181,0.8176795580110497
2021-11-30,g_operating_income_yoy,129,181,0.712707182320442
2021-11-30,v_earnings_yield,144,181,0.7955801104972375
2021-11-30,v_sales_yield,135,181,0.7458563535911602
2021-11-30,v_book_to_market,148,181,0.8176795580110497
2021-11-30,v_fcf_yield,114,181,0.6298342541436464
2021-12-31,q_roa,152,181,0.8397790055248618
2021-12-31,q_roe,150,181,0.8287292817679558
2021-12-31,q_operating_margin,118,181,0.6519337016574586
2021-12-31,q_cash_conversion,150,181,0.8287292817679558
2021-12-31,q_debt_to_assets,136,181,0.7513812154696132
2021-12-31,q_current_ratio,144,181,0.7955801104972375
2021-12-31,g_revenue_yoy,141,181,0.7790055248618785
2021-12-31,g_net_income_yoy,152,181,0.8397790055248618
2021-12-31,g_eps_yoy,148,181,0.8176795580110497
2021-12-31,g_operating_income_yoy,129,181,0.712707182320442
2021-12-31,v_earnings_yield,144,181,0.7955801104972375
2021-12-31,v_sales_yield,135,181,0.7458563535911602
2021-12-31,v_book_to_market,148,181,0.8176795580110497
2021-12-31,v_fcf_yield,114,181,0.6298342541436464
2022-01-31,q_roa,152,181,0.8397790055248618
2022-01-31,q_roe,150,181,0.8287292817679558
2022-01-31,q_operating_margin,118,181,0.6519337016574586
2022-01-31,q_cash_conversion,150,181,0.8287292817679558
2022-01-31,q_debt_to_assets,136,181,0.7513812154696132
2022-01-31,q_current_ratio,144,181,0.7955801104972375
2022-01-31,g_revenue_yoy,141,181,0.7790055248618785
2022-01-31,g_net_income_yoy,152,181,0.8397790055248618
2022-01-31,g_eps_yoy,148,181,0.8176795580110497
2022-01-31,g_operating_income_yoy,129,181,0.712707182320442
2022-01-31,v_earnings_yield,144,181,0.7955801104972375
2022-01-31,v_sales_yield,135,181,0.7458563535911602
2022-01-31,v_book_to_market,148,181,0.8176795580110497
2022-01-31,v_fcf_yield,114,181,0.6298342541436464
2022-02-28,q_roa,154,181,0.850828729281768
2022-02-28,q_roe,152,181,0.8397790055248618
2022-02-28,q_operating_margin,122,181,0.6740331491712708
2022-02-28,q_cash_conversion,152,181,0.8397790055248618
