ticker,sec_match,cik,sec_title,facts_rows,has_assets,has_capex,has_cash,has_current_assets,has_current_liabilities,has_eps_diluted,has_equity,has_long_term_debt,has_net_income,has_operating_cash_flow,has_operating_income,has_revenue,has_shares_outstanding
MSFT,True,0000789019,MICROSOFT CORP,2595,True,True,True,True,True,True,True,True,True,True,True,True,True
BRK-B,True,0001067983,BERKSHIRE HATHAWAY INC,1117,True,True,True,False,False,False,True,False,True,True,True,True,True
PG,True,0000080424,PROCTER & GAMBLE Co,2551,True,True,True,True,True,True,True,True,True,True,True,True,True
MELI,True,0001099590,MERCADOLIBRE INC,2349,True,True,True,True,True,True,True,True,True,True,True,True,True
META,True,0001326801,"Meta Platforms, Inc.",1707,True,True,True,True,True,True,True,True,True,True,True,True,False
AVGO,True,0001730168,Broadcom Inc.,991,True,True,True,True,True,True,True,True,True,True,True,True,True
AMZN,True,0001018724,AMAZON COM INC,2756,True,True,True,True,True,True,True,True,True,True,True,True,True
GE,True,0000040545,GENERAL ELECTRIC CO,1822,True,True,True,True,True,True,True,True,True,True,True,True,True
NKE,True,0000320187,"NIKE, Inc.",1812,True,True,True,True,True,True,True,True,True,True,False,True,True
DIS,True,0001744489,Walt Disney Co,1040,True,True,True,True,True,True,True,True,True,True,True,True,True
CAT,True,0000018230,CATERPILLAR INC,2074,True,True,True,True,True,True,True,True,True,True,True,True,True
MMM,True,0000066740,3M CO,2339,True,True,True,True,True,True,True,True,True,True,True,True,True
PFE,True,0000078003,PFIZER INC,1665,True,True,True,True,True,True,True,True,True,True,False,True,True
V,True,0001403161,VISA INC.,1385,True,False,True,True,True,False,True,True,True,True,True,True,True
AXP,True,0000004962,AMERICAN EXPRESS CO,1624,True,True,True,False,False,True,True,True,True,True,True,True,True
CAAP,True,0001717393,CORPORACION AMERICA AIRPORTS S.A.,13,False,False,True,False,False,False,False,False,False,False,False,False,True
ABBV,True,0001551152,AbbVie Inc.,1494,True,True,True,True,True,True,True,True,True,True,True,True,True
BABA,True,0001577552,Alibaba Group Holding Ltd,175,True,False,True,True,True,True,True,False,True,True,True,True,True
