ticker,name,class,motor,sector,sec_match,sec_ticker,cik,sec_title
MSFT,Microsoft Corporation,CEDEAR,Fundamental,Tecnologico,True,MSFT,0000789019,MICROSOFT CORP
BRK-B,Berkshire Hathaway Inc. New,CEDEAR,Fundamental,Financiero,True,BRK-B,0001067983,BERKSHIRE HATHAWAY INC
PG,Procter & Gamble Company (The),CEDEAR,Fundamental,Consumo Masivo,True,PG,0000080424,PROCTER & GAMBLE Co
MELI,"MercadoLibre, Inc.",CEDEAR,Fundamental,Tecnologico,True,MELI,0001099590,MERCADOLIBRE INC
META,"Meta Platforms, Inc.",CEDEAR,Fundamental,Comunicacion,True,META,0001326801,"Meta Platforms, Inc."
AVGO,Broadcom Inc.,CEDEAR,Fundamental,IA / Semiconductores,True,AVGO,0001730168,Broadcom Inc.
AMZN,"Amazon.com, Inc.",CEDEAR,Fundamental,Consumo Discrecional,True,AMZN,0001018724,AMAZON COM INC
GE,GE Aerospace,CEDEAR,Fundamental,Industrial,True,GE,0000040545,GENERAL ELECTRIC CO
NKE,"Nike, Inc.",CEDEAR,Fundamental,Consumo Discrecional,True,NKE,0000320187,"NIKE, Inc."
DIS,Walt Disney Company (The),CEDEAR,Fundamental,Comunicacion,True,DIS,0001744489,Walt Disney Co
CAT,"Caterpillar, Inc.",CEDEAR,Fundamental,Industrial,True,CAT,0000018230,CATERPILLAR INC
MMM,3M Company,CEDEAR,Fundamental,Industrial,True,MMM,0000066740,3M CO
PFE,"Pfizer, Inc.",CEDEAR,Fundamental,Salud,True,PFE,0000078003,PFIZER INC
V,Visa Inc.,CEDEAR,Fundamental,Financiero,True,V,0001403161,VISA INC.
AXP,American Express Company,CEDEAR,Fundamental,Financiero,True,AXP,0000004962,AMERICAN EXPRESS CO
CAAP,Corporacion America Airports SA,CEDEAR,Fundamental,Industrial,True,CAAP,0001717393,CORPORACION AMERICA AIRPORTS S.A.
ABBV,AbbVie Inc.,CEDEAR,Fundamental,Salud,True,ABBV,0001551152,AbbVie Inc.
BABA,Alibaba Group Holding Limited,CEDEAR,Fundamental,Consumo Discrecional,True,BABA,0001577552,Alibaba Group Holding Ltd
COIN,COIN,CEDEAR,Alternativo,Cripto,True,COIN,0001679788,"Coinbase Global, Inc."
NFLX,"Netflix, Inc.",CEDEAR,Fundamental,Comunicacion,True,NFLX,0001065280,NETFLIX INC
GLOB,Globant S.A.,CEDEAR,Fundamental,Tecnologico,True,GLOB,0001557860,Globant S.A.
