symbol,status,rows
AACC,CACHED_EMPTY,0
AABA,CACHED_EMPTY,0
AAWW,CACHED_EMPTY,0
ABMD,CACHED_EMPTY,0
ABVT,CACHED_EMPTY,0
ACC,CACHED_EMPTY,0
ACCD,CACHED_EMPTY,0
ACAT,CACHED_EMPTY,0
ACETQ,CACHED_EMPTY,0
ACCL,CACHED_EMPTY,0
ACHN,CACHED_EMPTY,0
ACGN,CACHED_EMPTY,0
ACIA,CACHED_EMPTY,0
ACLX,CACHED_EMPTY,0
ACMP,CACHED_EMPTY,0
ACO,CACHED_EMPTY,0
ABAX,CACHED_OK,6675
ACW,CACHED_EMPTY,0
ACFC,CACHED_OK,3419
ACI,CACHED_OK,59
ABXL,CACHED_OK,24
ADEP,CACHED_EMPTY,0
ADCT,CACHED_EMPTY,0
ACXM,CACHED_EMPTY,0
ADGF,CACHED_EMPTY,0
ADMS,CACHED_EMPTY,0
ADGE,CACHED_EMPTY,0
ADPT,CACHED_EMPTY,0
ADK,CACHED_EMPTY,0
ADPTQ,CACHED_EMPTY,0
ADY,CACHED_EMPTY,0
ADSW,CACHED_EMPTY,0
AE,CACHED_EMPTY,0
ADVM,CACHED_EMPTY,0
AEA,CACHED_EMPTY,0
AEGN,CACHED_EMPTY,0
ACTA,CACHED_OK,4707
AEPI,CACHED_EMPTY,0
AEL,CACHED_EMPTY,0
AESC,CACHED_EMPTY,0
AERI,CACHED_EMPTY,0
AFFX,CACHED_EMPTY,0
AFGC,CACHED_EMPTY,0
AFOP,CACHED_EMPTY,0
AFSD,CACHED_EMPTY,0
AGII,CACHED_EMPTY,0
AGP,CACHED_EMPTY,0
AGS,CACHED_EMPTY,0
AGR,CACHED_EMPTY,0
ADT,CACHED_OK,577
AHL-P-C,CACHED_EMPTY,0
AHL,CACHED_EMPTY,0
AHP,CACHED_EMPTY,0
AHS,CACHED_EMPTY,0
AEUA,CACHED_OK,228
AIII,CACHED_EMPTY,0
AFSI,CACHED_OK,3033
AHGP,CACHED_OK,3039
AIQ,CACHED_EMPTY,0
AIRM,CACHED_EMPTY,0
AIZP,CACHED_EMPTY,0
AL-P-A,CACHED_EMPTY,0
AHRT,CACHED_OK,686
AIFU,CACHED_OK,4418
AKCA,CACHED_EMPTY,0
AIP,CACHED_OK,359
ALBO,CACHED_EMPTY,0
ALC,CACHED_EMPTY,0
ALDR,CACHED_EMPTY,0
ALE,CACHED_EMPTY,0
AIM,CACHED_OK,4954
ALIM,CACHED_EMPTY,0
ALN,CACHED_EMPTY,0
ALJ,CACHED_EMPTY,0
ALIN-P-B,CACHED_EMPTY,0
ALTA,CACHED_EMPTY,0
ALIN-P-A,CACHED_EMPTY,0
ALTI,CACHED_EMPTY,0
ALTV,CACHED_EMPTY,0
ALTM,CACHED_EMPTY,0
ALXA,CACHED_EMPTY,0
ALXN,CACHED_EMPTY,0
AMAG,CACHED_EMPTY,0
AMED,CACHED_EMPTY,0
AMCC,CACHED_EMPTY,0
AMID,CACHED_EMPTY,0
AMRI,CACHED_EMPTY,0
AMLX,CACHED_EMPTY,0
AMIC,CACHED_EMPTY,0
AMRK,CACHED_EMPTY,0
AMWD,CACHED_EMPTY,0
ANAD,CACHED_EMPTY,0
ANCI,CACHED_EMPTY,0
ANN,CACHED_EMPTY,0
APFH,CACHED_EMPTY,0
APAGF,CACHED_EMPTY,0
APIC,CACHED_EMPTY,0
APL,CACHED_EMPTY,0
APLT,CACHED_EMPTY,0
APLS,CACHED_EMPTY,0
APOL,CACHED_EMPTY,0
APU,CACHED_EMPTY,0
AMTD,CACHED_OK,300
ANCX,CACHED_OK,3593
ANVS,CACHED_OK,212
AQNU,CACHED_EMPTY,0
AQUA,CACHED_EMPTY,0
API,CACHED_OK,42
ARAV,CACHED_EMPTY,0
ARC,CACHED_EMPTY,0
ARGO-P-A,CACHED_EMPTY,0
ARG,CACHED_EMPTY,0
ARNA,CACHED_EMPTY,0
ARGSQ,CACHED_EMPTY,0
ARO,CACHED_EMPTY,0
ARRY,CACHED_EMPTY,0
ARSD,CACHED_EMPTY,0
ART,CACHED_EMPTY,0
ARUN,CACHED_EMPTY,0
ARTX,CACHED_EMPTY,0
ARX,CACHED_EMPTY,0
ASBC,CACHED_EMPTY,0
ASB-P-D,CACHED_EMPTY,0
ASEI,CACHED_EMPTY,0
ASFI,CACHED_EMPTY,0
AREBW,CACHED_OK,2
ASI,CACHED_EMPTY,0
AREB,CACHED_OK,1149
AST,CACHED_EMPTY,0
ASV,CACHED_EMPTY,0
ASXC,CACHED_EMPTY,0
ATHN,CACHED_EMPTY,0
ATML,CACHED_EMPTY,0
ATNY,CACHED_EMPTY,0
ATK,CACHED_EMPTY,0
ATRI,CACHED_EMPTY,0
ATSG,CACHED_EMPTY,0
ATRS,CACHED_EMPTY,0
ATTU,CACHED_EMPTY,0
ATV,CACHED_EMPTY,0
ATVI,CACHED_EMPTY,0
ATX,CACHED_EMPTY,0
ASNS,CACHED_OK,1082
ATXS,CACHED_EMPTY,0
AUGX,CACHED_EMPTY,0
ASRT,CACHED_OK,3
AUXO,CACHED_EMPTY,0
AVCT,CACHED_EMPTY,0
