symbol,name,exchange,asset_type,ipo_date,delisting_date,status,source_state,symbol_norm,name_norm,cik,mapping_method,mapping_confidence,mapping_ambiguity_n,eligible
AABA,Altaba Inc,NASDAQ,Stock,1996-04-12,2019-11-06,Delisted,delisted,AABA,ALTABA,0001011006,EXACT_NAME_UNIQUE,0.98,0,True
AACC,Asset Acceptance Capital Corp,NASDAQ,Stock,2004-02-05,2013-10-17,Delisted,delisted,AACC,ASSET ACCEPTANCE CAPITAL,0001264707,EXACT_NAME_UNIQUE,0.98,0,True
AAWW,Atlas Air Worldwide Holdings Inc,NASDAQ,Stock,2005-11-09,2023-04-03,Delisted,delisted,AAWW,ATLAS AIR WORLDWIDE,0001135185,EXACT_NAME_UNIQUE,0.98,0,True
ABAX,Abaxis Inc,NASDAQ,Stock,1992-01-23,2018-08-01,Delisted,delisted,ABAX,ABAXIS,0000881890,EXACT_NAME_UNIQUE,0.98,0,True
ABMD,Abiomed Inc,NASDAQ,Stock,1987-07-30,2023-01-03,Delisted,delisted,ABMD,ABIOMED,0000815094,EXACT_NAME_UNIQUE,0.98,0,True
ABVT,ABOVENET INC,NYSE,Stock,2010-12-02,2013-07-10,Delisted,delisted,ABVT,ABOVENET,0001043533,EXACT_NAME_UNIQUE,0.98,0,True
ABXL,,NYSE,Stock,2025-12-30,2026-01-27,Delisted,delisted,ABXL,,0001814287,EXACT_TICKER_UNIQUE,1.0,0,True
ACAT,Arctic Cat Inc,NASDAQ,Stock,2001-01-02,2017-03-07,Delisted,delisted,ACAT,ARCTIC CAT,0000719866,EXACT_NAME_UNIQUE,0.98,0,True
ACC,American Campus Communities Inc,NYSE,Stock,2004-08-12,2022-08-09,Delisted,delisted,ACC,AMERICAN CAMPUS COMMUNITIES,0001283630,EXACT_NAME_UNIQUE,0.98,0,True
ACCD,Accolade Inc,NASDAQ,Stock,2020-07-02,2025-04-08,Delisted,delisted,ACCD,ACCOLADE,0001481646,EXACT_NAME_UNIQUE,0.98,0,True
ACCL,Accelrys Inc,NASDAQ,Stock,1995-12-06,2014-05-06,Delisted,delisted,ACCL,ACCELRYS,0002038378,EXACT_TICKER_UNIQUE,1.0,0,True
ACETQ,Aceto Corp,NASDAQ,Stock,1990-03-26,2019-10-01,Delisted,delisted,ACETQ,ACETO,0000002034,EXACT_NAME_UNIQUE,0.98,0,True
ACFC,Atlantic Coast Financial Corp,NASDAQ,Stock,2004-10-05,2018-05-29,Delisted,delisted,ACFC,ATLANTIC COAST FINANCIAL,0001404296,EXACT_NAME_UNIQUE,0.98,0,True
ACGN,Aceragen Inc,NASDAQ,Stock,1996-01-25,2023-09-01,Delisted,delisted,ACGN,ACERAGEN,0000861838,EXACT_NAME_UNIQUE,0.98,0,True
ACHN,Achillion Pharmaceuticals Inc,NASDAQ,Stock,2006-11-09,2020-01-28,Delisted,delisted,ACHN,ACHILLION PHARMACEUTICALS,0001070336,EXACT_NAME_UNIQUE,0.98,0,True
ACI,Arch Coal Inc,NYSE,Stock,1988-08-12,2020-09-15,Delisted,delisted,ACI,ARCH COAL,0001646972,EXACT_TICKER_UNIQUE,1.0,0,True
ACIA,Acacia Communications Inc,NASDAQ,Stock,2016-05-13,2021-03-01,Delisted,delisted,ACIA,ACACIA COMMUNICATIONS,0001651235,EXACT_NAME_UNIQUE,0.98,0,True
ACLX,Arcellx Inc,NASDAQ,Stock,2022-02-04,2026-04-28,Delisted,delisted,ACLX,ARCELLX,0001786205,EXACT_NAME_UNIQUE,0.98,0,True
ACMP,Access Midstream Partners LP,NASDAQ,Stock,2010-07-29,2015-02-02,Delisted,delisted,ACMP,ACCESS MIDSTREAM PARTNERS,0001483096,EXACT_NAME_UNIQUE,0.98,0,True
ACO,AMCOL International Corp,NYSE,Stock,1987-08-13,2014-05-12,Delisted,delisted,ACO,AMCOL INTERNATIONAL,0000813621,EXACT_NAME_UNIQUE,0.98,0,True
ACTA,Actua Corp,NASDAQ,Stock,1999-08-05,2018-04-20,Delisted,delisted,ACTA,ACTUA,0001085621,EXACT_NAME_UNIQUE,0.98,0,True
ACW,Accuride Corp,NYSE,Stock,2010-03-03,2016-11-28,Delisted,delisted,ACW,ACCURIDE,0000817979,EXACT_NAME_UNIQUE,0.98,0,True
ACXM,Acxiom Corp,NASDAQ,Stock,1984-09-07,2018-10-01,Delisted,delisted,ACXM,ACXIOM,0000733269,EXACT_NAME_UNIQUE,0.98,0,True
ADCT,ADC TELECOMMUNICATIONS INC,NYSE,Stock,2001-01-02,2010-12-20,Delisted,delisted,ADCT,ADC TELECOMMUNICATIONS,0001771910,EXACT_TICKER_UNIQUE,1.0,0,True
ADEP,Adept Technology Inc,NASDAQ,Stock,1995-12-15,2015-10-26,Delisted,delisted,ADEP,ADEPT TECHNOLOGY,0000865415,EXACT_NAME_UNIQUE,0.98,0,True
ADGE,American DG Energy Inc,NYSE,Stock,2007-12-27,2017-07-14,Delisted,delisted,ADGE,AMERICAN DG ENERGY,0001378706,EXACT_NAME_UNIQUE,0.98,0,True
ADGF,Adams Golf Inc,NASDAQ,Stock,1998-07-10,2012-06-11,Delisted,delisted,ADGF,ADAMS GOLF,0001059763,EXACT_NAME_UNIQUE,0.98,0,True
ADK,AdCare Health Systems Inc,NYSE,Stock,2006-12-21,2017-10-02,Delisted,delisted,ADK,ADCARE HEALTH SYSTEMS,0001004724,EXACT_NAME_UNIQUE,0.98,0,True
ADMS,Adamas Pharmaceuticals Inc,NASDAQ,Stock,2014-04-10,2021-11-24,Delisted,delisted,ADMS,ADAMAS PHARMACEUTICALS,0001328143,EXACT_NAME_UNIQUE,0.98,0,True
ADPT,Adeptus Health Inc,NYSE,Stock,2014-06-25,2017-04-20,Delisted,delisted,ADPT,ADEPTUS HEALTH,0001478320,EXACT_TICKER_UNIQUE,1.0,0,True
ADPTQ,Adeptus Health Inc,NYSE,Stock,2014-06-25,2017-11-01,Delisted,delisted,ADPTQ,ADEPTUS HEALTH,0001602367,EXACT_NAME_UNIQUE,0.98,0,True
ADSW,Advanced Disposal Services Inc,NYSE,Stock,2016-10-06,2021-11-05,Delisted,delisted,ADSW,ADVANCED DISPOSAL SERVICES,0001585790,EXACT_NAME_UNIQUE,0.98,0,True
ADT,ADT Corp,NYSE,Stock,2012-09-28,2020-05-01,Delisted,delisted,ADT,ADT,0001703056,EXACT_TICKER_UNIQUE,1.0,0,True
ADVM,Adverum Biotechnologies Inc,NASDAQ,Stock,2016-01-04,2026-09-03,Delisted,delisted,ADVM,ADVERUM BIOTECHNOLOGIES,0001501756,EXACT_NAME_UNIQUE,0.98,0,True
ADY,Feihe International Inc,NYSE,Stock,2006-05-26,2013-10-17,Delisted,delisted,ADY,FEIHE INTERNATIONAL,0000789868,EXACT_NAME_UNIQUE,0.98,0,True
AE,Adams Resources & Energy Inc,NYSE MKT,Stock,1984-09-07,2025-02-04,Delisted,delisted,AE,ADAMS RESOURCES AND ENERGY,0000002178,EXACT_NAME_UNIQUE,0.98,0,True
AEA,Advance America Cash Advance Centers Inc,NYSE,Stock,2005-08-26,2013-05-01,Delisted,delisted,AEA,ADVANCE AMERICA CASH ADVANCE CENTERS,0001299704,EXACT_NAME_UNIQUE,0.98,0,True
AEGN,Aegion Corp,NASDAQ,Stock,1989-04-24,2021-05-17,Delisted,delisted,AEGN,AEGION,0000353020,EXACT_NAME_UNIQUE,0.98,0,True
AEL,American Equity Investment Life Holding Company,NYSE,Stock,2003-12-04,2024-05-02,Delisted,delisted,AEL,AMERICAN EQUITY INVESTMENT LIFE,0001039828,EXACT_NAME_UNIQUE,0.98,0,True
AEPI,AEP Industries,NASDAQ,Stock,2001-01-02,2017-01-30,Delisted,delisted,AEPI,AEP INDUSTRIES,0000785787,EXACT_NAME_UNIQUE,0.98,0,True
AERI,Aerie Pharmaceuticals Inc,NASDAQ,Stock,2013-10-25,2023-01-03,Delisted,delisted,AERI,AERIE PHARMACEUTICALS,0001337553,EXACT_NAME_UNIQUE,0.98,0,True
AESC,AES Corp,NYSE,Stock,2021-03-05,2024-02-14,Delisted,delisted,AESC,AES,0000874761,EXACT_NAME_UNIQUE,0.98,0,True
AEUA,Anadarko Petroleum Corp,NYSE,Stock,2015-06-11,2018-06-07,Delisted,delisted,AEUA,ANADARKO PETROLEUM,0000773910,EXACT_NAME_UNIQUE,0.98,0,True
AFFX,Affymetrix Inc,NASDAQ,Stock,2016-01-04,2016-04-01,Delisted,delisted,AFFX,AFFYMETRIX,0000913077,EXACT_NAME_UNIQUE,0.98,0,True
AFGC,Africa Growth Cp,NYSE,Stock,2011-08-04,2019-08-29,Delisted,delisted,AFGC,AFRICA GROWTH CP,0001042046,EXACT_TICKER_UNIQUE,1.0,0,True
AFOP,Alliance Fiber Optic Products Inc,NASDAQ,Stock,2000-11-30,2016-06-07,Delisted,delisted,AFOP,ALLIANCE FIBER OPTIC PRODUCTS,0001122342,EXACT_NAME_UNIQUE,0.98,0,True
AFSD,Aflac Inc,NYSE,Stock,2012-09-27,2018-01-10,Delisted,delisted,AFSD,AFLAC,0000004977,EXACT_NAME_UNIQUE,0.98,0,True
AFSI,Amtrust Financial Services Inc,NASDAQ,Stock,2006-11-13,2018-11-29,Delisted,delisted,AFSI,AMTRUST FINANCIAL SERVICES,0001365555,EXACT_NAME_UNIQUE,0.98,0,True
AGII,Argo Group International Holdings Ltd,NASDAQ,Stock,1986-11-14,2018-05-04,Delisted,delisted,AGII,ARGO INTERNATIONAL,0001091748,EXACT_NAME_UNIQUE,0.98,0,True
AGP,Amerigroup Corp,NYSE,Stock,2006-12-28,2012-12-21,Delisted,delisted,AGP,AMERIGROUP,0001064863,EXACT_NAME_UNIQUE,0.98,0,True
AGR,Avangrid Inc,NYSE,Stock,2015-12-17,2026-09-03,Delisted,delisted,AGR,AVANGRID,0001634997,EXACT_NAME_UNIQUE,0.98,0,True
AGS,PlayAGS Inc,NYSE,Stock,2018-01-26,2025-06-30,Delisted,delisted,AGS,PLAYAGS,0001593548,EXACT_NAME_UNIQUE,0.98,0,True
AHGP,Alliance Holdings GP L.P.,NASDAQ,Stock,2006-05-10,2018-06-01,Delisted,delisted,AHGP,ALLIANCE GP L P,0001344980,EXACT_NAME_UNIQUE,0.98,0,True
AHL,Aspen Insurance Holdings Ltd,NYSE,Stock,2025-05-08,2026-02-24,Delisted,delisted,AHL,ASPEN INSURANCE,0001267395,EXACT_NAME_UNIQUE,0.98,0,True
AHL-P-C,Aspen Insurance Holdings Ltd,NYSE,Stock,2013-05-07,2024-12-31,Delisted,delisted,AHL-P-C,ASPEN INSURANCE,0001267395,EXACT_NAME_UNIQUE,0.98,0,True
AHP,Ashford Hospitality Prime Inc,NYSE,Stock,2013-11-06,2018-04-23,Delisted,delisted,AHP,ASHFORD HOSPITALITY PRIME,0001574085,EXACT_NAME_UNIQUE,0.98,0,True
AHRT,American Healthcare REIT Inc - Class T,NYSE,Stock,2023-09-11,2026-05-28,Delisted,delisted,AHRT,AMERICAN HEALTHCARE REIT CLASS T,0001569187,EXACT_TICKER_UNIQUE,1.0,0,True
AHS,AMN Healthcare Services Inc,NYSE,Stock,2001-11-13,2016-10-26,Delisted,delisted,AHS,AMN HEALTHCARE SERVICES,0001142750,EXACT_NAME_UNIQUE,0.98,0,True
AIFU,AIFU Inc,NASDAQ,Stock,2007-11-01,2025-05-20,Delisted,delisted,AIFU,AIFU,0001413855,EXACT_TICKER_UNIQUE,1.0,0,True
AIII,ACRE Realty Investors Inc,NYSE,Stock,1997-12-10,2017-08-17,Delisted,delisted,AIII,ACRE REALTY INVESTORS,0001011109,EXACT_NAME_UNIQUE,0.98,0,True
AIM,AEROSONIC CORP,AMEX,Stock,2006-12-28,2026-09-03,Delisted,delisted,AIM,AEROSONIC,0000946644,EXACT_TICKER_UNIQUE,1.0,0,True
AIP,Infinya Ltd,NYSE MKT,Stock,2011-12-27,2023-03-28,Delisted,delisted,AIP,INFINYA,0001667011,EXACT_TICKER_UNIQUE,1.0,0,True
AIQ,ALLIANCE HEALTHCARE SERVICES INC,NASDAQ,Stock,2001-07-27,2017-08-31,Delisted,delisted,AIQ,ALLIANCE HEALTHCARE SERVICES,0000817135,EXACT_NAME_UNIQUE,0.98,0,True
AIRM,Air Methods Corp,NASDAQ,Stock,1987-08-31,2017-04-24,Delisted,delisted,AIRM,AIR METHODS,0000816159,EXACT_NAME_UNIQUE,0.98,0,True
AIZP,Assurant Inc,NYSE,Stock,2018-03-08,2021-03-12,Delisted,delisted,AIZP,ASSURANT,0001267238,EXACT_NAME_UNIQUE,0.98,0,True
AKCA,Akcea Therapeutics Inc,NASDAQ,Stock,2017-07-14,2020-10-12,Delisted,delisted,AKCA,AKCEA THERAPEUTICS,0001662524,EXACT_NAME_UNIQUE,0.98,0,True
AL-P-A,Air Lease Corp,NYSE,Stock,2019-02-27,2024-10-16,Delisted,delisted,AL-P-A,AIR LEASE,0001487712,EXACT_NAME_UNIQUE,0.98,0,True
ALBO,Albireo Pharma Inc,NASDAQ,Stock,2007-05-11,2023-03-02,Delisted,delisted,ALBO,ALBIREO PHARMA,0001322505,EXACT_NAME_UNIQUE,0.98,0,True
ALC,Assisted Living Concepts LLC,NYSE,Stock,2006-11-10,2013-10-17,Delisted,delisted,ALC,ASSISTED LIVING CONCEPTS,0001167379,EXACT_TICKER_UNIQUE,1.0,0,True
ALDR,Alder Biopharmaceuticals Inc,NASDAQ,Stock,2014-05-08,2019-10-22,Delisted,delisted,ALDR,ALDER BIOPHARMACEUTICALS,0001423824,EXACT_NAME_UNIQUE,0.98,0,True
ALE,Allete Inc,NYSE,Stock,1973-05-03,2026-09-03,Delisted,delisted,ALE,ALLETE,0000066756,EXACT_NAME_UNIQUE,0.98,0,True
ALIM,Alimera Sciences Inc,NASDAQ,Stock,2010-04-22,2026-09-03,Delisted,delisted,ALIM,ALIMERA SCIENCES,0001267602,EXACT_NAME_UNIQUE,0.98,0,True
ALIN-P-A,Altera Infrastructure L.P,NYSE,Stock,2014-09-22,2022-08-30,Delisted,delisted,ALIN-P-A,ALTERA INFRASTRUCTURE L P,0001382298,EXACT_NAME_UNIQUE,0.98,0,True
ALIN-P-B,Altera Infrastructure L.P,NYSE,Stock,2015-04-21,2022-08-30,Delisted,delisted,ALIN-P-B,ALTERA INFRASTRUCTURE L P,0001382298,EXACT_NAME_UNIQUE,0.98,0,True
ALJ,Alon USA Energy Inc,NYSE,Stock,2005-07-28,2017-07-10,Delisted,delisted,ALJ,ALON USA ENERGY,0001325955,EXACT_NAME_UNIQUE,0.98,0,True
ALN,American Lorain Corp,NYSE,Stock,2009-09-14,2018-09-28,Delisted,delisted,ALN,AMERICAN LORAIN,0001117057,EXACT_NAME_UNIQUE,0.98,0,True
ALTA,Altabancorp,NASDAQ,Stock,2015-06-11,2021-09-30,Delisted,delisted,ALTA,ALTABANCORP,0001636286,EXACT_NAME_UNIQUE,0.98,0,True
ALTI,Altair Nanotechnologies Inc,NASDAQ,Stock,1999-07-06,2016-11-17,Delisted,delisted,ALTI,ALTAIR NANOTECHNOLOGIES,0001838615,EXACT_TICKER_UNIQUE,1.0,0,True
ALTM,Arcadium Lithium PLC,NYSE,Stock,2024-01-03,2025-03-05,Delisted,delisted,ALTM,ARCADIUM LITHIUM,0001977303,EXACT_NAME_UNIQUE,0.98,0,True
ALTV,Alteva Inc,NYSE,Stock,1998-04-28,2015-12-21,Delisted,delisted,ALTV,ALTEVA,0000104777,EXACT_NAME_UNIQUE,0.98,0,True
ALXA,Alexza Pharmaceuticals Inc,NASDAQ,Stock,2016-01-04,2016-06-21,Delisted,delisted,ALXA,ALEXZA PHARMACEUTICALS,0001344413,EXACT_NAME_UNIQUE,0.98,0,True
ALXN,Alexion Pharmaceuticals Inc,NASDAQ,Stock,1996-02-28,2021-07-28,Delisted,delisted,ALXN,ALEXION PHARMACEUTICALS,0000899866,EXACT_NAME_UNIQUE,0.98,0,True
