asof,ret,n,w_rg,w_sy,w_trend,candidate_fraction
2019-01-31,0.048640383669130795,10,0.0,0.5,0.5,0.3
2019-02-28,0.026778705838315337,24,0.0,0.5,0.5,0.3
2019-03-29,0.009387990515627302,27,0.0,0.5,0.5,0.3
2019-04-30,-0.08564913594095325,28,0.0,0.5,0.5,0.3
2019-05-31,0.06394152122194746,28,0.0,0.5,0.5,0.3
2019-06-28,0.014862024237414818,29,0.0,0.5,0.5,0.3
2019-07-31,-0.020683853295327913,30,0.0,0.5,0.5,0.3
2019-08-30,0.01351764196968584,30,0.0,0.5,0.5,0.3
2019-09-30,0.02091964070267526,31,0.0,0.5,0.5,0.3
2019-10-31,0.017981503501167676,32,0.0,0.5,0.5,0.3
2019-11-29,0.04752639116104899,33,0.0,0.5,0.5,0.3
2019-12-31,-0.041022610071384746,33,0.0,0.5,0.5,0.3
2020-01-31,-0.06524417623094993,33,0.1,0.4,0.5,0.3
2020-02-28,-0.09604172918755871,39,0.1,0.4,0.5,0.3
2020-03-31,0.10882941594744179,39,0.1,0.4,0.5,0.3
2020-04-30,0.074116345754635,39,0.1,0.4,0.5,0.3
2020-05-29,0.022693694614002065,39,0.1,0.4,0.5,0.3
2020-06-30,0.08264310327306609,39,0.1,0.4,0.5,0.3
2020-07-31,0.06910673802890598,39,0.1,0.4,0.5,0.3
2020-08-31,-0.013073434649695615,39,0.1,0.4,0.5,0.3
2020-09-30,-0.010692964712589159,40,0.1,0.4,0.5,0.3
2020-10-30,0.15791739774194205,40,0.1,0.4,0.5,0.3
2020-11-30,0.05034955133524253,40,0.1,0.4,0.5,0.3
2020-12-31,-0.01580857530688294,40,0.1,0.4,0.5,0.3
2021-01-29,0.10689485202698752,14,0.0,0.5,0.5,0.1
2021-02-26,0.03726801292333141,14,0.0,0.5,0.5,0.1
2021-03-31,0.017178887961724183,14,0.0,0.5,0.5,0.1
2021-04-30,0.07636570387262068,14,0.0,0.5,0.5,0.1
2021-05-28,0.030532127233909974,14,0.0,0.5,0.5,0.1
2021-06-30,-0.005583670312324921,14,0.0,0.5,0.5,0.1
2021-07-30,0.018908300181826383,14,0.0,0.5,0.5,0.1
2021-08-31,-0.044622415306013345,14,0.0,0.5,0.5,0.1
2021-09-30,0.04577163615249768,14,0.0,0.5,0.5,0.1
2021-10-29,-0.002045235513689847,14,0.0,0.5,0.5,0.1
2021-11-30,0.05667555292293145,14,0.0,0.5,0.5,0.1
2021-12-31,-0.08391611654661332,14,0.0,0.5,0.5,0.1
2022-01-31,0.03888806825829476,14,0.0,0.5,0.5,0.1
2022-02-28,0.09807739383632905,14,0.0,0.5,0.5,0.1
2022-03-31,-0.033104838455716976,14,0.0,0.5,0.5,0.1
2022-04-29,0.02814765838449846,14,0.0,0.5,0.5,0.1
2022-05-31,-0.125308442241759,14,0.0,0.5,0.5,0.1
2022-06-30,0.04103708962880558,14,0.0,0.5,0.5,0.1
2022-07-29,-0.010122631729198956,14,0.0,0.5,0.5,0.1
2022-08-31,-0.07957794808984607,14,0.0,0.5,0.5,0.1
2022-09-30,0.13481034088655064,14,0.0,0.5,0.5,0.1
2022-10-31,0.052435105334983245,14,0.0,0.5,0.5,0.1
2022-11-30,-0.030669646527460355,14,0.0,0.5,0.5,0.1
2022-12-30,0.0795573330057668,14,0.0,0.5,0.5,0.1
2023-01-31,-0.020946274848678312,14,0.0,0.5,0.5,0.1
2023-02-28,0.021767406468211594,14,0.0,0.5,0.5,0.1
2023-03-31,-0.019629660686177688,14,0.0,0.5,0.5,0.1
2023-04-28,0.07908482521876314,14,0.0,0.5,0.5,0.1
2023-05-31,0.08935425771658896,14,0.0,0.5,0.5,0.1
2023-06-30,0.03181225545526475,14,0.0,0.5,0.5,0.1
2023-07-31,-0.012979131024842177,14,0.0,0.5,0.5,0.1
2023-08-31,-0.028472659229475696,14,0.0,0.5,0.5,0.1
2023-09-29,-0.036536638020507786,14,0.0,0.5,0.5,0.1
2023-10-31,0.06970862091374273,14,0.0,0.5,0.5,0.1
2023-11-30,0.03577213192092921,14,0.0,0.5,0.5,0.1
2023-12-29,0.04133010134948952,14,0.0,0.5,0.5,0.1
2024-01-31,0.0686164135349313,14,0.0,0.5,0.5,0.1
2024-02-29,0.07606141666264332,14,0.0,0.5,0.5,0.1
2024-03-28,-0.035399132697820614,14,0.0,0.5,0.5,0.1
2024-04-30,0.025243766628824865,14,0.0,0.5,0.5,0.1
2024-05-31,0.03784538167045247,14,0.0,0.5,0.5,0.1
2024-06-28,-0.003071294807265368,14,0.0,0.5,0.5,0.1
2024-07-31,-0.0005680396580040921,14,0.0,0.5,0.5,0.1
2024-08-30,0.015809283932933165,14,0.0,0.5,0.5,0.1
2024-09-30,-0.01952034275656769,14,0.0,0.5,0.5,0.1
2024-10-31,0.10621164366984502,14,0.0,0.5,0.5,0.1
2024-11-29,-0.05692279465383556,14,0.0,0.5,0.5,0.1
2024-12-31,0.053155732306784435,14,0.0,0.5,0.5,0.1
2025-01-31,0.025860214035081097,15,0.0,0.5,0.5,0.1
2025-02-28,-0.03358929699355762,15,0.0,0.5,0.5,0.1
2025-03-31,-0.0024834331261900894,15,0.0,0.5,0.5,0.1
2025-04-30,0.010195019755054109,15,0.0,0.5,0.5,0.1
2025-05-30,0.02830357479489142,15,0.0,0.5,0.5,0.1
2025-06-30,-0.00496466991059578,15,0.0,0.5,0.5,0.1
2025-07-31,0.03624429418552499,15,0.0,0.5,0.5,0.1
2025-08-29,0.05629203437586107,15,0.0,0.5,0.5,0.1
2025-09-30,0.02341016204249954,15,0.0,0.5,0.5,0.1
2025-10-31,0.015042648017649436,15,0.0,0.5,0.5,0.1
2025-11-28,-0.004187668277951806,15,0.0,0.5,0.5,0.1
2025-12-31,0.07141480244319975,15,0.0,0.5,0.5,0.1
2026-01-30,0.05981607993918688,15,0.4,0.4,0.2,0.1
2026-02-27,-0.049142446762076845,15,0.4,0.4,0.2,0.1
2026-03-31,0.08509336959623866,15,0.4,0.4,0.2,0.1
2026-04-30,-0.004367244986932654,15,0.4,0.4,0.2,0.1
2026-05-29,0.025350791200804745,15,0.4,0.4,0.2,0.1
2026-06-30,0.06052659572287007,15,0.4,0.4,0.2,0.1
2026-07-31,-0.006830406663238353,15,0.4,0.4,0.2,0.1
2026-08-31,0.002846236919445803,15,0.4,0.4,0.2,0.1
2026-09-02,0.009897663228463844,15,0.4,0.4,0.2,0.1
