asof,historical_universe_n,current_research_overlap_n,coverage_of_historical_universe
2010-01-31,4130,154,0.03728813559322034
2010-02-28,4139,154,0.037207054844165255
2010-03-31,4158,154,0.037037037037037035
2010-04-30,4179,154,0.03685092127303183
2010-05-31,4192,154,0.036736641221374045
2010-06-30,4209,155,0.03682584937039677
2010-07-31,4224,155,0.03669507575757576
2010-08-31,4235,156,0.03683589138134593
2010-09-30,4242,156,0.036775106082036775
2010-10-31,4269,156,0.036542515811665496
2010-11-30,4286,156,0.036397573495100324
2010-12-31,4302,156,0.03626220362622036
2011-01-31,4316,156,0.03614457831325301
2011-02-28,4340,157,0.03617511520737327
2011-03-31,4356,157,0.03604224058769513
2011-04-30,4377,157,0.035869316883710305
2011-05-31,4394,157,0.03573054164770141
2011-06-30,4409,158,0.035835790428668635
2011-07-31,4427,158,0.03569008357804382
2011-08-31,4430,158,0.03566591422121896
2011-09-30,4433,158,0.035641777577261446
2011-10-31,4441,158,0.03557757261877956
2011-11-30,4438,158,0.035601622352410996
2011-12-31,4446,158,0.03553756185335133
2012-01-31,4452,158,0.035489667565139264
2012-02-29,4472,158,0.0353309481216458
2012-03-31,4504,158,0.03507992895204263
2012-04-30,4532,159,0.03508384819064431
2012-05-31,4552,160,0.0351493848857645
2012-06-30,4559,161,0.03531476200921255
2012-07-31,4587,162,0.03531720078482668
2012-08-31,4601,162,0.03520973701369268
2012-09-30,4618,162,0.035080121264616716
2012-10-31,4646,162,0.03486870426173052
2012-11-30,4662,162,0.03474903474903475
2012-12-31,4663,162,0.03474158267209951
2013-01-31,4682,163,0.034814181973515594
2013-02-28,4692,164,0.03495311167945439
2013-03-31,4708,164,0.034834324553950725
2013-04-30,4725,164,0.03470899470899471
2013-05-31,4768,164,0.034395973154362415
2013-06-30,4785,164,0.034273772204806686
2013-07-31,4802,164,0.034152436484798
2013-08-31,4819,164,0.034031956837518154
2013-09-30,4846,164,0.03384234420140322
2013-10-31,4838,164,0.03389830508474576
2013-11-30,4867,164,0.0336963221697144
2013-12-31,4874,164,0.03364792778005745
2014-01-31,4891,164,0.03353097526068289
2014-02-28,4920,164,0.03333333333333333
2014-03-31,4949,164,0.03313800767831885
2014-04-30,4982,164,0.03291850662384584
2014-05-31,5013,165,0.03291442250149611
2014-06-30,5047,166,0.03289082623340599
2014-07-31,5073,167,0.03291937709442145
2014-08-31,5082,167,0.03286107831562377
2014-09-30,5342,168,0.0314488955447398
2014-10-31,5372,168,0.03127326880119136
2014-11-30,5409,168,0.03105934553521908
2014-12-31,5407,168,0.03107083410393934
2015-01-31,5417,168,0.031013476093778844
2015-02-28,5413,167,0.030851653426935157
2015-03-31,5424,167,0.030789085545722714
2015-04-30,5440,167,0.030698529411764704
2015-05-31,5465,168,0.030741079597438242
2015-06-30,5490,168,0.030601092896174863
2015-07-31,5511,168,0.030484485574305935
2015-08-31,5525,168,0.030407239819004526
2015-09-30,5516,168,0.030456852791878174
2015-10-31,5528,168,0.030390738060781478
2015-11-30,5547,168,0.03028664142779881
2015-12-31,5544,169,0.030483405483405484
2016-01-31,5817,169,0.029052776345195118
2016-02-29,5812,169,0.029077770130763937
2016-03-31,5813,169,0.029072767933941167
2016-04-30,5809,169,0.029092787054570492
2016-05-31,5828,169,0.028997940974605355
2016-06-30,5839,169,0.028943312210995033
2016-07-31,5837,169,0.028953229398663696
2016-08-31,5839,169,0.028943312210995033
2016-09-30,5842,169,0.02892844916124615
2016-10-31,5847,169,0.028903711304942705
2016-11-30,5847,169,0.028903711304942705
2016-12-31,5855,169,0.028864218616567038
2017-01-31,5883,169,0.028726840047594765
2017-02-28,5867,169,0.02880518152377706
2017-03-31,5877,169,0.028756168112982813
2017-04-30,5878,169,0.02875127594419871
2017-05-31,5895,169,0.028668363019508057
2017-06-30,5903,169,0.028629510418431307
2017-07-31,5864,168,0.0286493860845839
2017-08-31,5844,167,0.02857631759069131
2017-09-30,5874,167,0.02843037112700034
2017-10-31,5861,169,0.028834669851561166
2017-11-30,5865,169,0.028815004262574596
2017-12-31,5847,169,0.028903711304942705
2018-01-31,5861,169,0.028834669851561166
2018-02-28,5856,171,0.02920081967213115
2018-03-31,5870,171,0.029131175468483816
2018-04-30,5855,171,0.029205807002561913
2018-05-31,5846,171,0.029250769757098873
2018-06-30,5853,171,0.0292157867760123
2018-07-31,5844,171,0.029260780287474333
2018-08-31,5845,172,0.029426860564585114
2018-09-30,5850,172,0.029401709401709403
2018-10-31,5860,173,0.029522184300341297
2018-11-30,5844,173,0.029603011635865845
2018-12-31,5797,173,0.029843022252889425
2019-01-31,5788,173,0.029889426399447132
2019-02-28,5801,173,0.029822444406136874
2019-03-31,5814,174,0.029927760577915376
2019-04-30,5832,174,0.029835390946502057
2019-05-31,5858,175,0.0298736770228747
2019-06-30,5891,176,0.029876082159225936
2019-07-31,5948,177,0.02975790181573638
2019-08-31,5898,177,0.030010172939979655
2019-09-30,5920,178,0.03006756756756757
2019-10-31,5916,178,0.03008789722785666
2019-11-30,5939,178,0.029971375652466745
2019-12-31,5913,178,0.030103162523253846
2020-01-31,5912,178,0.030108254397834912
2020-02-29,5917,178,0.03008281223593037
2020-03-31,5905,178,0.03014394580863675
2020-04-30,5896,178,0.030189959294436908
2020-05-31,5908,178,0.03012863913337847
2020-06-30,5949,178,0.02992099512523113
