asof,universe_n,mapped_n,mapping_coverage
2010-01-31,4130,3441,0.8331719128329298
2010-02-28,4139,3446,0.8325682532012564
2010-03-31,4158,3459,0.8318903318903319
2010-04-30,4179,3475,0.8315386456089974
2010-05-31,4192,3482,0.8306297709923665
2010-06-30,4209,3493,0.829888334521264
2010-07-31,4224,3502,0.8290719696969697
2010-08-31,4235,3511,0.8290436835891382
2010-09-30,4242,3516,0.8288543140028288
2010-10-31,4269,3535,0.8280627781681893
2010-11-30,4286,3545,0.8271115258982734
2010-12-31,4302,3555,0.8263598326359832
2011-01-31,4316,3564,0.8257645968489342
2011-02-28,4340,3581,0.8251152073732719
2011-03-31,4356,3593,0.8248393021120294
2011-04-30,4377,3607,0.8240804203792552
2011-05-31,4394,3619,0.8236231224396905
2011-06-30,4409,3632,0.8237695622590157
2011-07-31,4427,3647,0.8238084481590242
2011-08-31,4430,3651,0.8241534988713318
2011-09-30,4433,3653,0.8240469208211144
2011-10-31,4441,3659,0.8239135329880658
2011-11-30,4438,3654,0.8233438485804416
2011-12-31,4446,3659,0.822986954565902
2012-01-31,4452,3667,0.8236747529200359
2012-02-29,4472,3685,0.8240161001788909
2012-03-31,4504,3707,0.8230461811722913
2012-04-30,4532,3730,0.8230361871138571
2012-05-31,4552,3745,0.8227152899824253
2012-06-30,4559,3747,0.8218907655187541
2012-07-31,4587,3764,0.8205798997165904
2012-08-31,4601,3772,0.8198217778743752
2012-09-30,4618,3780,0.8185361628410567
2012-10-31,4646,3797,0.8172621609987085
2012-11-30,4662,3811,0.8174603174603174
2012-12-31,4663,3814,0.8179283722925156
2013-01-31,4682,3826,0.8171721486544212
2013-02-28,4692,3832,0.8167092924126172
2013-03-31,4708,3844,0.816482582837723
2013-04-30,4725,3857,0.8162962962962963
2013-05-31,4768,3889,0.8156459731543624
2013-06-30,4785,3904,0.8158829676071055
2013-07-31,4802,3917,0.8157017909204498
2013-08-31,4819,3931,0.8157294044407554
2013-09-30,4846,3950,0.8151052414362361
2013-10-31,4838,3950,0.8164530797850351
2013-11-30,4867,3975,0.816724881857407
2013-12-31,4874,3984,0.8173984407057858
2014-01-31,4891,3997,0.8172152933960335
