strategy,sample,model,months,alpha_ann,alpha_hac_t,p_value_normal_approx,residual_vol_ann,r2,p_holm_across_v10_strategies
FINAL_OPTIMIZER,PRE2021,CAPM,83,0.08778329535207342,1.8977912274223627,0.05772358929677986,0.1262370894590298,0.5692094633540113,
FINAL_OPTIMIZER,PRE2021,FF3,83,0.06561222556150172,1.4547946495974016,0.1457261198626012,0.12417804636517944,0.5831480333458853,
FINAL_OPTIMIZER,PRE2021,FF5,83,0.06906689202492525,1.5533330028029915,0.12034359966606024,0.12310245628483886,0.5903380330396657,
FINAL_OPTIMIZER,PRE2021,FF5_MOM,83,0.06926754223005986,1.556832133132683,0.11951034591934825,0.12303605365829924,0.5907798649046418,
FINAL_OPTIMIZER,POST2021,CAPM,66,0.14703387205670185,2.9943724768874884,0.002750099891746998,0.14051308786352096,0.49643578259876375,
FINAL_OPTIMIZER,POST2021,FF3,66,0.13310843673933664,2.4591115472542615,0.013928133460488719,0.13451923016964915,0.5384805024890498,
FINAL_OPTIMIZER,POST2021,FF5,66,0.14095275145582314,2.5323232827379534,0.011330946902297209,0.13227583890209219,0.5537457598395444,
FINAL_OPTIMIZER,POST2021,FF5_MOM,66,0.12319570925911616,2.3074790952710114,0.021028126316709222,0.12970331371846427,0.5709346435973867,
FINAL_OPTIMIZER,FULL,CAPM,149,0.11474846264766683,3.380250677222189,0.00072419746157355,0.13259666802418435,0.5340195544760722,
FINAL_OPTIMIZER,FULL,FF3,149,0.11645349573227068,3.4732800722498416,0.0005141385364273863,0.13209535953326326,0.5375363603130439,
FINAL_OPTIMIZER,FULL,FF5,149,0.11546261152518536,3.486591810162245,0.0004892174304963895,0.13099825757730083,0.5451863310083032,
FINAL_OPTIMIZER,FULL,FF5_MOM,149,0.1063394282832964,3.193269850854427,0.0014067142206679337,0.12989323371646558,0.5528270467249852,0.006176489166727579
FULL_ALPHA_CONVICTION,PRE2021,CAPM,83,0.15614129283767195,1.7250093878513364,0.08452578069654752,0.28479461245120763,0.21552597370187532,
FULL_ALPHA_CONVICTION,PRE2021,FF3,83,0.13742986265303733,1.4504857808143996,0.1469231015348845,0.2840579289934732,0.21957915145874263,
FULL_ALPHA_CONVICTION,PRE2021,FF5,83,0.14992222500489558,1.6354177740227858,0.10196149891648104,0.27854938933318313,0.24955399243942356,
FULL_ALPHA_CONVICTION,PRE2021,FF5_MOM,83,0.15138951785123822,1.6396786549311941,0.10107199932670294,0.27697607594719714,0.2580074473315318,
FULL_ALPHA_CONVICTION,POST2021,CAPM,66,0.3096193307627356,4.040254216791803,5.339329446329066e-05,0.20078186166218712,0.28304439780084323,
FULL_ALPHA_CONVICTION,POST2021,FF3,66,0.3148814373330052,3.1802652260768514,0.001471403132905113,0.19685943940470363,0.3107832917331512,
FULL_ALPHA_CONVICTION,POST2021,FF5,66,0.32222383238048047,3.3363545014822873,0.0008488484786000182,0.19534036486361325,0.3213789945036267,
FULL_ALPHA_CONVICTION,POST2021,FF5_MOM,66,0.2931041818059631,3.210099504099405,0.001326890308280905,0.19064481120913515,0.35361199555450007,
