strategy,sample,months,cagr,ann_return,ann_vol,sharpe_rf0,max_drawdown,ann_active_vs_universe,tracking_error,information_ratio,avg_turnover,avg_holdings
FINAL_OPTIMIZER,PRE2021,84,0.22834999581699034,0.2249357255551673,0.19079624747710774,1.1789316012735298,-0.143002396521148,0.04966174051452108,0.12083049630904821,0.4110033644776334,0.18316726333088906,12.107142857142858
FINAL_OPTIMIZER,POST2021,69,0.28199277605874884,0.26977348736317475,0.19488104911705417,1.3842982095254264,-0.20468786476134027,0.09977844827562933,0.13152930913215727,0.7586023900982747,0.11677521450244742,28.115942028985508
FINAL_OPTIMIZER,FULL,153,0.25225818881571116,0.24515667695877844,0.1921204270150077,1.2760573186714173,-0.20468786476134038,0.07226339303423655,0.12555474271081243,0.5755528741807809,0.15322575111414088,19.326797385620914
FULL_ALPHA_CONVICTION,PRE2021,84,0.27668977530770644,0.2958315600547614,0.3193583341540983,0.926331109655699,-0.23128774244220862,0.12055757501411514,0.27473151400780965,0.4388196070243624,0.38518848137351935,12.107142857142858
FULL_ALPHA_CONVICTION,POST2021,69,0.4334353237318773,0.3948653591965569,0.24471397448692275,1.6135791183337513,-0.19777156676630236,0.22487032010901156,0.20770484427086927,1.0826435988934215,0.3685311492996662,28.115942028985508
FULL_ALPHA_CONVICTION,FULL,153,0.3451366687626658,0.34049386162851225,0.2875518902728576,1.1841127571980767,-0.23128774244220862,0.16760057770397035,0.24645624477423902,0.6800419192359978,0.37767635122256593,19.326797385620914
FULL_ALPHA_EQUAL,PRE2021,84,0.22566271411240435,0.22204043025998105,0.18684967768084196,1.1883372399456231,-0.1883583606078465,0.04676644521933486,0.09488318668571849,0.492884428241637,0.23500262471910338,12.107142857142858
FULL_ALPHA_EQUAL,POST2021,69,0.2504756974453468,0.24013627408855934,0.17165142406431874,1.3989762997747046,-0.19922574440641017,0.07014123500101399,0.07724600322100719,0.9080241316865822,0.2636076141823269,28.115942028985508
FULL_ALPHA_EQUAL,FULL,153,0.23679133743190084,0.23020130100620265,0.17958949332373172,1.281819424654409,-0.19922574440641017,0.05730801708166074,0.08715952920347919,0.6575071894648686,0.24790291408487086,19.326797385620914
FULL_ALPHA_RISK,PRE2021,84,0.30419571939012924,0.30863701283350187,0.2895621767345975,1.065874750335185,-0.21230489507658268,0.13336302779285564,0.2531779334722328,0.5267561274548526,0.4019915049760173,12.107142857142858
FULL_ALPHA_RISK,POST2021,69,0.3480463159824658,0.3268702426809322,0.2227010526766627,1.4677534692910124,-0.19629355307017315,0.1568752035933868,0.18720173254209033,0.838000810479225,0.38666753093762274,28.115942028985508
FULL_ALPHA_RISK,FULL,153,0.3237920555128757,0.31685984198038214,0.2607277290540652,1.2152901539470595,-0.21230489507658268,0.14396655805584027,0.22514604750651773,0.6394363110090688,0.39508069315478056,19.326797385620914
RG_ONLY,PRE2021,84,0.22964530655291027,0.22887980040992228,0.20579344970720964,1.1121821454257095,-0.19599735631485837,0.053605815369276076,0.10325156739455141,0.5191767710841052,0.04612190701042145,12.416666666666666
RG_ONLY,POST2021,69,0.23155569082040706,0.23432312298845265,0.22276042853378997,1.0519064114338816,-0.29709957670838594,0.06432808390090726,0.11321954679973213,0.5681711835032663,0.058474449411239096,29.956521739130434
RG_ONLY,FULL,153,0.23050648526136586,0.2313346321610242,0.21289872907126484,1.086594707118182,-0.29709957670838594,0.058441348236482296,0.1075102736862056,0.5435884984076715,0.051692661426476466,20.326797385620914
RG_SY_EQUAL,PRE2021,84,0.18643555731414985,0.19075794258473228,0.19622416013995994,0.9721429942606007,-0.233603466978486,0.015483957544086102,0.08689034938474649,0.178201119614836,0.07061263077867089,12.107142857142858
RG_SY_EQUAL,POST2021,69,0.2610169127307638,0.24870328034960842,0.17219471468602535,1.4443142508937425,-0.16897374089279527,0.078708241262063,0.06763769255129205,1.1636742516367742,0.08519814166990582,28.115942028985508
RG_SY_EQUAL,FULL,153,0.21950799650698816,0.216890153733598,0.1853640526732386,1.1700766713162767,-0.233603466978486,0.04399686980905608,0.07907165678310528,0.5564177051423134,0.0771904102002082,19.326797385620914
SY_ONLY,PRE2021,84,0.21499661904567224,0.22019632467120498,0.22316248307318498,0.9867085257291779,-0.2899387309829655,0.04492233963055878,0.12227928008798378,0.36737491092714764,0.048863081746104514,12.476190476190476
SY_ONLY,POST2021,69,0.21176496965717218,0.20857710098063847,0.17480072182446807,1.1932279157868013,-0.2067064015779947,0.03858206189309313,0.08421800574589632,0.45812129545673924,0.04839247043145095,28.115942028985508
SY_ONLY,FULL,153,0.2135381429573575,0.21495628261467503,0.20215467739415818,1.063325792831182,-0.2899387309829655,0.042062998690133094,0.1064827354018626,0.39502177072544786,0.048650845270868597,19.529411764705884
TREND_ONLY,PRE2021,84,0.27380961665743975,0.26019272732866255,0.1802932892218656,1.44316368319441,-0.1680277907825235,0.08491874228801635,0.07887135488527962,1.0766740651473885,0.44478852778485123,33.916666666666664
TREND_ONLY,POST2021,69,0.17011635147311277,0.17770833742166145,0.19989515392630053,0.8890077319592292,-0.25171016602431506,0.007713298334116011,0.12109232045088,0.06369766724591623,0.4310614962788875,36.04347826086956
TREND_ONLY,FULL,153,0.2259546553079934,0.2229938848215836,0.1891218943912316,1.1791013702532078,-0.2517101660243152,0.050100600897041686,0.1004018955882931,0.4990005477833173,0.4385979057331421,34.87581699346405
