path,suffix,size_bytes,mtime,kind,row_count_or_tables,columns_preview
data/audit_v10_4/alpha_attribution.csv,.csv,1070987,2026-09-07T19:38:48.527026,csv,3080,decision_id | strategy | asof | period_start | period_end | ticker | weight | full_alpha_score | revenue_growth_score | sales_yield_score | trend_score | rank | alpha_percentile | risk_score_proxy | risk_score_status | price_at_rebalance | fwd_return_1m | gross_contribution_1m | net_portfolio_return_1m | period_cost_return | terminal_link_multiplier | linked_terminal_contribution_index
data/audit_v10_4/annual_performance.csv,.csv,1784,2026-09-07T19:38:44.518799,csv,13,period | alpha_engine_return | spy_return | active_return | volatility_annualized | max_drawdown | turnover | number_of_trades_periods
data/audit_v10_4/anti_memorization_code_identity.json,.json,622,2026-09-07T19:39:08.709441,json,,
data/audit_v10_4/artifact_manifest.csv,.csv,1082,2026-09-07T19:38:15.811273,csv,12,artifact | path | required_for_core_reconstruction | present | size_bytes
data/audit_v10_4/AUDIT_REPORT.md,.md,11952,2026-09-07T19:40:27.929915,,,
data/audit_v10_4/audit_summary.json,.json,35678,2026-09-07T19:40:27.925914,json,,
data/audit_v10_4/backtest_replay_status.json,.json,2181,2026-09-07T19:40:26.914769,json,,
data/audit_v10_4/candidates_by_rebalance.csv,.csv,3180476,2026-09-07T19:38:44.335919,csv,26274,decision_id | asof | period_start | period_end | ticker | full_alpha_score | revenue_growth_score | sales_yield_score | trend_score | rank | alpha_percentile | candidate | selected | target_weight
data/audit_v10_4/causal_diagnostic_monthly_performance.csv,.csv,32828,2026-09-07T19:38:44.769768,csv,152,decision_id | asof | period_start | period_end | month | alpha_engine_return_1m | spy_return_1m | active_return_1m | alpha_engine_nav | spy_nav | active_nav | turnover | transaction_cost_return | number_of_positions | period_start_reuse_count | forward_interval_reused
data/audit_v10_4/causal_diagnostic_rebalance_history.csv,.csv,47576,2026-09-07T19:38:44.347627,csv,152,decision_id | asof | period_start | period_end | universe_rows | full_alpha_available | candidate_count | selected_count | gross_return_1m_reconstructed | turnover_reconstructed | transaction_cost_return_reconstructed | net_return_1m_reconstructed | net_return_1m_persisted | gross_return_1m_persisted | turnover_persisted | transaction_cost_return_persisted | replay_error | gross_replay_error | turnover_replay_error | cost_replay_error | weights_sum
data/audit_v10_4/completed_month_annual_performance.csv,.csv,1786,2026-09-07T19:38:44.607675,csv,13,period | alpha_engine_return | spy_return | active_return | volatility_annualized | max_drawdown | turnover | number_of_trades_periods
data/audit_v10_4/completed_month_performance.csv,.csv,32618,2026-09-07T19:38:44.604572,csv,151,decision_id | asof | period_start | period_end | month | alpha_engine_return_1m | spy_return_1m | active_return_1m | alpha_engine_nav | spy_nav | active_nav | turnover | transaction_cost_return | number_of_positions | period_start_reuse_count | forward_interval_reused
data/audit_v10_4/current_recommendation_familiarity.csv,.csv,7506,2026-09-07T19:39:09.938967,csv,36,ticker | current_sources | current_action | current_alpha_score | current_risk_score | historically_seen | historical_closed_episodes | historical_first_entry | historical_last_observed_end | historical_total_months_held | historical_terminal_contribution_index | historical_share_of_terminal_gain | historical_contribution_rank | novelty_class
data/audit_v10_4/current_recommendation_familiarity_summary.json,.json,934,2026-09-07T19:39:09.939964,json,,
data/audit_v10_4/decision_interval_causality.csv,.csv,49184,2026-09-07T19:38:44.410825,csv,153,decision_id | asof | period_start | period_end | universe_rows | full_alpha_available | candidate_count | selected_count | gross_return_1m_reconstructed | turnover_reconstructed | transaction_cost_return_reconstructed | net_return_1m_reconstructed | net_return_1m_persisted | gross_return_1m_persisted | turnover_persisted | transaction_cost_return_persisted | replay_error | gross_replay_error | turnover_replay_error | cost_replay_error | weights_sum | decision_after_period_start | days_decision_after_period_start
data/audit_v10_4/decision_interval_causality.json,.json,367,2026-09-07T19:38:44.406859,json,,
data/audit_v10_4/drawdown.csv,.csv,13045,2026-09-07T19:38:48.629133,csv,152,period_start | period_end | alpha_engine_wealth | alpha_engine_drawdown | spy_wealth | spy_drawdown
data/audit_v10_4/execution_lag_stress_monthly.csv,.csv,92262,2026-09-07T19:39:08.629827,csv,604,decision_id | asof | period_start | period_end | lag_sessions | scenario | execution_date | weighted_price_coverage | max_extra_calendar_days_for_missing_quote | gross_return | transaction_cost_return | net_return
data/audit_v10_4/execution_lag_stress_summary.csv,.csv,722,2026-09-07T19:39:08.630833,csv,4,lag_sessions | scenario | valid_periods | invalid_periods | mean_weighted_price_coverage | cagr | annualized_volatility | max_drawdown | mean_monthly_return | cagr_delta_vs_same_close
data/audit_v10_4/execution_lag_stress_summary.json,.json,655,2026-09-07T19:39:08.632840,json,,
data/audit_v10_4/factor_analysis.csv,.csv,32369846,2026-09-07T19:38:52.291207,csv,26455,asof | ticker | net_income | net_income__filed | net_income__period_end | net_income__age_days | operating_income | operating_income__filed | operating_income__period_end | operating_income__age_days | operating_cash_flow | operating_cash_flow__filed | operating_cash_flow__period_end | operating_cash_flow__age_days | eps_diluted | eps_diluted__filed | eps_diluted__period_end | eps_diluted__age_days | long_term_debt | long_term_debt__filed | long_term_debt__period_end | long_term_debt__age_days | assets | assets__filed | assets__period_end | assets__age_days | cash | cash__filed | cash__period_end | cash__age_days | equity | equity__filed | equity__period_end | equity__age_days | shares_outstanding | shares_outstanding__filed | shares_outstanding__period_end | shares_outstanding__age_days | current_assets | current_assets__filed
data/audit_v10_4/factor_ic_by_year.csv,.csv,4014,2026-09-07T19:38:53.759074,csv,52,year | factor | months | mean_rank_ic | median_rank_ic | positive_ic_share
data/audit_v10_4/factor_ic_monthly.csv,.csv,44125,2026-09-07T19:38:53.757185,csv,612,asof | year | factor | observations | rank_ic | rolling_12m_rank_ic
data/audit_v10_4/factor_ic_stability_summary.json,.json,995,2026-09-07T19:38:53.760176,json,,
data/audit_v10_4/factor_quintile_summary.csv,.csv,2734,2026-09-07T19:38:52.293725,csv,24,factor | quintile | observations | mean_subsequent_return_1m | median_subsequent_return_1m | positive_return_share | causal_attribution_status | mean_cross_sectional_rank_ic | rank_ic_hit_rate
data/audit_v10_4/final_audit_classification.json,.json,4990,2026-09-07T19:40:27.918945,json,,
data/audit_v10_4/first_entry_vs_reentry.csv,.csv,437,2026-09-07T19:39:08.718032,csv,2,cohort | episodes | unique_tickers | winner_share | mean_episode_return | median_episode_return | mean_portfolio_contribution | median_portfolio_contribution | mean_days_held | median_days_held
data/audit_v10_4/first_entry_vs_reentry_summary.json,.json,1253,2026-09-07T19:39:08.719036,json,,
data/audit_v10_4/forward_test_preregistration.json,.json,1401,2026-09-07T19:40:26.787674,json,,
data/audit_v10_4/forward_test_preregistration.sha256,.sha256,66,2026-09-07T19:40:26.788620,,,
data/audit_v10_4/historical_winner_exclusion_reoptimization.csv,.csv,948,2026-09-07T19:40:26.781089,csv,5,scenario | excluded_count | excluded_tickers | valid_months | cagr | annualized_volatility | max_drawdown | average_turnover | cagr_delta_vs_baseline
data/audit_v10_4/historical_winner_exclusion_reoptimization_summary.json,.json,2643,2026-09-07T19:40:26.781089,json,,
data/audit_v10_4/holding_periods.csv,.csv,115083,2026-09-07T19:38:48.459478,csv,757,ticker | episode | entry_date | entry_period_start | last_rebalance_date | last_period_start | exit_or_last_period_end | days_held_observed | days_held | months_held | average_weight | max_weight | min_weight | asset_compound_return_during_episode | gross_arithmetic_portfolio_contribution | winner | status | censoring_note
data/audit_v10_4/holdings_reconstructed_core.csv,.csv,787175,2026-09-07T19:38:44.195260,csv,2928,decision_id | strategy | asof | period_start | period_end | ticker | weight | full_alpha_score | revenue_growth_score | sales_yield_score | trend_score | rank | alpha_percentile | risk_score_proxy | risk_score_status | price_at_rebalance | fwd_return_1m
data/audit_v10_4/latest_partial_interval_status.json,.json,446,2026-09-07T19:38:44.411819,json,,
data/audit_v10_4/monthly_performance.csv,.csv,32834,2026-09-07T19:38:44.516792,csv,152,decision_id | asof | period_start | period_end | month | alpha_engine_return_1m | spy_return_1m | active_return_1m | alpha_engine_nav | spy_nav | active_nav | turnover | transaction_cost_return | number_of_positions | period_start_reuse_count | forward_interval_reused
data/audit_v10_4/numerical_environment.json,.json,521,2026-09-07T19:40:27.915950,json,,
data/audit_v10_4/official_rebalance_interval_integrity.csv,.csv,7205,2026-09-07T19:38:44.406859,csv,152,period_start | period_end | decision_count | first_asof | last_asof
data/audit_v10_4/official_rebalance_interval_integrity.json,.json,297,2026-09-07T19:38:44.404922,json,,
data/audit_v10_4/operations.csv,.csv,1534670,2026-09-07T19:38:48.425195,csv,3656,decision_id | date | asof | period_start | period_end | ticker | action | side | is_trade | previous_weight | target_weight | executed_weight | delta_weight | quantity | quantity_status | price | position_value_index | portfolio_value_index | cash_before_index | cash_after_index | cash_status | turnover_period | transaction_cost | transaction_cost_status | period_transaction_cost_return | net_trade_value_index | full_alpha_score | risk_score_proxy | rank | reason_signal
data/audit_v10_4/path_reconciliation.json,.json,607,2026-09-07T19:40:27.914944,json,,
data/audit_v10_4/pit_audit.csv,.csv,2020,2026-09-07T19:40:26.895661,csv,9,component | data | data_date | published_available_date | decision_date | pit_status | evidence | problem
data/audit_v10_4/portfolio_concentration.csv,.csv,23593,2026-09-07T19:38:52.378119,csv,152,decision_id | asof | period_start | period_end | positions | top1 | top3 | top5 | hhi | effective_n | largest_weight
data/audit_v10_4/portfolio_concentration_summary.json,.json,1129,2026-09-07T19:38:52.380123,json,,
data/audit_v10_4/portfolio_snapshots.csv,.csv,825710,2026-09-07T19:38:48.449893,csv,2928,decision_id | date | asof | period_start | period_end | ticker | weight | value_index | quantity | quantity_status | alpha_score | risk_score | risk_score_status | rank | sector | sector_status | entry_date | days_held
data/audit_v10_4/portfolio_vs_spy.csv,.csv,32834,2026-09-07T19:38:44.513811,csv,152,decision_id | asof | period_start | period_end | month | alpha_engine_return_1m | spy_return_1m | active_return_1m | alpha_engine_nav | spy_nav | active_nav | turnover | transaction_cost_return | number_of_positions | period_start_reuse_count | forward_interval_reused
data/audit_v10_4/profile_monthly_crosscheck.csv,.csv,8019,2026-09-07T19:40:26.934007,csv,152,month | return_for_profile | return_1m | _merge
data/audit_v10_4/profile_monthly_crosscheck.json,.json,294,2026-09-07T19:40:26.935063,json,,
data/audit_v10_4/quarterly_performance.csv,.csv,6470,2026-09-07T19:38:44.521737,csv,51,period | alpha_engine_return | spy_return | active_return | volatility_annualized | max_drawdown | turnover | number_of_trades_periods
data/audit_v10_4/raw_backtest_replay_status.json,.json,2186,2026-09-07T19:40:26.913765,json,,
data/audit_v10_4/raw_candidates_by_rebalance.csv,.csv,3206756,2026-09-07T19:38:44.148533,csv,26455,decision_id | asof | period_start | period_end | ticker | full_alpha_score | revenue_growth_score | sales_yield_score | trend_score | rank | alpha_percentile | candidate | selected | target_weight
data/audit_v10_4/raw_holdings_reconstructed_core.csv,.csv,795294,2026-09-07T19:38:44.003784,csv,2957,decision_id | strategy | asof | period_start | period_end | ticker | weight | full_alpha_score | revenue_growth_score | sales_yield_score | trend_score | rank | alpha_percentile | risk_score_proxy | risk_score_status | price_at_rebalance | fwd_return_1m
data/audit_v10_4/raw_rebalance_history.csv,.csv,47900,2026-09-07T19:38:44.152613,csv,153,decision_id | asof | period_start | period_end | universe_rows | full_alpha_available | candidate_count | selected_count | gross_return_1m_reconstructed | turnover_reconstructed | transaction_cost_return_reconstructed | net_return_1m_reconstructed | net_return_1m_persisted | gross_return_1m_persisted | turnover_persisted | transaction_cost_return_persisted | replay_error | gross_replay_error | turnover_replay_error | cost_replay_error | weights_sum
data/audit_v10_4/raw_rebalance_interval_integrity.csv,.csv,7205,2026-09-07T19:38:44.403824,csv,152,period_start | period_end | decision_count | first_asof | last_asof
data/audit_v10_4/raw_rebalance_interval_integrity.json,.json,486,2026-09-07T19:38:44.401275,json,,
data/audit_v10_4/rebalance_history.csv,.csv,73489,2026-09-07T19:38:44.510067,csv,152,decision_id | asof | period_start | period_end | universe_rows | full_alpha_available | candidate_count | selected_count | gross_return_1m_reconstructed | turnover_reconstructed | transaction_cost_return_reconstructed | net_return_1m_reconstructed | net_return_1m_persisted | gross_return_1m_persisted | turnover_persisted | transaction_cost_return_persisted | replay_error | gross_replay_error | turnover_replay_error | cost_replay_error | weights_sum | month | spy_return_1m | alpha_engine_return_1m | active_return_1m | period_start_reuse_count | forward_interval_reused | alpha_engine_nav_start | alpha_engine_nav | spy_nav_start | spy_nav | active_nav
data/audit_v10_4/rebalance_interval_integrity.csv,.csv,7205,2026-09-07T19:38:44.414377,csv,152,period_start | period_end | decision_count | first_asof | last_asof
data/audit_v10_4/rebalance_interval_integrity.json,.json,486,2026-09-07T19:38:44.413384,json,,
data/audit_v10_4/replay_diagnostics.csv,.csv,44897,2026-09-07T19:40:26.918769,csv,153,decision_id | asof | period_start | period_end | gross_return_1m_reconstructed | gross_return_1m_persisted | gross_replay_error | turnover_reconstructed | turnover_persisted | turnover_replay_error | transaction_cost_return_reconstructed | transaction_cost_return_persisted | cost_replay_error | net_return_1m_reconstructed | net_return_1m_persisted | replay_error
data/audit_v10_4/requested_dataset_manifest.csv,.csv,780,2026-09-07T19:40:27.932912,csv,12,dataset | present | path
data/audit_v10_4/selection_history_dependence.csv,.csv,3822,2026-09-07T19:39:09.889133,csv,42,history_state | score_decile | observations | candidate_rate | selected_rate | mean_target_weight | mean_score | scope
data/audit_v10_4/selection_history_dependence_summary.json,.json,1902,2026-09-07T19:39:09.890137,json,,
data/audit_v10_4/startup_effect_stress.csv,.csv,629,2026-09-07T19:38:44.653794,csv,3,scenario | dropped_months | months | cagr | spy_cagr | cagr_spread_vs_spy | annualized_volatility | max_drawdown | information_ratio | cagr_delta_vs_all_completed
data/audit_v10_4/startup_effect_stress_summary.json,.json,457,2026-09-07T19:38:44.655795,json,,
data/audit_v10_4/survivorship_status.json,.json,1550,2026-09-07T19:40:26.901677,json,,
data/audit_v10_4/ticker_contribution.csv,.csv,7179,2026-09-07T19:38:48.528935,csv,123,ticker | arithmetic_contribution_sum | linked_terminal_contribution_index | months_contributing | share_of_terminal_gain
data/audit_v10_4/top_operation_removal_stress.csv,.csv,871,2026-09-07T19:40:27.910197,csv,5,removed_best_holding_episodes | cagr_without_those_gross_contributions | method | warning
data/audit_v10_4/turnover.csv,.csv,18501,2026-09-07T19:38:48.625072,csv,216,frequency | period | decision_id | asof | period_start | period_end | turnover | number_of_trades | entries | exits | adds | reductions
data/cache/.gitkeep,,0,2026-09-06T19:50:53.575980,,,
data/cache/alpha_vantage_listing_status_active.csv,.csv,1004120,2026-09-04T15:04:20.712082,csv,14413,symbol | name | exchange | assetType | ipoDate | delistingDate | status
data/cache/alpha_vantage_listing_status_delisted.csv,.csv,804603,2026-09-04T15:04:23.345636,csv,9457,symbol | name | exchange | assetType | ipoDate | delistingDate | status
data/cache/cadence_spy_daily.parquet,.parquet,49214,2026-09-07T22:26:05.496104,,,
data/cache/comafi_current_cedear_programs.json,.json,77366,2026-09-06T20:49:20.579530,json,,
data/cache/company_identity_catalog.json,.json,44733,2026-09-06T20:49:09.004482,json,,
data/cache/delisted_prices_yahoo/AABA__1996-04-12__2019-11-06.empty.json,.json,48,2026-09-04T20:40:27.319102,json,,
data/cache/delisted_prices_yahoo/AACC__2004-02-05__2013-10-17.empty.json,.json,48,2026-09-04T20:40:27.322099,json,,
data/cache/delisted_prices_yahoo/AAWW__2005-11-09__2023-04-03.empty.json,.json,48,2026-09-04T20:40:27.610686,json,,
data/cache/delisted_prices_yahoo/ABAX__1992-01-23__2018-08-01.parquet,.parquet,111326,2026-09-04T20:40:27.506157,,,
data/cache/delisted_prices_yahoo/ABMD__1987-07-30__2023-01-03.empty.json,.json,48,2026-09-04T20:40:27.613681,json,,
data/cache/delisted_prices_yahoo/ABVT__2010-12-02__2013-07-10.empty.json,.json,48,2026-09-04T20:40:27.613681,json,,
data/cache/delisted_prices_yahoo/ABXL__2025-12-30__2026-01-27.parquet,.parquet,3796,2026-09-04T20:40:28.151343,,,
data/cache/delisted_prices_yahoo/ACAT__2001-01-02__2017-03-07.empty.json,.json,48,2026-09-04T20:40:28.137336,json,,
data/cache/delisted_prices_yahoo/ACC__2004-08-12__2022-08-09.empty.json,.json,47,2026-09-04T20:40:28.376929,json,,
data/cache/delisted_prices_yahoo/ACCD__2020-07-02__2025-04-08.empty.json,.json,48,2026-09-04T20:40:28.521491,json,,
data/cache/delisted_prices_yahoo/ACCL__1995-12-06__2014-05-06.empty.json,.json,48,2026-09-04T20:40:28.535454,json,,
data/cache/delisted_prices_yahoo/ACETQ__1990-03-26__2019-10-01.empty.json,.json,49,2026-09-04T20:40:28.535454,json,,
data/cache/delisted_prices_yahoo/ACFC__2004-10-05__2018-05-29.parquet,.parquet,58900,2026-09-04T20:40:29.842453,,,
data/cache/delisted_prices_yahoo/ACGN__1996-01-25__2023-09-01.empty.json,.json,48,2026-09-04T20:40:28.998222,json,,
