path,suffix,blocked_by_contamination_boundary,relevant_columns,all_columns,size_bytes
data/cache/delisted_prices_yahoo/ABAX__1992-01-23__2018-08-01.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",111326
data/cache/delisted_prices_yahoo/ABXL__2025-12-30__2026-01-27.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",3796
data/cache/delisted_prices_yahoo/ACFC__2004-10-05__2018-05-29.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",58900
data/cache/delisted_prices_yahoo/ACI__1988-08-12__2020-09-15.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",4510
data/cache/delisted_prices_yahoo/ACTA__1999-08-05__2018-04-20.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",72923
data/cache/delisted_prices_yahoo/ADT__2012-09-28__2020-05-01.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",13823
data/cache/delisted_prices_yahoo/AEUA__2015-06-11__2018-06-07.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",7712
data/cache/delisted_prices_yahoo/AFSI__2006-11-13__2018-11-29.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",64427
data/cache/delisted_prices_yahoo/AHGP__2006-05-10__2018-06-01.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",64466
data/cache/delisted_prices_yahoo/AHRT__2023-09-11__2026-05-28.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",15478
data/cache/delisted_prices_yahoo/AIFU__2007-11-01__2025-05-20.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",72895
data/cache/delisted_prices_yahoo/AIM__2006-12-28__2026-09-03.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",63438
data/cache/delisted_prices_yahoo/AIP__2011-12-27__2023-03-28.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",10485
data/cache/delisted_prices_yahoo/AMTD__1997-03-04__2020-10-07.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",7290
data/cache/delisted_prices_yahoo/ANCX__2004-07-19__2019-01-31.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",66815
data/cache/delisted_prices_yahoo/ANVS__2010-02-12__2020-11-25.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",7169
data/cache/delisted_prices_yahoo/API__1991-02-12__2020-08-21.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",4233
data/cache/delisted_prices_yahoo/AREBW__2022-02-07__2026-09-03.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",3406
data/cache/delisted_prices_yahoo/AREB__2018-01-23__2026-09-03.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",23703
data/cache/delisted_prices_yahoo/ASNS__2022-05-13__2026-09-03.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",21052
data/cache/delisted_prices_yahoo/ASRT__2003-12-17__2026-06-17.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",3389
data/cache/delisted_prices_yahoo/AVB__1994-03-11__2026-08-17.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",3874
data/cache/delisted_prices_yahoo/AVNS__2014-10-21__2026-09-03.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",3423
data/cache/delisted_prices_yahoo/BAM__2022-12-01__2022-12-16.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",3594
data/cache/delisted_prices_yahoo/BBAI__2021-04-05__2021-12-16.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",5587
data/cache/delisted_prices_yahoo/BBOX__1992-12-17__2019-01-07.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",120015
data/cache/delisted_prices_yahoo/BBRG__2010-10-21__2018-05-25.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",33486
data/cache/delisted_prices_yahoo/BEAM__1977-01-03__2020-04-24.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",4515
data/cache/delisted_prices_yahoo/BETR__2015-08-05__2023-08-29.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",10189
data/cache/delisted_prices_yahoo/BGC__1997-05-16__2018-06-06.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",80163
data/cache/delisted_prices_yahoo/BIVV__2017-01-12__2018-03-19.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",9253
data/cache/delisted_prices_yahoo/BNL__2020-09-17__2021-03-19.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",5815
data/cache/delisted_prices_yahoo/BNY__2001-07-27__2026-02-06.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",126562
data/cache/delisted_prices_yahoo/BODI__2021-01-15__2024-03-01.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",16478
data/cache/delisted_prices_yahoo/BOJA__2015-05-08__2019-01-28.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",17359
data/cache/delisted_prices_yahoo/BTU__2001-05-22__2017-03-31.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",3384
data/cache/delisted_prices_yahoo/BUFF__2015-07-22__2018-05-04.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",10975
data/cache/delisted_prices_yahoo/BUR__2010-04-05__2021-04-01.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",5493
data/cache/delisted_prices_yahoo/BWNB__2021-12-17__2026-09-03.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",3656
data/cache/delisted_prices_yahoo/BWP__2005-11-10__2018-07-18.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",62849
data/cache/delisted_prices_yahoo/B__1984-09-07__2025-01-27.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",172776
data/cache/delisted_prices_yahoo/CAA__1987-12-30__2018-02-13.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",122577
data/cache/delisted_prices_yahoo/CAFD__2015-06-19__2018-06-20.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",16697
data/cache/delisted_prices_yahoo/CALD__2003-11-20__2018-04-16.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",57076
data/cache/delisted_prices_yahoo/CALL__1996-02-07__2018-11-14.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",5858
data/cache/delisted_prices_yahoo/CAVM__2007-05-02__2018-07-09.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",59843
data/cache/delisted_prices_yahoo/CCRN__2001-10-25__2026-07-22.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",3389
data/cache/delisted_prices_yahoo/CCSI__2021-10-08__2021-10-08.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",3501
data/cache/delisted_prices_yahoo/CD__2020-09-30__2023-12-19.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",17214
data/cache/delisted_prices_yahoo/CHAI__2026-05-28__2026-05-28.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",3464
data/cache/delisted_prices_yahoo/CHEV__2016-01-04__2016-05-31.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",4235
data/cache/delisted_prices_yahoo/CHUBA__2016-07-22__2018-05-21.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",11778
data/cache/delisted_prices_yahoo/CLPT__2012-05-22__2020-02-11.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",28104
data/cache/delisted_prices_yahoo/CMLSQ__2017-12-01__2026-03-20.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",36566
data/cache/delisted_prices_yahoo/CNH__2001-01-02__2013-10-17.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",3646
data/cache/delisted_prices_yahoo/CNR__2016-01-04__2022-07-25.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",27055
data/cache/delisted_prices_yahoo/CNXR__2014-12-12__2018-04-27.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",17936
data/cache/delisted_prices_yahoo/COHR__1990-03-26__2022-07-01.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",133550
data/cache/delisted_prices_yahoo/COL__2001-06-15__2018-11-26.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",18115
data/cache/delisted_prices_yahoo/CORI__2014-04-03__2018-11-27.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",23099
data/cache/delisted_prices_yahoo/COR__2010-09-23__2021-12-28.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",62694
data/cache/delisted_prices_yahoo/COTV__2016-05-26__2018-08-27.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",14162
data/cache/delisted_prices_yahoo/CPLA__2006-11-10__2018-08-01.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",63070
data/cache/delisted_prices_yahoo/CPN__2008-01-10__2026-09-03.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",43830
data/cache/delisted_prices_yahoo/CPRX__2006-11-08__2026-07-16.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",3395
data/cache/delisted_prices_yahoo/CRC__2014-11-13__2020-12-04.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",3957
data/cache/delisted_prices_yahoo/CRVP__1994-01-14__2018-03-26.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",78746
data/cache/delisted_prices_yahoo/CSR__2007-10-29__2011-09-15.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",18908
data/cache/delisted_prices_yahoo/CTP__2010-12-08__2015-06-23.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",8564
data/cache/delisted_prices_yahoo/CTZ__2015-09-22__2020-10-23.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",25007
data/cache/delisted_prices_yahoo/CUDA__2013-11-06__2018-02-12.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",14176
data/cache/delisted_prices_yahoo/CVG__1998-08-13__2018-12-14.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",65872
data/cache/delisted_prices_yahoo/CVU__2022-10-05__2022-12-09.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",4346
data/cache/delisted_prices_yahoo/CWAN__2021-09-24__2026-07-02.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",3372
data/cache/delisted_prices_yahoo/CZR__2012-02-08__2020-07-20.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",31023
data/cache/delisted_prices_yahoo/DCOM__1996-06-26__2021-01-29.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",90032
data/cache/delisted_prices_yahoo/DD__2017-08-03__2019-05-31.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",12856
data/cache/delisted_prices_yahoo/DEL__1996-12-12__2018-02-21.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",104722
data/cache/delisted_prices_yahoo/DOC__2013-07-19__2024-03-07.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",56224
data/cache/delisted_prices_yahoo/DRS__1996-04-02__2009-10-30.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",41886
data/cache/delisted_prices_yahoo/DRUA__2016-07-25__2021-08-30.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",23698
data/cache/delisted_prices_yahoo/DST__1995-11-01__2018-04-17.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",110492
data/cache/delisted_prices_yahoo/DSY__2024-06-06__2026-02-20.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",11321
data/cache/delisted_prices_yahoo/DTJ__2016-06-01__2021-06-29.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",23297
data/cache/delisted_prices_yahoo/DTY__2016-12-08__2021-12-15.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",23230
data/cache/delisted_prices_yahoo/DWCH__1992-05-29__2018-12-13.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",94812
data/cache/delisted_prices_yahoo/EA__1990-03-26__2026-08-04.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",3396
data/cache/delisted_prices_yahoo/ECHO__2009-10-02__2026-06-23.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",84302
data/cache/delisted_prices_yahoo/ECVT__2017-09-29__2021-08-02.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",19279
data/cache/delisted_prices_yahoo/ECYT__2011-02-04__2018-12-21.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",36336
data/cache/delisted_prices_yahoo/EEX__2017-04-28__2026-07-14.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",3360
data/cache/delisted_prices_yahoo/EGC__2017-01-09__2018-10-19.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",11729
data/cache/delisted_prices_yahoo/EGN__1984-07-19__2018-11-29.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",153214
data/cache/delisted_prices_yahoo/ELA__2016-01-04__2016-08-25.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",5525
data/cache/delisted_prices_yahoo/ELECU__2015-06-11__2018-05-31.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",11152
data/cache/delisted_prices_yahoo/ELEC__2015-09-24__2018-06-06.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",10945
data/cache/delisted_prices_yahoo/ELSE__1990-04-02__2026-09-03.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",3424
data/cache/delisted_prices_yahoo/ENLK__2003-02-25__2019-01-25.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",71418
data/cache/delisted_prices_yahoo/EP__2022-03-08__2022-04-11.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",3948
data/cache/delisted_prices_yahoo/ESIO__1990-03-26__2019-02-01.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",116709
data/cache/delisted_prices_yahoo/ESI__2019-01-31__2019-01-31.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",3468
data/cache/delisted_prices_yahoo/ESND__1990-03-26__2019-01-31.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",128227
data/cache/delisted_prices_yahoo/ESPR__2013-06-26__2026-07-13.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",3372
data/cache/delisted_prices_yahoo/ETP__2002-02-05__2018-10-19.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",17583
data/cache/delisted_prices_yahoo/EU__2008-05-22__2024-10-04.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",37969
data/cache/delisted_prices_yahoo/EVSNF__2013-12-06__2018-04-26.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",17560
data/cache/delisted_prices_yahoo/EXAC__1996-05-30__2018-02-14.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",82919
data/cache/delisted_prices_yahoo/FBRT__2021-03-24__2021-10-19.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",3440
data/cache/delisted_prices_yahoo/FLNA__2017-10-13__2026-05-28.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",41948
data/cache/delisted_prices_yahoo/FMI__2013-09-25__2018-08-10.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",26702
data/cache/delisted_prices_yahoo/FNCX__1990-03-26__2018-11-21.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",84330
data/cache/delisted_prices_yahoo/FOGO__2015-06-19__2018-04-16.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",14335
data/cache/delisted_prices_yahoo/FUN__1987-04-23__2024-07-16.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",163689
data/cache/delisted_prices_yahoo/FWDI__2011-07-08__2019-03-22.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",24186
data/cache/delisted_prices_yahoo/GAME__2009-09-25__2021-06-23.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",16822
data/cache/delisted_prices_yahoo/GHI__1994-11-22__2022-12-27.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",100198
data/cache/delisted_prices_yahoo/GLDI__2024-06-03__2024-07-09.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",3986
data/cache/delisted_prices_yahoo/GMLPF__2017-10-25__2021-05-21.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",19355
data/cache/delisted_prices_yahoo/GMTA__2016-05-18__2021-05-28.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",23542
data/cache/delisted_prices_yahoo/GNCMA__1992-10-14__2018-03-19.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",90119
data/cache/delisted_prices_yahoo/GOLD__2002-07-30__2018-12-31.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",25005
data/cache/delisted_prices_yahoo/GPOR__1999-03-03__2021-05-18.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",3443
data/cache/delisted_prices_yahoo/GROM__2017-07-20__2026-09-03.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",38692
data/cache/delisted_prices_yahoo/GTES__2018-01-25__2026-07-17.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",38662
data/cache/delisted_prices_yahoo/GTLS__2006-07-26__2026-07-16.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",3380
data/cache/delisted_prices_yahoo/HBANP__2008-04-17__2021-03-03.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",3821
data/cache/delisted_prices_yahoo/HCC__1992-10-28__2017-07-03.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",4495
data/cache/delisted_prices_yahoo/HDP__2014-12-12__2019-01-03.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",22811
