ticker,status,provider_symbol,rows,first_date,last_date,error
AAPL,CACHE_HIT,AAPL,3191,2013-12-30,2026-09-08,
ABBV,CACHE_HIT,ABBV,3191,2013-12-30,2026-09-08,
ABNB,CACHE_HIT,ABNB,1430,2020-12-28,2026-09-08,
ACN,CACHE_HIT,ACN,3191,2013-12-30,2026-09-08,
ADBE,CACHE_HIT,ADBE,3191,2013-12-30,2026-09-08,
ADI,CACHE_HIT,ADI,3191,2013-12-30,2026-09-08,
ADSK,CACHE_HIT,ADSK,3191,2013-12-30,2026-09-08,
AMAT,CACHE_HIT,AMAT,3191,2013-12-30,2026-09-08,
AMD,CACHE_HIT,AMD,3191,2013-12-30,2026-09-08,
AMGN,CACHE_HIT,AMGN,3191,2013-12-30,2026-09-08,
AMZN,CACHE_HIT,AMZN,3191,2013-12-30,2026-09-08,
ANET,CACHE_HIT,ANET,3069,2014-06-25,2026-09-08,
APD,CACHE_HIT,APD,3191,2013-12-30,2026-09-08,
ARM,CACHE_HIT,ARM,739,2023-09-27,2026-09-08,
ASML,CACHE_HIT,ASML,3191,2013-12-30,2026-09-08,
AVGO,CACHE_HIT,AVGO,3191,2013-12-30,2026-09-08,
AXP,CACHE_HIT,AXP,3191,2013-12-30,2026-09-08,
AZN,CACHE_HIT,AZN,1512,2020-08-31,2026-09-08,
AZO,CACHE_HIT,AZO,3191,2013-12-30,2026-09-08,
BA,CACHE_HIT,BA,3191,2013-12-30,2026-09-08,
BABA,CACHE_HIT,BABA,3005,2014-09-25,2026-09-08,
BAC,CACHE_HIT,BAC,3191,2013-12-30,2026-09-08,
BBD,CACHE_HIT,BBD,3191,2013-12-30,2026-09-08,
BHP,CACHE_HIT,BHP,3191,2013-12-30,2026-09-08,
BIDU,CACHE_HIT,BIDU,3191,2013-12-30,2026-09-08,
BKNG,CACHE_HIT,BKNG,3191,2013-12-30,2026-09-08,
BLK,CACHE_HIT,BLK,3191,2013-12-30,2026-09-08,
BMY,CACHE_HIT,BMY,3191,2013-12-30,2026-09-08,
BNY,CACHE_HIT,BNY,3198,2013-12-18,2026-09-08,
BP,CACHE_HIT,BP,1512,2020-08-31,2026-09-08,
BRK-B,CACHE_HIT,BRK-B,3191,2013-12-30,2026-09-08,
BSX,CACHE_HIT,BSX,3191,2013-12-30,2026-09-08,
C,CACHE_HIT,C,3191,2013-12-30,2026-09-08,
CAAP,CACHE_HIT,CAAP,2146,2018-02-23,2026-09-08,
CAT,CACHE_HIT,CAT,3191,2013-12-30,2026-09-08,
CDNS,CACHE_HIT,CDNS,3191,2013-12-30,2026-09-08,
CEPU,CACHE_HIT,CEPU,2146,2018-02-23,2026-09-08,
CHTR,CACHE_HIT,CHTR,3191,2013-12-30,2026-09-08,
CL,CACHE_HIT,CL,3191,2013-12-30,2026-09-08,
CMCSA,CACHE_HIT,CMCSA,3191,2013-12-30,2026-09-08,
CMG,CACHE_HIT,CMG,3191,2013-12-30,2026-09-08,
COF,CACHE_HIT,COF,3191,2013-12-30,2026-09-08,
COIN,CACHE_HIT,COIN,1349,2021-04-26,2026-09-08,
COP,CACHE_HIT,COP,3191,2013-12-30,2026-09-08,
COST,CACHE_HIT,COST,3191,2013-12-30,2026-09-08,
CRM,CACHE_HIT,CRM,3191,2013-12-30,2026-09-08,
CRWD,CACHE_HIT,CRWD,1810,2019-06-26,2026-09-08,
