ticker,first_date,last_date,rows,covered_rows,coverage
AAPL,2014-01-02,2026-09-04,3188,3188,1.0
ABAX,2013-12-23,2018-08-01,1160,1160,1.0
ABBV,2014-01-02,2026-09-04,3188,3188,1.0
ABNB,2020-12-31,2026-09-04,1426,1426,1.0
ABXL,2025-12-26,2026-01-30,24,24,1.0
ACFC,2013-12-23,2018-05-25,1114,1114,1.0
ACI,2020-06-26,2020-09-15,56,56,1.0
ACN,2014-01-02,2026-09-04,3188,3188,1.0
ACTA,2013-12-23,2018-04-19,1088,1088,1.0
ADBE,2014-01-02,2026-09-04,3188,3188,1.0
ADI,2014-01-02,2026-09-04,3188,3188,1.0
ADSK,2014-01-02,2026-09-04,3188,3188,1.0
ADT,2018-01-19,2020-05-01,575,575,1.0
AEUA,2017-07-13,2018-06-07,228,228,1.0
AFSI,2013-12-23,2018-11-29,1243,1243,1.0
AHGP,2013-12-23,2018-06-01,1118,1118,1.0
AHRT,2023-09-06,2026-06-01,686,686,1.0
AIFU,2013-12-23,2025-05-20,2869,2869,1.0
AIM,2013-12-23,2026-09-03,3193,3193,1.0
AIP,2021-10-27,2023-03-31,357,357,1.0
AMAT,2014-01-02,2026-09-04,3188,3188,1.0
AMD,2014-01-02,2026-09-04,3188,3188,1.0
AMGN,2014-01-02,2026-09-04,3188,3188,1.0
AMTD,2019-08-05,2020-10-07,298,298,1.0
AMZN,2014-01-02,2026-09-04,3188,3188,1.0
ANCX,2013-12-23,2019-01-30,1281,1281,1.0
ANET,2014-06-30,2026-09-04,3065,3065,1.0
ANVS,2020-01-29,2020-11-25,211,211,1.0
APD,2014-01-02,2026-09-04,3188,3188,1.0
API,2020-06-26,2020-08-21,40,40,1.0
AREB,2022-02-07,2026-09-03,1148,1148,1.0
AREBW,2026-07-17,2026-07-17,1,1,1.0
ARM,2023-10-02,2026-09-04,735,735,1.0
ASML,2014-01-02,2026-09-04,3188,3188,1.0
ASNS,2022-05-31,2026-09-03,1070,1070,1.0
ASRT,2026-06-16,2026-06-17,2,2,1.0
AVB,2026-07-17,2026-08-17,22,22,1.0
AVGO,2014-01-02,2026-09-04,3188,3188,1.0
AVNS,2026-07-17,2026-07-24,3,3,1.0
AXP,2014-01-02,2026-09-04,3188,3188,1.0
AZN,2020-09-04,2026-09-04,1507,1507,1.0
AZO,2014-01-02,2026-09-04,3188,3188,1.0
B,2013-12-23,2025-01-31,2791,2791,1.0
BA,2014-01-02,2026-09-04,3188,3188,1.0
BABA,2014-09-30,2026-09-04,3001,3001,1.0
BAC,2014-01-02,2026-09-04,3188,3188,1.0
BBAI,2021-04-30,2021-12-16,161,161,1.0
BBD,2014-01-02,2026-09-04,3188,3188,1.0
BBOX,2013-12-23,2019-01-07,1268,1268,1.0
BBRG,2013-12-23,2018-05-25,1113,1113,1.0
BEAM,2020-02-06,2020-04-24,55,55,1.0
BETR,2021-04-30,2023-09-01,589,589,1.0
BGC,2013-12-23,2018-06-06,1121,1121,1.0
BHP,2014-01-02,2026-09-04,3188,3188,1.0
BIDU,2014-01-02,2026-09-04,3188,3188,1.0
BIVV,2017-01-31,2018-03-08,278,278,1.0
BKNG,2014-01-02,2026-09-04,3188,3188,1.0
BLK,2014-01-02,2026-09-04,3188,3188,1.0
BMY,2014-01-02,2026-09-04,3188,3188,1.0
BNL,2020-09-30,2021-03-19,118,118,1.0
BNY,2013-12-23,2026-09-04,3194,3194,1.0
BODI,2021-02-01,2024-03-01,776,776,1.0
BOJA,2015-06-01,2019-01-28,920,920,1.0
BP,2020-09-04,2026-09-04,1507,1507,1.0
BRK-B,2014-01-02,2026-09-04,3188,3188,1.0
BSX,2014-01-02,2026-09-04,3188,3188,1.0
BUFF,2016-10-21,2018-05-04,386,386,1.0
BUR,2020-10-19,2021-04-01,114,114,1.0
BWNB,2026-07-17,2026-08-12,19,19,1.0
BWP,2013-12-23,2018-07-17,1149,1149,1.0
C,2014-01-02,2026-09-04,3188,3188,1.0
CAA,2013-12-23,2018-02-12,1041,1041,1.0
CAAP,2018-02-28,2026-09-04,2142,2142,1.0
CAFD,2015-06-30,2018-06-20,750,750,1.0
CALD,2013-12-23,2018-04-13,1084,1084,1.0
CALL,2018-01-09,2018-11-14,212,212,1.0
CAT,2014-01-02,2026-09-04,3188,3188,1.0
CAVM,2013-12-23,2018-07-06,1142,1142,1.0
CCRN,2026-07-22,2026-07-22,1,1,1.0
CD,2020-09-25,2023-12-22,817,817,1.0
CDNS,2014-01-02,2026-09-04,3188,3188,1.0
CEPU,2018-02-28,2026-09-04,2142,2142,1.0
CHAI,2026-05-26,2026-06-01,5,5,1.0
CHEV,2016-02-01,2016-05-27,83,83,1.0
CHTR,2014-01-02,2026-09-04,3188,3188,1.0
CHUBA,2016-08-01,2018-05-21,455,455,1.0
CL,2014-01-02,2026-09-04,3188,3188,1.0
CLPT,2013-12-23,2020-02-11,1544,1544,1.0
CMCSA,2014-01-02,2026-09-04,3188,3188,1.0
CMG,2014-01-02,2026-09-04,3188,3188,1.0
CMLSQ,2018-08-07,2026-03-20,1915,1915,1.0
