ticker,classification,repair_priority,reason,return_price_last_date,calendar_days_before_sample_end,lifecycle_status,lifecycle_delisting_date,av_active_status,av_delisted_status,av_delisted_delisting_date,cache_filename_delisting_date,cache_has_parquet,target_price_source,unresolved_total_across_horizons
AHRT,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,2,delisting evidence within 4 calendar days of terminal price,2026-06-01,95,Delisted,2026-05-28,Active,Delisted,2026-05-28,2026-05-28,True,PHASE2_EXISTING_ADJ_CLOSE,508
BBRG,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,2,delisting evidence within 4 calendar days of terminal price,2018-05-29,3020,Delisted,2018-05-25,,Delisted,2018-05-25,2018-05-25,True,PHASE2_EXISTING_ADJ_CLOSE,508
CD,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,2,delisting evidence within 3 calendar days of terminal price,2023-12-22,987,Delisted,2023-12-19,Active,Delisted,2023-12-19,2023-12-19,True,PHASE2_EXISTING_ADJ_CLOSE,508
COHR,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,2,delisting evidence within 4 calendar days of terminal price,2022-07-05,1522,Delisted,2022-07-01,Active,Delisted,2022-07-01,2022-07-01,True,PHASE2_EXISTING_ADJ_CLOSE,508
COR,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,2,delisting evidence within 3 calendar days of terminal price,2021-12-31,1708,Delisted,2021-12-28,Active,Delisted,2021-12-28,2021-12-28,True,PHASE2_EXISTING_ADJ_CLOSE,508
DCOM,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,2,delisting evidence within 4 calendar days of terminal price,2021-02-02,2040,Delisted,2021-01-29,Active,Delisted,2021-01-29,2021-01-29,True,PHASE2_EXISTING_ADJ_CLOSE,508
DD,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,2,delisting evidence within 4 calendar days of terminal price,2019-06-04,2649,Delisted,2019-05-31,Active,Delisted,2019-05-31,2019-05-31,True,PHASE2_EXISTING_ADJ_CLOSE,508
DOC,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,2,delisting evidence within 4 calendar days of terminal price,2024-03-11,907,Delisted,2024-03-07,Active,Delisted,2024-03-07,2024-03-07,True,PHASE2_EXISTING_ADJ_CLOSE,508
ECHO,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,2,delisting evidence within 3 calendar days of terminal price,2026-06-26,70,Delisted,2026-06-23,Active,Delisted,2026-06-23,2026-06-23,True,PHASE2_EXISTING_ADJ_CLOSE,508
ECYT,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,2,delisting evidence within 3 calendar days of terminal price,2018-12-24,2811,Delisted,2018-12-21,,Delisted,2018-12-21,2018-12-21,True,PHASE2_EXISTING_ADJ_CLOSE,508
EGN,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,2,delisting evidence within 1 calendar days of terminal price,2018-11-30,2835,Delisted,2018-11-29,,Delisted,2018-11-29,2018-11-29,True,PHASE2_EXISTING_ADJ_CLOSE,508
ENLK,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,2,delisting evidence within 3 calendar days of terminal price,2019-01-28,2776,Delisted,2019-01-25,,Delisted,2019-01-25,2019-01-25,True,PHASE2_EXISTING_ADJ_CLOSE,508
ESIO,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,2,delisting evidence within 3 calendar days of terminal price,2019-02-04,2769,Delisted,2019-02-01,,Delisted,2019-02-01,2019-02-01,True,PHASE2_EXISTING_ADJ_CLOSE,508
EU,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,2,delisting evidence within 4 calendar days of terminal price,2024-10-08,696,Delisted,2024-10-04,Active,Delisted,2024-10-04,2024-10-04,True,PHASE2_EXISTING_ADJ_CLOSE,508
FLNA,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,2,delisting evidence within 4 calendar days of terminal price,2026-06-01,95,Delisted,2026-05-28,Active,Delisted,2026-05-28,2026-05-28,True,PHASE2_EXISTING_ADJ_CLOSE,508
FWDI,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,2,delisting evidence within 4 calendar days of terminal price,2019-03-26,2719,Delisted,2019-03-22,Active,Delisted,2019-03-22,2019-03-22,True,PHASE2_EXISTING_ADJ_CLOSE,508
GHI,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,2,delisting evidence within 3 calendar days of terminal price,2022-12-30,1344,Delisted,2022-12-27,Active,Delisted,2022-12-27,2022-12-27,True,PHASE2_EXISTING_ADJ_CLOSE,508
HOLO,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,2,delisting evidence within 4 calendar days of terminal price,2022-12-27,1347,Delisted,2022-12-23,Active,Delisted,2022-12-23,2022-12-23,True,PHASE2_EXISTING_ADJ_CLOSE,508
HR,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,2,delisting evidence within 4 calendar days of terminal price,2022-12-27,1347,Delisted,2022-12-23,Active,Delisted,2022-12-23,2022-12-23,True,PHASE2_EXISTING_ADJ_CLOSE,508
ICCM,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,2,delisting evidence within 4 calendar days of terminal price,2023-01-03,1340,Delisted,2022-12-30,Active,Delisted,2022-12-30,2022-12-30,True,PHASE2_EXISTING_ADJ_CLOSE,508
IMPV,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,2,delisting evidence within 1 calendar days of terminal price,2019-01-11,2793,Delisted,2019-01-10,,Delisted,2019-01-10,2019-01-10,True,PHASE2_EXISTING_ADJ_CLOSE,508
INM,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,2,delisting evidence within 4 calendar days of terminal price,2023-01-03,1340,Delisted,2022-12-30,Active,Delisted,2022-12-30,2022-12-30,True,PHASE2_EXISTING_ADJ_CLOSE,508
IVTY,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,2,delisting evidence within 1 calendar days of terminal price,2018-10-24,2872,Delisted,2018-10-23,,Delisted,2018-10-23,2018-10-23,True,PHASE2_EXISTING_ADJ_CLOSE,508
JOYY,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,2,delisting evidence within 4 calendar days of terminal price,2022-06-14,1543,Delisted,2022-06-10,Active,Delisted,2022-06-10,2022-06-10,True,PHASE2_EXISTING_ADJ_CLOSE,508
JTPY,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,2,delisting evidence within 1 calendar days of terminal price,2018-12-07,2828,Delisted,2018-12-06,,Delisted,2018-12-06,2018-12-06,True,PHASE2_EXISTING_ADJ_CLOSE,508
LAB,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,2,delisting evidence within 3 calendar days of terminal price,2022-04-08,1610,Delisted,2022-04-05,Active,Delisted,2022-04-05,2022-04-05,True,PHASE2_EXISTING_ADJ_CLOSE,508
MRDN,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,2,delisting evidence within 4 calendar days of terminal price,2018-05-04,3045,Delisted,2018-04-30,Active,Delisted,2018-04-30,2018-04-30,True,PHASE2_EXISTING_ADJ_CLOSE,508
MXCT,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,2,delisting evidence within 4 calendar days of terminal price,2023-01-03,1340,Delisted,2022-12-30,Active,Delisted,2022-12-30,2022-12-30,True,PHASE2_EXISTING_ADJ_CLOSE,508
