signal_date,ticker,requested_entry_date,entry_date,target_status_1d,target_end_date_1d,horizon_sessions,target_status_5d,target_end_date_5d,target_status_10d,target_end_date_10d,target_status_20d,target_end_date_20d,target_status_40d,target_end_date_40d,target_status_60d,target_end_date_60d,target_status_120d,target_end_date_120d,target_status_252d,target_end_date_252d
2017-08-03,ABAX,2017-08-04,2017-08-04,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2017-08-04,ABAX,2017-08-07,2017-08-07,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2017-08-07,ABAX,2017-08-08,2017-08-08,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2017-08-08,ABAX,2017-08-09,2017-08-09,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2017-08-09,ABAX,2017-08-10,2017-08-10,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2017-08-10,ABAX,2017-08-11,2017-08-11,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2017-08-11,ABAX,2017-08-14,2017-08-14,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2017-08-14,ABAX,2017-08-15,2017-08-15,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2017-08-15,ABAX,2017-08-16,2017-08-16,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2017-08-16,ABAX,2017-08-17,2017-08-17,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2017-08-17,ABAX,2017-08-18,2017-08-18,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2017-08-18,ABAX,2017-08-21,2017-08-21,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2017-08-21,ABAX,2017-08-22,2017-08-22,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2017-08-22,ABAX,2017-08-23,2017-08-23,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
