ticker,unresolved_1d,unresolved_5d,unresolved_10d,unresolved_20d,unresolved_40d,unresolved_60d,unresolved_120d,unresolved_252d,unresolved_total_across_horizons,first_unresolved_signal,last_unresolved_signal,return_price_first_date,return_price_last_date,return_price_rows,target_price_source,panel_first_date,panel_last_date,panel_rows,panel_delisting_date,panel_source_state,lifecycle_status,lifecycle_delisting_date,lifecycle_name,av_active_status,av_active_delisting_date,av_active_name,av_delisted_status,av_delisted_delisting_date,av_delisted_name,cache_filename_delisting_date,cache_has_parquet,cache_files,calendar_days_before_sample_end,classification,reason,repair_priority
AHRT,1,5,10,20,40,60,120,252,508,2025-05-29,2026-05-29,2023-09-06,2026-06-01,686,PHASE2_EXISTING_ADJ_CLOSE,2023-09-06,2026-06-01,686,,active,Delisted,2026-05-28,American Healthcare REIT Inc - Class T,Active,,Armada Hoffler Properties Inc,Delisted,2026-05-28,American Healthcare REIT Inc - Class T,2026-05-28,True,AHRT__2023-09-11__2026-05-28.parquet,95,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,delisting evidence within 4 calendar days of terminal price,2
BBRG,1,5,10,20,40,60,120,252,508,2017-05-26,2018-05-25,2013-12-23,2018-05-29,1114,PHASE2_EXISTING_ADJ_CLOSE,2013-12-23,2018-05-29,1114,2018-05-25,delisted,Delisted,2018-05-25,Bravo Brio Restaurant Group Inc,,,,Delisted,2018-05-25,Bravo Brio Restaurant Group Inc,2018-05-25,True,BBRG__2010-10-21__2018-05-25.parquet,3020,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,delisting evidence within 4 calendar days of terminal price,2
CD,1,5,10,20,40,60,120,252,508,2022-12-21,2023-12-21,2020-09-25,2023-12-22,817,PHASE2_EXISTING_ADJ_CLOSE,2020-09-25,2023-12-22,817,,active,Delisted,2023-12-19,Chindata Group Holdings Ltd,Active,,Chaince DigitalHoldings Inc,Delisted,2023-12-19,Chindata Group Holdings Ltd,2023-12-19,True,CD__2020-09-30__2023-12-19.parquet,987,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,delisting evidence within 3 calendar days of terminal price,2
COHR,1,5,10,20,40,60,120,252,508,2021-07-02,2022-07-01,2013-12-23,2022-07-05,2147,PHASE2_EXISTING_ADJ_CLOSE,2013-12-23,2022-07-05,2147,2022-07-01,delisted,Delisted,2022-07-01,Coherent Inc,Active,,Coherent Corp,Delisted,2022-07-01,Coherent Inc,2022-07-01,True,COHR__1990-03-26__2022-07-01.parquet,1522,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,delisting evidence within 4 calendar days of terminal price,2
COR,1,5,10,20,40,60,120,252,508,2020-12-31,2021-12-30,2013-12-23,2021-12-31,2021,PHASE2_EXISTING_ADJ_CLOSE,2013-12-23,2021-12-31,2021,,active,Delisted,2021-12-28,CoreSite Realty Corporation,Active,,Cencora Inc,Delisted,2021-12-28,CoreSite Realty Corporation,2021-12-28,True,COR__2010-09-23__2021-12-28.parquet,1708,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,delisting evidence within 3 calendar days of terminal price,2
DCOM,1,5,10,20,40,60,120,252,508,2020-02-03,2021-02-01,2013-12-23,2021-02-02,1790,PHASE2_EXISTING_ADJ_CLOSE,2013-12-23,2021-02-02,1790,2021-01-29,active | delisted,Delisted,2021-01-29,Dime Community Bancshares Inc,Active,,Dime Community Bancshares Inc,Delisted,2021-01-29,Dime Community Bancshares Inc,2021-01-29,True,DCOM__1996-06-26__2021-01-29.parquet,2040,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,delisting evidence within 4 calendar days of terminal price,2
DD,1,5,10,20,40,60,120,252,508,2018-06-01,2019-06-03,2017-07-31,2019-06-04,464,PHASE2_EXISTING_ADJ_CLOSE,2017-07-31,2019-06-04,464,,active,Delisted,2019-05-31,DowDuPont Inc,Active,,DuPont de Nemours Inc,Delisted,2019-05-31,DowDuPont Inc,2019-05-31,True,DD__2017-08-03__2019-05-31.parquet,2649,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,delisting evidence within 4 calendar days of terminal price,2
DOC,1,5,10,20,40,60,120,252,508,2023-03-09,2024-03-08,2013-12-23,2024-03-11,2570,PHASE2_EXISTING_ADJ_CLOSE,2013-12-23,2024-03-11,2570,,active,Delisted,2024-03-07,Physicians Realty Trust,Active,,Healthpeak OP LLC,Delisted,2024-03-07,Physicians Realty Trust,2024-03-07,True,DOC__2013-07-19__2024-03-07.parquet,907,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,delisting evidence within 4 calendar days of terminal price,2
ECHO,1,5,10,20,40,60,120,252,508,2025-06-25,2026-06-25,2013-12-23,2026-06-26,3145,PHASE2_EXISTING_ADJ_CLOSE,2013-12-23,2026-06-26,3145,,active,Delisted,2026-06-23,Echo Global Logistics Inc,Active,,EchoStar Corp - Class A,Delisted,2026-06-23,Echo Global Logistics Inc,2026-06-23,True,ECHO__2009-10-02__2026-06-23.parquet,70,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,delisting evidence within 3 calendar days of terminal price,2
ECYT,1,5,10,20,40,60,120,252,508,2017-12-21,2018-12-21,2013-12-23,2018-12-24,1260,PHASE2_EXISTING_ADJ_CLOSE,2013-12-23,2018-12-24,1260,2018-12-21,delisted,Delisted,2018-12-21,Endocyte Inc,,,,Delisted,2018-12-21,Endocyte Inc,2018-12-21,True,ECYT__2011-02-04__2018-12-21.parquet,2811,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,delisting evidence within 3 calendar days of terminal price,2
