ticker,terminal_price_date,consensus_delisting_date,evidence_count,evidence_sources,classification,lifecycle_name,av_delisted_name,historical_name_identity_match,max_allowed_gap_calendar_days,overlay_validated,validation_failures,target_only,feature_allowed,repair_semantics,resolution_type,effective_start_date,effective_end_date,security_type,evidence_source,evidence_note,evidence_url,research_eligible
ABAX,2018-08-03,2018-08-01,4.0,LIFECYCLE | ALPHA_VANTAGE_DELISTED | DELISTED_CACHE_FILENAME | PANEL,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,Abaxis Inc,Abaxis Inc,True,4.0,True,,True,False,LAST_OBSERVED_VALIDATED_TOTAL_RETURN_PRICE_IS_TERMINAL_OUTCOME,TERMINAL_DELISTING_OVERLAY,,,,,,,
ACI,2020-09-18,2020-09-15,4.0,LIFECYCLE | ALPHA_VANTAGE_DELISTED | DELISTED_CACHE_FILENAME | PANEL,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,Arch Coal Inc,Arch Coal Inc,True,4.0,True,,True,False,LAST_OBSERVED_VALIDATED_TOTAL_RETURN_PRICE_IS_TERMINAL_OUTCOME,TERMINAL_DELISTING_OVERLAY,,,,,,,
ADT,2020-05-05,2020-05-01,4.0,LIFECYCLE | ALPHA_VANTAGE_DELISTED | DELISTED_CACHE_FILENAME | PANEL,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,ADT Corp,ADT Corp,True,4.0,True,,True,False,LAST_OBSERVED_VALIDATED_TOTAL_RETURN_PRICE_IS_TERMINAL_OUTCOME,TERMINAL_DELISTING_OVERLAY,,,,,,,
AFSI,2018-12-03,2018-11-29,4.0,LIFECYCLE | ALPHA_VANTAGE_DELISTED | DELISTED_CACHE_FILENAME | PANEL,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,Amtrust Financial Services Inc,Amtrust Financial Services Inc,True,4.0,True,,True,False,LAST_OBSERVED_VALIDATED_TOTAL_RETURN_PRICE_IS_TERMINAL_OUTCOME,TERMINAL_DELISTING_OVERLAY,,,,,,,
AHGP,2018-06-05,2018-06-01,4.0,LIFECYCLE | ALPHA_VANTAGE_DELISTED | DELISTED_CACHE_FILENAME | PANEL,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,Alliance Holdings GP L.P.,Alliance Holdings GP L.P.,True,4.0,True,,True,False,LAST_OBSERVED_VALIDATED_TOTAL_RETURN_PRICE_IS_TERMINAL_OUTCOME,TERMINAL_DELISTING_OVERLAY,,,,,,,
AHRT,2026-06-01,2026-05-28,3.0,LIFECYCLE | ALPHA_VANTAGE_DELISTED | DELISTED_CACHE_FILENAME,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,American Healthcare REIT Inc - Class T,American Healthcare REIT Inc - Class T,True,4.0,True,,True,False,LAST_OBSERVED_VALIDATED_TOTAL_RETURN_PRICE_IS_TERMINAL_OUTCOME,TERMINAL_DELISTING_OVERLAY,,,,,,,
AIFU,2025-05-23,2025-05-20,4.0,LIFECYCLE | ALPHA_VANTAGE_DELISTED | DELISTED_CACHE_FILENAME | PANEL,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,AIFU Inc,AIFU Inc,True,4.0,True,,True,False,LAST_OBSERVED_VALIDATED_TOTAL_RETURN_PRICE_IS_TERMINAL_OUTCOME,TERMINAL_DELISTING_OVERLAY,,,,,,,
AIP,2023-03-31,2023-03-28,4.0,LIFECYCLE | ALPHA_VANTAGE_DELISTED | DELISTED_CACHE_FILENAME | PANEL,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,Infinya Ltd,Infinya Ltd,True,4.0,True,,True,False,LAST_OBSERVED_VALIDATED_TOTAL_RETURN_PRICE_IS_TERMINAL_OUTCOME,TERMINAL_DELISTING_OVERLAY,,,,,,,
AMTD,2020-10-09,2020-10-07,4.0,LIFECYCLE | ALPHA_VANTAGE_DELISTED | DELISTED_CACHE_FILENAME | PANEL,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,TD Ameritrade Holding Corp,TD Ameritrade Holding Corp,True,4.0,True,,True,False,LAST_OBSERVED_VALIDATED_TOTAL_RETURN_PRICE_IS_TERMINAL_OUTCOME,TERMINAL_DELISTING_OVERLAY,,,,,,,
ANVS,2020-11-27,2020-11-25,4.0,LIFECYCLE | ALPHA_VANTAGE_DELISTED | DELISTED_CACHE_FILENAME | PANEL,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,Anv Sec Group Inc,Anv Sec Group Inc,True,4.0,True,,True,False,LAST_OBSERVED_VALIDATED_TOTAL_RETURN_PRICE_IS_TERMINAL_OUTCOME,TERMINAL_DELISTING_OVERLAY,,,,,,,
API,2020-08-25,2020-08-21,4.0,LIFECYCLE | ALPHA_VANTAGE_DELISTED | DELISTED_CACHE_FILENAME | PANEL,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,Agora Inc,Agora Inc,True,4.0,True,,True,False,LAST_OBSERVED_VALIDATED_TOTAL_RETURN_PRICE_IS_TERMINAL_OUTCOME,TERMINAL_DELISTING_OVERLAY,,,,,,,
ASRT,2026-06-18,2026-06-17,4.0,LIFECYCLE | ALPHA_VANTAGE_DELISTED | DELISTED_CACHE_FILENAME | PANEL,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,Assertio Holdings Inc,Assertio Holdings Inc,True,4.0,True,,True,False,LAST_OBSERVED_VALIDATED_TOTAL_RETURN_PRICE_IS_TERMINAL_OUTCOME,TERMINAL_DELISTING_OVERLAY,,,,,,,
AVB,2026-08-21,2026-08-17,4.0,LIFECYCLE | ALPHA_VANTAGE_DELISTED | DELISTED_CACHE_FILENAME | PANEL,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,Avalonbay Communities Inc,Avalonbay Communities Inc,True,4.0,True,,True,False,LAST_OBSERVED_VALIDATED_TOTAL_RETURN_PRICE_IS_TERMINAL_OUTCOME,TERMINAL_DELISTING_OVERLAY,,,,,,,
B,2025-01-31,2025-01-27,4.0,LIFECYCLE | ALPHA_VANTAGE_DELISTED | DELISTED_CACHE_FILENAME | PANEL,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,Barnes Group Inc,Barnes Group Inc,True,4.0,True,,True,False,LAST_OBSERVED_VALIDATED_TOTAL_RETURN_PRICE_IS_TERMINAL_OUTCOME,TERMINAL_DELISTING_OVERLAY,,,,,,,
BBAI,2021-12-20,2021-12-16,4.0,LIFECYCLE | ALPHA_VANTAGE_DELISTED | DELISTED_CACHE_FILENAME | PANEL,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,BigBear.ai Holdings Inc,BigBear.ai Holdings Inc,True,4.0,True,,True,False,LAST_OBSERVED_VALIDATED_TOTAL_RETURN_PRICE_IS_TERMINAL_OUTCOME,TERMINAL_DELISTING_OVERLAY,,,,,,,
BBRG,2018-05-29,2018-05-25,4.0,LIFECYCLE | ALPHA_VANTAGE_DELISTED | DELISTED_CACHE_FILENAME | PANEL,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,Bravo Brio Restaurant Group Inc,Bravo Brio Restaurant Group Inc,True,4.0,True,,True,False,LAST_OBSERVED_VALIDATED_TOTAL_RETURN_PRICE_IS_TERMINAL_OUTCOME,TERMINAL_DELISTING_OVERLAY,,,,,,,
BEAM,2020-04-28,2020-04-24,4.0,LIFECYCLE | ALPHA_VANTAGE_DELISTED | DELISTED_CACHE_FILENAME | PANEL,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,BEAM Inc,BEAM Inc,True,4.0,True,,True,False,LAST_OBSERVED_VALIDATED_TOTAL_RETURN_PRICE_IS_TERMINAL_OUTCOME,TERMINAL_DELISTING_OVERLAY,,,,,,,
BETR,2023-09-01,2023-08-29,4.0,LIFECYCLE | ALPHA_VANTAGE_DELISTED | DELISTED_CACHE_FILENAME | PANEL,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,Amplify Snack Brands Inc,Amplify Snack Brands Inc,True,4.0,True,,True,False,LAST_OBSERVED_VALIDATED_TOTAL_RETURN_PRICE_IS_TERMINAL_OUTCOME,TERMINAL_DELISTING_OVERLAY,,,,,,,
BGC,2018-06-08,2018-06-06,4.0,LIFECYCLE | ALPHA_VANTAGE_DELISTED | DELISTED_CACHE_FILENAME | PANEL,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,General Cable Corp,General Cable Corp,True,4.0,True,,True,False,LAST_OBSERVED_VALIDATED_TOTAL_RETURN_PRICE_IS_TERMINAL_OUTCOME,TERMINAL_DELISTING_OVERLAY,,,,,,,
BNL,2021-03-23,2021-03-19,4.0,LIFECYCLE | ALPHA_VANTAGE_DELISTED | DELISTED_CACHE_FILENAME | PANEL,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,Broadstone Net Lease Inc - Class A,Broadstone Net Lease Inc - Class A,True,4.0,True,,True,False,LAST_OBSERVED_VALIDATED_TOTAL_RETURN_PRICE_IS_TERMINAL_OUTCOME,TERMINAL_DELISTING_OVERLAY,,,,,,,
