ticker,terminal_price_date,consensus_delisting_date,evidence_count,evidence_sources,classification,lifecycle_name,av_delisted_name,historical_name_identity_match,max_allowed_gap_calendar_days,overlay_validated,validation_failures,target_only,feature_allowed,repair_semantics
ABAX,2018-08-03,2018-08-01,4,LIFECYCLE | ALPHA_VANTAGE_DELISTED | DELISTED_CACHE_FILENAME | PANEL,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,Abaxis Inc,Abaxis Inc,True,4,True,,True,False,LAST_OBSERVED_VALIDATED_TOTAL_RETURN_PRICE_IS_TERMINAL_OUTCOME
ACI,2020-09-18,2020-09-15,4,LIFECYCLE | ALPHA_VANTAGE_DELISTED | DELISTED_CACHE_FILENAME | PANEL,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,Arch Coal Inc,Arch Coal Inc,True,4,True,,True,False,LAST_OBSERVED_VALIDATED_TOTAL_RETURN_PRICE_IS_TERMINAL_OUTCOME
ADT,2020-05-05,2020-05-01,4,LIFECYCLE | ALPHA_VANTAGE_DELISTED | DELISTED_CACHE_FILENAME | PANEL,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,ADT Corp,ADT Corp,True,4,True,,True,False,LAST_OBSERVED_VALIDATED_TOTAL_RETURN_PRICE_IS_TERMINAL_OUTCOME
AFSI,2018-12-03,2018-11-29,4,LIFECYCLE | ALPHA_VANTAGE_DELISTED | DELISTED_CACHE_FILENAME | PANEL,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,Amtrust Financial Services Inc,Amtrust Financial Services Inc,True,4,True,,True,False,LAST_OBSERVED_VALIDATED_TOTAL_RETURN_PRICE_IS_TERMINAL_OUTCOME
AHGP,2018-06-05,2018-06-01,4,LIFECYCLE | ALPHA_VANTAGE_DELISTED | DELISTED_CACHE_FILENAME | PANEL,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,Alliance Holdings GP L.P.,Alliance Holdings GP L.P.,True,4,True,,True,False,LAST_OBSERVED_VALIDATED_TOTAL_RETURN_PRICE_IS_TERMINAL_OUTCOME
AHRT,2026-06-01,2026-05-28,3,LIFECYCLE | ALPHA_VANTAGE_DELISTED | DELISTED_CACHE_FILENAME,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,American Healthcare REIT Inc - Class T,American Healthcare REIT Inc - Class T,True,4,True,,True,False,LAST_OBSERVED_VALIDATED_TOTAL_RETURN_PRICE_IS_TERMINAL_OUTCOME
AIFU,2025-05-23,2025-05-20,4,LIFECYCLE | ALPHA_VANTAGE_DELISTED | DELISTED_CACHE_FILENAME | PANEL,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,AIFU Inc,AIFU Inc,True,4,True,,True,False,LAST_OBSERVED_VALIDATED_TOTAL_RETURN_PRICE_IS_TERMINAL_OUTCOME
AIP,2023-03-31,2023-03-28,4,LIFECYCLE | ALPHA_VANTAGE_DELISTED | DELISTED_CACHE_FILENAME | PANEL,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,Infinya Ltd,Infinya Ltd,True,4,True,,True,False,LAST_OBSERVED_VALIDATED_TOTAL_RETURN_PRICE_IS_TERMINAL_OUTCOME
AMTD,2020-10-09,2020-10-07,4,LIFECYCLE | ALPHA_VANTAGE_DELISTED | DELISTED_CACHE_FILENAME | PANEL,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,TD Ameritrade Holding Corp,TD Ameritrade Holding Corp,True,4,True,,True,False,LAST_OBSERVED_VALIDATED_TOTAL_RETURN_PRICE_IS_TERMINAL_OUTCOME
ANVS,2020-11-27,2020-11-25,4,LIFECYCLE | ALPHA_VANTAGE_DELISTED | DELISTED_CACHE_FILENAME | PANEL,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,Anv Sec Group Inc,Anv Sec Group Inc,True,4,True,,True,False,LAST_OBSERVED_VALIDATED_TOTAL_RETURN_PRICE_IS_TERMINAL_OUTCOME
API,2020-08-25,2020-08-21,4,LIFECYCLE | ALPHA_VANTAGE_DELISTED | DELISTED_CACHE_FILENAME | PANEL,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,Agora Inc,Agora Inc,True,4,True,,True,False,LAST_OBSERVED_VALIDATED_TOTAL_RETURN_PRICE_IS_TERMINAL_OUTCOME
