feature,family,research_status,horizon_sessions,direction,development_mean_spearman_ic,development_hac_t,development_fdr_q,validation_mean_spearman_ic,validation_aligned_ic,validation_aligned_hac_t,development_coverage,validation_coverage,validation_top_bottom_return_spread_mean,validation_top_bottom_return_spread_median,validation_winner_top_decile_lift,validation_rich_dates
fund_update_count_60d,BALANCE_SHEET_OR_FRESHNESS,VALIDATED,252,1,0.16486566696116273,10.454683298147526,1.1157114146292178e-23,0.19100269195499545,0.19100269195499545,20.43777441943037,1.0,1.0,0.18154656415533793,0.17442234593451164,0.39243094403446027,207.0
fund_update_count_20d,BALANCE_SHEET_OR_FRESHNESS,VALIDATED,252,1,0.0766093062151211,10.381239839871084,1.2073182891788984e-23,0.08730377154074229,0.08730377154074229,7.286533554188031,1.0,1.0,,,1.0310425299901358,0.0
fund_latest_update_age_days,BALANCE_SHEET_OR_FRESHNESS,VALIDATED,120,-1,-0.024723735158722553,-2.0251527849854183,0.09522595146275459,-0.045988229232558187,0.045988229232558187,5.668710168254358,0.5898366066222118,0.8031989963932884,0.027244169583663085,0.025018154946393707,1.0510256294876068,381.0
size_log_market_cap,SIZE,VALIDATED,252,-1,-0.2047453932831157,-9.679603578858849,9.817084131390977e-21,-0.1993711068632466,0.1993711068632466,5.10785549572772,0.5549752316445977,0.7299052141225562,0.23359800954644322,0.22738510175692517,2.589403772640119,249.0
quality_accruals_assets_reported,QUALITY,VALIDATED,252,-1,-0.03707432703137748,-2.0828276007678417,0.08583813433459593,-0.07106599515002386,0.07106599515002386,4.763404120101326,0.5412185399816998,0.7171531862083851,0.08114309533504006,0.0739348054924382,1.5421475460322023,249.0
quality_operating_income_assets_reported,QUALITY,VALIDATED,252,-1,-0.0655816324870428,-3.529682348189087,0.0036983011445950475,-0.09241637995633933,0.09241637995633933,4.497030589571807,0.45718703000599487,0.6007122430259537,0.18990907357925946,0.15090548696820238,2.131776176524173,249.0
trend_sma_252d,MARKET_TREND_RISK,VALIDATED,252,1,0.057710310439518055,2.3479956446893846,0.048709011630572834,0.19165286686094407,0.19165286686094407,4.099050223488177,0.9593125861107897,0.9843882084210148,0.23897180364347786,0.29111046219737474,2.221160584829896,249.0
value_fcf_yield_reported,VALUATION,VALIDATED,120,1,0.03641500905664742,2.0351305151031447,0.09522595146275459,0.12487912661143931,0.12487912661143931,4.05854284231149,0.41618502842227606,0.5584733597905936,0.07897531977612084,0.08025043777151017,1.5134802738818487,381.0
mom_1d,MARKET_TREND_RISK,VALIDATED,252,1,0.007985190956091981,2.5789511364791626,0.029530506987786795,0.026009086164514895,0.026009086164514895,3.989881032105559,0.9997749287449649,0.9998381265850105,0.03455392439168821,0.025970077053803303,1.3593293494539624,249.0
mom_120d,MARKET_TREND_RISK,VALIDATED,252,1,0.054930652735954634,2.6365633598792484,0.029530506987786795,0.17817715000521858,0.17817715000521858,3.9609654345465146,0.9749497796615517,0.9896940592456699,0.23256918275800945,0.25814091570735564,2.0306718206261043,249.0
