feature,family,overall_coverage,development_coverage,validation_signal_date_coverage,oos_feature_coverage_no_labels,first_finite_date,last_finite_date
fund_cash_assets,BALANCE_SHEET_OR_FRESHNESS,0.6067249274046388,0.5645023683293626,0.7441587922633988,0.789433473016461,2013-12-23,2026-09-04
fund_current_ratio,BALANCE_SHEET_OR_FRESHNESS,0.5524617027243539,0.5144293880010924,0.6743319060977411,0.7116430903155604,2014-01-02,2026-09-04
fund_debt_assets,BALANCE_SHEET_OR_FRESHNESS,0.503896695134696,0.4550902601866413,0.6702808947290713,0.7202903248211516,2013-12-23,2026-09-04
fund_equity_assets,BALANCE_SHEET_OR_FRESHNESS,0.608308254554738,0.5659431412616651,0.7420456223239332,0.789433473016461,2013-12-23,2026-09-04
fund_latest_update_age_days,BALANCE_SHEET_OR_FRESHNESS,0.6491502978642061,0.5993521230212914,0.8113003838771593,0.861100178269627,2013-12-23,2026-09-04
fund_net_debt_assets,BALANCE_SHEET_OR_FRESHNESS,0.4970754350376842,0.4477225429171414,0.6702808947290713,0.7202903248211516,2013-12-23,2026-09-04
fund_net_income_age_days,BALANCE_SHEET_OR_FRESHNESS,0.6115994119429902,0.5700978407239649,0.7441587922633988,0.789433473016461,2013-12-23,2026-09-04
fund_ocf_age_days,BALANCE_SHEET_OR_FRESHNESS,0.6072355158263547,0.5638431911707928,0.7441587922633988,0.789433473016461,2013-12-23,2026-09-04
fund_revenue_age_days,BALANCE_SHEET_OR_FRESHNESS,0.41963074144732954,0.3454408482668349,0.7160693193562675,0.7640821429398282,2014-01-02,2026-09-04
fund_update_count_20d,BALANCE_SHEET_OR_FRESHNESS,1.0,1.0,1.0,1.0,2013-12-23,2026-09-04
fund_update_count_60d,BALANCE_SHEET_OR_FRESHNESS,1.0,1.0,1.0,1.0,2013-12-23,2026-09-04
delta_cash_assets_126s,FUNDAMENTAL_CHANGE,0.5808584676562356,0.558686542427467,0.7418426103646834,0.786597365313824,2014-06-25,2026-09-04
delta_ocf_assets_126s,FUNDAMENTAL_CHANGE,0.5813690560779515,0.5587392766001525,0.7418426103646834,0.786597365313824,2014-06-25,2026-09-04
delta_ocf_assets_252s,FUNDAMENTAL_CHANGE,0.5556987830137544,0.5535185935042799,0.7395172006496382,0.7851387956381821,2014-12-23,2026-09-04
delta_operating_margin_126s,FUNDAMENTAL_CHANGE,0.32483861758813626,0.25465331989867507,0.6002509966041636,0.6456022966684416,2014-07-03,2026-09-04
delta_operating_margin_252s,FUNDAMENTAL_CHANGE,0.30376364031938186,0.22870622357405856,0.5955724937250849,0.6432176510082652,2015-01-02,2026-09-04
delta_profit_assets_126s,FUNDAMENTAL_CHANGE,0.585732952194587,0.5652312299304098,0.7418426103646834,0.786597365313824,2014-06-25,2026-09-04
delta_profit_assets_252s,FUNDAMENTAL_CHANGE,0.56006267913039,0.5600538641906717,0.7395172006496382,0.7851387956381821,2014-12-23,2026-09-04
growth_assets_252s,FUNDAMENTAL_CHANGE,0.5640165953813128,0.5659751584379384,0.7395172006496382,0.7851387956381821,2014-12-23,2026-09-04
growth_revenue_126s,FUNDAMENTAL_CHANGE,0.3944760872326485,0.3153673029295716,0.7114277277425071,0.7622878707197925,2014-07-03,2026-09-04
