feature,family,horizon_sessions,development_rows,validation_rows,development_ic_dates,validation_ic_dates,development_coverage,validation_coverage,development_mean_spearman_ic,development_hac_se,development_hac_t,development_pvalue,validation_mean_spearman_ic,validation_hac_se,validation_hac_t,validation_pvalue,development_fdr_q,direction,validation_aligned_ic,validation_aligned_hac_t,research_status,validation_top_bottom_return_spread_mean,validation_top_bottom_return_spread_median,validation_winner_top_decile_lift,validation_rich_dates
size_log_market_cap,SIZE,1,530437,107931,2012,500,0.5739399777918961,0.7590775588107217,-0.013342569807814278,0.003515257229470525,-3.7956169170083642,0.00014727676669842578,-0.00842331351457847,0.005677266879755456,-1.4836916588535112,0.1378907401414669,0.0005610543493273363,-1,0.00842331351457847,1.4836916588535112,DISCOVERY_ONLY,0.0007205350533156629,0.0005975722071940488,1.6383280863176877,500.0
quality_profit_assets_reported,QUALITY,1,530437,107931,2012,500,0.5700620431832621,0.7441698863162576,0.008856710602258032,0.00338913406098113,2.613266528528552,0.008968133392940053,0.001013981156733839,0.005752396711116817,0.176271075806414,0.8600809843769284,0.019888525974460485,1,0.001013981156733839,0.176271075806414,DISCOVERY_ONLY,-0.0005262455544977188,-0.0004232434301464699,1.015652430791004,500.0
drawdown_high_20d,MARKET_TREND_RISK,1,530437,107931,2012,500,0.9967913248887238,0.9983507981951432,0.010393962807239712,0.0040582800344264106,2.561174369207564,0.010431898352169995,0.011078994896421853,0.007586540362876494,1.460348771178378,0.1441942444775957,0.021961891267726307,1,0.011078994896421853,1.460348771178378,DISCOVERY_ONLY,-0.002654893916148473,-0.0007180284044099948,0.7618319987736212,493.0
distance_low_20d,MARKET_TREND_RISK,1,530437,107931,2012,500,0.9967913248887238,0.9983507981951432,-0.008655342512739458,0.003397927998569672,-2.5472412942189617,0.0108578327305672,-0.008520552885588437,0.007475359574630017,-1.1398184663257687,0.2543619387084455,0.022272477396035283,-1,0.008520552885588437,1.1398184663257687,DISCOVERY_ONLY,-0.0013886576002693526,0.0004995304790480796,0.9312441736552395,488.0
mom_skip_60_5,MARKET_TREND_RISK,1,530437,107931,2012,500,0.9876648876303877,0.9941073463601745,0.00976772709660106,0.003969826841094211,2.460491978009994,0.013874667373549192,0.009530041584316468,0.00800764270393752,1.1901182328764937,0.23399992494755506,0.027749334747098387,1,0.009530041584316468,1.1901182328764937,DISCOVERY_ONLY,-0.002652294662261011,-0.0007598138249385663,1.218828391956659,500.0
mom_60d,MARKET_TREND_RISK,1,530437,107931,2012,500,0.9876648876303877,0.9941073463601745,0.00815537561609934,0.004013033065248329,2.0322223822979337,0.04213114799458684,0.00974492324876919,0.008113820454335653,1.2010277160572305,0.22974045027811696,0.07489981865704326,1,0.00974492324876919,1.2010277160572305,DISCOVERY_ONLY,-0.002726923294830973,-0.0002950180584384717,1.2498841537324938,500.0
rel_mom_60d,MARKET_TREND_RISK,1,530437,107931,2012,500,0.9876648876303877,0.9941073463601745,0.008155489404756092,0.0040130303884592915,2.032252092635461,0.04212814169604136,0.009744782330452758,0.008113826974942577,1.2010093831858821,0.2297475615532132,0.07489981865704326,1,0.009744782330452758,1.2010093831858821,DISCOVERY_ONLY,-0.002726923294830973,-0.0002950180584384717,1.2498841537324938,500.0
fund_current_ratio,BALANCE_SHEET_OR_FRESHNESS,1,530437,107931,2012,500,0.5143947349072557,0.6743567649702125,0.0073223272065323815,0.003905600180351052,1.8748276496326408,0.060816438041769415,-0.002802657874290699,0.008819802364662037,-0.31776878419861204,0.7506603309110338,0.10351734134769262,1,-0.002802657874290699,-0.31776878419861204,NO_EVIDENCE,0.0005059249683464643,0.0006210000401514057,1.4993450418375343,500.0
value_earnings_yield_reported,VALUATION,1,530437,107931,2012,500,0.5447055918044933,0.6919420741028991,0.004534903172439019,0.0027721109905744193,1.6359024540714096,0.10186000431201525,-0.002058187690268435,0.006205128446828624,-0.33169139171008666,0.7401223014655045,0.1629760068992244,1,-0.002058187690268435,-0.33169139171008666,NO_EVIDENCE,-3.319335463949638e-05,-0.00019254119168918933,1.2389457170068316,500.0
value_eps_yield_reported,VALUATION,1,530437,107931,2012,500,0.5447791160873016,0.7112599716485533,0.0042926150638829905,0.0028711017048288967,1.4951107641583212,0.13488553708446074,-0.0045868069787392066,0.006674300803088271,-0.6872340810016895,0.4919352309660302,0.1998304253103122,1,-0.0045868069787392066,-0.6872340810016895,NO_EVIDENCE,-0.0005895181406055341,-0.0008670749960256116,1.1176920870680251,500.0
delta_operating_margin_252s,FUNDAMENTAL_CHANGE,1,530437,107931,1639,500,0.2284550285896346,0.5955564203055655,0.006671372027777431,0.004522510851675816,1.4751478208847977,0.14017280619645386,0.010255191501971794,0.005299317410244977,1.9351910270831874,0.05296685843512781,0.2038877181039329,1,0.010255191501971794,1.9351910270831874,NO_EVIDENCE,,,,
delta_ocf_assets_126s,FUNDAMENTAL_CHANGE,1,530437,107931,2012,500,0.5586959431563032,0.7418628568251939,0.003440694138590995,0.0024145112452144944,1.425006466799594,0.15415533178761245,0.0009163204773012171,0.004427266092796173,0.20697208121106797,0.8360316623569992,0.22022190255373206,1,0.0009163204773012171,0.20697208121106797,NO_EVIDENCE,,,,
value_book_to_market_snapshot,VALUATION,1,530437,107931,2012,500,0.5407013462484705,0.6898203481854147,-0.005436603767299237,0.0040261486663172716,-1.3503236511810461,0.17691218904691064,-0.005150648685477984,0.007291570157071478,-0.7063840262831189,0.4799493518558078,0.24829780918864652,-1,0.005150648685477984,0.7063840262831189,NO_EVIDENCE,,,,
trend_sma_60d,MARKET_TREND_RISK,1,530437,107931,2012,500,0.9902061884823269,0.9953674106605146,0.00531652873518722,0.00398766300734736,1.333244239894744,0.18245166563060222,0.01196354040525133,0.008254440490018708,1.4493460119698818,0.14724097754662896,0.2516574698353134,1,0.01196354040525133,1.4493460119698818,NO_EVIDENCE,,,,
quality_profit_margin_reported,QUALITY,1,530437,107931,2012,500,0.34325094214770085,0.7160593342042602,0.004315967164490806,0.003648019871509221,1.1830985895110404,0.2367700767983013,0.004651910797942274,0.004411326013738563,1.054537974172491,0.29163668427900247,0.3210441719299001,1,0.004651910797942274,1.054537974172491,NO_EVIDENCE,,,,
fund_equity_assets,BALANCE_SHEET_OR_FRESHNESS,1,530437,107931,2012,500,0.5659107490616228,0.7420481603987733,0.003844410470383038,0.003302442035877362,1.164111414710021,0.2443788633573738,-0.0010492385935537234,0.00726347087559862,-0.1444541613126865,0.8851418507013095,0.3258384844764984,1,-0.0010492385935537234,-0.1444541613126865,NO_EVIDENCE,,,,
mom_accel_60_120,MARKET_TREND_RISK,1,530437,107931,2012,500,0.9762723942711387,0.988233223077707,-0.00388434243940404,0.0035344390983835733,-1.0989982657164725,0.2717688223663216,-0.008692058125067802,0.007245912554534575,-1.1995808753761752,0.2303021576941432,0.3564181276935365,-1,0.008692058125067802,1.1995808753761752,NO_EVIDENCE,,,,
distance_low_252d,MARKET_TREND_RISK,1,530437,107931,2012,500,0.9613224567667791,0.9822664480084499,0.00384663950623133,0.0036581884687381105,1.0515148519830706,0.29302219179545974,0.015508640482542073,0.009264444682770923,1.6739956914399277,0.09413144612607496,0.378093150703819,1,0.015508640482542073,1.6739956914399277,NO_EVIDENCE,,,,
growth_shares_252s,FUNDAMENTAL_CHANGE,1,530437,107931,2012,500,0.5627473196628441,0.7521657355162095,0.0033892862341914818,0.0032850154027159813,1.031741352381268,0.302193299883997,0.004577790627557226,0.005934625353422447,0.7713697756703805,0.44048778473210426,0.38373752366221847,1,0.004577790627557226,0.7713697756703805,NO_EVIDENCE,,,,
fund_ocf_age_days,BALANCE_SHEET_OR_FRESHNESS,1,530437,107931,2012,500,0.5638011677164301,0.7441698863162576,-0.0019179824755147664,0.0024243464104409594,-0.7911338360122836,0.42886589614100434,-0.0041504326035314435,0.005076935192823905,-0.8175075012574428,0.4136384642762829,0.5360823701762554,-1,0.0041504326035314435,0.8175075012574428,NO_EVIDENCE,,,,
mom_20d,MARKET_TREND_RISK,1,530437,107931,2012,500,0.9957337063590964,0.9978875392611947,0.002896394087459336,0.00377837682433882,0.766570996519432,0.4433366252335006,0.0033815000114010498,0.007869079456861692,0.42971989670944855,0.6673994082118704,0.5373777275557583,1,0.0033815000114010498,0.42971989670944855,NO_EVIDENCE,,,,
rel_mom_20d,MARKET_TREND_RISK,1,530437,107931,2012,500,0.9957337063590964,0.9978875392611947,0.002896462421260393,0.003778373869453449,0.7665896815233304,0.4433255123266645,0.0033815000114010498,0.007869079456861692,0.42971989670944855,0.6673994082118704,0.5373777275557583,1,0.0033815000114010498,0.42971989670944855,NO_EVIDENCE,,,,
mom_1d,MARKET_TREND_RISK,1,530437,107931,2012,500,0.999786968103658,0.9998702874984944,-0.002692444296421269,0.0036905336009885542,-0.7295542020536177,0.4656627250806271,-0.004245707329988464,0.007373363459087079,-0.5758169054796791,0.5647389455152527,0.5560151941261219,-1,0.004245707329988464,0.5758169054796791,NO_EVIDENCE,,,,
mom_accel_120_252,MARKET_TREND_RISK,1,530437,107931,2012,500,0.9518547914266916,0.978727149753083,-0.0027512506540598885,0.0038883648957399987,-0.707559791282473,0.47921866992005846,-0.00826455596494418,0.006393591445412156,-1.292631228552236,0.1961386334859001,0.5637866704941864,-1,0.00826455596494418,1.292631228552236,NO_EVIDENCE,,,,
distance_low_120d,MARKET_TREND_RISK,1,530437,107931,2012,500,0.9809647517047265,0.9905495177474498,-0.002377300259811352,0.0034550455116551916,-0.6880662647689612,0.4914110533742221,0.002712038232722845,0.008597547273108855,0.31544324754171166,0.7524251348342268,0.5697519459411271,-1,-0.002712038232722845,-0.31544324754171166,NO_EVIDENCE,,,,
mom_5d,MARKET_TREND_RISK,1,530437,107931,2012,500,0.9989216438521445,0.99936996784983,-0.0022565234733331555,0.003819512590202158,-0.5907883322918234,0.5546622536742817,-0.0016847779461133196,0.006907928545842088,-0.24389047091799967,0.8073156494819377,0.6162913929714241,-1,0.0016847779461133196,0.24389047091799967,NO_EVIDENCE,,,,
mom_accel_20_60,MARKET_TREND_RISK,1,530437,107931,2012,500,0.9876648876303877,0.9941073463601745,-0.002173416732583088,0.003614464818357507,-0.6013108003000944,0.5476329973685767,-0.0038695419073161252,0.007256734621322799,-0.5332345895557585,0.5938712003444782,0.6162913929714241,-1,0.0038695419073161252,0.5332345895557585,NO_EVIDENCE,,,,
