ticker,cache_exists,rows,first_date,last_date
AAPL,True,3191,2013-12-30,2026-09-08
ABBV,True,3191,2013-12-30,2026-09-08
ABNB,True,1430,2020-12-28,2026-09-08
ACN,True,3191,2013-12-30,2026-09-08
ADBE,True,3191,2013-12-30,2026-09-08
ADI,True,3191,2013-12-30,2026-09-08
ADSK,True,3191,2013-12-30,2026-09-08
AMAT,True,3191,2013-12-30,2026-09-08
AMD,True,3191,2013-12-30,2026-09-08
AMGN,True,3191,2013-12-30,2026-09-08
AMZN,True,3191,2013-12-30,2026-09-08
ANET,True,3069,2014-06-25,2026-09-08
APD,True,3191,2013-12-30,2026-09-08
ARM,True,739,2023-09-27,2026-09-08
ASML,True,3191,2013-12-30,2026-09-08
AVGO,True,3191,2013-12-30,2026-09-08
AXP,True,3191,2013-12-30,2026-09-08
AZN,True,1512,2020-08-31,2026-09-08
AZO,True,3191,2013-12-30,2026-09-08
BA,True,3191,2013-12-30,2026-09-08
BABA,True,3005,2014-09-25,2026-09-08
BAC,True,3191,2013-12-30,2026-09-08
BBD,True,3191,2013-12-30,2026-09-08
BHP,True,3191,2013-12-30,2026-09-08
BIDU,True,3191,2013-12-30,2026-09-08
BKNG,True,3191,2013-12-30,2026-09-08
BLK,True,3191,2013-12-30,2026-09-08
BMY,True,3191,2013-12-30,2026-09-08
BNY,True,3198,2013-12-18,2026-09-08
BP,True,1512,2020-08-31,2026-09-08
BRK-B,True,3191,2013-12-30,2026-09-08
BSX,True,3191,2013-12-30,2026-09-08
C,True,3191,2013-12-30,2026-09-08
CAAP,True,2146,2018-02-23,2026-09-08
CAT,True,3191,2013-12-30,2026-09-08
CDNS,True,3191,2013-12-30,2026-09-08
CEPU,True,2146,2018-02-23,2026-09-08
CHTR,True,3191,2013-12-30,2026-09-08
CL,True,3191,2013-12-30,2026-09-08
CMCSA,True,3191,2013-12-30,2026-09-08
CMG,True,3191,2013-12-30,2026-09-08
COF,True,3191,2013-12-30,2026-09-08
COIN,True,1349,2021-04-26,2026-09-08
COP,True,3191,2013-12-30,2026-09-08
COST,True,3191,2013-12-30,2026-09-08
CRM,True,3191,2013-12-30,2026-09-08
CRWD,True,1810,2019-06-26,2026-09-08
CSCO,True,3191,2013-12-30,2026-09-08
CVX,True,3191,2013-12-30,2026-09-08
DDOG,True,1747,2019-09-25,2026-09-08
DE,True,3191,2013-12-30,2026-09-08
DEO,True,3191,2013-12-30,2026-09-08
DHR,True,3191,2013-12-30,2026-09-08
DIS,True,3191,2013-12-30,2026-09-08
DOW,True,1873,2019-03-27,2026-09-08
EMR,True,3191,2013-12-30,2026-09-08
EOG,True,3191,2013-12-30,2026-09-08
ETN,True,3191,2013-12-30,2026-09-08
FCX,True,3191,2013-12-30,2026-09-08
FDX,True,3191,2013-12-30,2026-09-08
FTNT,True,3191,2013-12-30,2026-09-08
GD,True,3191,2013-12-30,2026-09-08
GE,True,3191,2013-12-30,2026-09-08
GILD,True,3191,2013-12-30,2026-09-08
GLOB,True,3047,2014-07-28,2026-09-08
GOOGL,True,3191,2013-12-30,2026-09-08
GS,True,3191,2013-12-30,2026-09-08
HD,True,3191,2013-12-30,2026-09-08
HON,True,3191,2013-12-30,2026-09-08
IBM,True,3191,2013-12-30,2026-09-08
INTC,True,3191,2013-12-30,2026-09-08
INTU,True,3191,2013-12-30,2026-09-08
ISRG,True,3191,2013-12-30,2026-09-08
ITW,True,3191,2013-12-30,2026-09-08
JD,True,3089,2014-05-28,2026-09-08
JNJ,True,3191,2013-12-30,2026-09-08
JPM,True,3191,2013-12-30,2026-09-08
KEEL,True,1774,2019-08-16,2026-09-08
KLAC,True,3191,2013-12-30,2026-09-08
KMB,True,3191,2013-12-30,2026-09-08
KMI,True,3191,2013-12-30,2026-09-08
KO,True,3191,2013-12-30,2026-09-08
KR,True,3191,2013-12-30,2026-09-08
LAR,True,718,2023-10-26,2026-09-08
LIN,True,1975,2018-10-26,2026-09-08
LLY,True,3191,2013-12-30,2026-09-08
LMT,True,3191,2013-12-30,2026-09-08
LOW,True,3191,2013-12-30,2026-09-08
LRCX,True,3191,2013-12-30,2026-09-08
MA,True,3191,2013-12-30,2026-09-08
MAR,True,3191,2013-12-30,2026-09-08
MCD,True,3191,2013-12-30,2026-09-08
MCHP,True,3191,2013-12-30,2026-09-08
MCO,True,3191,2013-12-30,2026-09-08
MDB,True,2227,2017-10-26,2026-09-08
