horizon_sessions,partition,rows,dates,first_signal_date,last_signal_date,max_target_end_date
1,DEVELOPMENT,530437,2013,2015-01-02,2022-12-29,2022-12-30
1,VALIDATION,107931,500,2023-01-03,2024-12-27,2024-12-31
5,DEVELOPMENT,529549,2013,2015-01-02,2022-12-29,2022-12-30
5,VALIDATION,107087,499,2023-01-03,2024-12-26,2024-12-31
10,DEVELOPMENT,528439,2013,2015-01-02,2022-12-29,2022-12-30
10,VALIDATION,106032,499,2023-01-03,2024-12-26,2024-12-31
20,DEVELOPMENT,526219,2013,2015-01-02,2022-12-29,2022-12-30
20,VALIDATION,103922,499,2023-01-03,2024-12-26,2024-12-31
40,DEVELOPMENT,521782,2013,2015-01-02,2022-12-29,2022-12-30
40,VALIDATION,99702,499,2023-01-03,2024-12-26,2024-12-31
60,DEVELOPMENT,517369,2013,2015-01-02,2022-12-29,2022-12-30
60,VALIDATION,95501,499,2023-01-03,2024-12-26,2024-12-31
120,DEVELOPMENT,504182,2013,2015-01-02,2022-12-29,2022-12-30
120,VALIDATION,82901,499,2023-01-03,2024-12-26,2024-12-31
252,DEVELOPMENT,475405,2013,2015-01-02,2022-12-29,2022-12-30
252,VALIDATION,55599,499,2023-01-03,2024-12-26,2024-12-31
