feature,family,horizon_sessions,development_coverage,development_fdr_q,development_mean_spearman_ic,development_direction,abs_development_ic,development_priority_rank,kept_after_correlation_prune,correlated_with
fund_update_count_60d,BALANCE_SHEET_OR_FRESHNESS,20,1.0,2.722406390331035e-11,0.0694868180455495,1,0.0694868180455495,1,True,
size_log_market_cap,SIZE,20,0.5726912179149746,1.4949451540957416e-05,-0.0645123656081896,-1,0.0645123656081896,2,True,
size_log_shares,SIZE,20,0.5726912179149746,0.0001994619580791,-0.0534318603485428,-1,0.0534318603485428,3,True,
size_log_assets,SIZE,20,0.5731967108751299,0.0010099479116174,-0.0617267042899998,-1,0.0617267042899998,4,True,
skew_60d,MARKET_TREND_RISK,20,0.9899908593190287,0.002002157807608,-0.028638030488227,-1,0.028638030488227,5,True,
fund_update_count_20d,BALANCE_SHEET_OR_FRESHNESS,20,1.0,0.0020977813877255,0.0216234217018235,1,0.0216234217018235,6,True,
fund_cash_assets,BALANCE_SHEET_OR_FRESHNESS,20,0.5632084740383757,0.0238841810544695,0.0442383811822948,1,0.0442383811822948,7,True,
mom_skip_252_20,MARKET_TREND_RISK,20,0.9516855149662022,0.041191498001371,0.0413055254492599,1,0.0413055254492599,8,True,
rel_mom_252d,MARKET_TREND_RISK,20,0.9516855149662022,0.085764806196326,0.0373628785675932,1,0.0373628785675932,9,True,
mom_252d,MARKET_TREND_RISK,20,0.9516855149662022,0.085764806196326,0.0373628654771764,1,0.0373628654771764,10,False,rel_mom_252d
fund_update_count_60d,BALANCE_SHEET_OR_FRESHNESS,60,1.0,1.3407414617758844e-12,0.1013874018872627,1,0.1013874018872627,1,True,
fund_update_count_20d,BALANCE_SHEET_OR_FRESHNESS,60,1.0,2.498704983108347e-09,0.0465333794228126,1,0.0465333794228126,2,True,
size_log_market_cap,SIZE,60,0.5699626378851458,9.009661410576975e-08,-0.1107710451517385,-1,0.1107710451517385,3,True,
size_log_shares,SIZE,60,0.5699626378851458,0.0001981375930853,-0.0846529279662707,-1,0.0846529279662707,4,True,
size_log_assets,SIZE,60,0.570675861909005,0.0059060117748229,-0.0931958397152829,-1,0.0931958397152829,5,True,
skew_60d,MARKET_TREND_RISK,60,0.9899182208443104,0.0421216732895629,-0.032624745864619,-1,0.032624745864619,6,True,
fund_update_count_60d,BALANCE_SHEET_OR_FRESHNESS,120,1.0,6.365360647362949e-16,0.1302253555635823,1,0.1302253555635823,1,True,
fund_update_count_20d,BALANCE_SHEET_OR_FRESHNESS,120,1.0,2.4895075810557142e-14,0.0615400032701254,1,0.0615400032701254,2,True,
size_log_market_cap,SIZE,120,0.5655913935840629,5.748532381056985e-12,-0.1423868986877043,-1,0.1423868986877043,3,True,
size_log_shares,SIZE,120,0.5655913935840629,4.571368769624273e-07,-0.1156023533372398,-1,0.1156023533372398,4,True,
size_log_assets,SIZE,120,0.5666802860871669,0.0001121453178241,-0.1256410983893335,-1,0.1256410983893335,5,True,
delta_ocf_assets_126s,FUNDAMENTAL_CHANGE,120,0.5502616118782503,0.0008309829560963,0.0494708185360229,1,0.0494708185360229,6,True,
mom_skip_120_20,MARKET_TREND_RISK,120,0.9756318154951982,0.0016370568155875,0.0683740100681754,1,0.0683740100681754,7,True,
rel_mom_120d,MARKET_TREND_RISK,120,0.9756318154951982,0.0034853942622012,0.0676003413148323,1,0.0676003413148323,8,True,
mom_120d,MARKET_TREND_RISK,120,0.9756318154951982,0.0034853942622012,0.06759995012469,1,0.06759995012469,9,False,rel_mom_120d
skew_60d,MARKET_TREND_RISK,120,0.9897874180355508,0.0062755391939028,-0.034922297009986,-1,0.034922297009986,10,True,
trend_sma_252d,MARKET_TREND_RISK,120,0.9603060006108906,0.0258739085580325,0.074828405488968,1,0.074828405488968,11,True,
trend_sma_120d,MARKET_TREND_RISK,120,0.9804693543204636,0.0290012704452659,0.0548549095389035,1,0.0548549095389035,12,True,
distance_low_252d,MARKET_TREND_RISK,120,0.9603060006108906,0.0454656695693433,0.0477704795400124,1,0.0477704795400124,13,True,
fund_cash_assets,BALANCE_SHEET_OR_FRESHNESS,120,0.5562554791722036,0.0585047334600686,0.0778462095538935,1,0.0778462095538935,14,True,
mom_skip_252_20,MARKET_TREND_RISK,120,0.950684475050676,0.0585047334600686,0.0723230321393942,1,0.0723230321393942,15,True,
rel_mom_252d,MARKET_TREND_RISK,120,0.950684475050676,0.0585047334600686,0.070902240967143,1,0.070902240967143,16,True,
mom_252d,MARKET_TREND_RISK,120,0.950684475050676,0.0585047334600686,0.0709020607753165,1,0.0709020607753165,17,False,rel_mom_252d
drawdown_high_120d,MARKET_TREND_RISK,120,0.9804693543204636,0.0585047334600686,0.0583957177564186,1,0.0583957177564186,18,True,
