ensemble,top_n,policy,hold_floor,score_edge,oof_total_return_20bps,oof_cagr_20bps,worst_fold_cagr_20bps,worst_fold_max_drawdown_20bps,mean_annual_turnover_20bps,total_trade_days_20bps,max_execution_skip_rate,oof_total_return_40bps,oof_cagr_40bps,worst_fold_cagr_40bps,positive_each_oof_fold,stress_oof_positive,drawdown_ok,execution_ok,qualified,return_first_rank
H20,15,WEEKLY,,,3.3493475093276928,0.44412912612731703,0.09658639602310304,-0.3515742526355323,8.047232072432477,209,0.0,3.077994899517246,0.4210575605328839,0.07922708240140786,True,True,True,True,True,1.0
H20,10,MONTHLY,,,3.107639382362244,0.42363310099328233,0.08696280060583472,-0.32662623194619167,4.554823480163348,48,0.0,2.960463265846198,0.4107059476491286,0.07749445030849533,True,True,True,True,True,2.0
H20,10,WEEKLY,,,3.103556900423757,0.42327924058389477,0.10766768835538887,-0.34456842900830864,9.574264067544313,209,0.0,2.800759076997995,0.39626414348485883,0.08655544985204489,True,True,True,True,True,3.0
H20,15,MONTHLY,,,3.09600622170662,0.4226240682619231,0.06656607493193367,-0.33572000886153486,4.011513252741205,48,0.0,2.9664938322460643,0.41124265900371215,0.05824800669892949,True,True,True,True,True,4.0
H20,5,WEEKLY,,,2.9835520990763422,0.4127575124453511,0.20839452861171748,-0.31752516701970845,13.95229726619392,209,0.0,2.5623804802783012,0.3738365794389036,0.17455548702252877,True,True,True,True,True,5.0
H20,20,EVENT_STRICT,0.85,0.1,2.9013811694873413,0.4054150369326164,0.11209379937604957,-0.35655868237260646,1.912635928600903,120,0.0,2.84211847194073,0.40004723448455226,0.10787348702081268,True,True,True,True,True,6.0
SHORT_20_60,10,WEEKLY,,,2.8802539290428295,0.4035084665845874,0.046759388413204706,-0.3523526366928994,9.377560906820326,209,0.0,2.5996108161259137,0.3774120786362949,0.027340043427400706,True,True,True,True,True,7.0
H20,20,EVENT_BALANCED,0.8,0.05,2.8671452052958912,0.4023215881452229,0.10696415282642446,-0.3534925520290456,2.205040618063747,140,0.0,2.7994973233265066,0.39614824816395666,0.1023139967750033,True,True,True,True,True,8.0
SHORT_20_60,5,EVENT_BALANCED,0.8,0.05,2.849325971700912,0.4007033665990385,0.04668790970211667,-0.3345151730502651,2.078891143691125,34,0.0,2.7857080583869425,0.39487978334361284,0.04479766813227748,True,True,True,True,True,9.0
H20,15,EVENT_LOOSE,0.7,0.03,2.7684120883306513,0.3932838306567048,0.025944008169202837,-0.3489124763010307,4.573697091398576,225,0.0,2.6329475033575593,0.3805901819127977,0.01763519098687838,True,True,True,True,True,10.0
SHORT_20_60,10,EVENT_BALANCED,0.8,0.05,2.723900422951638,0.38915118861853415,0.053660938410383,-0.33471262059764095,2.5838171093370046,85,0.0,2.647623184233582,0.38198233528503245,0.050245297637157016,True,True,True,True,True,11.0
SHORT_20_60,10,EVENT_STRICT,0.85,0.1,2.7204141278649994,0.3888259454873133,0.06373943063601817,-0.3305606434183732,1.8858970166076028,60,0.0,2.664616157278579,0.38358907152163013,0.06192393761085779,True,True,True,True,True,12.0
H20,10,DAILY,,,2.699330966203106,0.3868541708667321,0.08037286238434804,-0.3511999299711741,19.133321865408007,1006,0.0,2.174096300696306,0.3347656595574988,0.03918142057405927,True,True,True,True,True,13.0
H20,15,DAILY,,,2.6851922509159563,0.3855271402048819,0.06388242389586463,-0.3566795749961652,14.730335757423575,1006,0.0,2.2754127125532047,0.34529183883301706,0.0327244053427731,True,True,True,True,True,14.0
H20,15,EVENT_STRICT,0.85,0.1,2.6835077412522725,0.38536878116469175,0.09212617947436108,-0.35429879706260736,1.509657021380236,73,0.0,2.639262002940562,0.38118969922598755,0.08911124314559049,True,True,True,True,True,15.0
H20,20,MONTHLY,,,2.6830336414776568,0.38532420173276516,0.06891603768818122,-0.35456398351318963,3.27143903584642,48,0.0,2.58779632261711,0.3762804636634418,0.06239361876270633,True,True,True,True,True,16.0
H20,20,WEEKLY,,,2.6499533401570035,0.38220299014878023,0.047428078822289166,-0.3475953036874633,7.188149439070509,209,0.0,2.44588380472597,0.3624643807753365,0.03200304685672717,True,True,True,True,True,17.0
SHORT_20_60,15,EVENT_STRICT,0.85,0.1,2.542733023543362,0.37193838232888043,0.08559553600160141,-0.3489210063272712,2.224825802275782,103,0.0,2.4801512147325235,0.36583906079012096,0.08309493045028549,True,True,True,True,True,18.0
H20,10,EVENT_BALANCED,0.8,0.05,2.5151631798301435,0.36926142277873986,0.07236104503310314,-0.3276360993418056,2.3110302050361744,79,0.0,2.4507328323845656,0.36294344103944587,0.06776135418554396,True,True,True,True,True,19.0
H20,20,EVENT_LOOSE,0.7,0.03,2.4493307125572557,0.36280497036028825,0.026163951093850057,-0.3448865913990684,4.129209326561869,260,0.0,2.337211692388278,0.35159301638866225,0.01793134024434062,True,True,True,True,True,20.0
H20,15,EVENT_BALANCED,0.8,0.05,2.4391431623821336,0.36179759757916696,0.0958658562801642,-0.3553108062122332,2.222967916910833,111,0.0,2.3784890844158166,0.355753174543906,0.09146272847438452,True,True,True,True,True,21.0
SHORT_20_60,15,WEEKLY,,,2.401950382337985,0.35810076478200514,0.0007784825824870278,-0.36588047619515096,8.196126565283446,209,0.0,2.1859086820276485,0.33600576096316015,-0.01522807998444653,True,True,True,True,True,22.0
H20,10,EVENT_LOOSE,0.7,0.03,2.3969638911341167,0.3576028237215636,0.028276638327814352,-0.33881513406788,4.505036370814906,157,0.0,2.2766575610650137,0.3454196430262646,0.01941897364471723,True,True,True,True,True,23.0
H20,10,EVENT_STRICT,0.85,0.1,2.3916968368113616,0.35707627049108237,0.048575131776192215,-0.3691794642373176,1.0650590519434626,33,0.0,2.3629079647318334,0.3541873278253853,0.04616537473540139,True,True,True,True,True,24.0
SHORT_20_60,20,EVENT_LOOSE,0.7,0.03,2.301281792813657,0.3479402731822723,0.027124111302848863,-0.36862070506611777,5.4061702452651375,335,0.0,2.161440470128415,0.3334331633715055,0.018886185228573993,True,True,True,True,True,25.0
SHORT_20_60,15,EVENT_BALANCED,0.8,0.05,2.2739154214758117,0.3451380689852295,0.04232934585784065,-0.3473997850110738,2.667279837523049,124,0.0,2.2047075589601537,0.3379722348249523,0.03933429222409468,True,True,True,True,True,26.0
SHORT_20_60,20,EVENT_BALANCED,0.8,0.05,2.250707210310738,0.34274784375614975,0.029075794758780527,-0.35857683867772594,2.9953953213631666,187,0.0,2.1736502056077485,0.33471875929577255,0.02547342295362398,True,True,True,True,True,27.0
SHORT_20_60,5,MONTHLY,,,2.2488430831736568,0.34255530171987725,0.026610355539152586,-0.34533482748475663,5.014687204159692,48,0.0,2.1209029424241694,0.3291379725288659,0.016496797382860473,True,True,True,True,True,28.0
SHORT_20_60,20,EVENT_STRICT,0.85,0.1,2.2216560478654026,0.3397377448125425,0.025623445664196387,-0.37519674913873435,2.6971444617865217,166,0.0,2.1528043276458924,0.3325215904398857,0.02256290052828036,True,True,True,True,True,29.0
H20,5,MONTHLY,,,2.1217214327523597,0.32922510913809,0.07464207793109967,-0.32002428272510264,5.947167936331326,48,0.0,1.976444924092755,0.31348301960399083,0.06154931418693188,True,True,True,True,True,30.0
H20,5,DAILY,,,1.982066082181623,0.3141027247179502,0.1083451833207476,-0.3366049139087508,27.112340188412936,1006,0.0,1.4003222424355557,0.24470773207648744,0.044115161027987515,True,True,True,True,True,31.0
H20,5,EVENT_STRICT,0.85,0.1,1.89201563604332,0.30406776311589523,0.006602414422548719,-0.34924196173962285,0.7163237261263384,12,0.0,1.8754927846210236,0.30220113800134074,0.004392644487672959,True,True,True,True,True,32.0
H20,5,EVENT_BALANCED,0.8,0.05,1.8859968697943823,0.30338873739180494,0.017972357921386184,-0.37499456334052916,1.6841850515822387,31,0.0,1.8473486346313752,0.2990030224152631,0.014349355366719552,True,True,True,True,True,33.0
H60,20,EVENT_STRICT,0.85,0.1,1.660746983815499,0.2771764285080993,0.007401600172755263,-0.3994262150021862,4.637229269934674,263,0.0,1.5637596401755411,0.2653752236030933,0.0010293619576280388,True,True,True,True,True,34.0
SHORT_20_60,10,MONTHLY,,,2.5129535602973214,0.36904619377760595,-0.0009141647173448453,-0.376409849068466,4.0498191331832185,48,0.0,2.400834469861713,0.3579893795563187,-0.008898835450927622,False,True,True,True,False,35.0
SHORT_20_60,20,WEEKLY,,,2.4973695258687774,0.3675253333895985,-0.02054500042733942,-0.3609397748547909,7.507550575179641,209,0.0,2.293379132512318,0.3471328678690986,-0.03473680626872799,False,True,True,True,False,36.0
SHORT_20_60,10,EVENT_LOOSE,0.7,0.03,2.3067333899955735,0.348496411801547,-0.011526625227118337,-0.3717135623369894,4.250175373172434,149,0.0,2.1961017523337336,0.33707309322055634,-0.01825508942626186,False,True,True,True,False,37.0
SHORT_20_60,20,MONTHLY,,,2.1873494011957884,0.33615677618170525,-0.003416729823832232,-0.3549524723995039,3.045667625131749,48,0.0,2.110552230496711,0.3280345524488748,-0.0090775429472012,False,True,True,True,False,38.0
ALL_MEDIUM,20,EVENT_LOOSE,0.7,0.03,2.154186752684773,0.33266763569062197,-0.015727310889461665,-0.39926525467364127,5.11406126082602,290,0.0,2.027598340844907,0.31909041510854363,-0.02124111752148994,False,True,True,True,False,39.0
SHORT_20_60,15,MONTHLY,,,2.0982200840417455,0.3267163040469441,-0.03642263189997652,-0.37476239762459407,3.4370175946891504,48,0.0,2.0141117665330306,0.3176189677959267,-0.04303110175137603,False,True,True,True,False,40.0
ALL_EQUAL,15,MONTHLY,,,2.0960505196999657,0.32648398093261766,-0.05684855076082718,-0.4062389984328423,2.923127981131534,48,0.0,2.0244121343033235,0.31874322950895717,-0.061793392448624695,False,True,True,True,False,41.0
ALL_LONG,10,WEEKLY,,,2.088951813045126,0.3257229768974157,-0.07183226183328184,-0.4439644047215293,8.990290042139076,209,0.0,1.87438338969777,0.3020755191511162,-0.08584683360217238,False,True,True,True,False,42.0
H20,20,DAILY,,,2.077627955383352,0.32450630364028865,-0.007193960522712373,-0.35606319573600764,13.276047653305888,1006,0.0,1.767446659365011,0.28979240345383017,-0.03356023530549945,False,True,True,True,False,43.0
MEDIUM_60_120,10,WEEKLY,,,2.033179226026781,0.319697877526532,-0.10617905752934997,-0.4692937216433969,9.548296805298824,209,0.0,1.8098980822935729,0.2947104161337337,-0.1207111394046948,False,True,True,True,False,44.0
SHORT_20_60,20,DAILY,,,1.9982039387174453,0.3158769895820812,-0.022781419256391655,-0.3744607327929649,16.878125496131062,1006,0.0,1.6193876331394979,0.27218404085832204,-0.0545358262560901,False,True,True,True,False,45.0
H120,15,WEEKLY,,,1.9162663145258527,0.30679298763515916,-0.06650029867686724,-0.4602231532430695,9.083043749673259,209,0.0,1.7116698630197331,0.28324388562033254,-0.08018814724991474,False,True,True,True,False,46.0
ALL_LONG,10,MONTHLY,,,1.9065081831616069,0.3056984468372208,-0.11314177658993863,-0.46688308511350485,3.427195147989807,48,0.0,1.8278008651241833,0.2967677633641421,-0.11827716767703611,False,True,True,True,False,47.0
ALL_MEDIUM,10,EVENT_BALANCED,0.8,0.05,1.9031730047440272,0.30532371776920497,-0.056451653899774135,-0.42502130574077446,2.3180981998355583,74,0.0,1.849738266810042,0.2992754831647151,-0.058087742595263614,False,True,True,True,False,48.0
ALL_EQUAL,15,WEEKLY,,,1.896686044469528,0.30459393974188886,-0.08012170116121897,-0.4212675546867206,7.545612857347621,209,0.0,1.7268372004855288,0.28503454433785413,-0.0911169081059846,False,True,True,True,False,49.0
SHORT_20_60,15,DAILY,,,1.8928629293229764,0.3041632680004964,-0.03290309848036066,-0.3752306124605579,18.93356800805351,1006,0.0,1.4860601047061426,0.2556769035008446,-0.06624265111239236,False,True,True,True,False,50.0
