ensemble,top_n,policy,hold_floor,score_edge,fold,cost_bps,days,total_return,cagr,max_drawdown,annual_turnover,trade_days,execution_skips,positive_month_share,total_cost_fraction_sum,execution_skip_rate,benchmark_total_return,benchmark_cagr,benchmark_max_drawdown
H20,5,MONTHLY,,,WF_2019_2020,20.0,505,1.7038993787271575,0.6427351487250745,-0.32002428272510264,5.775590985431326,24,0,0.7083333333333334,0.023148201965419203,0.0,,,
H20,5,MONTHLY,,,WF_2019_2020,40.0,505,1.6419247281179135,0.6238371648678156,-0.32112609222461796,5.775590985431326,24,0,0.6666666666666666,0.046296403930838406,0.0,,,
H20,5,MONTHLY,,,WF_2021_2022,20.0,503,0.1545257406072149,0.07464207793109967,-0.3120952752224332,6.118744887231326,24,0,0.5416666666666666,0.02442641808156633,0.0,,,
H20,5,MONTHLY,,,WF_2021_2022,40.0,503,0.12661988148812675,0.06154931418693188,-0.3186115963903553,6.118744887231326,24,0,0.5416666666666666,0.04885283616313266,0.0,,,
H20,5,WEEKLY,,,WF_2019_2020,20.0,505,1.7301042200298071,0.6506604760368491,-0.31752516701970845,13.7196718895566,105,0,0.75,0.05498757384306416,0.0,,,
H20,5,WEEKLY,,,WF_2019_2020,40.0,505,1.5838690642035753,0.60593166920042,-0.31874825665328455,13.7196718895566,105,0,0.7083333333333334,0.10997514768612832,0.0,,,
H20,5,WEEKLY,,,WF_2021_2022,20.0,503,0.4591208899097816,0.20839452861171748,-0.27303113142356006,14.184922642831237,104,0,0.7083333333333334,0.05662711182019137,0.0,,,
H20,5,WEEKLY,,,WF_2021_2022,40.0,503,0.3787000779686691,0.17455548702252877,-0.28819420398137796,14.184922642831237,104,0,0.6666666666666666,0.11325422364038273,0.0,,,
H20,5,DAILY,,,WF_2019_2020,20.0,505,1.4285355683227672,0.5570075019659859,-0.3366049139087508,24.39674534819384,504,0,0.75,0.09778060635585628,0.0,,,
H20,5,DAILY,,,WF_2019_2020,40.0,505,1.2021512488277288,0.4828052649146364,-0.340858424363648,24.39674534819384,504,0,0.7083333333333334,0.19556121271171256,0.0,,,
H20,5,DAILY,,,WF_2021_2022,20.0,503,0.22792769481286346,0.1083451833207476,-0.32802796211505947,29.827935028632037,502,0,0.5833333333333334,0.1190750104714438,0.0,,,
H20,5,DAILY,,,WF_2021_2022,40.0,503,0.08998972877694911,0.044115161027987515,-0.3598492974193611,29.827935028632037,502,0,0.5833333333333334,0.2381500209428876,0.0,,,
H20,5,EVENT_LOOSE,0.7,0.03,WF_2019_2020,20.0,505,1.5809858007543478,0.6050371874295717,-0.3876851419362276,3.875966401581771,36,0,0.6666666666666666,0.015534627244434877,0.0,,,
