ensemble,top_n,policy,hold_floor,score_edge
H20,5,MONTHLY,,
H20,5,WEEKLY,,
H20,5,DAILY,,
H20,5,EVENT_LOOSE,0.7,0.03
H20,5,EVENT_BALANCED,0.8,0.05
H20,5,EVENT_STRICT,0.85,0.1
H20,10,MONTHLY,,
H20,10,WEEKLY,,
H20,10,DAILY,,
H20,10,EVENT_LOOSE,0.7,0.03
H20,10,EVENT_BALANCED,0.8,0.05
H20,10,EVENT_STRICT,0.85,0.1
H20,15,MONTHLY,,
H20,15,WEEKLY,,
H20,15,DAILY,,
H20,15,EVENT_LOOSE,0.7,0.03
H20,15,EVENT_BALANCED,0.8,0.05
H20,15,EVENT_STRICT,0.85,0.1
H20,20,MONTHLY,,
H20,20,WEEKLY,,
H20,20,DAILY,,
H20,20,EVENT_LOOSE,0.7,0.03
H20,20,EVENT_BALANCED,0.8,0.05
H20,20,EVENT_STRICT,0.85,0.1
H60,5,MONTHLY,,
H60,5,WEEKLY,,
H60,5,DAILY,,
H60,5,EVENT_LOOSE,0.7,0.03
H60,5,EVENT_BALANCED,0.8,0.05
H60,5,EVENT_STRICT,0.85,0.1
H60,10,MONTHLY,,
H60,10,WEEKLY,,
H60,10,DAILY,,
H60,10,EVENT_LOOSE,0.7,0.03
H60,10,EVENT_BALANCED,0.8,0.05
H60,10,EVENT_STRICT,0.85,0.1
H60,15,MONTHLY,,
H60,15,WEEKLY,,
H60,15,DAILY,,
H60,15,EVENT_LOOSE,0.7,0.03
H60,15,EVENT_BALANCED,0.8,0.05
H60,15,EVENT_STRICT,0.85,0.1
H60,20,MONTHLY,,
H60,20,WEEKLY,,
H60,20,DAILY,,
H60,20,EVENT_LOOSE,0.7,0.03
H60,20,EVENT_BALANCED,0.8,0.05
H60,20,EVENT_STRICT,0.85,0.1
H120,5,MONTHLY,,
H120,5,WEEKLY,,
H120,5,DAILY,,
H120,5,EVENT_LOOSE,0.7,0.03
H120,5,EVENT_BALANCED,0.8,0.05
H120,5,EVENT_STRICT,0.85,0.1
H120,10,MONTHLY,,
H120,10,WEEKLY,,
H120,10,DAILY,,
H120,10,EVENT_LOOSE,0.7,0.03
H120,10,EVENT_BALANCED,0.8,0.05
H120,10,EVENT_STRICT,0.85,0.1
H120,15,MONTHLY,,
H120,15,WEEKLY,,
H120,15,DAILY,,
H120,15,EVENT_LOOSE,0.7,0.03
H120,15,EVENT_BALANCED,0.8,0.05
