score_bin,score_lo,score_hi,score_center,raw_expected_return_20d,hac_se_expected_mean,rich_dates,observations,isotonic_expected_return_20d,calibration_rows,calibration_first_signal,calibration_last_signal,target_end_before
0,0.0,0.05,0.025,0.06388548602024995,0.02563145570930384,484,5326,0.020364906484773536,111207,2019-01-02,2020-12-04,2021-01-04
1,0.05,0.1,0.075,0.0018910711966850346,0.01710977051041216,484,5514,0.020364906484773536,111207,2019-01-02,2020-12-04,2021-01-04
2,0.1,0.15,0.125,0.0169257900228748,0.016142144970220443,487,5582,0.020364906484773536,111207,2019-01-02,2020-12-04,2021-01-04
3,0.15,0.2,0.175,0.02010420961317773,0.01470406139253765,484,5552,0.020364906484773536,111207,2019-01-02,2020-12-04,2021-01-04
4,0.2,0.25,0.225,0.014058152309904662,0.013626338068376351,484,5537,0.020364906484773536,111207,2019-01-02,2020-12-04,2021-01-04
5,0.25,0.3,0.275,0.010825912547634325,0.012568193703821524,485,5583,0.020364906484773536,111207,2019-01-02,2020-12-04,2021-01-04
6,0.3,0.35,0.325,0.014927218968745463,0.013528098679066946,486,5600,0.020364906484773536,111207,2019-01-02,2020-12-04,2021-01-04
7,0.35,0.4,0.375,0.021063151369128848,0.013921346128559085,484,5470,0.020447357019909896,111207,2019-01-02,2020-12-04,2021-01-04
8,0.4,0.45,0.425,0.031176288907241688,0.018642454381446447,484,5657,0.020447357019909896,111207,2019-01-02,2020-12-04,2021-01-04
9,0.45,0.5,0.475,0.01619805131739894,0.013249513412179852,484,5434,0.020447357019909896,111207,2019-01-02,2020-12-04,2021-01-04
10,0.5,0.55,0.525,0.013351936485870112,0.013073023860499104,484,5640,0.020447357019909896,111207,2019-01-02,2020-12-04,2021-01-04
11,0.55,0.6,0.575,0.020924372315952868,0.01243518897197562,484,5566,0.020924372315952868,111207,2019-01-02,2020-12-04,2021-01-04
12,0.6,0.65,0.625,0.023508230589204593,0.01365847227132016,484,5562,0.023253217018962595,111207,2019-01-02,2020-12-04,2021-01-04
13,0.65,0.7,0.675,0.022998203448720594,0.01285625351370239,484,5547,0.023253217018962595,111207,2019-01-02,2020-12-04,2021-01-04
14,0.7,0.75,0.725,0.028639403103686328,0.011830538650742017,484,5535,0.028526991864509264,111207,2019-01-02,2020-12-04,2021-01-04
15,0.75,0.8,0.775,0.03142205829642649,0.013555805808209673,484,5568,0.028526991864509264,111207,2019-01-02,2020-12-04,2021-01-04
16,0.8,0.85,0.825,0.025519514193414975,0.009980585677983397,484,5625,0.028526991864509264,111207,2019-01-02,2020-12-04,2021-01-04
17,0.85,0.9,0.875,0.036657324513182564,0.012953300526126225,484,5507,0.03620980403771932,111207,2019-01-02,2020-12-04,2021-01-04
18,0.9,0.95,0.925,0.035762283562256074,0.01324589573310928,484,5586,0.03620980403771932,111207,2019-01-02,2020-12-04,2021-01-04
19,0.95,1.0,0.975,0.050546577768686506,0.01604911425173489,484,5816,0.050546577768686506,111207,2019-01-02,2020-12-04,2021-01-04
