score_bin,score_lo,score_hi,score_center,raw_expected_return_20d,hac_se_expected_mean,rich_dates,observations,isotonic_expected_return_20d,calibration_rows,calibration_first_signal,calibration_last_signal,target_end_before
0,0.0,0.05,0.025,0.00725829131258669,0.009648985636845788,2495,30424,0.00725829131258669,634803,2015-01-02,2024-12-26,2025-01-01
1,0.05,0.1,0.075,0.008901540657874615,0.006471636409541026,2495,31707,0.008901540657874615,634803,2015-01-02,2024-12-26,2025-01-01
2,0.1,0.15,0.125,0.01688814471708121,0.005705444203153735,2496,31750,0.011646143855342706,634803,2015-01-02,2024-12-26,2025-01-01
3,0.15,0.2,0.175,0.008908332458386004,0.004433465729222951,2506,31746,0.011646143855342706,634803,2015-01-02,2024-12-26,2025-01-01
4,0.2,0.25,0.225,0.010813318922611712,0.004153376733222678,2500,31416,0.011646143855342706,634803,2015-01-02,2024-12-26,2025-01-01
5,0.25,0.3,0.275,0.009987082774293698,0.003832881806194507,2496,31987,0.011646143855342706,634803,2015-01-02,2024-12-26,2025-01-01
6,0.3,0.35,0.325,0.01225835451068582,0.004194858058403947,2495,31813,0.011721180231413181,634803,2015-01-02,2024-12-26,2025-01-01
7,0.35,0.4,0.375,0.011184005952140542,0.003761759169674397,2495,31575,0.011721180231413181,634803,2015-01-02,2024-12-26,2025-01-01
8,0.4,0.45,0.425,0.015136829772323663,0.004774779818405836,2495,31933,0.012074424989004406,634803,2015-01-02,2024-12-26,2025-01-01
9,0.45,0.5,0.475,0.01002286673024858,0.0035699836106716214,2495,31145,0.012074424989004406,634803,2015-01-02,2024-12-26,2025-01-01
10,0.5,0.55,0.525,0.012575399729296471,0.0035469449271092013,2495,32365,0.012074424989004406,634803,2015-01-02,2024-12-26,2025-01-01
11,0.55,0.6,0.575,0.010562603724148918,0.0035359678502987564,2495,31567,0.012074424989004406,634803,2015-01-02,2024-12-26,2025-01-01
12,0.6,0.65,0.625,0.013871468597053136,0.0036812737929958882,2495,31942,0.013871468597053136,634803,2015-01-02,2024-12-26,2025-01-01
13,0.65,0.7,0.675,0.018017842515809374,0.0037033667721746133,2495,31635,0.018017842515809374,634803,2015-01-02,2024-12-26,2025-01-01
14,0.7,0.75,0.725,0.01892858184211486,0.0037475979656901243,2495,31474,0.018043041471282523,634803,2015-01-02,2024-12-26,2025-01-01
15,0.75,0.8,0.775,0.017157501100450185,0.004005418784643194,2495,31749,0.018043041471282523,634803,2015-01-02,2024-12-26,2025-01-01
16,0.8,0.85,0.825,0.020987648464723025,0.005925296513294452,2495,32086,0.020465291723365156,634803,2015-01-02,2024-12-26,2025-01-01
17,0.85,0.9,0.875,0.019942934982007287,0.004218722468463883,2495,31587,0.020465291723365156,634803,2015-01-02,2024-12-26,2025-01-01
18,0.9,0.95,0.925,0.021841049370892877,0.004401170010984636,2495,31905,0.021841049370892877,634803,2015-01-02,2024-12-26,2025-01-01
19,0.95,1.0,0.975,0.02755579637070195,0.005056881862434426,2495,32997,0.02755579637070195,634803,2015-01-02,2024-12-26,2025-01-01
