partition,signal_date,milp_success,milp_message,spearman_alpha_milp,kendall_alpha_milp,top5_capture,top10_capture,top5_overlap,top10_overlap,zero_reference_to_positive_theoretical_mass,low_alpha_high_weight_inversions,excluded_top_alpha_names,mean_rank_displacement,amplification_vs_reference,l1_reference_theoretical,l1_theoretical_optimizer,l1_optimizer_milp,l1_reference_milp,alpha_capture,optimizer_vs_milp_localization,alpha_loss_mechanism
PRE_FREEZE_STRUCTURAL_REPLAY,2023-01-03,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.9627250618334076,0.8843529841082989,1.0,1.0,1.0,1.0,0.041763333339037104,5,,1.1,1.5,0.4966991944469991,0.0,0.09789016354495636,0.42333333333333334,1.00837962962963,PANW:0.0158;CDNS:0.0121;ADSK:0.0113,ALPHA_PRESERVED;MAX_WEIGHT_CAP_OR_TIE
PRE_FREEZE_STRUCTURAL_REPLAY,2023-02-01,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.9707184215135982,0.9038385069488659,1.0,1.0,1.0,1.0,0.04185861394081285,3,,1.0,1.5,0.5024225558917689,0.0,0.09914567578851607,0.42333333333333334,1.0086150234741786,VRTX:0.0160;YPF:0.0124;PANW:0.0111,ALPHA_PRESERVED;MAX_WEIGHT_CAP_OR_TIE
PRE_FREEZE_STRUCTURAL_REPLAY,2023-03-01,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.975300884557722,0.9150663144886033,1.0,1.0,1.0,1.0,0.04185861394081285,2,,0.9,1.5,0.5024225558917689,0.0,0.09914567578851607,0.42333333333333334,1.0086384976525822,REGN:0.0160;ANET:0.0124;MCO:0.0111,ALPHA_PRESERVED;MAX_WEIGHT_CAP_OR_TIE
PRE_FREEZE_STRUCTURAL_REPLAY,2023-04-03,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.9615534954253501,0.8813828918693909,1.0,1.0,1.0,1.0,0.04193764566156749,5,,1.05,1.5,0.5062110378902156,1.5005358067199381e-16,0.09973212051310189,0.42333333333333334,1.008649289099526,ORLY:0.0162;MPWR:0.0126;NXPI:0.0110,ALPHA_PRESERVED;MAX_WEIGHT_CAP_OR_TIE
PRE_FREEZE_STRUCTURAL_REPLAY,2023-05-01,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.952388569337102,0.858927276789916,1.0,1.0,1.0,1.0,0.04198190824181435,7,,1.25,1.5,0.5080967274373492,1.5092094240998222e-16,0.10019366802942159,0.42333333333333334,1.0086428571428572,ORLY:0.0162;NFLX:0.0127;VRTX:0.0109,ALPHA_PRESERVED;MAX_WEIGHT_CAP_OR_TIE;DISCRETIZATION_OR_CARDINALITY
PRE_FREEZE_STRUCTURAL_REPLAY,2023-06-01,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.9752578220905855,0.9147907439754503,1.0,1.0,1.0,1.0,0.04202937709005651,0,,0.95,1.5,0.5099765299826071,0.0,0.09899775894243941,0.4366666666666667,1.009019138755981,MCO:0.0163;KLAC:0.0128;TJX:0.0109,ALPHA_PRESERVED;MAX_WEIGHT_CAP_OR_TIE
PRE_FREEZE_STRUCTURAL_REPLAY,2023-07-03,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.9752578220905855,0.9147907439754503,1.0,1.0,1.0,1.0,0.04202937709005651,0,,0.95,1.5,0.5099765299826071,0.0,0.09899775894243941,0.4366666666666667,1.009019138755981,VIST:0.0163;ORLY:0.0128;PANW:0.0109,ALPHA_PRESERVED;MAX_WEIGHT_CAP_OR_TIE
PRE_FREEZE_STRUCTURAL_REPLAY,2023-08-01,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.9752578220905855,0.9147907439754503,1.0,1.0,1.0,1.0,0.04202937709005651,0,,0.95,1.5,0.5099765299826071,0.0,0.09899775894243941,0.4366666666666667,1.009019138755981,ISRG:0.0163;VIST:0.0128;PLTR:0.0109,ALPHA_PRESERVED;MAX_WEIGHT_CAP_OR_TIE
PRE_FREEZE_STRUCTURAL_REPLAY,2023-09-01,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.9752578220905855,0.9147907439754503,1.0,1.0,1.0,1.0,0.04202937709005651,0,,0.95,1.5,0.5099765299826071,0.0,0.09899775894243941,0.4366666666666667,1.009019138755981,BKNG:0.0163;MELI:0.0128;PH:0.0109,ALPHA_PRESERVED;MAX_WEIGHT_CAP_OR_TIE
PRE_FREEZE_STRUCTURAL_REPLAY,2023-10-02,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.9661359584694742,0.8926106994091284,1.0,1.0,1.0,1.0,0.04198190824181435,4,,1.0,1.5,0.5080967274373492,1.5092094240998222e-16,0.10019366802942159,0.42333333333333334,1.0087142857142857,MELI:0.0162;BKNG:0.0127;ADBE:0.0109,ALPHA_PRESERVED;MAX_WEIGHT_CAP_OR_TIE;DISCRETIZATION_OR_CARDINALITY
PRE_FREEZE_STRUCTURAL_REPLAY,2023-11-01,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.9707184215135982,0.9038385069488659,1.0,1.0,1.0,1.0,0.04198190824181435,3,,1.0,1.5,0.5080967274373492,1.5092094240998222e-16,0.10019366802942159,0.42333333333333334,1.0087380952380953,STLD:0.0162;META:0.0127;PH:0.0109,ALPHA_PRESERVED;MAX_WEIGHT_CAP_OR_TIE;DISCRETIZATION_OR_CARDINALITY
PRE_FREEZE_STRUCTURAL_REPLAY,2023-12-01,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.9707184215135982,0.9038385069488659,1.0,1.0,1.0,1.0,0.04198190824181435,3,,1.0,1.5,0.5080967274373492,1.5092094240998222e-16,0.10019366802942159,0.42333333333333334,1.0087380952380953,CMG:0.0162;TTWO:0.0127;VRTX:0.0109,ALPHA_PRESERVED;MAX_WEIGHT_CAP_OR_TIE;DISCRETIZATION_OR_CARDINALITY
PRE_FREEZE_STRUCTURAL_REPLAY,2024-01-02,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.9752578220905855,0.9147907439754503,1.0,1.0,1.0,1.0,0.04208008370985535,0,,0.95,1.5,0.5118503073477582,9.71445146547012e-17,0.09764022136289857,0.4366666666666667,1.0090625,CRWD:0.0164;CDNS:0.0129;PLTR:0.0108,ALPHA_PRESERVED;MAX_WEIGHT_CAP_OR_TIE
PRE_FREEZE_STRUCTURAL_REPLAY,2024-02-01,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.9752578220905855,0.9147907439754503,1.0,1.0,1.0,1.0,0.04208008370985535,0,,0.95,1.5,0.5118503073477582,9.71445146547012e-17,0.09764022136289857,0.4366666666666667,1.0090625,ANET:0.0164;BKNG:0.0129;NFLX:0.0108,ALPHA_PRESERVED;MAX_WEIGHT_CAP_OR_TIE
