date,nav,net_return,gross_return,turnover,cost_fraction,execution_skipped,holdings,cash_weight
2023-01-03,1.0,0.0,0.0,0.0,0.0,0,0,1.0
2023-01-04,0.999,-0.0010000000000000009,0.0,0.5,0.001,0,15,0.0
2023-01-05,0.9946375933030535,-0.004366773470416918,-0.004366773470416927,0.0,0.0,0,15,0.0
2023-01-06,1.0209408694473556,0.026445085447607708,0.02644508544760778,0.0,0.0,0,15,0.0
2023-01-09,1.0303693242559433,0.009235064527969516,0.009235064527969428,0.0,0.0,0,15,0.0
2023-01-10,1.0422274675673642,0.011508633877453489,0.011508633877453461,0.0,0.0,0,15,0.0
2023-01-11,1.0539196725251783,0.011218477080732203,0.01121847708073219,0.0,0.0,0,15,0.0
2023-01-12,1.055883108956492,0.0018629848958120476,0.0018629848958121498,0.0,0.0,0,15,0.0
2023-01-13,1.065932483176437,0.009517506374239204,0.00951750637423918,0.0,0.0,0,15,0.0
2023-01-17,1.0711748117681095,0.004918068146352539,0.004918068146352449,0.0,0.0,0,15,0.0
2023-01-18,1.0549106086463687,-0.015183519013945768,-0.015183519013945605,0.0,0.0,0,15,0.0
2023-01-19,1.0447824371567092,-0.009600976051094667,-0.009600976051094709,0.0,0.0,0,15,0.0
2023-01-20,1.0624589180699997,0.016918815137623833,0.016918815137623857,0.0,0.0,0,15,0.0
2023-01-23,1.0826104725428625,0.01896690227747233,0.018966902277472383,0.0,0.0,0,15,0.0
2023-01-24,1.0809576896112252,-0.0015266644592446532,-0.0015266644592447243,0.0,0.0,0,15,0.0
2023-01-25,1.0896930605118689,0.008081140441107859,0.008081140441107934,0.0,0.0,0,15,0.0
2023-01-26,1.1186508339720822,0.026574247840589926,0.026574247840590003,0.0,0.0,0,15,0.0
2023-01-27,1.0997494007184827,-0.01689663358716198,-0.016896633587161945,0.0,0.0,0,15,0.0
2023-01-30,1.0902075094636932,-0.00867642323656248,-0.008676423236562642,0.0,0.0,0,15,0.0
2023-01-31,1.1044035489467838,0.01302141047448302,0.013021410474483056,0.0,0.0,0,15,0.0
2023-02-01,1.1315871445328252,0.024613824912066873,0.02461382491206679,0.0,0.0,0,15,0.0
2023-02-02,1.1321926111107117,0.0005350596114597206,0.0005350596114596337,0.0,0.0,0,15,0.0
2023-02-03,1.1221522831669348,-0.008868038746452367,-0.008868038746452412,0.0,0.0,0,15,0.0
2023-02-06,1.1167512180606463,-0.004813130256301479,-0.004813130256301474,0.0,0.0,0,15,0.0
2023-02-07,1.1367913511892112,0.01794502912060092,0.01794502912060096,0.0,0.0,0,15,0.0
2023-02-08,1.1237451688013729,-0.011476320939801776,-0.011476320939801684,0.0,0.0,0,15,0.0
2023-02-09,1.1283006567311744,0.00405384428451927,0.004053844284519238,0.0,0.0,0,15,0.0
2023-02-10,1.1279828758462453,-0.000281645572953626,-0.0002816455729536838,0.0,0.0,0,15,0.0
2023-02-13,1.1482713503605089,0.017986509324481093,0.017986509324481082,0.0,0.0,0,15,0.0
2023-02-14,1.1722456644669543,0.020878613838896554,0.020878613838896543,0.0,0.0,0,15,0.0
2023-02-15,1.1776469865889825,0.004607670802932118,0.004607670802932141,0.0,0.0,0,15,0.0
2023-02-16,1.1576474551341416,-0.01698262015917773,-0.01698262015917763,0.0,0.0,0,15,0.0
2023-02-17,1.1472092117381618,-0.009016772204427537,-0.009016772204427575,0.0,0.0,0,15,0.0
2023-02-21,1.129581100714653,-0.01536608217850699,-0.015366082178506942,0.0,0.0,0,15,0.0
2023-02-22,1.1267994906884482,-0.0024625146653436403,-0.0024625146653435882,0.0,0.0,0,15,0.0
2023-02-23,1.135372282769105,0.007608090127391831,0.007608090127391887,0.0,0.0,0,15,0.0
2023-02-24,1.1176925877656492,-0.015571716230676547,-0.01557171623067639,0.0,0.0,0,15,0.0
2023-02-27,1.1350895632590092,0.015565080849411217,0.015565080849411151,0.0,0.0,0,15,0.0
2023-02-28,1.1341336893383744,-0.0008421132143002774,-0.0008421132143003601,0.0,0.0,0,15,0.0
2023-03-01,1.1423319908034435,0.0072286905345804175,0.007228690534580411,0.0,0.0,0,15,0.0
