ticker,cik,status,rows,error,identity_source
MSFT,0000789019,OK,3201,,DOTENV:C:\Users\santi\OneDrive\Escritorio\ALPHA_ENGINE_V12_RETURN_FIRST\ALPHA_ENGINE_V13_RETURN_FIRST_MULTI_HORIZON\.env:MMM_SEC_USER_AGENT
BRK-B,0001067983,OK,2129,,DOTENV:C:\Users\santi\OneDrive\Escritorio\ALPHA_ENGINE_V12_RETURN_FIRST\ALPHA_ENGINE_V13_RETURN_FIRST_MULTI_HORIZON\.env:MMM_SEC_USER_AGENT
PG,0000080424,OK,3304,,DOTENV:C:\Users\santi\OneDrive\Escritorio\ALPHA_ENGINE_V12_RETURN_FIRST\ALPHA_ENGINE_V13_RETURN_FIRST_MULTI_HORIZON\.env:MMM_SEC_USER_AGENT
MELI,0001099590,OK,2683,,DOTENV:C:\Users\santi\OneDrive\Escritorio\ALPHA_ENGINE_V12_RETURN_FIRST\ALPHA_ENGINE_V13_RETURN_FIRST_MULTI_HORIZON\.env:MMM_SEC_USER_AGENT
META,0001326801,OK,1971,,DOTENV:C:\Users\santi\OneDrive\Escritorio\ALPHA_ENGINE_V12_RETURN_FIRST\ALPHA_ENGINE_V13_RETURN_FIRST_MULTI_HORIZON\.env:MMM_SEC_USER_AGENT
AVGO,0001730168,OK,1598,,DOTENV:C:\Users\santi\OneDrive\Escritorio\ALPHA_ENGINE_V12_RETURN_FIRST\ALPHA_ENGINE_V13_RETURN_FIRST_MULTI_HORIZON\.env:MMM_SEC_USER_AGENT
AMZN,0001018724,OK,3374,,DOTENV:C:\Users\santi\OneDrive\Escritorio\ALPHA_ENGINE_V12_RETURN_FIRST\ALPHA_ENGINE_V13_RETURN_FIRST_MULTI_HORIZON\.env:MMM_SEC_USER_AGENT
GE,0000040545,OK,2906,,DOTENV:C:\Users\santi\OneDrive\Escritorio\ALPHA_ENGINE_V12_RETURN_FIRST\ALPHA_ENGINE_V13_RETURN_FIRST_MULTI_HORIZON\.env:MMM_SEC_USER_AGENT
NKE,0000320187,OK,2319,,DOTENV:C:\Users\santi\OneDrive\Escritorio\ALPHA_ENGINE_V12_RETURN_FIRST\ALPHA_ENGINE_V13_RETURN_FIRST_MULTI_HORIZON\.env:MMM_SEC_USER_AGENT
DIS,0001744489,OK,1483,,DOTENV:C:\Users\santi\OneDrive\Escritorio\ALPHA_ENGINE_V12_RETURN_FIRST\ALPHA_ENGINE_V13_RETURN_FIRST_MULTI_HORIZON\.env:MMM_SEC_USER_AGENT
CAT,0000018230,OK,2637,,DOTENV:C:\Users\santi\OneDrive\Escritorio\ALPHA_ENGINE_V12_RETURN_FIRST\ALPHA_ENGINE_V13_RETURN_FIRST_MULTI_HORIZON\.env:MMM_SEC_USER_AGENT
MMM,0000066740,OK,3704,,DOTENV:C:\Users\santi\OneDrive\Escritorio\ALPHA_ENGINE_V12_RETURN_FIRST\ALPHA_ENGINE_V13_RETURN_FIRST_MULTI_HORIZON\.env:MMM_SEC_USER_AGENT
PFE,0000078003,OK,2621,,DOTENV:C:\Users\santi\OneDrive\Escritorio\ALPHA_ENGINE_V12_RETURN_FIRST\ALPHA_ENGINE_V13_RETURN_FIRST_MULTI_HORIZON\.env:MMM_SEC_USER_AGENT
V,0001403161,OK,2271,,DOTENV:C:\Users\santi\OneDrive\Escritorio\ALPHA_ENGINE_V12_RETURN_FIRST\ALPHA_ENGINE_V13_RETURN_FIRST_MULTI_HORIZON\.env:MMM_SEC_USER_AGENT
AXP,0000004962,OK,1763,,DOTENV:C:\Users\santi\OneDrive\Escritorio\ALPHA_ENGINE_V12_RETURN_FIRST\ALPHA_ENGINE_V13_RETURN_FIRST_MULTI_HORIZON\.env:MMM_SEC_USER_AGENT
CAAP,0001717393,OK,13,,DOTENV:C:\Users\santi\OneDrive\Escritorio\ALPHA_ENGINE_V12_RETURN_FIRST\ALPHA_ENGINE_V13_RETURN_FIRST_MULTI_HORIZON\.env:MMM_SEC_USER_AGENT
ABBV,0001551152,OK,2043,,DOTENV:C:\Users\santi\OneDrive\Escritorio\ALPHA_ENGINE_V12_RETURN_FIRST\ALPHA_ENGINE_V13_RETURN_FIRST_MULTI_HORIZON\.env:MMM_SEC_USER_AGENT
BABA,0001577552,OK,229,,DOTENV:C:\Users\santi\OneDrive\Escritorio\ALPHA_ENGINE_V12_RETURN_FIRST\ALPHA_ENGINE_V13_RETURN_FIRST_MULTI_HORIZON\.env:MMM_SEC_USER_AGENT
COIN,0001679788,OK,842,,DOTENV:C:\Users\santi\OneDrive\Escritorio\ALPHA_ENGINE_V12_RETURN_FIRST\ALPHA_ENGINE_V13_RETURN_FIRST_MULTI_HORIZON\.env:MMM_SEC_USER_AGENT
NFLX,0001065280,OK,2998,,DOTENV:C:\Users\santi\OneDrive\Escritorio\ALPHA_ENGINE_V12_RETURN_FIRST\ALPHA_ENGINE_V13_RETURN_FIRST_MULTI_HORIZON\.env:MMM_SEC_USER_AGENT
GLOB,0001557860,OK,9,,DOTENV:C:\Users\santi\OneDrive\Escritorio\ALPHA_ENGINE_V12_RETURN_FIRST\ALPHA_ENGINE_V13_RETURN_FIRST_MULTI_HORIZON\.env:MMM_SEC_USER_AGENT
BA,0000012927,OK,3100,,DOTENV:C:\Users\santi\OneDrive\Escritorio\ALPHA_ENGINE_V12_RETURN_FIRST\ALPHA_ENGINE_V13_RETURN_FIRST_MULTI_HORIZON\.env:MMM_SEC_USER_AGENT
