ticker,date,feature_price,adj_close,scale,scale_deviation
AAPL,2026-09-04,319.9700012207031,319.9700012207031,1.0,0.0
ABBV,2026-09-04,256.4599914550781,256.4599914550781,1.0,0.0
ABNB,2026-09-04,181.94000244140625,181.94000244140625,1.0,0.0
ACN,2026-09-04,186.72000122070312,186.72000122070312,1.0,0.0
ADBE,2026-09-04,266.510009765625,266.510009765625,1.0,0.0
ADI,2026-09-04,362.25,362.25,1.0,0.0
ADSK,2026-09-04,217.89999389648438,217.89999389648438,1.0,0.0
AMAT,2026-09-04,454.7099914550781,454.7099914550781,1.0,0.0
AMD,2026-09-04,477.57000732421875,477.57000732421875,1.0,0.0
AMGN,2026-09-04,437.2300109863281,437.2300109863281,1.0,0.0
AMZN,2026-09-04,258.510009765625,258.510009765625,1.0,0.0
ANET,2026-09-04,193.77999877929688,193.77999877929688,1.0,0.0
APD,2026-09-04,301.2699890136719,301.2699890136719,1.0,0.0
ARM,2026-09-04,252.08999633789062,252.08999633789062,1.0,0.0
ASML,2026-09-04,1714.8800048828125,1714.8800048828125,1.0,0.0
AVGO,2026-09-04,357.8999938964844,357.8999938964844,1.0,0.0
AXP,2026-09-04,326.1600036621094,326.1600036621094,1.0,0.0
AZN,2026-09-04,162.6999969482422,162.6999969482422,1.0,0.0
AZO,2026-09-04,2983.2900390625,2983.2900390625,1.0,0.0
BA,2026-09-04,212.25,212.25,1.0,0.0
BABA,2026-09-04,113.23999786376953,113.23999786376953,1.0,0.0
BAC,2026-09-04,62.68000030517578,62.68000030517578,1.0,0.0
BBD,2026-09-04,3.4700000286102295,3.4700000286102295,1.0,0.0
BHP,2026-09-04,90.41999816894531,90.41999816894531,1.0,0.0
BIDU,2026-09-04,99.47000122070312,99.47000122070312,1.0,0.0
BKNG,2026-09-04,192.82431030273438,192.82431030273438,1.0,0.0
BLK,2026-09-04,1116.56005859375,1116.56005859375,1.0,0.0
BMY,2026-09-04,66.81999969482422,66.81999969482422,1.0,0.0
BNY,2026-09-04,164.83999633789062,164.83999633789062,1.0,0.0
BP,2026-09-04,43.810001373291016,43.810001373291016,1.0,0.0
BRK-B,2026-09-04,506.0299987792969,506.0299987792969,1.0,0.0
BSX,2026-09-04,47.79999923706055,47.79999923706055,1.0,0.0
C,2026-09-04,137.72000122070312,137.72000122070312,1.0,0.0
CAAP,2026-09-04,24.40999984741211,24.40999984741211,1.0,0.0
CAT,2026-09-04,813.9400024414062,813.9400024414062,1.0,0.0
CDNS,2026-09-04,292.70001220703125,292.70001220703125,1.0,0.0
CEPU,2026-09-04,14.039999961853027,14.039999961853027,1.0,0.0
CHTR,2026-09-04,151.99000549316406,151.99000549316406,1.0,0.0
CL,2026-09-04,88.7699966430664,88.7699966430664,1.0,0.0
CMCSA,2026-09-04,26.489999771118164,26.489999771118164,1.0,0.0
CMG,2026-09-04,36.959999084472656,36.959999084472656,1.0,0.0
COF,2026-09-04,219.60000610351562,219.60000610351562,1.0,0.0
COIN,2026-09-04,184.63999938964844,184.63999938964844,1.0,0.0
COP,2026-09-04,134.25999450683594,134.25999450683594,1.0,0.0
COST,2026-09-04,915.739990234375,915.739990234375,1.0,0.0
CRM,2026-09-04,259.2300109863281,259.2300109863281,1.0,0.0
CRWD,2026-09-04,213.10000610351562,213.10000610351562,1.0,0.0
CSCO,2026-09-04,109.19999694824219,109.19999694824219,1.0,0.0
CVX,2026-09-04,208.60000610351562,208.60000610351562,1.0,0.0
DDOG,2026-09-04,212.92999267578125,212.92999267578125,1.0,0.0
DE,2026-09-04,693.530029296875,693.530029296875,1.0,0.0
DEO,2026-09-04,89.19000244140625,89.19000244140625,1.0,0.0
DHR,2026-09-04,207.66000366210938,207.66000366210938,1.0,0.0
DIS,2026-09-04,105.30999755859375,105.30999755859375,1.0,0.0
DOW,2026-09-04,29.440000534057617,29.440000534057617,1.0,0.0
EMR,2026-09-04,152.82000732421875,152.82000732421875,1.0,0.0
EOG,2026-09-04,145.19000244140625,145.19000244140625,1.0,0.0
ETN,2026-09-04,410.8500061035156,410.8500061035156,1.0,0.0
FCX,2026-09-04,72.7300033569336,72.7300033569336,1.0,0.0
FDX,2026-09-04,322.5199890136719,322.5199890136719,1.0,0.0
FTNT,2026-09-04,156.2899932861328,156.2899932861328,1.0,0.0
GD,2026-09-04,359.3900146484375,359.3900146484375,1.0,0.0
GE,2026-09-04,337.1199951171875,337.1199951171875,1.0,0.0
GILD,2026-09-04,151.0,151.0,1.0,0.0
GLOB,2026-09-04,39.130001068115234,39.130001068115234,1.0,0.0
GOOGL,2026-09-04,338.4599914550781,338.4599914550781,1.0,0.0
GS,2026-09-04,1038.6099853515625,1038.6099853515625,1.0,0.0
