ticker,provider_symbol,status,rows,last_date
AAPL,AAPL,OK,30,2026-09-11
ABBV,ABBV,OK,30,2026-09-11
ABNB,ABNB,OK,30,2026-09-11
ACN,ACN,OK,30,2026-09-11
ADBE,ADBE,OK,30,2026-09-11
ADI,ADI,OK,30,2026-09-11
ADSK,ADSK,OK,30,2026-09-11
AMAT,AMAT,OK,30,2026-09-11
AMD,AMD,OK,30,2026-09-11
AMGN,AMGN,OK,30,2026-09-11
AMZN,AMZN,OK,30,2026-09-11
ANET,ANET,OK,30,2026-09-11
APD,APD,OK,30,2026-09-11
ARM,ARM,OK,30,2026-09-11
ASML,ASML,OK,30,2026-09-11
AVGO,AVGO,OK,30,2026-09-11
AXP,AXP,OK,30,2026-09-11
AZN,AZN,OK,30,2026-09-11
AZO,AZO,OK,30,2026-09-11
BA,BA,OK,30,2026-09-11
BABA,BABA,OK,30,2026-09-11
BAC,BAC,OK,30,2026-09-11
BBD,BBD,OK,30,2026-09-11
BHP,BHP,OK,30,2026-09-11
BIDU,BIDU,OK,30,2026-09-11
BKNG,BKNG,OK,30,2026-09-11
BLK,BLK,OK,30,2026-09-11
BMY,BMY,OK,30,2026-09-11
BNY,BNY,OK,30,2026-09-11
BP,BP,OK,30,2026-09-11
BRK-B,BRK-B,OK,30,2026-09-11
BSX,BSX,OK,30,2026-09-11
C,C,OK,30,2026-09-11
CAAP,CAAP,OK,30,2026-09-11
CAT,CAT,OK,30,2026-09-11
CDNS,CDNS,OK,30,2026-09-11
CEPU,CEPU,OK,30,2026-09-11
CHTR,CHTR,OK,30,2026-09-11
CL,CL,OK,30,2026-09-11
CMCSA,CMCSA,OK,30,2026-09-11
CMG,CMG,OK,30,2026-09-11
COF,COF,OK,30,2026-09-11
COIN,COIN,OK,30,2026-09-11
COP,COP,OK,30,2026-09-11
COST,COST,OK,30,2026-09-11
CRM,CRM,OK,30,2026-09-11
CRWD,CRWD,OK,30,2026-09-11
CSCO,CSCO,OK,30,2026-09-11
CVX,CVX,OK,30,2026-09-11
DDOG,DDOG,OK,30,2026-09-11
DE,DE,OK,30,2026-09-11
DEO,DEO,OK,30,2026-09-11
DHR,DHR,OK,30,2026-09-11
DIS,DIS,OK,30,2026-09-11
