ticker,cik,status,rows,error,identity_source
MSFT,789019,VALID_CACHE,3201,,DOTENV:C:\Users\santi\OneDrive\Escritorio\ALPHA_ENGINE_V12_RETURN_FIRST\ALPHA_ENGINE_V13_RETURN_FIRST_MULTI_HORIZON\.env:MMM_SEC_USER_AGENT
BRK-B,1067983,VALID_CACHE,2129,,DOTENV:C:\Users\santi\OneDrive\Escritorio\ALPHA_ENGINE_V12_RETURN_FIRST\ALPHA_ENGINE_V13_RETURN_FIRST_MULTI_HORIZON\.env:MMM_SEC_USER_AGENT
PG,80424,VALID_CACHE,3304,,DOTENV:C:\Users\santi\OneDrive\Escritorio\ALPHA_ENGINE_V12_RETURN_FIRST\ALPHA_ENGINE_V13_RETURN_FIRST_MULTI_HORIZON\.env:MMM_SEC_USER_AGENT
MELI,1099590,VALID_CACHE,2683,,DOTENV:C:\Users\santi\OneDrive\Escritorio\ALPHA_ENGINE_V12_RETURN_FIRST\ALPHA_ENGINE_V13_RETURN_FIRST_MULTI_HORIZON\.env:MMM_SEC_USER_AGENT
META,1326801,VALID_CACHE,1971,,DOTENV:C:\Users\santi\OneDrive\Escritorio\ALPHA_ENGINE_V12_RETURN_FIRST\ALPHA_ENGINE_V13_RETURN_FIRST_MULTI_HORIZON\.env:MMM_SEC_USER_AGENT
AVGO,1730168,VALID_CACHE,1598,,DOTENV:C:\Users\santi\OneDrive\Escritorio\ALPHA_ENGINE_V12_RETURN_FIRST\ALPHA_ENGINE_V13_RETURN_FIRST_MULTI_HORIZON\.env:MMM_SEC_USER_AGENT
AMZN,1018724,VALID_CACHE,3374,,DOTENV:C:\Users\santi\OneDrive\Escritorio\ALPHA_ENGINE_V12_RETURN_FIRST\ALPHA_ENGINE_V13_RETURN_FIRST_MULTI_HORIZON\.env:MMM_SEC_USER_AGENT
GE,40545,VALID_CACHE,2906,,DOTENV:C:\Users\santi\OneDrive\Escritorio\ALPHA_ENGINE_V12_RETURN_FIRST\ALPHA_ENGINE_V13_RETURN_FIRST_MULTI_HORIZON\.env:MMM_SEC_USER_AGENT
NKE,320187,VALID_CACHE,2319,,DOTENV:C:\Users\santi\OneDrive\Escritorio\ALPHA_ENGINE_V12_RETURN_FIRST\ALPHA_ENGINE_V13_RETURN_FIRST_MULTI_HORIZON\.env:MMM_SEC_USER_AGENT
DIS,1744489,VALID_CACHE,1483,,DOTENV:C:\Users\santi\OneDrive\Escritorio\ALPHA_ENGINE_V12_RETURN_FIRST\ALPHA_ENGINE_V13_RETURN_FIRST_MULTI_HORIZON\.env:MMM_SEC_USER_AGENT
CAT,18230,VALID_CACHE,2637,,DOTENV:C:\Users\santi\OneDrive\Escritorio\ALPHA_ENGINE_V12_RETURN_FIRST\ALPHA_ENGINE_V13_RETURN_FIRST_MULTI_HORIZON\.env:MMM_SEC_USER_AGENT
MMM,66740,VALID_CACHE,3704,,DOTENV:C:\Users\santi\OneDrive\Escritorio\ALPHA_ENGINE_V12_RETURN_FIRST\ALPHA_ENGINE_V13_RETURN_FIRST_MULTI_HORIZON\.env:MMM_SEC_USER_AGENT
PFE,78003,VALID_CACHE,2621,,DOTENV:C:\Users\santi\OneDrive\Escritorio\ALPHA_ENGINE_V12_RETURN_FIRST\ALPHA_ENGINE_V13_RETURN_FIRST_MULTI_HORIZON\.env:MMM_SEC_USER_AGENT
V,1403161,VALID_CACHE,2271,,DOTENV:C:\Users\santi\OneDrive\Escritorio\ALPHA_ENGINE_V12_RETURN_FIRST\ALPHA_ENGINE_V13_RETURN_FIRST_MULTI_HORIZON\.env:MMM_SEC_USER_AGENT
AXP,4962,VALID_CACHE,1763,,DOTENV:C:\Users\santi\OneDrive\Escritorio\ALPHA_ENGINE_V12_RETURN_FIRST\ALPHA_ENGINE_V13_RETURN_FIRST_MULTI_HORIZON\.env:MMM_SEC_USER_AGENT
CAAP,1717393,VALID_CACHE,13,,DOTENV:C:\Users\santi\OneDrive\Escritorio\ALPHA_ENGINE_V12_RETURN_FIRST\ALPHA_ENGINE_V13_RETURN_FIRST_MULTI_HORIZON\.env:MMM_SEC_USER_AGENT
ABBV,1551152,VALID_CACHE,2043,,DOTENV:C:\Users\santi\OneDrive\Escritorio\ALPHA_ENGINE_V12_RETURN_FIRST\ALPHA_ENGINE_V13_RETURN_FIRST_MULTI_HORIZON\.env:MMM_SEC_USER_AGENT
BABA,1577552,VALID_CACHE,229,,DOTENV:C:\Users\santi\OneDrive\Escritorio\ALPHA_ENGINE_V12_RETURN_FIRST\ALPHA_ENGINE_V13_RETURN_FIRST_MULTI_HORIZON\.env:MMM_SEC_USER_AGENT
COIN,1679788,VALID_CACHE,842,,DOTENV:C:\Users\santi\OneDrive\Escritorio\ALPHA_ENGINE_V12_RETURN_FIRST\ALPHA_ENGINE_V13_RETURN_FIRST_MULTI_HORIZON\.env:MMM_SEC_USER_AGENT
NFLX,1065280,VALID_CACHE,2998,,DOTENV:C:\Users\santi\OneDrive\Escritorio\ALPHA_ENGINE_V12_RETURN_FIRST\ALPHA_ENGINE_V13_RETURN_FIRST_MULTI_HORIZON\.env:MMM_SEC_USER_AGENT
GLOB,1557860,VALID_CACHE,9,,DOTENV:C:\Users\santi\OneDrive\Escritorio\ALPHA_ENGINE_V12_RETURN_FIRST\ALPHA_ENGINE_V13_RETURN_FIRST_MULTI_HORIZON\.env:MMM_SEC_USER_AGENT
BA,12927,VALID_CACHE,3100,,DOTENV:C:\Users\santi\OneDrive\Escritorio\ALPHA_ENGINE_V12_RETURN_FIRST\ALPHA_ENGINE_V13_RETURN_FIRST_MULTI_HORIZON\.env:MMM_SEC_USER_AGENT
NU,1691493,VALID_CACHE,0,,DOTENV:C:\Users\santi\OneDrive\Escritorio\ALPHA_ENGINE_V12_RETURN_FIRST\ALPHA_ENGINE_V13_RETURN_FIRST_MULTI_HORIZON\.env:MMM_SEC_USER_AGENT
ORCL,1341439,VALID_CACHE,2231,,DOTENV:C:\Users\santi\OneDrive\Escritorio\ALPHA_ENGINE_V12_RETURN_FIRST\ALPHA_ENGINE_V13_RETURN_FIRST_MULTI_HORIZON\.env:MMM_SEC_USER_AGENT
NVDA,1045810,VALID_CACHE,2628,,DOTENV:C:\Users\santi\OneDrive\Escritorio\ALPHA_ENGINE_V12_RETURN_FIRST\ALPHA_ENGINE_V13_RETURN_FIRST_MULTI_HORIZON\.env:MMM_SEC_USER_AGENT
TSM,1046179,VALID_CACHE,9,,DOTENV:C:\Users\santi\OneDrive\Escritorio\ALPHA_ENGINE_V12_RETURN_FIRST\ALPHA_ENGINE_V13_RETURN_FIRST_MULTI_HORIZON\.env:MMM_SEC_USER_AGENT
AMD,2488,VALID_CACHE,2476,,DOTENV:C:\Users\santi\OneDrive\Escritorio\ALPHA_ENGINE_V12_RETURN_FIRST\ALPHA_ENGINE_V13_RETURN_FIRST_MULTI_HORIZON\.env:MMM_SEC_USER_AGENT
ASML,937966,VALID_CACHE,517,,DOTENV:C:\Users\santi\OneDrive\Escritorio\ALPHA_ENGINE_V12_RETURN_FIRST\ALPHA_ENGINE_V13_RETURN_FIRST_MULTI_HORIZON\.env:MMM_SEC_USER_AGENT
LAR,1440972,VALID_CACHE,10,,DOTENV:C:\Users\santi\OneDrive\Escritorio\ALPHA_ENGINE_V12_RETURN_FIRST\ALPHA_ENGINE_V13_RETURN_FIRST_MULTI_HORIZON\.env:MMM_SEC_USER_AGENT
WMT,104169,VALID_CACHE,4054,,DOTENV:C:\Users\santi\OneDrive\Escritorio\ALPHA_ENGINE_V12_RETURN_FIRST\ALPHA_ENGINE_V13_RETURN_FIRST_MULTI_HORIZON\.env:MMM_SEC_USER_AGENT
TM,1094517,VALID_CACHE,356,,DOTENV:C:\Users\santi\OneDrive\Escritorio\ALPHA_ENGINE_V12_RETURN_FIRST\ALPHA_ENGINE_V13_RETURN_FIRST_MULTI_HORIZON\.env:MMM_SEC_USER_AGENT
SONY,313838,VALID_CACHE,357,,DOTENV:C:\Users\santi\OneDrive\Escritorio\ALPHA_ENGINE_V12_RETURN_FIRST\ALPHA_ENGINE_V13_RETURN_FIRST_MULTI_HORIZON\.env:MMM_SEC_USER_AGENT
PBR,1119639,VALID_CACHE,288,,DOTENV:C:\Users\santi\OneDrive\Escritorio\ALPHA_ENGINE_V12_RETURN_FIRST\ALPHA_ENGINE_V13_RETURN_FIRST_MULTI_HORIZON\.env:MMM_SEC_USER_AGENT
BBD,1160330,VALID_CACHE,40,,DOTENV:C:\Users\santi\OneDrive\Escritorio\ALPHA_ENGINE_V12_RETURN_FIRST\ALPHA_ENGINE_V13_RETURN_FIRST_MULTI_HORIZON\.env:MMM_SEC_USER_AGENT
SID,1049659,VALID_CACHE,34,,DOTENV:C:\Users\santi\OneDrive\Escritorio\ALPHA_ENGINE_V12_RETURN_FIRST\ALPHA_ENGINE_V13_RETURN_FIRST_MULTI_HORIZON\.env:MMM_SEC_USER_AGENT
VALE,917851,VALID_CACHE,814,,DOTENV:C:\Users\santi\OneDrive\Escritorio\ALPHA_ENGINE_V12_RETURN_FIRST\ALPHA_ENGINE_V13_RETURN_FIRST_MULTI_HORIZON\.env:MMM_SEC_USER_AGENT
ARM,1973239,VALID_CACHE,417,,DOTENV:C:\Users\santi\OneDrive\Escritorio\ALPHA_ENGINE_V12_RETURN_FIRST\ALPHA_ENGINE_V13_RETURN_FIRST_MULTI_HORIZON\.env:MMM_SEC_USER_AGENT
CEPU,1717161,VALID_CACHE,10,,DOTENV:C:\Users\santi\OneDrive\Escritorio\ALPHA_ENGINE_V12_RETURN_FIRST\ALPHA_ENGINE_V13_RETURN_FIRST_MULTI_HORIZON\.env:MMM_SEC_USER_AGENT
