ticker,phase3z_target_weight_total_nav,expected_active_total,effective_horizon_sessions,ret_20d,ret_60d,ret_120d,ret_252d,dd_60d,dd_252d,range_position_252d,reversal_signature_score,historical_audit_class
FDX,0.0893457980848914,0.0140314487989571,40.9677155166312,-0.0806247690497895,-0.0672507582308719,0.0829959593513478,0.7378206816083643,-0.0806247690497895,-0.0806247690497895,0.8297063773041622,0.4999999999999999,MIXED_OTHER
NKE,0.0634412928907998,0.0132819834496563,37.14125031408989,-0.0979778203261844,-0.1742812139862323,-0.2834990183380717,-0.4880354972847606,-0.1772041279249028,-0.4902324621379896,0.0050604859229027,0.9221311475409836,DEEP_REVERSAL_BROKEN_1Y
CEPU,0.0614307821431374,0.017422083966546,35.69090166256359,0.064006054108523,-0.1085173643932314,-0.0673267016351454,0.5734967521971681,-0.1085173643932314,-0.2128133975562561,0.628042813936997,0.523224043715847,SHORT_PULLBACK_POSITIVE_1Y
CAAP,0.0574995527808328,0.0103974724882435,39.557211665856485,0.028692989978251,-0.0801752229027789,0.0515528547101293,0.2719130813883796,-0.0801752229027789,-0.1580648131640352,0.6269621228432581,0.505464480874317,SHORT_PULLBACK_POSITIVE_1Y
TTWO,0.0564075729577276,0.0143182119777332,40.201782626088026,-0.1092968543720772,-0.06305170206128,0.0739669838843828,-0.1170709426791856,-0.1661700469520273,-0.1785047306374996,0.3550963720655732,0.7363387978142076,MIXED_OTHER
ZTS,0.0522421524270214,0.0108423188071108,35.49788375843546,-0.0378427644484683,-0.0737594302360816,-0.3619929586794368,-0.5022657486129589,-0.0737594302360816,-0.5061984859951296,0.0210374682068562,0.8073770491803278,DEEP_REVERSAL_BROKEN_1Y
NUE,0.0497354372361492,0.0152418177431562,42.63979862070112,-0.0472291140532944,0.0038102507411379,0.6455677163731819,0.8530200776127719,-0.0557254062123723,-0.0557254062123723,0.893809524414297,0.3565573770491803,POSITIVE_MOMENTUM
MPWR,0.046097224872026,0.0292386685609631,36.08826521839135,-0.0940076204912914,-0.175094596156574,0.1590170350712616,0.4536097263256304,-0.2093473232947994,-0.2683881512503393,0.4727934440249688,0.7855191256830601,SHORT_PULLBACK_POSITIVE_1Y
VIST,0.0443422055403633,0.0166039648057567,36.81572090522146,0.1522887721689287,0.1012127388192636,0.0584235252166003,0.9981661069378522,-0.0339455403264008,-0.0376025660180895,0.9345773126927082,0.1188524590163934,POSITIVE_MOMENTUM
STLD,0.0435410525713299,0.0151498362247927,38.58295101976738,-0.0796069765107302,-0.1237966536631831,0.4704338950812174,0.8283462080628896,-0.1237966536631831,-0.1500430958295915,0.7233581692453255,0.6297814207650274,SHORT_PULLBACK_POSITIVE_1Y
OXY,0.0422388603943087,0.0095360700039458,41.21042582775872,0.0700522428008409,0.1504009566866242,0.0216966191946836,0.3535689384780038,0.0,-0.0635990587268169,0.8468290710965672,0.1721311475409836,POSITIVE_MOMENTUM
YPF,0.0405271845870347,0.0099896170547294,37.32464658871329,0.1233568934278515,0.0841139230564271,0.3251431694530096,0.9395949867631068,-0.009097433530807,-0.0141969699862183,0.9755948972894468,0.1092896174863388,POSITIVE_MOMENTUM
DOW,0.0374667717983052,0.0111897546758255,40.45357204548402,-0.032711280598287,-0.1090143268797122,-0.1905728618287574,0.2783380719220081,-0.1090143268797122,-0.2914854696174107,0.4391435631401347,0.709016393442623,SHORT_PULLBACK_POSITIVE_1Y
HON,0.0317332531891169,0.0056941646478831,34.31779129820772,-0.1325817943403885,-0.1566987018865228,-0.1214771866925028,-0.0140257784848302,-0.1841826903113788,-0.215478236013666,0.1213599141653263,0.855191256830601,DEEP_REVERSAL_BROKEN_1Y
