sample,group_a,group_b,horizon_sessions,n_a,n_b,mean_active_a,mean_active_b,event_mean_difference_a_minus_b,paired_signal_dates,date_mean_difference_a_minus_b,hac_se_difference,hac_t_difference,hac_lag,bootstrap_ci_low_difference,bootstrap_ci_high_difference,bootstrap_block_length
PRE2025_OOF,WEAK_60_Q25,NORMAL_60,20,1531,3642,-0.004918669063474344,-0.0012726653990219321,-0.0036460036644524125,748,-0.00013065430784553765,0.008667741500212246,-0.015073627639026652,20,-0.016438347792204277,0.01742242184589196,20
PRE2025_OOF,DEEP_DD252_Q25,NOT_DEEP_DD252,20,1384,3794,-0.006746150681550915,-0.0007749125952304891,-0.005971238086320426,730,-0.001926829567674588,0.009461263319756791,-0.2036545757743606,20,-0.01805096326696298,0.017884492007502004,20
PRE2025_OOF,REVERSAL_Q4,REVERSAL_Q1_Q3,20,1476,3702,-0.0037310144990286074,-0.0018286638381968437,-0.0019023506608317638,759,-0.002681396326755811,0.008813853122975232,-0.30422521107892825,20,-0.0182317235412247,0.014894557023636956,20
PRE2025_OOF,BROKEN_1Y_REVERSAL_Q4,POSITIVE_1Y_REVERSAL_Q4,20,932,476,-0.0031196737818770994,0.003968902493679071,-0.007088576275556171,137,-0.024534117486694,0.02610684952508194,-0.9397578770706533,20,-0.04883495202575454,0.030090655428342522,20
PRE2025_OOF,WEAK60_BROKEN_1Y,WEAK60_POSITIVE_1Y,20,870,598,-0.006085955970163133,0.0040222601231745,-0.010108216093337632,158,-0.019844653766443218,0.02206093516153442,-0.899538193695636,20,-0.04155424404261776,0.026459871384494606,20
PRE2025_OOF,WEAK_60_Q25,NORMAL_60,60,1483,3584,-0.010160301151559898,-0.005393845229501233,-0.004766455922058666,728,-0.002971282696425512,0.01643772700027928,-0.18075994913256738,60,-0.03083791634753792,0.03454850218590437,60
PRE2025_OOF,DEEP_DD252_Q25,NOT_DEEP_DD252,60,1338,3734,-0.008011812595178858,-0.005802308102685518,-0.0022095044924933397,712,0.0016392810862663535,0.018981709968094788,0.08636108596231437,60,-0.03245243819747786,0.04298027386648314,60
PRE2025_OOF,REVERSAL_Q4,REVERSAL_Q1_Q3,60,1426,3646,-0.009255506877765666,-0.005262553730138015,-0.003992953147627651,736,-0.004714674834383997,0.015453530572717538,-0.30508722988567594,60,-0.03368304468196858,0.030349759488753014,60
PRE2025_OOF,BROKEN_1Y_REVERSAL_Q4,POSITIVE_1Y_REVERSAL_Q4,60,901,459,-0.0015967074000360097,-0.007231703718366011,0.005634996318330001,132,-0.05744554762799997,0.03648432370071904,-1.5745268597884912,60,-0.05712660018749524,0.021075117765792666,60
PRE2025_OOF,WEAK60_BROKEN_1Y,WEAK60_POSITIVE_1Y,60,841,581,-0.003862424891346464,-0.007794013344611553,0.003931588453265088,154,-0.0073392411686177385,0.04259228803418623,-0.17231385087194606,60,-0.022918462154726454,0.10822050992792953,60
FINAL_HOLDOUT,WEAK_60_Q25,NORMAL_60,20,0,0,,,,0,,,,0,,,0
FINAL_HOLDOUT,DEEP_DD252_Q25,NOT_DEEP_DD252,20,0,0,,,,0,,,,0,,,0
FINAL_HOLDOUT,REVERSAL_Q4,REVERSAL_Q1_Q3,20,0,0,,,,0,,,,0,,,0
FINAL_HOLDOUT,BROKEN_1Y_REVERSAL_Q4,POSITIVE_1Y_REVERSAL_Q4,20,0,0,,,,0,,,,0,,,0
FINAL_HOLDOUT,WEAK60_BROKEN_1Y,WEAK60_POSITIVE_1Y,20,0,0,,,,0,,,,0,,,0
FINAL_HOLDOUT,WEAK_60_Q25,NORMAL_60,60,0,0,,,,0,,,,0,,,0
FINAL_HOLDOUT,DEEP_DD252_Q25,NOT_DEEP_DD252,60,0,0,,,,0,,,,0,,,0
FINAL_HOLDOUT,REVERSAL_Q4,REVERSAL_Q1_Q3,60,0,0,,,,0,,,,0,,,0
FINAL_HOLDOUT,BROKEN_1Y_REVERSAL_Q4,POSITIVE_1Y_REVERSAL_Q4,60,0,0,,,,0,,,,0,,,0
FINAL_HOLDOUT,WEAK60_BROKEN_1Y,WEAK60_POSITIVE_1Y,60,0,0,,,,0,,,,0,,,0
