window_sessions,ticker_a,ticker_b,correlation
60,CEPU,VIST,0.34026310519863967
60,CEPU,YPF,0.4922745030669161
60,CEPU,CAAP,0.3671549350659675
60,VIST,YPF,0.8081502120349969
60,VIST,CAAP,-0.14024673914339494
60,YPF,CAAP,0.04634199015399398
120,CEPU,VIST,0.22355081949885774
120,CEPU,YPF,0.4228897615033351
120,CEPU,CAAP,0.5181386150542887
120,VIST,YPF,0.7500117976215107
120,VIST,CAAP,-0.15565899447702003
120,YPF,CAAP,0.04578709904516456
252,CEPU,VIST,0.5594990604770841
252,CEPU,YPF,0.7439676727881223
252,CEPU,CAAP,0.6696140172109377
252,VIST,YPF,0.7975264441350908
252,VIST,CAAP,0.2929385614377224
252,YPF,CAAP,0.5033181077233794
