sample,entry_signal_date,current_new_positions,candidate_positive_positions,positive_fraction,observations,current_effective_n,candidate_effective_n,gross_entry_weight,minimum_variance,current_variance,candidate_variance,risk_ratio,current_alpha_daily,candidate_alpha_daily,alpha_uplift_daily
FINAL_HOLDOUT,2025-01-02,37,9,0.24324324324324326,120,28.860290955511587,6.496108759685205,0.9958436308563854,4.7069678407549036e-05,0.0002622189819012074,0.0002622189819013156,1.0000000000004126,0.00039216107956707903,0.00049601523187121,0.00010385415230413096
FINAL_HOLDOUT,2025-01-27,6,3,0.5,120,5.472058255430861,2.804704535670479,0.0635401343327171,1.0146625985141666e-06,2.4529463136263034e-06,2.4529463136462857e-06,1.0000000000081464,8.009271468342452e-06,9.213693491298222e-06,1.2044220229557703e-06
FINAL_HOLDOUT,2025-01-30,5,5,1.0,120,4.7460655590903675,2.631405776406344,0.0404364799375584,1.715769063088706e-07,2.3484351210532006e-07,2.3484351210569374e-07,1.0000000000015912,3.817166379561305e-06,4.317789647857216e-06,5.00623268295911e-07
FINAL_HOLDOUT,2025-03-17,5,5,1.0,120,4.7307397905123825,3.1536449765091135,0.0382606426904636,1.6782131203138537e-07,2.2574606475714532e-07,2.2574606475733892e-07,1.0000000000008575,3.378254792538216e-06,3.5188941063417624e-06,1.4063931380354645e-07
FINAL_HOLDOUT,2025-04-03,6,3,0.5,120,5.0100023443378925,1.850310125804678,0.0764615464638147,9.655710465875966e-07,1.2915356328340578e-06,1.2915356328340682e-06,1.000000000000008,1.2701920622442348e-05,1.636598472934993e-05,3.66406410690758e-06
FINAL_HOLDOUT,2025-04-09,8,6,0.75,120,7.286564108117366,3.1058164696642727,0.1285649295059773,3.258175831407226e-06,4.960961902029409e-06,4.9609619020341715e-06,1.0000000000009601,2.4661278401494966e-05,2.944548582067714e-05,4.784207419182175e-06
FINAL_HOLDOUT,2025-04-16,6,4,0.6666666666666666,120,5.230943652664285,1.3089077183167859,0.0589319935027349,1.4512897714881267e-06,2.4848243075944355e-06,2.4848243075967484e-06,1.0000000000009308,7.143491019211379e-06,8.797066371093628e-06,1.653575351882249e-06
FINAL_HOLDOUT,2025-04-23,5,3,0.6,120,4.024736740668704,2.474382460290691,0.0481748229679765,3.4480840228771327e-07,4.6388529709344424e-07,4.638852970936544e-07,1.000000000000453,6.180157935864228e-06,7.128313706331594e-06,9.481557704673665e-07
FINAL_HOLDOUT,2025-04-29,5,4,0.8,120,4.544987128371898,2.3833980784839475,0.05092943250695,7.783530521821653e-07,1.3961701506335737e-06,1.3961701506342384e-06,1.000000000000476,6.244983159945038e-06,6.7279540090995214e-06,4.829708491544835e-07
FINAL_HOLDOUT,2025-05-13,5,4,0.8,120,3.8162093205734964,3.00851112984223,0.0761230300329114,1.711404930210731e-06,2.198437313914273e-06,2.198437313914454e-06,1.0000000000000822,1.6230447256247e-05,1.744496766467898e-05,1.2145204084319803e-06
