feature,family,horizon_sessions,development_coverage,validation_coverage,direction_from_development,development_mean_ic,development_hac_t,development_p,development_rich_dates,validation_aligned_ic,validation_aligned_hac_t,validation_rich_dates,development_fdr_q,development_candidate,development_top10_return,development_top10_excess_spy,development_top10_excess_qqq,development_top10_excess_uew,development_top10_dates,validation_top10_return,validation_top10_excess_spy,validation_top10_excess_qqq,validation_top10_excess_uew,validation_top10_dates,validation_confirmation,dev_score,dev_rank,recommended_for_phase2
mom_1d,PRICE_TREND_RISK,5,0.9997866108707598,0.9998692651769122,-1,-0.005867835530420346,-1.6324085107397641,0.1025934574435361,2008,0.007713629135797922,1.1065506978225876,496,0.18466822339836497,True,0.007138315772708177,0.004909016099107611,0.0041169265676705815,0.0028752410201429734,2008.0,0.005383207801244425,0.0005877809677339113,-0.0018276105300164566,0.0009720328098459251,496.0,True,0.003967061228973722,5.0,True
mom_120d,PRICE_TREND_RISK,5,0.9762552662737537,0.9881778367122059,1,0.0200586409417109,2.535714342173383,0.011221823077659732,2008,0.025831290035988497,1.8192085391756392,496,0.027265997318912428,True,0.005637831697936443,0.003428469285351558,0.002653487815831084,0.001408337706476199,2013.0,0.0043248423461794095,-0.00047704319966940955,-0.0028599424366626968,-9.282120245156128e-05,499.0,False,0.00249676493588628,16.0,True
mom_252d,PRICE_TREND_RISK,5,0.9518193783766942,0.9787462530465882,1,0.03165856444838575,3.7440761651364025,0.00018105872783680255,2008,0.043495502575889536,2.6451977376804603,496,0.001190313367658291,True,0.006899764571017791,0.004659950393044912,0.0038904169686184015,0.0026346119703078976,2013.0,0.00533917722209145,0.0005224423873243829,-0.0018848562914274287,0.00091101056076654,499.0,True,0.003728326443990404,7.0,True
mom_skip_120_20,PRICE_TREND_RISK,5,0.9762552662737537,0.9881778367122059,1,0.023184227228161856,3.0573269014174675,0.0022332058198109017,2008,0.029133653304979874,2.0611108471828605,496,0.007730327837806967,True,0.006157223704467167,0.003947804749190159,0.003172757223747406,0.0019276138296655987,2013.0,0.005084899721082666,0.00028322373061705637,-0.0020996755063762305,0.000667236172451695,499.0,True,0.003016058600867721,14.0,True
mom_skip_252_20,PRICE_TREND_RISK,5,0.9518193783766942,0.9787462530465882,1,0.03383941270044293,4.048029384030537,5.165066332368795e-05,2008,0.04767319951117056,2.8441596516381544,496,0.00046485596991319156,True,0.00678901152152849,0.004549980986452626,0.0037807555453283764,0.002524640072034269,2013.0,0.006565362286310621,0.0017489684057740362,-0.000658330272977776,0.002137195624985712,499.0,True,0.003618458867938424,10.0,True
dist_low_20,PRICE_TREND_RISK,5,0.9967859442657809,0.9983378001064555,-1,-0.015594560174885239,-2.8452071547340014,0.004438254874308267,2008,0.013445119695860595,0.9928097283373617,496,0.013773894437508415,True,0.01224551839278641,0.010725580083723953,0.009896662473229012,0.008745150278290459,1706.0,0.0045572241837820715,0.00035579554205670427,-0.001731274727718221,0.0004282528264632463,420.0,True,0.00978913094508114,1.0,True
dist_high_60,PRICE_TREND_RISK,5,0.990197318850569,0.9953682519820333,1,0.015322156518167531,1.9497762332281734,0.05120279549269169,2008,0.02290082641321815,1.614494625386699,496,0.10017938248570113,True,0.004088751489858363,0.0015553586727361222,0.0008510004566419918,-0.0004965855546307281,1860.0,0.003182181478787363,-0.0015159738076653937,-0.0041601594344103645,-0.001201489013559229,455.0,False,0.000636591191582462,35.0,True
dist_low_60,PRICE_TREND_RISK,5,0.990197318850569,0.9953682519820333,-1,-0.013538706373978509,-2.3084773097414755,0.020972603431111958,2008,0.010392222742839846,0.789803906093122,496,0.04494129306666848,True,0.011014122883366704,0.009125925539417488,0.008461773409762863,0.007188769497779789,1911.0,0.006186176229935445,0.0016333294167736343,-0.0007566444155301657,0.0020074367634692804,479.0,True,0.008258822815653379,2.0,True
dist_high_120,PRICE_TREND_RISK,5,0.9809479387176635,0.9905123871244875,1,0.02273959063544014,2.7479589490330016,0.005996751666112132,2008,0.01991781143985821,1.3234753934160044,496,0.016865864060940372,True,0.0038142163305681345,0.0016561507759343026,0.0009915911081576966,-0.0003218429751424101,1950.0,0.0023859540107868723,-0.0022057669004749356,-0.004495565882084567,-0.0018888444003079855,479.0,False,0.0007752996363165297,33.0,True
trend_sma_252,PRICE_TREND_RISK,5,0.9612878128369613,0.9823134460765546,1,0.026618182149936193,3.1805488665504518,0.0014699634517256754,2008,0.024945899194783887,1.6447585751791758,496,0.006268338721432398,True,0.006074679912163605,0.003856759142940717,0.0030899686989715666,0.0018284087967321216,2013.0,0.003117892889196499,-0.0017006034734265401,-0.004078787534739343,-0.0013199849779516794,499.0,False,0.0029250455462148015,15.0,True
