feature,coverage,family
mom_1d,0.9998013554751592,PRICE_TREND_RISK
mom_5d,0.9989958284649784,PRICE_TREND_RISK
mom_10d,0.9980182471419432,PRICE_TREND_RISK
mom_20d,0.9960943670982102,PRICE_TREND_RISK
mom_60d,0.9887476479393368,PRICE_TREND_RISK
mom_120d,0.9782945663683871,PRICE_TREND_RISK
mom_252d,0.9564045653829851,PRICE_TREND_RISK
mom_skip_20_5,0.9960943670982102,PRICE_TREND_RISK
mom_skip_60_5,0.9887476479393368,PRICE_TREND_RISK
mom_skip_120_20,0.9782945663683871,PRICE_TREND_RISK
mom_skip_252_20,0.9564045653829851,PRICE_TREND_RISK
trend_sma_20,0.9970516147297261,PRICE_TREND_RISK
dist_high_20,0.9970516147297261,PRICE_TREND_RISK
dist_low_20,0.9970516147297261,PRICE_TREND_RISK
trend_sma_60,0.9910735094231019,PRICE_TREND_RISK
dist_high_60,0.9910735094231019,PRICE_TREND_RISK
dist_low_60,0.9910735094231019,PRICE_TREND_RISK
trend_sma_120,0.9825834111488067,PRICE_TREND_RISK
dist_high_120,0.9825834111488067,PRICE_TREND_RISK
dist_low_120,0.9825834111488067,PRICE_TREND_RISK
trend_sma_252,0.96486494518506,PRICE_TREND_RISK
dist_high_252,0.96486494518506,PRICE_TREND_RISK
dist_low_252,0.96486494518506,PRICE_TREND_RISK
vol_10,0.9984061514109236,PRICE_TREND_RISK
downside_vol_10,0.9986016676755306,PRICE_TREND_RISK
vol_20,0.9968592267253529,PRICE_TREND_RISK
downside_vol_20,0.9970516147297261,PRICE_TREND_RISK
vol_60,0.9908920703295466,PRICE_TREND_RISK
downside_vol_60,0.9910735094231019,PRICE_TREND_RISK
vol_120,0.9824113568359525,PRICE_TREND_RISK
downside_vol_120,0.9825834111488067,PRICE_TREND_RISK
skew_20,0.9968592267253529,PRICE_TREND_RISK
skew_60,0.9908920703295466,PRICE_TREND_RISK
skew_120,0.9824113568359525,PRICE_TREND_RISK
worst_day_20,0.9968592267253529,PRICE_TREND_RISK
best_day_20,0.9968592267253529,PRICE_TREND_RISK
worst_day_60,0.9908920703295466,PRICE_TREND_RISK
best_day_60,0.9908920703295466,PRICE_TREND_RISK
mom_accel_20_60,0.9887476479393368,PRICE_TREND_RISK
mom_accel_60_120,0.9782945663683871,PRICE_TREND_RISK
log_dollar_volume_20,0.006186134612166117,LIQUIDITY
amihud_20,0.006179878091698692,LIQUIDITY
log_dollar_volume_60,0.005985925957208528,LIQUIDITY
amihud_60,0.005979669436741103,LIQUIDITY
volume_surprise_20_60,0.006004695518610802,LIQUIDITY
rel_mom_spy_5,0.9989958284649784,PRICE_TREND_RISK
rel_mom_qqq_5,0.9989958284649784,PRICE_TREND_RISK
rel_mom_spy_10,0.9980182471419432,PRICE_TREND_RISK
rel_mom_qqq_10,0.9980182471419432,PRICE_TREND_RISK
rel_mom_spy_20,0.9960943670982102,PRICE_TREND_RISK
rel_mom_qqq_20,0.9960943670982102,PRICE_TREND_RISK
rel_mom_spy_60,0.9887476479393368,PRICE_TREND_RISK
rel_mom_qqq_60,0.9887476479393368,PRICE_TREND_RISK
rel_mom_spy_120,0.9782945663683871,PRICE_TREND_RISK
rel_mom_qqq_120,0.9782945663683871,PRICE_TREND_RISK
rel_mom_spy_252,0.9564045653829851,PRICE_TREND_RISK
rel_mom_qqq_252,0.9564045653829851,PRICE_TREND_RISK
corr_spy_60,0.9897377423033067,PRICE_TREND_RISK
corr_qqq_60,0.9897377423033067,PRICE_TREND_RISK
corr_spy_120,0.9816809080713806,PRICE_TREND_RISK
corr_qqq_120,0.9816809080713806,PRICE_TREND_RISK
mom_20d_x_breadth,0.9960943670982102,PRICE_TREND_RISK
