feature,family,horizon_sessions,development_coverage,validation_coverage,direction_from_development,development_mean_ic,development_hac_t,development_p,development_rich_dates,validation_aligned_ic,validation_aligned_hac_t,validation_rich_dates,development_fdr_q,development_candidate,development_top10_return,development_top10_excess_spy,development_top10_excess_qqq,development_top10_excess_uew,development_top10_dates,validation_top10_return,validation_top10_excess_spy,validation_top10_excess_qqq,validation_top10_excess_uew,validation_top10_dates,validation_confirmation,dev_score,dev_rank,recommended_for_phase2
mom_1d,PRICE_TREND_RISK,5,0.9997866108707598,0.9998692651769122,-1,-0.005867835530420346,-1.6324085107397641,0.1025934574435361,2008,0.007713629135797922,1.1065506978225876,496,0.18466822339836497,True,0.007138315772708177,0.004909016099107611,0.0041169265676705815,0.0028752410201429734,2008.0,0.005383207801244425,0.0005877809677339113,-0.0018276105300164566,0.0009720328098459251,496.0,True,0.003967061228973722,5.0,True
mom_5d,PRICE_TREND_RISK,5,0.9989198355581825,0.9993650022878594,-1,-0.00858887499085247,-1.4275568072277254,0.15341946330983847,2008,-0.00015602153502376623,-0.012719698890358556,496,0.24848947497672993,False,,,,,,,,,,,False,-9.0,47.0,False
mom_10d,PRICE_TREND_RISK,5,0.9978528899119817,0.99882338659221,-1,-0.00430573648236651,-0.6779688945914151,0.4977914156922236,2008,0.006694881042831332,0.5090019227450231,496,0.6492931509029004,False,,,,,,,,,,,False,-9.0,48.0,False
mom_20d,PRICE_TREND_RISK,5,0.9957265522170753,0.9978708900239992,-1,-0.003081972900151566,-0.47839668119356804,0.6323678953274241,2008,0.0014238902129627472,0.10346256029040234,496,0.702630994808249,False,,,,,,,,,,,False,-9.0,49.0,False
mom_60d,PRICE_TREND_RISK,5,0.9876593100921728,0.9940982565577521,1,0.0043165757178815515,0.6005202337298846,0.5481595802650201,2008,0.0011836653557292368,0.09212448423371625,496,0.675813181148655,False,,,,,,,,,,,False,-9.0,50.0,False
mom_120d,PRICE_TREND_RISK,5,0.9762552662737537,0.9881778367122059,1,0.0200586409417109,2.535714342173383,0.011221823077659732,2008,0.025831290035988497,1.8192085391756392,496,0.027265997318912428,True,0.005637831697936443,0.003428469285351558,0.002653487815831084,0.001408337706476199,2013.0,0.0043248423461794095,-0.00047704319966940955,-0.0028599424366626968,-9.282120245156128e-05,499.0,False,0.00249676493588628,16.0,True
mom_252d,PRICE_TREND_RISK,5,0.9518193783766942,0.9787462530465882,1,0.03165856444838575,3.7440761651364025,0.00018105872783680255,2008,0.043495502575889536,2.6451977376804603,496,0.001190313367658291,True,0.006899764571017791,0.004659950393044912,0.0038904169686184015,0.0026346119703078976,2013.0,0.00533917722209145,0.0005224423873243829,-0.0018848562914274287,0.00091101056076654,499.0,True,0.003728326443990404,7.0,True
mom_skip_20_5,PRICE_TREND_RISK,5,0.9957265522170753,0.9978708900239992,1,0.0021706817578395123,0.3607527685498369,0.7182842735988637,2008,0.00011456610173240977,0.007868269974313289,496,0.7605362896929145,False,,,,,,,,,,,False,-9.0,51.0,False
mom_skip_60_5,PRICE_TREND_RISK,5,0.9876593100921728,0.9940982565577521,1,0.0077397111107693345,1.093570058201982,0.27414358712806797,2008,-0.0012228246805240659,-0.09438658122070626,496,0.38551441939884556,False,,,,,,,,,,,False,-9.0,52.0,False
mom_skip_120_20,PRICE_TREND_RISK,5,0.9762552662737537,0.9881778367122059,1,0.023184227228161856,3.0573269014174675,0.0022332058198109017,2008,0.029133653304979874,2.0611108471828605,496,0.007730327837806967,True,0.006157223704467167,0.003947804749190159,0.003172757223747406,0.0019276138296655987,2013.0,0.005084899721082666,0.00028322373061705637,-0.0020996755063762305,0.000667236172451695,499.0,True,0.003016058600867721,14.0,True
mom_skip_252_20,PRICE_TREND_RISK,5,0.9518193783766942,0.9787462530465882,1,0.03383941270044293,4.048029384030537,5.165066332368795e-05,2008,0.04767319951117056,2.8441596516381544,496,0.00046485596991319156,True,0.00678901152152849,0.004549980986452626,0.0037807555453283764,0.002524640072034269,2013.0,0.006565362286310621,0.0017489684057740362,-0.000658330272977776,0.002137195624985712,499.0,True,0.003618458867938424,10.0,True
trend_sma_20,PRICE_TREND_RISK,5,0.9967859442657809,0.9983378001064555,-1,-0.004731318080238791,-0.7314689449291525,0.4644927665063521,2008,0.007112066902365006,0.5277346760598444,496,0.6333992270541164,False,,,,,,,,,,,False,-9.0,53.0,False
