horizon_sessions,period,test_start,test_end,architecture,train_rows,test_rows,economic_score,worst_cut_robust_excess,mean_rank_ic,positive_cut_share,rich_dates
5,EVIDENCE_2017_2018,2017-01-03,2019-01-02,IC_COMPOSITE,147437,148752,0.0029096610197556784,0.0011140078381850365,0.06108721668633307,1.0,501
5,EVIDENCE_2017_2018,2017-01-03,2019-01-02,RIDGE_RANK,147437,148752,0.0017384637575749134,0.0006232335395568961,0.058490805471101345,1.0,501
5,EVIDENCE_2017_2018,2017-01-03,2019-01-02,HGB_RANK,147437,148752,0.002277842983010302,0.0013986398451402012,0.06037305096925828,1.0,501
5,EVIDENCE_2017_2018,2017-01-03,2019-01-02,HGB_ROBUST_EXCESS,147437,148752,0.003664675900921512,0.0020999163080734425,0.04383835467273629,1.0,501
5,EVIDENCE_2017_2018,2017-01-03,2019-01-02,BLEND_RIDGE_HGB,147437,148752,0.002112526081314622,0.001252137913327396,0.06462768352563922,1.0,501
5,OUTER_2019_2020,2019-01-02,2021-01-04,IC_COMPOSITE,298019,114672,-0.0023516797709239767,-0.0025389548644550457,0.038085663451257905,0.0,499
5,OUTER_2019_2020,2019-01-02,2021-01-04,RIDGE_RANK,298019,114672,0.0031305075453394067,0.0016386087404773684,0.06396911285291067,1.0,499
5,OUTER_2019_2020,2019-01-02,2021-01-04,HGB_RANK,298019,114672,0.0011026797983302698,0.00014680476523953878,0.038293619179814095,1.0,499
5,OUTER_2019_2020,2019-01-02,2021-01-04,HGB_ROBUST_EXCESS,298019,114672,0.01336818289094275,0.005463834302178133,0.02769739849153521,1.0,499
5,OUTER_2019_2020,2019-01-02,2021-01-04,BLEND_RIDGE_HGB,298019,114672,0.003039428856416821,0.001146745213205079,0.05583783591016988,1.0,499
5,OUTER_2021_2022,2021-01-04,2023-01-03,IC_COMPOSITE,414154,114008,-0.0013845346970448773,-0.0017848546141651502,0.04304746565026795,0.0,502
5,OUTER_2021_2022,2021-01-04,2023-01-03,RIDGE_RANK,414154,114008,-0.0019885228135821964,-0.002167398449389695,0.022291722121402225,0.0,502
5,OUTER_2021_2022,2021-01-04,2023-01-03,HGB_RANK,414154,114008,-0.0025650020898442425,-0.004432786794113314,0.027477556341886675,0.0,502
5,OUTER_2021_2022,2021-01-04,2023-01-03,HGB_ROBUST_EXCESS,414154,114008,-0.00222033490226233,-0.002678106017956165,0.010701028674685267,0.0,502
5,OUTER_2021_2022,2021-01-04,2023-01-03,BLEND_RIDGE_HGB,414154,114008,-0.002782955141925708,-0.0037168255598002873,0.028661609670271267,0.0,502
10,EVIDENCE_2017_2018,2017-01-03,2019-01-02,IC_COMPOSITE,145912,147532,0.0037329248964459694,0.002222902083493394,0.07219090814562053,1.0,501
10,EVIDENCE_2017_2018,2017-01-03,2019-01-02,RIDGE_RANK,145912,147532,0.0013228846747521232,-0.00010082657558345269,0.056826223609305476,0.6666666666666666,501
10,EVIDENCE_2017_2018,2017-01-03,2019-01-02,HGB_RANK,145912,147532,0.0045700023934198,0.002409605111463879,0.06321708933316587,1.0,501
10,EVIDENCE_2017_2018,2017-01-03,2019-01-02,HGB_ROBUST_EXCESS,145912,147532,0.006853658622043995,0.0034723663782010687,0.06613783963578776,1.0,501
10,EVIDENCE_2017_2018,2017-01-03,2019-01-02,BLEND_RIDGE_HGB,145912,147532,0.0037673398777318093,0.0018546482102919835,0.0655422149673675,1.0,501
10,OUTER_2019_2020,2019-01-02,2021-01-04,IC_COMPOSITE,296799,113517,-0.004747901761212185,-0.005560531706402339,0.04113304977260391,0.0,494
10,OUTER_2019_2020,2019-01-02,2021-01-04,RIDGE_RANK,296799,113517,0.006502759602264188,0.0029515785290918925,0.08034225261922447,1.0,494
10,OUTER_2019_2020,2019-01-02,2021-01-04,HGB_RANK,296799,113517,0.002944877158364671,0.0006241139567940947,0.05332009716391663,1.0,494
10,OUTER_2019_2020,2019-01-02,2021-01-04,HGB_ROBUST_EXCESS,296799,113517,0.007300644853100508,0.0027727732669564137,0.018543653302868765,1.0,494
10,OUTER_2019_2020,2019-01-02,2021-01-04,BLEND_RIDGE_HGB,296799,113517,0.0067698830655479,0.002719670986237512,0.07389300591311673,1.0,494
10,OUTER_2021_2022,2021-01-04,2023-01-03,IC_COMPOSITE,412999,112898,-0.0023321881190400905,-0.0028823350496585136,0.052916784024343785,0.0,502
10,OUTER_2021_2022,2021-01-04,2023-01-03,RIDGE_RANK,412999,112898,-0.004238273365132143,-0.00549064907950572,0.024986211466942958,0.0,502
10,OUTER_2021_2022,2021-01-04,2023-01-03,HGB_RANK,412999,112898,-0.004289393730016462,-0.006070266656316533,0.03897181675975808,0.0,502
10,OUTER_2021_2022,2021-01-04,2023-01-03,HGB_ROBUST_EXCESS,412999,112898,-0.006446137477195562,-0.008093098112515,0.007721348828282011,0.0,502
10,OUTER_2021_2022,2021-01-04,2023-01-03,BLEND_RIDGE_HGB,412999,112898,-0.005244737750780278,-0.006510359960153854,0.036241181240491555,0.0,502
20,EVIDENCE_2017_2018,2017-01-03,2019-01-02,IC_COMPOSITE,142862,145092,0.004703233423756878,0.002733784294830289,0.08327091708708877,1.0,501
20,EVIDENCE_2017_2018,2017-01-03,2019-01-02,RIDGE_RANK,142862,145092,0.002355518243375413,0.0003950783480919041,0.059319925442931284,1.0,501
20,EVIDENCE_2017_2018,2017-01-03,2019-01-02,HGB_RANK,142862,145092,0.005978309411378574,0.001906980983434107,0.07252852377619924,1.0,501
20,EVIDENCE_2017_2018,2017-01-03,2019-01-02,HGB_ROBUST_EXCESS,142862,145092,0.011607316829868701,0.009413036529079153,0.06081825766725311,1.0,501
