scheme,economic_score,worst_fold,worst_cut,mean_ic,winner_lift,positive_cut_share,horizon_sessions
ADAPTIVE_T075,0.0016721775129518082,-0.002485258589939268,-0.003689209160995578,0.0061043749508233455,1.8701017311364694,0.6666666666666666,5
EQUAL,0.0008540947255741374,-0.0029008467933871636,-0.004445275440613977,0.036969716297829684,1.4273872457172776,0.5,5
ADAPTIVE_T250,0.000715587488180842,-0.0026298900411148383,-0.004112914339602071,0.017416841283573656,1.6300575686977559,0.5,5
ADAPTIVE_T150,0.000673082141719286,-0.002853382018722338,-0.0031242579227562213,0.010271315374817083,1.7279471327019287,0.5,5
EQUAL,0.001311615699289689,-0.006500073070314229,-0.008756721078527678,0.04578991272743875,1.5209591139291596,0.5833333333333334,10
ADAPTIVE_T250,0.0009401515120935935,-0.007392153864456105,-0.011056308477398602,0.03667750378357662,1.5506371475298,0.5833333333333334,10
ADAPTIVE_T150,0.0007624091158184031,-0.006910699340441436,-0.010302436141788777,0.031083303294683083,1.5844930932498764,0.5833333333333334,10
ADAPTIVE_T075,0.00021755083648239328,-0.007639486206249675,-0.00883914411676797,0.02508031317937609,1.6234130269009532,0.5833333333333334,10
EQUAL,0.004536933967813124,-0.012315471931092982,-0.01660668422550455,0.06649525067090763,1.5812558994988706,0.6666666666666666,20
ADAPTIVE_T250,0.003936525839302244,-0.014589758043178492,-0.019173995629542865,0.06206809362433656,1.625209228979307,0.6666666666666666,20
ADAPTIVE_T150,0.0035963392020839633,-0.013631454606878432,-0.017178643160275748,0.060115921536819966,1.6369004386943322,0.6666666666666666,20
ADAPTIVE_T075,0.0029174622145390857,-0.014199977130663316,-0.018186834798005924,0.057670829402595186,1.6526816205003967,0.6666666666666666,20
EQUAL,0.002894466658714009,-0.025255839628605736,-0.04258829982341713,0.07869562615397399,1.6468777677831412,0.5833333333333334,60
ADAPTIVE_T250,0.0017571403666217862,-0.024284433058993943,-0.038113238608985925,0.033011154593854376,1.8196431396109016,0.5,60
ADAPTIVE_T150,1.9841334444542958e-05,-0.028276550593593044,-0.04068977803823219,0.02181264249079532,1.8554495999377019,0.5833333333333334,60
ADAPTIVE_T075,-1.0257971493276077e-05,-0.02871588301683431,-0.041560438250366684,0.01606264005856068,1.8880987431424188,0.5833333333333334,60
EQUAL,0.005734187553842671,-0.02151465571075536,-0.04480506963734972,0.09194628255301601,1.6996638402144872,0.6666666666666666,120
ADAPTIVE_T150,0.0007442627178321842,-0.020764801944071463,-0.04891796095365903,0.07270805231677267,1.7381796469191695,0.5833333333333333,120
ADAPTIVE_T250,0.0007180911000087518,-0.019975174631587524,-0.04863427011070058,0.07802385473703989,1.7170171990186738,0.5833333333333333,120
ADAPTIVE_T075,-0.00018273106275874286,-0.022225164901196293,-0.047766614095035353,0.059303677593946044,1.764877342471984,0.5,120
EQUAL,-0.006128094244323635,-0.08281675718777474,-0.1774856673864821,0.07998552653916736,1.9630171280098885,0.41666666666666663,252
ADAPTIVE_T250,-0.010853437047365744,-0.059057691961327895,-0.17127501068240372,0.0462102698170851,2.0160062469826574,0.41666666666666663,252
ADAPTIVE_T150,-0.015753702278281517,-0.04629696797565721,-0.15656441493207368,0.029558478221499603,2.025909788495043,0.3333333333333333,252
ADAPTIVE_T075,-0.02059181321763128,-0.04629696797565721,-0.13812776306998337,0.0066178928449914,2.0390516914441204,0.25,252
