horizon_sessions,fold,economic_score,worst_cut_robust_excess,mean_rank_ic,positive_cut_share,winner_lift
5,WF_2017_2018,0.0027390473518283704,0.001960128097158143,0.0502613805164181,1.0,1.5223684062617566
5,WF_2019_2020,0.004604131502990982,0.0034191322784841854,0.04564252054689353,1.0,1.4249769479970786
5,WF_2021_2022,-0.002485258589939268,-0.003689209160995578,-0.044141154018530776,0.0,2.2634330476435793
5,WF_2023_2024,0.0018307897869271484,-0.001180271483208827,-0.02734524724148747,0.6666666666666666,2.2696285226434627
10,WF_2017_2018,0.0040140397046200356,0.002723179697765545,0.05504038860273526,1.0,1.6085215516079534
10,WF_2019_2020,0.009120873729534967,0.003297602654037245,0.061534302569043166,1.0,1.5727656200169793
10,WF_2021_2022,-0.006500073070314229,-0.008756721078527678,0.010594511373888022,0.0,1.6039743843340697
10,WF_2023_2024,-0.001388377566682019,-0.0027101363529784877,0.05599044836408854,0.3333333333333333,1.298574899757636
20,WF_2017_2018,0.008312116088560884,0.005987336527223713,0.06841748277118753,1.0,1.6252362170346972
20,WF_2019_2020,0.022184849775264026,0.009794080847681541,0.09649045848879675,1.0,1.712109183599701
20,WF_2021_2022,-0.012315471931092982,-0.01660668422550455,0.016799221175271252,0.0,1.5527965145248346
20,WF_2023_2024,-3.3758061479431115e-05,-0.003567970221500735,0.08427384024837498,0.6666666666666666,1.4348816828362494
60,WF_2017_2018,0.01857469583006471,0.011883639256676203,0.0994229748333521,1.0,1.6928524565296712
60,WF_2019_2020,0.022803727600820334,0.0019163527917794173,0.10756615900490198,1.0,2.0287534148145108
60,WF_2021_2022,-0.025255839628605736,-0.04258829982341713,0.003037662725852268,0.0,1.3676708894968301
60,WF_2023_2024,-0.004544717167423272,-0.00955710962231437,0.1047557080517896,0.3333333333333333,1.4982343102915527
120,WF_2017_2018,0.010036536813310728,0.004411023298585771,0.08993084260737846,1.0,1.3289044283480351
120,WF_2019_2020,0.009441920891635834,-0.03861308953839853,0.1135899637036933,0.6666666666666666,2.3996189768837675
120,WF_2021_2022,-0.02151465571075536,-0.04480506963734972,-0.0025418922801231586,0.0,1.3785063822352512
120,WF_2023_2024,0.024972948221179486,0.008838807630511038,0.16680621618111544,1.0,1.6916255733908954
252,WF_2017_2018,-0.04629696797565721,-0.07375750863040992,-0.043118505127271355,0.0,1.0323099827743192
252,WF_2019_2020,-0.08281675718777474,-0.1774856673864821,0.20191612291761302,0.3333333333333333,3.23469995023273
252,WF_2021_2022,-0.007012369223673082,-0.05945849662739451,-0.129222334755595,0.3333333333333333,1.0162871610692619
252,WF_2023_2024,0.1116137174098105,0.07894258667346515,0.2903668231219228,1.0,2.5687714179632426
